開放粵語詞典（粵語拼音字數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［粵語拼音］	［國語解釋］
慘劇	cam2 keg6	
慘歷	cam2 lek6	
慘烈	cam2 lid6	
慘無人道	cam2 mow4 yant4 dow6	
慘案	cam2 on3	
慘相	cam2 seong3	
慘死	cam2 sey2	
慘痛	cam2 tonk3	
慘禍	cam2 wo6	
慘然	cam2 yin4	
懺悔	cam3 fui3	
杉木	cam3 mok6	
蠶春	cam4 cont1	蠶卵
蠶豆	cam4 daw6	
蠶繭	cam4 gan2	
讒害	cam4 hoi6	
饞嘴	cam4 joy2	
慚愧	cam4 kuay5	
蠶食	cam4 sek6	
蠶食鯨吞	cam4 sek6 kenk4 tant1	
蠶絲	cam4 si1	
讒言	cam4 yin4	
饞涎欲滴	cam4 yin4 yok6 dek1	
蠶蛹	cam4 yonk2	
參差不齊	camp1 ci1 bat1 cay4	
侵奪	camp1 deud6	
侵犯	camp1 fan6	
侵害	camp1 hoi6	
侵襲	camp1 jab6	
侵佔	camp1 jim3	
侵早	camp1 jow2	清早，清晨
侵權	camp1 keun4	
侵略	camp1 leog6	
侵略國	camp1 leog6 guog3	
侵略者	camp1 leog6 je2	
侵略戰爭	camp1 leog6 jin3 jank1	
侵略性	camp1 leog6 senk3	
侵蝕	camp1 sek6	
侵入	camp1 yap6	
侵入體	camp1 yap6 tay2	
侵越	camp1 yeud6	
侵擾	camp1 yiu2	
寢室	camp2 sat1	
譖	camp3	羅嗦，囉唆，嘮叨
譖氣	camp3 hey3	羅嗦，囉唆，嘮叨
譖趙	camp3 jiu6	羅嗦，囉唆，嘮叨
譖醉	camp3 joy3	羅嗦，囉唆，嘮叨
讖言	camp3 yin4	
尋尋覓覓	camp4 camp4 mek6 mek6	
尋親	camp4 cant1	
沉重	camp4 conk5	
沉澱	camp4 din6	
尋訪	camp4 fong2	
尋歡	camp4 fun1	
尋歡作樂	camp4 fun1 jog3 log6	
尋根	camp4 gant1	
尋香	camp4 heong1	
尋開心	camp4 hoi1 samp1	
尋找	camp4 jau2	
沉滓	camp4 ji2	
尋求	camp4 kaw4	
尋樂	camp4 log6	
沉淪	camp4 lont4	
蕁麻疹	camp4 ma4 jant2	
沉默	camp4 mak6	
尋問	camp4 mant6	
沉迷	camp4 may4	
尋覓	camp4 mek6	
尋夢	camp4 monk6	
沉沒	camp4 mud6	
尋常	camp4 seong4	
尋死	camp4 sey2	
尋思	camp4 si1	
尋獲	camp4 wog6	
尋人	camp4 yant4	
尋人啟事	camp4 yant4 kay2 si6	
尋日	camp4 yat6	昨天
鱘魚	camp4 yeu4	
餐車	can1 ce1	
餐點	can1 dim2	
餐費	can1 fay3	
餐巾	can1 gant1	
餐券	can1 geun3	
餐具	can1 goy6	
餐館	can1 gun2	
餐盒	can1 hab6	
餐薦	can1 jin2	墊布，餐具墊
餐牌	can1 pai2	菜單
餐廳	can1 teng1	
餐飲	can1 yamp2	
餐飲業	can1 yamp2 yib6	
剷	can2	推剪，剃
產品	can2 bant2	
剷青	can2 ceng1	兩邊推光的髮型
產前	can2 cin4	
產前檢查	can2 cin4 gim2 ca4	
產床	can2 cong4	
產科	can2 fo1	
產科醫生	can2 fo1 yi1 sank1	
產房	can2 fong4	
產婦	can2 fu5	
產假	can2 ga3	
剷光頭	can2 guong1 taw4	剃光頭，推光頭
產後	can2 haw6	
產後檢查	can2 haw6 gim2 ca4	
產值	can2 jek6	
產權	can2 keun4	
產物	can2 mat6	
產婆	can2 po4	
產生	can2 sank1	
鏟土	can2 tow2	
產業	can2 yib6	
產業界	can2 yib6 gai3	
燦仔	can3 jay2	新從內地來香港帶土氣的青年
燦爛	can3 lan6	
燦妹	can3 mui1	新從內地來香港帶土氣的姑娘
殘兵敗將	can4 benk1 bai6 jeong3	
殘黨	can4 dong2	
殘花敗柳	can4 fa1 bai6 law5	
殘廢	can4 fay3	
殘局	can4 gok6	
殘骸	can4 hai4	
殘酷	can4 hok6	
殘渣	can4 ja1	
殘疾	can4 jat6	
殘障	can4 jeong3	
殘缺	can4 keud3	
殘缺不全	can4 keud3 bat1 ceun4	
殘留	can4 law4	
殘年	can4 nin4	
殘生	can4 sank1	
殘垣斷壁	can4 wun4 deun6 bek1	
殘忍	can4 yant2	
殘弱	can4 yeog6	
殘餘	can4 yeu4	
殘月	can4 yeud6	
罉	cang1	鍋，平底鍋
撐	cang1	支持，支撐，維護，撐腰
瞠目	cang1 mok6	
瞠目結舌	cang1 mok6 gid3 sid3	
撐船	cang1 seun4	划船
撐艇仔	cang1 teng5 jay2	划船，划小艇
橙	cang2	橙子，柳橙
橙汁	cang2 jap1	橘子汁
橙色	cang2 sek1	桔紅色
瞠	cang3	睜，瞪
瞠大隻眼	cang3 dai6 jeg3 ngan5	瞪大眼睛
瞠唔開眼	cang3 m4 hoi1 ngan5	睜不開眼睛
撐枱腳	cang3 toi2 geog3	兩個人一起吃飯，跟愛人吃飯
棖雞	cang4 gay1	潑野
棖雞婆	cang4 gay1 po2	潑婦
鋥亮	cang6 leong6	
層層包圍	cank4 cank4 bau1 way4	
層層疊疊	cank4 cank4 dib6 dib6	
層次	cank4 ci3	
層出不窮	cank4 cot1 bat1 konk4	
曾經	cank4 genk1	
層樓	cank4 law4	
層巒疊嶂	cank4 leun4 dib6 jeong3	
層面	cank4 min6	
親筆	cant1 bat1	
親筆簽名	cant1 bat1 cim1 menk4	
親筆信	cant1 bat1 sont3	
親戚	cant1 cek1	
親戚到	cant1 cek1 dow3	來月經
親戚巾	cant1 cek1 gant1	衛生巾
親戚關係	cant1 cek1 guan1 hay6	
親情	cant1 cenk4	
親切	cant1 cid3	
親近	cant1 gant6	
親見	cant1 gin3	
親骨肉	cant1 guat1 yok6	
親兄弟明算帳	cant1 henk1 day6 menk4 seun3 jeong3	
親自	cant1 ji6	
親自下廚	cant1 ji6 ha6 ceu4	親手做菜
親臨	cant1 lamp4	
親臨現場	cant1 lamp4 yin6 ceong4	
親歷其境	cant1 lek6 key4 genk2	
親民	cant1 mant4	
親吻	cant1 mant5	
親密	cant1 mat6	
親密關係	cant1 mat6 guan1 hay6	
親昵	cant1 nek1	
親暱	cant1 nek1	
親眼	cant1 ngan5	
親眼所見	cant1 ngan5 so2 gin3	
親愛	cant1 oi3	
親愛的	cant1 oi3 dek1	
親朋好友	cant1 pank4 how2 yaw5	
親生	cant1 sank1	
親生父母	cant1 sank1 fu6 mow5	
親身	cant1 sant1	
親身經歷	cant1 sant1 genk1 lek6	
親善	cant1 sin6	
親屬	cant1 sok6	
親屬關係	cant1 sok6 guan1 hay6	
親信	cant1 sont3	
親和	cant1 wo4	
親和力	cant1 wo4 lek6	
親王	cant1 wong4	
親人	cant1 yant4	
親友	cant1 yaw5	
親如手足	cant1 yeu4 saw2 jok1	
親熱	cant1 yid6	
縝密	cant2 mat6	
襯	cant3	配，合適
趁火打劫	cant3 fo2 da2 gib3	
趁風使艃	cant3 fonk1 say2 ley5	見風使舵，趁熱打鐵
趁機	cant3 gey1	
趁機行事	cant3 gey1 hank4 si6	
趁高興	cant3 gow1 henk3	湊熱鬧
趁墟	cant3 hoy1	趕集
趁墟打市	cant3 hoy1 da2 si5	趕集
趁虛而入	cant3 hoy1 yi4 yap6	
趁早	cant3 jow2	
趁佢病，攞佢命	cant3 koy5 beng6 lo2 koy5 meng6	趁他病取他命，落井下石，打落水狗
襯裏	cant3 ley5	裏子，衣服的內層
襯衫	cant3 sam1	
趁手	cant3 saw2	順手
趁勢	cant3 say3	
襯托	cant3 tog3	
趁人之危	cant3 yant4 ji1 ngay4	
趁熱	cant3 yid6	
趁熱打鐵	cant3 yid6 da2 tid3	
趁熱鬧	cant3 yid6 nau6	湊熱鬧
趁熱食	cant3 yid6 sek6	趁熱吃
塵	cant4	塵土，塵埃，灰塵
塵	cant4	傲慢，囂張，輕浮
陳詞濫調	cant4 ci4 lam6 diu6	
塵封	cant4 fonk1	
陳穀子爛芝麻	cant4 gok1 ji2 lan6 ji1 ma4	
塵囂	cant4 hiu1	
陳腔濫調	cant4 hong1 lam6 diu6	
塵俗	cant4 jok6	
塵埃	cant4 oi1	
塵埃落定	cant4 oi1 log6 denk6	
陳皮	cant4 pey4	舊的
陳皮嘢	cant4 pey4 ye5	舊的東西
陳述	cant4 sot6	
塵土	cant4 tow2	
塵土飛揚	cant4 tow2 fey1 yeong4	
漆	cat1	油漆
七百	cat1 bag3	
七步之才	cat1 bow6 ji1 coi4	
七步奇才	cat1 bow6 key4 coi4	
七步成詩	cat1 bow6 senk4 si1	
七步詩	cat1 bow6 si1	
七七八八	cat1 cat1 bad3 bad3	七八成，八九不離十
七尺之驅	cat1 ceg3 ji1 koy1	
七情六慾	cat1 cenk4 lok6 yok6	
七彩繽紛	cat1 coi2 bant1 fant1	
七重唱	cat1 conk4 ceong3	
七重奏	cat1 conk4 jaw3	
七點	cat1 dim2	
七點鐘	cat1 dim2 jonk1	
七顛八倒	cat1 din1 bad3 dow2	
七葷八素	cat1 fant1 bad3 sow3	
七個字	cat1 go3 ji6	三十五分鍾
七拐八拐	cat1 guai2 bad3 guai2	
七國咁亂	cat1 guog3 gamp3 leun6	亂七八糟，亂成一鍋粥，亂成一團糟
七巧板	cat1 hau2 ban2	
七竅	cat1 hiu3	
七竅冒煙	cat1 hiu3 mow6 yin1	
七竅生煙	cat1 hiu3 sank1 yin1	
七行詩	cat1 hong4 si1	
七孔流血	cat1 honk2 law4 heud3	
七孔生煙	cat1 honk2 sank1 yin1	
七夕	cat1 jek6	
七折八扣	cat1 jid3 bad3 kaw3	
七早八早	cat1 jow2 bad3 jow2	
七嘴八舌	cat1 joy2 bad3 sid3	
七擒七縱	cat1 kamp4 cat1 jonk3	
七級	cat1 kap1	
七零八落	cat1 lenk4 bad3 log6	
七里香	cat1 ley5 heong1	
七老八十	cat1 low5 bad3 sap6	
七扭八歪	cat1 naw2 bad3 wai1	
七年之癢	cat1 nin4 ji1 yeong5	
七年級	cat1 nin4 kap1	
七平八穩	cat1 penk4 bad3 want2	
七十	cat1 sap6	
七十二變	cat1 sap6 yi6 bin3	
七手八腳	cat1 saw2 bad3 geog3	
七橫八豎	cat1 wang4 bad3 seu6	
漆油	cat1 yaw2	油漆
七月	cat1 yeud6	
七月份	cat1 yeud6 fant6	
七言	cat1 yin4	
七言絕句	cat1 yin4 jeud6 goy3	
七言律詩	cat1 yin4 lot6 si1	
七言詩	cat1 yin4 si1	
抄本	cau1 bun2	
抄襲	cau1 jab6	
抄錄	cau1 lok6	
抄唔切	cau1 m4 cid3	來不及抄
抄手	cau1 saw2	
抄寫	cau1 se2	
抄書	cau1 seu1	
鈔胥	cau1 soy1	
炒	cau2	炒魷魚，解雇
炒菜	cau2 coi3	
炒菜鏟	cau2 coi3 can2	
炒蛋	cau2 dan6	
炒飯	cau2 fan6	
炒更	cau2 gang1	加夜班，找份兼職，晚上業餘加班
炒股票	cau2 gu2 piu3	
炒齋河	cau2 jai1 ho2	素炒沙河粉
炒作	cau2 jog3	
炒冷飯	cau2 lang5 fan6	炒剩飯
炒老細魷魚	cau2 low5 say3 yaw4 yeu2	離職，辭職
炒麵	cau2 min6	
吵鬧	cau2 nau6	
炒燶咗	cau2 nonk1 jo2	賣股票虧錢
吵醒	cau2 seng2	
炒熟	cau2 sok6	
炒魷	cau2 yaw2	炒魷魚，解雇
炒魷魚	cau2 yaw4 yeu2	炒魷魚，解雇
炒魷魚	cau2 yaw4 yeu4	
吵耳	cau2 yi5	刺耳
炒熱	cau2 yid6	
抄	cau3	翻，搜，亂翻，搜查
抄櫃桶	cau3 guay6 tonk2	翻抽屜
抄身	cau3 sant1	搜身
巢	cau4	皺
巢孟孟	cau4 mank1 mank1	皺皺的，皺巴巴的
巢咪孟	cau4 mi1 mank1	皺皺的，皺巴巴的，非常皺
巢皮	cau4 pey4	表面皺，皮兒皺，表面起皺紋
巢皮咪孟	cau4 pey4 mi1 mank3	皮膚皺皺的
巢晒皮	cau4 sai3 pey4	皮膚皺皺的
巢穴	cau4 yeud6	
揪	caw1	串，嘟嚕
秋波	caw1 bo1	
秋播	caw1 bo3	
鞦韆	caw1 cin1	
抽搐	caw1 cok1	
秋風	caw1 fonk1	
秋風掃落葉	caw1 fonk1 sow3 log6 yib6	
秋耕	caw1 gang1	
抽筋	caw1 gant1	
秋高氣爽	caw1 gow1 hey3 song2	
秋季	caw1 guay3	
秋海棠	caw1 hoi2 tong4	
秋毫	caw1 how4	
秋毫無犯	caw1 how4 mow4 fan6	
抽象	caw1 jeong6	
秋令	caw1 lenk6	
秋老虎	caw1 low5 fu2	
秋收	caw1 saw1	
秋色	caw1 sek1	
秋色宜人	caw1 sek1 yi4 yant4	
秋水	caw1 soy2	
秋水伊人	caw1 soy2 yi1 yant4	
抽屜	caw1 tay3	
秋天	caw1 tin1	
抽油	caw1 yaw2	醬油
秋雨	caw1 yeu5	
秋意	caw1 yi3	
秋葉	caw1 yib6	
醜	caw2	羞
籌	caw2	號兒，牌兒
醜八怪	caw2 bad3 guai3	
丑旦	caw2 dan3	
丑化	caw2 fa3	
醜化	caw2 fa3	
醜頸	caw2 geng2	脾氣壞
丑角	caw2 gog3	
醜怪	caw2 guai3	醜陋，醜
醜吓佢	caw2 ha5 koy5	羞羞他
綢仔	caw2 jay2	綢緞
丑陋	caw2 law6	
醜陋	caw2 law6	
醜聞	caw2 mant4	
醜惡	caw2 og3	
醜死鬼	caw2 sey2 guay2	羞死人了
丑時	caw2 si4	
醜小鴨	caw2 siu2 ab3	
醜態	caw2 tai3	
丑態	caw2 tai3	
醜態百出	caw2 tai3 bag3 cot1	
醜態畢露	caw2 tai3 bat1 low6	
醜人	caw2 yant4	
醜樣	caw2 yeong4	醜，醜陋
湊	caw3	照顧，照料
臭烹烹	caw3 bank1 bank1	臭臭的，臭烘烘
臭錢	caw3 cin4	
湊大	caw3 dai6	帶大，養大
臭豆腐	caw3 daw6 fu6	
湊合	caw3 hab6	
臭亨亨	caw3 hank1 hank1	臭臭的，臭烘烘
湊仔	caw3 jay2	照顧孩子
湊蹺	caw3 kiu2	碰巧
臭饠	caw3 lo3	焦臭，煳味
臭罵	caw3 ma6	
湊埋	caw3 mai4	湊夠，湊齊
臭美	caw3 mey5	
臭味	caw3 mey6	
湊啱	caw3 ngam1	恰巧，剛好
湊細蚊仔	caw3 say3 mant1 jay2	照料小孩
糗事	caw3 si6	
臭鼬	caw3 yaw6	
臭氧	caw3 yeong5	
籌辦	caw4 ban6	
籌備	caw4 bey6	
囚車	caw4 ce1	
惆悵	caw4 ceong3	
躊躇	caw4 ceu1	
綢緞	caw4 deun6	
囚犯	caw4 fan2	
囚房	caw4 fong4	
籌款	caw4 fun2	
酬金	caw4 gamp1	
籌資	caw4 ji1	
籌略	caw4 leog6	
囚糧	caw4 leong4	
囚籠	caw4 lonk4	
囚牢	caw4 low4	
稠密	caw4 mat6	
綢繆	caw4 maw4	
籌募	caw4 mow6	
囚首垢面	caw4 saw2 gaw3 min6	
泅水	caw4 soy2	
囚徒	caw4 tow4	
籌劃	caw4 wag6	
囚人	caw4 yant4	
囚衣	caw4 yi1	
凄惻	cay1 cak1	
凄慘	cay1 cam2	
妻妾	cay1 cib3	
凄涼	cay1 leong4	可憐
妻離子散	cay1 ley4 ji2 san3	
棲息	cay1 sek1	
棲息處	cay1 sek1 ceu3	
妻兒	cay1 yi4	
妻兒老小	cay1 yi4 low5 siu2	
沏茶	cay3 ca4	
砌圖	cay3 tow4	拼圖
齊全	cay4 ceun4	
齊整	cay4 jenk2	整齊
齊頭數	cay4 taw4 sow3	整數
唓	ce1	呸
車	ce1	縫，縫衣服
車	ce1	車子，車
車程	ce1 cenk4	
車窗	ce1 ceong1	
奢侈	ce1 ci2	
車轍	ce1 cid3	
車前燈	ce1 cin4 dank1	
車速	ce1 cok1	
車大炮	ce1 dai6 pau3	吹牛
車燈	ce1 dank1	
車刀	ce1 dow1	
車道	ce1 dow6	
車隊	ce1 doy6	
車費	ce1 fay3	
車房	ce1 fong2	車庫
車行	ce1 hong2	
車仔	ce1 jay2	洋車，人力車
車軸	ce1 jok6	
車輛	ce1 leong6	
斜喱眼	ce1 ley1 ngan5	斜眼
車厘子	ce1 ley4 ji2	櫻桃
車轆	ce1 lok1	車輪
車輪	ce1 lont4	
車馬費	ce1 ma5 fay3	
車埋去	ce1 mai4 hoy3	開進去
車尾	ce1 mey5	車廂，後車廂，行李廂，後備箱
車尾箱	ce1 mey5 seong1	行李箱
車門	ce1 mun4	
車外	ce1 ngoi6	
車內	ce1 noi6	
車票	ce1 piu3	
車衫	ce1 sam1	縫衣服，砸衣服，縫紉
車身	ce1 sant1	
車廂	ce1 seong1	
車死	ce1 sey2	撞死
車匙	ce1 si4	汽車鑰匙，車鑰匙，車子的鑰匙
車水馬龍	ce1 soy2 ma5 lonk4	
車肽	ce1 tai1	車胎，輪帶
車頭	ce1 taw4	
車頭燈	ce1 taw4 dank1	
車天車地	ce1 tin1 ce1 dey6	吹牛吹得天花亂墜
車禍	ce1 wo6	
扯	ce2	走
扯鼻鼾	ce2 bey6 hon4	打鼾，打呼嚕
扯火	ce2 fo2	發火，生氣，發怒，動怒
扯旗	ce2 key4	昇旗，掛旗
扯艃	ce2 ley5	揚帆
且慢	ce2 man6	
扯晒火	ce2 sai3 fo2	冒火了，發怒，生氣，火冒三丈
且聽下回分解	ce2 tenk1 ha6 wui4 fant1 gai2	
斜	ce3	陡，傾斜
邪不勝正	ce4 bat1 senk3 jenk3	
邪道	ce4 dow6	
邪教	ce4 gau3	
邪行	ce4 hank4	
邪氣	ce4 hey3	
邪路	ce4 low6	
邪魔	ce4 mo1	
邪魔外道	ce4 mo1 ngoi6 dow6	
邪門	ce4 mun4	
邪門歪道	ce4 mun4 wai1 dow6	
邪惡	ce4 ngog3	
邪念	ce4 nim6	
斜坡	ce4 po1	
邪心	ce4 samp1	
check	ceg1	查，檢查，查核，查問，核對，校對
仄	ceg1	支票
check吓	ceg1 ha5	查查，檢查一下
赤	ceg3	痛，疼痛
赤膊	ceg3 bog3	
赤膽	ceg3 dam2	
赤道	ceg3 dow6	
赤腳	ceg3 geog3	
赤腳醫生	ceg3 geog3 yi1 sank1	
赤子	ceg3 ji2	
赤子之心	ceg3 ji2 ji1 samp1	
赤字	ceg3 ji6	
赤足	ceg3 jok1	
赤裸	ceg3 lo2	
赤裸裸	ceg3 lo2 lo2	
赤心	ceg3 samp1	
赤身	ceg3 sant1	
赤身露體	ceg3 sant1 low6 tay2	
赤手	ceg3 saw2	
赤手空拳	ceg3 saw2 honk1 keun4	
赤色	ceg3 sek1	
赤誠	ceg3 senk4	
赤條條	ceg3 tiu4 tiu4	
赤衛隊	ceg3 way6 doy6	
赤衛軍	ceg3 way6 guant1	
彳亍	cek1 cok1	
斥喝	cek1 hod3	
叱喝	cek1 hod3	
叱吒	cek1 ja1	
叱吒風雲	cek1 ja1 fonk1 want4	
叱責	cek1 jag3	
斥責	cek1 jag3	
敕令	cek1 lenk6	
斥罵	cek1 ma6	
敕命	cek1 menk6	
敕授	cek1 saw6	
刺客	cek3 hag3	
刺殺	cek3 sad3	
青瓜	ceng1 gua1	黃瓜
青銅	ceng1 tonk4	
青蛙	ceng1 wa1	
請假	ceng2 ga3	
請問	ceng2 mant6	
請勿打擾	ceng2 mat6 da2 yiu5	
請飲	ceng2 yamp2	请客
請人	ceng2 yant4	雇人
請人飲茶	ceng2 yant4 yamp2 ca4	请人下馆子
請人飲餐茶	ceng2 yant4 yamp2 can1 ca4	请人下馆子
長途	ceng4 tow4	
稱霸	cenk1 ba3	
稱霸全球	cenk1 ba3 ceun4 kaw4	
稱霸世界	cenk1 ba3 say3 gai3	
清白	cenk1 bag6	
稱病	cenk1 benk6	
清茶	cenk1 ca4	
清查	cenk1 ca4	
清冊	cenk1 cag3	
清清白白	cenk1 cenk1 bag6 bag6	
清清楚楚	cenk1 cenk1 co2 co2	
清清爽爽	cenk1 cenk1 song2 song2	
蟶埕	cenk1 cenk4	
清唱	cenk1 ceong3	
清場	cenk1 ceong4	
清澈	cenk1 cid3	
清澈見底	cenk1 cid3 gin3 day2	
清朝	cenk1 ciu4	
清楚	cenk1 co2	
清倉	cenk1 cong1	
清倉大拍賣	cenk1 cong1 dai6 pag3 mai6	
青春	cenk1 cont1	
清出	cenk1 cot1	
青草	cenk1 cow2	
清脆	cenk1 coy3	
清除	cenk1 coy4	
稱得上	cenk1 dak1 seong6	
清單	cenk1 dan1	
清燉	cenk1 dant6	
清燉雞	cenk1 dant6 gay1	
清燉魚	cenk1 dant6 yeu4	
青豆	cenk1 daw6	
清點	cenk1 dim2	
清點人數	cenk1 dim2 yant4 sow3	
清代	cenk1 doi6	
清黨	cenk1 dong2	
清道	cenk1 dow6	
清道夫	cenk1 dow6 fu1	
清福	cenk1 fok1	
清風	cenk1 fonk1	
清風徐來	cenk1 fonk1 coy4 loi4	
稱呼	cenk1 fu1	
清苦	cenk1 fu2	
清教	cenk1 gau3	
清教徒	cenk1 gau3 tow4	
清潔	cenk1 gid3	
清潔隊	cenk1 gid3 doy6	
清潔工	cenk1 gid3 gonk1	
清潔劑	cenk1 gid3 jay1	
清高	cenk1 gow1	
稱孤道寡	cenk1 gu1 dow6 gua2	
清君側	cenk1 guant1 jak1	
清官	cenk1 gun1	
清官難斷家務事	cenk1 gun1 nan4 deun6 ga1 mow6 si6	
清閒	cenk1 han4	
稱兄道弟	cenk1 henk1 dow6 day6	
清香	cenk1 heong1	
清寒	cenk1 hon4	
稱雄	cenk1 honk4	
青蒿	cenk1 how1	
稱號	cenk1 how6	
稱讚	cenk1 jan3	
清真教	cenk1 jant1 gau3	
清真館	cenk1 jant1 gun2	
清真寺	cenk1 jant1 ji6	
清酒	cenk1 jaw2	
清蒸	cenk1 jenk1	
清蒸雞	cenk1 jenk1 gay1	
清蒸魚	cenk1 jenk1 yeu4	
清靜	cenk1 jenk6	
清淨	cenk1 jenk6	
清剿	cenk1 jiu2	
稱頌	cenk1 jonk6	
清早	cenk1 jow2	
清規	cenk1 kuay1	
清規戒律	cenk1 kuay1 gai3 lot6	
清冷	cenk1 lang5	
清麗	cenk1 lay6	
清涼	cenk1 leong4	
清亮	cenk1 leong6	
清理	cenk1 ley5	
清廉	cenk1 lim4	
青睞	cenk1 loi6	
清朗	cenk1 long5	
清明	cenk1 menk4	
清明節	cenk1 menk4 jid3	
清雅	cenk1 nga5	
青年	cenk1 nin4	
青年仔	cenk1 nin4 jay2	小伙子
清貧	cenk1 pant4	
清平	cenk1 penk4	
清平世界	cenk1 penk4 say3 gai3	
清盤	cenk1 pun2	清賬，結賬，結業，結清賬目，結束買賣
清盤	cenk1 pun4	
清心寡慾	cenk1 samp1 gua2 yok6	
清新	cenk1 sant1	
清晨	cenk1 sant4	
清瘦	cenk1 saw3	
清秀	cenk1 saw3	
清秀佳人	cenk1 saw3 gai1 yant4	
清洗	cenk1 say2	
清晰	cenk1 sek1	
清晰度	cenk1 sek1 dow6	
清醒	cenk1 senk2	
清算	cenk1 seun3	
清算鬥爭	cenk1 seun3 daw3 jank1	
清算帳目	cenk1 seun3 jeong3 mok6	
稱羨	cenk1 sin6	
青少年	cenk1 siu3 nin4	
清爽	cenk1 song2	
清純	cenk1 sont4	
清掃	cenk1 sow3	
清水	cenk1 soy2	
清談	cenk1 tam4	
清淡	cenk1 tam5	
蜻蜓	cenk1 tenk4	
清甜	cenk1 tim4	
青苔	cenk1 toi4	
清湯	cenk1 tong1	
清華	cenk1 wa4	
稱為	cenk1 way4	
稱王	cenk1 wong4	
稱王稱霸	cenk1 wong4 cenk1 ba3	
清音	cenk1 yamp1	
清一色	cenk1 yat1 sek1	
清油	cenk1 yaw4	
清夜	cenk1 ye6	
鯖魚	cenk1 yeu4	
拯救	cenk2 gaw3	
逞兇	cenk2 honk1	
請求	cenk2 kaw4	
逞強	cenk2 keong4	
逞能	cenk2 nank4	
逞匹夫之勇	cenk2 pat1 fu1 ji1 yonk5	
逞威	cenk2 way1	
逞一時之快	cenk2 yat1 si4 ji1 fai3	
逞勇	cenk2 yonk5	
掅	cenk3	提，拎，抽起
秤	cenk3	磅秤
掅起	cenk3 hey2	提起，拎起
掅起身	cenk3 hey2 sant1	提起來
稱職	cenk3 jek1	
掅住	cenk3 jeu6	提著
掅住一袋嘢	cenk3 jeu6 yat1 doi6 ye5	提著一袋東西
稱心	cenk3 samp1	
稱心如意	cenk3 samp1 yeu4 yi3	
埕	cenk4	罈子
懲辦	cenk4 ban6	
情不自禁	cenk4 bat1 ji6 gamp1	
情報	cenk4 bow3	
呈報	cenk4 bow3	
情報局	cenk4 bow3 gok6	
情報員	cenk4 bow3 yeun4	
澄清	cenk4 cenk1	
情場	cenk4 ceong4	
懲處	cenk4 ceu5	
情操	cenk4 cow1	
情趣	cenk4 coy3	
情竇初開	cenk4 daw6 co1 hoi1	
情敵	cenk4 dek6	
情調	cenk4 diu6	
程度	cenk4 dow6	
懲罰	cenk4 fat6	
情況	cenk4 fong3	
情夫	cenk4 fu1	
情婦	cenk4 fu5	
懲戒	cenk4 gai3	
情感	cenk4 gamp2	
情急	cenk4 gap1	
情急之下	cenk4 gap1 ji1 ha6	
情急智生	cenk4 gap1 ji3 sank1	
情境	cenk4 genk2	
情景	cenk4 genk2	
情結	cenk4 gid3	
情歌	cenk4 go1	
呈獻	cenk4 hin3	
情至意盡	cenk4 ji3 yi3 jont6	
懲治	cenk4 ji6	
情節	cenk4 jid3	
程序	cenk4 joy6	
情郎	cenk4 long4	
晴朗	cenk4 long5	
情侶	cenk4 loy5	
情面	cenk4 min6	
懲惡勸善	cenk4 og3 heun3 sin6	
情愛	cenk4 oi3	
情勢	cenk4 say3	
情色	cenk4 sek1	
情商	cenk4 seong1	
呈上	cenk4 seong6	
情書	cenk4 seu1	
情詩	cenk4 si1	
情事	cenk4 si6	
情愫	cenk4 sow3	
情緒	cenk4 soy5	
情緒化	cenk4 soy5 fa3	
情投意合	cenk4 taw4 yi3 hab6	
晴天	cenk4 tin1	
情同手足	cenk4 tonk4 saw2 jok1	
情懷	cenk4 wai4	
情人	cenk4 yant4	
情人節	cenk4 yant4 jid3	
情人眼裡出西施	cenk4 yant4 ngan5 loy5 cot1 say1 si1	
懲一儆百	cenk4 yat1 genk2 bag3	
情有獨鍾	cenk4 yaw5 dok6 jonk1	
情形	cenk4 yenk4	
情願	cenk4 yeun2	寧可
情願	cenk4 yeun6	
情意	cenk4 yi3	
情誼	cenk4 yi4	
呈現	cenk4 yin6	
情慾	cenk4 yok6	
灼	ceog3	涮，汆
戳穿	ceog3 ceun1	
戳記	ceog3 gey3	
綽號	ceog3 how6	
卓絕	ceog3 jeud6	
戳破	ceog3 po3	
戳印	ceog3 yant3	
卓越	ceog3 yeud6	
窗	ceong1	窗戶
槍靶	ceong1 ba2	
槍把	ceong1 ba2	
槍斃	ceong1 bay6	
鏘鏘	ceong1 ceong1	
槍彈	ceong1 dan2	
槍擊	ceong1 gek1	
娼妓	ceong1 gey6	
槍桿	ceong1 gon2	
槍管	ceong1 gun2	
槍械	ceong1 hai6	
窗口	ceong1 haw2	窗戶
槍口	ceong1 haw2	
槍戰	ceong1 jin3	
猖獗	ceong1 keud3	
槍決	ceong1 keud3	
窗框	ceong1 kuang1	
猖狂	ceong1 kuong4	
槍林彈雨	ceong1 lamp4 dan2 yeu5	
窗櫺	ceong1 lenk4	
窗簾	ceong1 lim4	
窗幔	ceong1 man6	
槍案	ceong1 on3	
槍炮	ceong1 pau3	
槍炮聲	ceong1 pau3 senk1	
槍殺	ceong1 sad3	
