開放粵語詞典（粵語拼音字數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［粵語拼音］	［國語解釋］
把鬼	ba2 guay2	有什麼用，頂什麼用，白費勁，毫無用處
把兄弟	ba2 henk1 day6	
把戲	ba2 hey3	
把盞	ba2 jan2	
把酒	ba2 jaw2	
罷啦	ba2 la1	吧
把脈	ba2 mak6	診脈，號脈
把炮	ba2 pau3	把握
把屁	ba2 pey3	有屁用，頂個屁用
把屁咩！	ba2 pey3 me1	有個屁用！
把守	ba2 saw2	
把手	ba2 saw2	
把勢	ba2 say3	
把式	ba2 sek1	
把舦	ba2 tai5	掌舵
把玩	ba2 wun6	
霸	ba3	佔
霸道	ba3 dow6	
霸靚位	ba3 leng3 way1	佔好位子
霸掗	ba3 nga6	霸道
霸位	ba3 way2	佔位置，佔位子，佔位
霸王	ba3 wong4	應付錢而不付錢
罷黜	ba6 cot1	
罷工	ba6 gonk1	
罷就	ba6 jaw6	算了，拉倒，罷了，作罷
罷了	ba6 liu5	
罷手	ba6 saw2	
罷休	ba6 yaw1	
八	bad3	八卦的，愛管閒事的
八寶	bad3 bow2	
八寶飯	bad3 bow2 fan6	
八寶粥	bad3 bow2 jok1	
八點	bad3 dim2	
八點鐘	bad3 dim2 jonk1	
八九不離十	bad3 gaw2 bat1 ley4 sap6	
八個字	bad3 go3 ji6	四十分鍾
八角	bad3 gog3	
八角形	bad3 gog3 yenk4	
八股	bad3 gu2	
八股文	bad3 gu2 mant4	
八卦	bad3 gua3	愛管閒事
八卦妹	bad3 gua3 mui1	愛管閒事的女孩
八卦婆	bad3 gua3 po2	三八，饒舌婦
八國聯軍	bad3 guog3 leun4 guant1	
八爪魚	bad3 jau2 yeu4	章魚
八字	bad3 ji6	
八級	bad3 kap1	
八路軍	bad3 low6 guant1	
八面玲瓏	bad3 min6 lenk4 lonk4	
八妹	bad3 mui1	愛管閒事的女孩
八年級	bad3 nin4 kap1	
八婆	bad3 po4	三八，饒舌婦
八十	bad3 sap6	
八成	bad3 senk4	
八仙	bad3 sin1	
八仙過海	bad3 sin1 guo3 hoi2	
八月	bad3 yeud6	
八月份	bad3 yeud6 fant6	
迫不得已	bag1 bat1 dak1 yi5	
迫切	bag1 cid3	
迫近	bag1 gant6	
迫擊炮	bag1 gek1 pau3	
迫害	bag1 hoi6	
迫在眉睫	bag1 joi6 mey4 jid6	
迫使	bag1 si2	
迫於形勢	bag1 yeu1 yenk4 say3	
伯伯	bag3 bag3	
百病	bag3 benk6	
百病叢生	bag3 benk6 conk4 sank1	
百步穿楊	bag3 bow6 ceun1 yeong4	
百般	bag3 bun1	
百讀不厭	bag3 dok6 bat1 yim3	
百花齊放	bag3 fa1 cay4 fong3	
百花爭艷	bag3 fa1 jank1 yim6	
百花怒放	bag3 fa1 now6 fong3	
百發百中	bag3 fad3 bag3 jonk3	
百分點	bag3 fant1 dim2	
百科	bag3 fo1	
百科全書	bag3 fo1 ceun4 seu1	百科全書
百科全書	bag3 fo1 ceun4 seu1	
百貨	bag3 fo3	
百貨店	bag3 fo3 dim3	
百貨公司	bag3 fo3 gonk1 si1	
