开放粤语词典（粤语拼音字数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［粤语拼音］	［国语解释］
插赃	cab3 jong1	栽赃
插苏	cab3 sow1	插座
插苏头	cab3 sow1 taw4	插头
插水	cab3 soy2	跳水
插入	cab3 yap6	
擦	cad3	吃
擦亲	cad3 cant1	擦伤
擦饭	cad3 fan6	吃饭
擦胶	cad3 gau1	橡皮擦
察觉	cad3 gog3	
擦鞋	cad3 hai4	拍马屁
擦纸胶	cad3 ji2 gau1	橡皮擦
擦字胶	cad3 ji6 gau1	橡皮擦
刷牙	cad3 nga4	
擦晒	cad3 sai3	擦掉
擦损	cad3 seun2	擦破
擦嘢	cad3 ye5	吃东西
察言观色	cad3 yin4 gun1 sek1	
坼	cag3	裂开，破裂，皲
拆穿	cag3 ceun1	
拆除	cag3 coy4	
策动	cag3 donk6	
拆开	cag3 hoi1	
栅栏	cag3 lan4	
策略	cag3 leog6	
策马	cag3 ma5	
拆棚架	cag3 pang4 ga2	拆卸脚手架
拆棚做过	cag3 pang4 jow6 guo3	从零开始，从头做起，重新打鼓另开张
拆卸	cag3 se3	
策划	cag3 wag6	
策划者	cag3 wag6 je2	
策划人	cag3 wag6 yant4	
贼	cag6	小偷
贼窦	cag6 daw3	贼巢
贼公	cag6 gonk1	强盗
贼仔	cag6 jay2	小偷
贼佬	cag6 low2	贼，强盗，小偷
差馆	cai1 gun2	警察局
差佬	cai1 low2	警察
差旅费	cai1 loy5 fay3	
猜谜	cai1 may4	
差婆	cai1 po4	女警察
差人	cai1 yant4	警察
踩踏	cai2 dab6	
踩单车	cai2 dan1 ce1	骑自行车，骑脚踏车
踩低	cai2 day1	搞垮，挤垮
踩低人哋，抬高自己	cai2 day1 yant4 dey2 toi4 gow1 ji6 gey2	压低别人，抬高自己；打击别人，抬高自己
踹门	cai2 mun4	
踩雪屐	cai2 seud3 keg6	溜冰，溜旱冰，滚轴溜冰
踹一脚	cai2 yat1 geog3	
柴	cai4	柴火，木柴，劈柴
侪辈	cai4 bui3	
豺狼	cai4 long4	
柴油	cai4 yaw4	
测量	cak1 leong4	
测试	cak1 si3	
恻隐	cak1 yant2	
测验	cak1 yim6	
参拜	cam1 bai3	
参赛	cam1 coi3	
参赛者	cam1 coi3 je2	
搀扶	cam1 fu4	
参加	cam1 ga1	
参加	cam1 ga1	
参见	cam1 gin3	
参军	cam1 guant1	
参观	cam1 gun1	
参观者	cam1 gun1 je2	
参观团体	cam1 gun1 teun4 tay2	
参考	cam1 hau2	
参考价值	cam1 hau2 ga3 jek6	
参考文献	cam1 hau2 mant4 hin3	
参考室	cam1 hau2 sat1	
参考手册	cam1 hau2 saw2 cag3	
参考书	cam1 hau2 seu1	
参考书目	cam1 hau2 seu1 mok6	
参看	cam1 hon3	
参赞	cam1 jan3	
参政	cam1 jenk3	
参政权	cam1 jenk3 keun4	
参战	cam1 jin3	
参照	cam1 jiu3	
参谋长	cam1 maw4 jeong2	
参谋总部	cam1 maw4 jonk2 bow6	
参谋总长	cam1 maw4 jonk2 jeong2	
参选	cam1 seun2	
参数	cam1 sow3	
参天	cam1 tin1	
掺和	cam1 wo4	
参与	cam1 yeu6	
参与感	cam1 yeu6 gamp2	
参与者	cam1 yeu6 je2	
参阅	cam1 yeud6	
参议	cam1 yi5	
参议员	cam1 yi5 yeun4	
参议院	cam1 yi5 yeun6	
篸	cam2	箕
篸	cam2	簸箕，泥箕
惨白	cam2 bag6	
惨败	cam2 bai6	
惨不忍睹	cam2 bat1 yant2 dow2	
惨变	cam2 bin3	
惨跌	cam2 did3	
惨苦	cam2 fu2	
惨境	cam2 genk2	
惨叫	cam2 giu3	
惨兮兮	cam2 hay4 hay4	
惨酷	cam2 hok6	
惨绝人寰	cam2 jeud6 yant4 wan4	
惨状	cam2 jong6	
惨重	cam2 jonk6	
惨遭	cam2 jow1	
惨遭毒害	cam2 jow1 dok6 hoi6	
惨遭毒手	cam2 jow1 dok6 saw2	
惨遭杀害	cam2 jow1 sad3 hoi6	
惨遭横祸	cam2 jow1 wang6 wo6	
惨剧	cam2 keg6	
惨历	cam2 lek6	
惨烈	cam2 lid6	
惨无人道	cam2 mow4 yant4 dow6	
惨案	cam2 on3	
惨相	cam2 seong3	
惨死	cam2 sey2	
惨痛	cam2 tonk3	
惨祸	cam2 wo6	
惨然	cam2 yin4	
忏悔	cam3 fui3	
杉木	cam3 mok6	
蚕春	cam4 cont1	蚕卵
蚕豆	cam4 daw6	
蚕茧	cam4 gan2	
谗害	cam4 hoi6	
馋嘴	cam4 joy2	
惭愧	cam4 kuay5	
蚕食	cam4 sek6	
蚕食鲸吞	cam4 sek6 kenk4 tant1	
蚕丝	cam4 si1	
谗言	cam4 yin4	
馋涎欲滴	cam4 yin4 yok6 dek1	
蚕蛹	cam4 yonk2	
参差不齐	camp1 ci1 bat1 cay4	
侵夺	camp1 deud6	
侵犯	camp1 fan6	
侵害	camp1 hoi6	
侵袭	camp1 jab6	
侵占	camp1 jim3	
侵早	camp1 jow2	清早，清晨
侵权	camp1 keun4	
侵略	camp1 leog6	
侵略国	camp1 leog6 guog3	
侵略者	camp1 leog6 je2	
侵略战争	camp1 leog6 jin3 jank1	
侵略性	camp1 leog6 senk3	
侵蚀	camp1 sek6	
侵入	camp1 yap6	
侵入体	camp1 yap6 tay2	
侵越	camp1 yeud6	
侵扰	camp1 yiu2	
寝室	camp2 sat1	
谮	camp3	罗嗦，囉唆，唠叨
谮气	camp3 hey3	罗嗦，囉唆，唠叨
谮赵	camp3 jiu6	罗嗦，囉唆，唠叨
谮醉	camp3 joy3	罗嗦，囉唆，唠叨
谶言	camp3 yin4	
寻寻觅觅	camp4 camp4 mek6 mek6	
寻亲	camp4 cant1	
沉重	camp4 conk5	
沉淀	camp4 din6	
寻访	camp4 fong2	
寻欢	camp4 fun1	
寻欢作乐	camp4 fun1 jog3 log6	
寻根	camp4 gant1	
寻香	camp4 heong1	
寻开心	camp4 hoi1 samp1	
寻找	camp4 jau2	
沉滓	camp4 ji2	
寻求	camp4 kaw4	
寻乐	camp4 log6	
沉沦	camp4 lont4	
荨麻疹	camp4 ma4 jant2	
沉默	camp4 mak6	
寻问	camp4 mant6	
沉迷	camp4 may4	
寻觅	camp4 mek6	
寻梦	camp4 monk6	
沉没	camp4 mud6	
寻常	camp4 seong4	
寻死	camp4 sey2	
寻思	camp4 si1	
寻获	camp4 wog6	
寻人	camp4 yant4	
寻人启事	camp4 yant4 kay2 si6	
寻日	camp4 yat6	昨天
鲟鱼	camp4 yeu4	
餐车	can1 ce1	
餐点	can1 dim2	
餐费	can1 fay3	
餐巾	can1 gant1	
餐券	can1 geun3	
餐具	can1 goy6	
餐馆	can1 gun2	
餐盒	can1 hab6	
餐荐	can1 jin2	垫布，餐具垫
餐牌	can1 pai2	菜单
餐厅	can1 teng1	
餐饮	can1 yamp2	
餐饮业	can1 yamp2 yib6	
剷	can2	推剪，剃
产品	can2 bant2	
剷青	can2 ceng1	两边推光的发型
产前	can2 cin4	
产前检查	can2 cin4 gim2 ca4	
产床	can2 cong4	
产科	can2 fo1	
产科医生	can2 fo1 yi1 sank1	
产房	can2 fong4	
产妇	can2 fu5	
产假	can2 ga3	
剷光头	can2 guong1 taw4	剃光头，推光头
产后	can2 haw6	
产后检查	can2 haw6 gim2 ca4	
产值	can2 jek6	
产权	can2 keun4	
产物	can2 mat6	
产婆	can2 po4	
产生	can2 sank1	
铲土	can2 tow2	
产业	can2 yib6	
产业界	can2 yib6 gai3	
灿仔	can3 jay2	新从内地来香港带土气的青年
灿烂	can3 lan6	
灿妹	can3 mui1	新从内地来香港带土气的姑娘
残兵败将	can4 benk1 bai6 jeong3	
残党	can4 dong2	
残花败柳	can4 fa1 bai6 law5	
残废	can4 fay3	
残局	can4 gok6	
残骸	can4 hai4	
残酷	can4 hok6	
残渣	can4 ja1	
残疾	can4 jat6	
残障	can4 jeong3	
残缺	can4 keud3	
残缺不全	can4 keud3 bat1 ceun4	
残留	can4 law4	
残年	can4 nin4	
残生	can4 sank1	
残垣断壁	can4 wun4 deun6 bek1	
残忍	can4 yant2	
残弱	can4 yeog6	
残余	can4 yeu4	
残月	can4 yeud6	
罉	cang1	锅，平底锅
撑	cang1	支持，支撑，维护，撑腰
瞠目	cang1 mok6	
瞠目结舌	cang1 mok6 gid3 sid3	
撑船	cang1 seun4	划船
撑艇仔	cang1 teng5 jay2	划船，划小艇
橙	cang2	橙子，柳橙
橙汁	cang2 jap1	橘子汁
橙色	cang2 sek1	桔红色
瞠	cang3	睁，瞪
瞠大只眼	cang3 dai6 jeg3 ngan5	瞪大眼睛
瞠唔开眼	cang3 m4 hoi1 ngan5	睁不开眼睛
撑台脚	cang3 toi2 geog3	两个人一起吃饭，跟爱人吃饭
枨鸡	cang4 gay1	泼野
枨鸡婆	cang4 gay1 po2	泼妇
锃亮	cang6 leong6	
层层包围	cank4 cank4 bau1 way4	
层层叠叠	cank4 cank4 dib6 dib6	
层次	cank4 ci3	
层出不穷	cank4 cot1 bat1 konk4	
曾经	cank4 genk1	
层楼	cank4 law4	
层峦叠嶂	cank4 leun4 dib6 jeong3	
层面	cank4 min6	
亲笔	cant1 bat1	
亲笔签名	cant1 bat1 cim1 menk4	
亲笔信	cant1 bat1 sont3	
亲戚	cant1 cek1	
亲戚到	cant1 cek1 dow3	来月经
亲戚巾	cant1 cek1 gant1	卫生巾
亲戚关系	cant1 cek1 guan1 hay6	
亲情	cant1 cenk4	
亲切	cant1 cid3	
亲近	cant1 gant6	
亲见	cant1 gin3	
亲骨肉	cant1 guat1 yok6	
亲兄弟明算帐	cant1 henk1 day6 menk4 seun3 jeong3	
亲自	cant1 ji6	
亲自下厨	cant1 ji6 ha6 ceu4	亲手做菜
亲临	cant1 lamp4	
亲临现场	cant1 lamp4 yin6 ceong4	
亲历其境	cant1 lek6 key4 genk2	
亲民	cant1 mant4	
亲吻	cant1 mant5	
亲密	cant1 mat6	
亲密关系	cant1 mat6 guan1 hay6	
亲昵	cant1 nek1	
亲昵	cant1 nek1	
亲眼	cant1 ngan5	
亲眼所见	cant1 ngan5 so2 gin3	
亲爱	cant1 oi3	
亲爱的	cant1 oi3 dek1	
亲朋好友	cant1 pank4 how2 yaw5	
亲生	cant1 sank1	
亲生父母	cant1 sank1 fu6 mow5	
亲身	cant1 sant1	
亲身经历	cant1 sant1 genk1 lek6	
亲善	cant1 sin6	
亲属	cant1 sok6	
亲属关系	cant1 sok6 guan1 hay6	
亲信	cant1 sont3	
亲和	cant1 wo4	
亲和力	cant1 wo4 lek6	
亲王	cant1 wong4	
亲人	cant1 yant4	
亲友	cant1 yaw5	
亲如手足	cant1 yeu4 saw2 jok1	
亲热	cant1 yid6	
缜密	cant2 mat6	
衬	cant3	配，合适
趁火打劫	cant3 fo2 da2 gib3	
趁风使艃	cant3 fonk1 say2 ley5	见风使舵，趁热打铁
趁机	cant3 gey1	
趁机行事	cant3 gey1 hank4 si6	
趁高兴	cant3 gow1 henk3	凑热闹
趁墟	cant3 hoy1	赶集
趁墟打市	cant3 hoy1 da2 si5	赶集
趁虚而入	cant3 hoy1 yi4 yap6	
趁早	cant3 jow2	
趁佢病，攞佢命	cant3 koy5 beng6 lo2 koy5 meng6	趁他病取他命，落井下石，打落水狗
衬里	cant3 ley5	里子，衣服的内层
衬衫	cant3 sam1	
趁手	cant3 saw2	顺手
趁势	cant3 say3	
衬托	cant3 tog3	
趁人之危	cant3 yant4 ji1 ngay4	
趁热	cant3 yid6	
趁热打铁	cant3 yid6 da2 tid3	
趁热闹	cant3 yid6 nau6	凑热闹
趁热食	cant3 yid6 sek6	趁热吃
尘	cant4	尘土，尘埃，灰尘
尘	cant4	傲慢，嚣张，轻浮
陈词滥调	cant4 ci4 lam6 diu6	
尘封	cant4 fonk1	
陈谷子烂芝麻	cant4 gok1 ji2 lan6 ji1 ma4	
尘嚣	cant4 hiu1	
陈腔滥调	cant4 hong1 lam6 diu6	
尘俗	cant4 jok6	
尘埃	cant4 oi1	
尘埃落定	cant4 oi1 log6 denk6	
陈皮	cant4 pey4	旧的
陈皮嘢	cant4 pey4 ye5	旧的东西
陈述	cant4 sot6	
尘土	cant4 tow2	
尘土飞扬	cant4 tow2 fey1 yeong4	
漆	cat1	油漆
七百	cat1 bag3	
七步之才	cat1 bow6 ji1 coi4	
七步奇才	cat1 bow6 key4 coi4	
七步成诗	cat1 bow6 senk4 si1	
七步诗	cat1 bow6 si1	
七七八八	cat1 cat1 bad3 bad3	七八成，八九不离十
七尺之驱	cat1 ceg3 ji1 koy1	
七情六欲	cat1 cenk4 lok6 yok6	
七彩缤纷	cat1 coi2 bant1 fant1	
七重唱	cat1 conk4 ceong3	
七重奏	cat1 conk4 jaw3	
七点	cat1 dim2	
七点钟	cat1 dim2 jonk1	
七颠八倒	cat1 din1 bad3 dow2	
七荤八素	cat1 fant1 bad3 sow3	
七个字	cat1 go3 ji6	三十五分钟
七拐八拐	cat1 guai2 bad3 guai2	
七国咁乱	cat1 guog3 gamp3 leun6	乱七八糟，乱成一锅粥，乱成一团糟
七巧板	cat1 hau2 ban2	
七窍	cat1 hiu3	
七窍冒烟	cat1 hiu3 mow6 yin1	
七窍生烟	cat1 hiu3 sank1 yin1	
七行诗	cat1 hong4 si1	
七孔流血	cat1 honk2 law4 heud3	
七孔生烟	cat1 honk2 sank1 yin1	
七夕	cat1 jek6	
七折八扣	cat1 jid3 bad3 kaw3	
七早八早	cat1 jow2 bad3 jow2	
七嘴八舌	cat1 joy2 bad3 sid3	
七擒七纵	cat1 kamp4 cat1 jonk3	
七级	cat1 kap1	
七零八落	cat1 lenk4 bad3 log6	
七里香	cat1 ley5 heong1	
七老八十	cat1 low5 bad3 sap6	
七扭八歪	cat1 naw2 bad3 wai1	
七年之痒	cat1 nin4 ji1 yeong5	
七年级	cat1 nin4 kap1	
七平八稳	cat1 penk4 bad3 want2	
七十	cat1 sap6	
七十二变	cat1 sap6 yi6 bin3	
七手八脚	cat1 saw2 bad3 geog3	
七横八竖	cat1 wang4 bad3 seu6	
漆油	cat1 yaw2	油漆
七月	cat1 yeud6	
七月份	cat1 yeud6 fant6	
七言	cat1 yin4	
七言绝句	cat1 yin4 jeud6 goy3	
七言律诗	cat1 yin4 lot6 si1	
七言诗	cat1 yin4 si1	
抄本	cau1 bun2	
抄袭	cau1 jab6	
抄录	cau1 lok6	
抄唔切	cau1 m4 cid3	来不及抄
抄手	cau1 saw2	
抄写	cau1 se2	
抄书	cau1 seu1	
钞胥	cau1 soy1	
炒	cau2	炒鱿鱼，解雇
炒菜	cau2 coi3	
炒菜铲	cau2 coi3 can2	
炒蛋	cau2 dan6	
炒饭	cau2 fan6	
炒更	cau2 gang1	加夜班，找份兼职，晚上业余加班
炒股票	cau2 gu2 piu3	
炒斋河	cau2 jai1 ho2	素炒沙河粉
炒作	cau2 jog3	
炒冷饭	cau2 lang5 fan6	炒剩饭
炒老细鱿鱼	cau2 low5 say3 yaw4 yeu2	离职，辞职
炒面	cau2 min6	
吵闹	cau2 nau6	
炒燶咗	cau2 nonk1 jo2	卖股票亏钱
吵醒	cau2 seng2	
炒熟	cau2 sok6	
炒鱿	cau2 yaw2	炒鱿鱼，解雇
炒鱿鱼	cau2 yaw4 yeu2	炒鱿鱼，解雇
炒鱿鱼	cau2 yaw4 yeu4	
吵耳	cau2 yi5	刺耳
炒热	cau2 yid6	
抄	cau3	翻，搜，乱翻，搜查
抄柜桶	cau3 guay6 tonk2	翻抽屉
抄身	cau3 sant1	搜身
巢	cau4	皱
巢孟孟	cau4 mank1 mank1	皱皱的，皱巴巴的
巢咪孟	cau4 mi1 mank1	皱皱的，皱巴巴的，非常皱
巢皮	cau4 pey4	表面皱，皮儿皱，表面起皱纹
巢皮咪孟	cau4 pey4 mi1 mank3	皮肤皱皱的
巢晒皮	cau4 sai3 pey4	皮肤皱皱的
巢穴	cau4 yeud6	
揪	caw1	串，嘟噜
秋波	caw1 bo1	
秋播	caw1 bo3	
鞦韆	caw1 cin1	
抽搐	caw1 cok1	
秋风	caw1 fonk1	
秋风扫落叶	caw1 fonk1 sow3 log6 yib6	
秋耕	caw1 gang1	
抽筋	caw1 gant1	
秋高气爽	caw1 gow1 hey3 song2	
秋季	caw1 guay3	
秋海棠	caw1 hoi2 tong4	
秋毫	caw1 how4	
秋毫无犯	caw1 how4 mow4 fan6	
抽象	caw1 jeong6	
秋令	caw1 lenk6	
秋老虎	caw1 low5 fu2	
秋收	caw1 saw1	
秋色	caw1 sek1	
秋色宜人	caw1 sek1 yi4 yant4	
秋水	caw1 soy2	
秋水伊人	caw1 soy2 yi1 yant4	
抽屉	caw1 tay3	
秋天	caw1 tin1	
抽油	caw1 yaw2	酱油
秋雨	caw1 yeu5	
秋意	caw1 yi3	
秋叶	caw1 yib6	
丑	caw2	羞
筹	caw2	号儿，牌儿
丑八怪	caw2 bad3 guai3	
丑旦	caw2 dan3	
丑化	caw2 fa3	
丑化	caw2 fa3	
丑颈	caw2 geng2	脾气坏
丑角	caw2 gog3	
丑怪	caw2 guai3	丑陋，丑
丑吓佢	caw2 ha5 koy5	羞羞他
绸仔	caw2 jay2	绸缎
丑陋	caw2 law6	
丑陋	caw2 law6	
丑闻	caw2 mant4	
丑恶	caw2 og3	
丑死鬼	caw2 sey2 guay2	羞死人了
丑时	caw2 si4	
丑小鸭	caw2 siu2 ab3	
丑态	caw2 tai3	
丑态	caw2 tai3	
丑态百出	caw2 tai3 bag3 cot1	
丑态毕露	caw2 tai3 bat1 low6	
丑人	caw2 yant4	
丑样	caw2 yeong4	丑，丑陋
凑	caw3	照顾，照料
臭烹烹	caw3 bank1 bank1	臭臭的，臭烘烘
臭钱	caw3 cin4	
凑大	caw3 dai6	带大，养大
臭豆腐	caw3 daw6 fu6	
凑合	caw3 hab6	
臭亨亨	caw3 hank1 hank1	臭臭的，臭烘烘
凑仔	caw3 jay2	照顾孩子
凑跷	caw3 kiu2	碰巧
臭饠	caw3 lo3	焦臭，煳味
臭骂	caw3 ma6	
凑埋	caw3 mai4	凑够，凑齐
臭美	caw3 mey5	
臭味	caw3 mey6	
凑啱	caw3 ngam1	恰巧，刚好
凑细蚊仔	caw3 say3 mant1 jay2	照料小孩
糗事	caw3 si6	
臭鼬	caw3 yaw6	
臭氧	caw3 yeong5	
筹办	caw4 ban6	
筹备	caw4 bey6	
囚车	caw4 ce1	
惆怅	caw4 ceong3	
踌躇	caw4 ceu1	
绸缎	caw4 deun6	
囚犯	caw4 fan2	
囚房	caw4 fong4	
筹款	caw4 fun2	
酬金	caw4 gamp1	
筹资	caw4 ji1	
筹略	caw4 leog6	
囚粮	caw4 leong4	
囚笼	caw4 lonk4	
囚牢	caw4 low4	
稠密	caw4 mat6	
绸缪	caw4 maw4	
筹募	caw4 mow6	
囚首垢面	caw4 saw2 gaw3 min6	
泅水	caw4 soy2	
囚徒	caw4 tow4	
筹划	caw4 wag6	
囚人	caw4 yant4	
囚衣	caw4 yi1	
凄恻	cay1 cak1	
凄惨	cay1 cam2	
妻妾	cay1 cib3	
凄凉	cay1 leong4	可怜
妻离子散	cay1 ley4 ji2 san3	
栖息	cay1 sek1	
栖息处	cay1 sek1 ceu3	
妻儿	cay1 yi4	
妻儿老小	cay1 yi4 low5 siu2	
沏茶	cay3 ca4	
砌图	cay3 tow4	拼图
齐全	cay4 ceun4	
齐整	cay4 jenk2	整齐
齐头数	cay4 taw4 sow3	整数
唓	ce1	呸
车	ce1	缝，缝衣服
车	ce1	车子，车
车程	ce1 cenk4	
车窗	ce1 ceong1	
奢侈	ce1 ci2	
车辙	ce1 cid3	
车前灯	ce1 cin4 dank1	
车速	ce1 cok1	
车大炮	ce1 dai6 pau3	吹牛
车灯	ce1 dank1	
车刀	ce1 dow1	
车道	ce1 dow6	
车队	ce1 doy6	
车费	ce1 fay3	
车房	ce1 fong2	车库
车行	ce1 hong2	
车仔	ce1 jay2	洋车，人力车
车轴	ce1 jok6	
车辆	ce1 leong6	
斜喱眼	ce1 ley1 ngan5	斜眼
车厘子	ce1 ley4 ji2	樱桃
车辘	ce1 lok1	车轮
车轮	ce1 lont4	
车马费	ce1 ma5 fay3	
车埋去	ce1 mai4 hoy3	开进去
车尾	ce1 mey5	车厢，后车厢，行李厢，后备箱
车尾箱	ce1 mey5 seong1	行李箱
车门	ce1 mun4	
车外	ce1 ngoi6	
车内	ce1 noi6	
车票	ce1 piu3	
车衫	ce1 sam1	缝衣服，砸衣服，缝纫
车身	ce1 sant1	
车厢	ce1 seong1	
车死	ce1 sey2	撞死
车匙	ce1 si4	汽车钥匙，车钥匙，车子的钥匙
车水马龙	ce1 soy2 ma5 lonk4	
车肽	ce1 tai1	车胎，轮带
车头	ce1 taw4	
车头灯	ce1 taw4 dank1	
车天车地	ce1 tin1 ce1 dey6	吹牛吹得天花乱坠
车祸	ce1 wo6	
扯	ce2	走
扯鼻鼾	ce2 bey6 hon4	打鼾，打呼噜
扯火	ce2 fo2	发火，生气，发怒，动怒
扯旗	ce2 key4	升旗，挂旗
扯艃	ce2 ley5	扬帆
且慢	ce2 man6	
扯晒火	ce2 sai3 fo2	冒火了，发怒，生气，火冒三丈
且听下回分解	ce2 tenk1 ha6 wui4 fant1 gai2	
斜	ce3	陡，倾斜
邪不胜正	ce4 bat1 senk3 jenk3	
邪道	ce4 dow6	
邪教	ce4 gau3	
邪行	ce4 hank4	
邪气	ce4 hey3	
邪路	ce4 low6	
邪魔	ce4 mo1	
邪魔外道	ce4 mo1 ngoi6 dow6	
邪门	ce4 mun4	
邪门歪道	ce4 mun4 wai1 dow6	
邪恶	ce4 ngog3	
邪念	ce4 nim6	
斜坡	ce4 po1	
邪心	ce4 samp1	
check	ceg1	查，检查，查核，查问，核对，校对
仄	ceg1	支票
check吓	ceg1 ha5	查查，检查一下
赤	ceg3	痛，疼痛
赤膊	ceg3 bog3	
赤胆	ceg3 dam2	
赤道	ceg3 dow6	
赤脚	ceg3 geog3	
赤脚医生	ceg3 geog3 yi1 sank1	
赤子	ceg3 ji2	
赤子之心	ceg3 ji2 ji1 samp1	
赤字	ceg3 ji6	
赤足	ceg3 jok1	
赤裸	ceg3 lo2	
赤裸裸	ceg3 lo2 lo2	
赤心	ceg3 samp1	
赤身	ceg3 sant1	
赤身露体	ceg3 sant1 low6 tay2	
赤手	ceg3 saw2	
赤手空拳	ceg3 saw2 honk1 keun4	
赤色	ceg3 sek1	
赤诚	ceg3 senk4	
赤条条	ceg3 tiu4 tiu4	
赤卫队	ceg3 way6 doy6	
赤卫军	ceg3 way6 guant1	
彳亍	cek1 cok1	
斥喝	cek1 hod3	
叱喝	cek1 hod3	
叱咤	cek1 ja1	
叱咤风云	cek1 ja1 fonk1 want4	
叱责	cek1 jag3	
斥责	cek1 jag3	
敕令	cek1 lenk6	
斥骂	cek1 ma6	
敕命	cek1 menk6	
敕授	cek1 saw6	
刺客	cek3 hag3	
刺杀	cek3 sad3	
青瓜	ceng1 gua1	黄瓜
青铜	ceng1 tonk4	
青蛙	ceng1 wa1	
请假	ceng2 ga3	
请问	ceng2 mant6	
请勿打扰	ceng2 mat6 da2 yiu5	
请饮	ceng2 yamp2	请客
请人	ceng2 yant4	雇人
请人饮茶	ceng2 yant4 yamp2 ca4	请人下馆子
请人饮餐茶	ceng2 yant4 yamp2 can1 ca4	请人下馆子
长途	ceng4 tow4	
称霸	cenk1 ba3	
称霸全球	cenk1 ba3 ceun4 kaw4	
称霸世界	cenk1 ba3 say3 gai3	
清白	cenk1 bag6	
称病	cenk1 benk6	
清茶	cenk1 ca4	
清查	cenk1 ca4	
清册	cenk1 cag3	
清清白白	cenk1 cenk1 bag6 bag6	
清清楚楚	cenk1 cenk1 co2 co2	
清清爽爽	cenk1 cenk1 song2 song2	
蛏埕	cenk1 cenk4	
清唱	cenk1 ceong3	
清场	cenk1 ceong4	
清澈	cenk1 cid3	
清澈见底	cenk1 cid3 gin3 day2	
清朝	cenk1 ciu4	
清楚	cenk1 co2	
清仓	cenk1 cong1	
清仓大拍卖	cenk1 cong1 dai6 pag3 mai6	
青春	cenk1 cont1	
清出	cenk1 cot1	
青草	cenk1 cow2	
清脆	cenk1 coy3	
清除	cenk1 coy4	
称得上	cenk1 dak1 seong6	
清单	cenk1 dan1	
清炖	cenk1 dant6	
清炖鸡	cenk1 dant6 gay1	
清炖鱼	cenk1 dant6 yeu4	
青豆	cenk1 daw6	
清点	cenk1 dim2	
清点人数	cenk1 dim2 yant4 sow3	
清代	cenk1 doi6	
清党	cenk1 dong2	
清道	cenk1 dow6	
清道夫	cenk1 dow6 fu1	
清福	cenk1 fok1	
清风	cenk1 fonk1	
清风徐来	cenk1 fonk1 coy4 loi4	
称呼	cenk1 fu1	
清苦	cenk1 fu2	
清教	cenk1 gau3	
清教徒	cenk1 gau3 tow4	
清洁	cenk1 gid3	
清洁队	cenk1 gid3 doy6	
清洁工	cenk1 gid3 gonk1	
清洁剂	cenk1 gid3 jay1	
清高	cenk1 gow1	
称孤道寡	cenk1 gu1 dow6 gua2	
清君侧	cenk1 guant1 jak1	
清官	cenk1 gun1	
清官难断家务事	cenk1 gun1 nan4 deun6 ga1 mow6 si6	
清闲	cenk1 han4	
称兄道弟	cenk1 henk1 dow6 day6	
清香	cenk1 heong1	
清寒	cenk1 hon4	
称雄	cenk1 honk4	
青蒿	cenk1 how1	
称号	cenk1 how6	
称赞	cenk1 jan3	
清真教	cenk1 jant1 gau3	
清真馆	cenk1 jant1 gun2	
清真寺	cenk1 jant1 ji6	
清酒	cenk1 jaw2	
清蒸	cenk1 jenk1	
清蒸鸡	cenk1 jenk1 gay1	
清蒸鱼	cenk1 jenk1 yeu4	
清静	cenk1 jenk6	
清净	cenk1 jenk6	
清剿	cenk1 jiu2	
称颂	cenk1 jonk6	
清早	cenk1 jow2	
清规	cenk1 kuay1	
清规戒律	cenk1 kuay1 gai3 lot6	
清冷	cenk1 lang5	
清丽	cenk1 lay6	
清凉	cenk1 leong4	
清亮	cenk1 leong6	
清理	cenk1 ley5	
清廉	cenk1 lim4	
青睐	cenk1 loi6	
清朗	cenk1 long5	
清明	cenk1 menk4	
清明节	cenk1 menk4 jid3	
清雅	cenk1 nga5	
青年	cenk1 nin4	
青年仔	cenk1 nin4 jay2	小伙子
清贫	cenk1 pant4	
清平	cenk1 penk4	
清平世界	cenk1 penk4 say3 gai3	
清盘	cenk1 pun2	清账，结账，结业，结清账目，结束买卖
清盘	cenk1 pun4	
清心寡欲	cenk1 samp1 gua2 yok6	
清新	cenk1 sant1	
清晨	cenk1 sant4	
清瘦	cenk1 saw3	
清秀	cenk1 saw3	
清秀佳人	cenk1 saw3 gai1 yant4	
清洗	cenk1 say2	
清晰	cenk1 sek1	
清晰度	cenk1 sek1 dow6	
清醒	cenk1 senk2	
清算	cenk1 seun3	
清算斗争	cenk1 seun3 daw3 jank1	
清算帐目	cenk1 seun3 jeong3 mok6	
称羡	cenk1 sin6	
青少年	cenk1 siu3 nin4	
清爽	cenk1 song2	
清纯	cenk1 sont4	
清扫	cenk1 sow3	
清水	cenk1 soy2	
清谈	cenk1 tam4	
清淡	cenk1 tam5	
蜻蜓	cenk1 tenk4	
清甜	cenk1 tim4	
青苔	cenk1 toi4	
清汤	cenk1 tong1	
清华	cenk1 wa4	
称为	cenk1 way4	
称王	cenk1 wong4	
称王称霸	cenk1 wong4 cenk1 ba3	
清音	cenk1 yamp1	
清一色	cenk1 yat1 sek1	
清油	cenk1 yaw4	
清夜	cenk1 ye6	
鲭鱼	cenk1 yeu4	
拯救	cenk2 gaw3	
