开放粤语词典（粤语拼音字数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［粤语拼音］	［国语解释］
罢啦	ba2 la1	吧
把脉	ba2 mak6	诊脉，号脉
把炮	ba2 pau3	把握
把屁	ba2 pey3	有屁用，顶个屁用
把屁咩！	ba2 pey3 me1	有个屁用！
把守	ba2 saw2	
把手	ba2 saw2	
把势	ba2 say3	
把式	ba2 sek1	
把舦	ba2 tai5	掌舵
把玩	ba2 wun6	
霸	ba3	占
霸道	ba3 dow6	
霸靓位	ba3 leng3 way1	占好位子
霸挜	ba3 nga6	霸道
霸位	ba3 way2	占位置，占位子，占位
霸王	ba3 wong4	应付钱而不付钱
罢黜	ba6 cot1	
罢工	ba6 gonk1	
罢就	ba6 jaw6	算了，拉倒，罢了，作罢
罢了	ba6 liu5	
罢手	ba6 saw2	
罢休	ba6 yaw1	
八	bad3	八卦的，爱管闲事的
八宝	bad3 bow2	
八宝饭	bad3 bow2 fan6	
八宝粥	bad3 bow2 jok1	
八点	bad3 dim2	
八点钟	bad3 dim2 jonk1	
八九不离十	bad3 gaw2 bat1 ley4 sap6	
八个字	bad3 go3 ji6	四十分钟
八角	bad3 gog3	
八角形	bad3 gog3 yenk4	
八股	bad3 gu2	
八股文	bad3 gu2 mant4	
八卦	bad3 gua3	爱管闲事
八卦妹	bad3 gua3 mui1	爱管闲事的女孩
八卦婆	bad3 gua3 po2	三八，饶舌妇
八国联军	bad3 guog3 leun4 guant1	
八爪鱼	bad3 jau2 yeu4	章鱼
八字	bad3 ji6	
八级	bad3 kap1	
八路军	bad3 low6 guant1	
八面玲珑	bad3 min6 lenk4 lonk4	
八妹	bad3 mui1	爱管闲事的女孩
八年级	bad3 nin4 kap1	
八婆	bad3 po4	三八，饶舌妇
八十	bad3 sap6	
八成	bad3 senk4	
八仙	bad3 sin1	
八仙过海	bad3 sin1 guo3 hoi2	
八月	bad3 yeud6	
八月份	bad3 yeud6 fant6	
迫不得已	bag1 bat1 dak1 yi5	
迫切	bag1 cid3	
迫近	bag1 gant6	
迫击炮	bag1 gek1 pau3	
迫害	bag1 hoi6	
迫在眉睫	bag1 joi6 mey4 jid6	
迫使	bag1 si2	
迫于形势	bag1 yeu1 yenk4 say3	
伯伯	bag3 bag3	
百病	bag3 benk6	
百病丛生	bag3 benk6 conk4 sank1	
百步穿杨	bag3 bow6 ceun1 yeong4	
百般	bag3 bun1	
百读不厌	bag3 dok6 bat1 yim3	
百花齐放	bag3 fa1 cay4 fong3	
百花争艳	bag3 fa1 jank1 yim6	
百花怒放	bag3 fa1 now6 fong3	
百发百中	bag3 fad3 bag3 jonk3	
百分点	bag3 fant1 dim2	
百科	bag3 fo1	
百科全书	bag3 fo1 ceun4 seu1	百科全书
百科全书	bag3 fo1 ceun4 seu1	
百货	bag3 fo3	
百货店	bag3 fo3 dim3	
百货公司	bag3 fo3 gonk1 si1	
百货商场	bag3 fo3 seong1 ceong4	
百货商店	bag3 fo3 seong1 dim3	
百货业	bag3 fo3 yib6	
伯父	bag3 fu6	
百感交集	bag3 gamp2 gau1 jab6	
白鸽	bag3 gap2	
百香果	bag3 heong1 guo2	
百香果汁	bag3 heong1 guo2 jap1	
百看不厌	bag3 hon3 bat1 yim3	
百褶裙	bag3 jib3 kuant4	
百折不挠	bag3 jid3 bat1 nau4	
百足	bag3 jok1	蜈蚣
百灵	bag3 lenk4	
百灵鸟	bag3 lenk4 niu5	
百里香	bag3 ley5 heong1	
百炼成钢	bag3 lin6 senk4 gong3	
百万	bag3 man6	
百万富翁	bag3 man6 fu3 yonk1	
百万雄师	bag3 man6 honk4 si1	
百闻不如一见	bag3 mant4 bat1 yeu4 yat1 gin3	
百物	bag3 mat6	
百米	bag3 may5	
百米赛跑	bag3 may5 coi3 pau2	
百无禁忌	bag3 mow4 gamp3 gey6	
