开放粤语字典（教院拼音版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［教院拼音］
火	火	fo2
课	課	fo3
货	貨	fo3
霍	霍	fok8
攫	攫	fok8
荒	荒	fong1
方	方	fong1
邡	邡	fong1
芳	芳	fong1
慌	慌	fong1
坊	坊	fong1
谎	謊	fong1
肪	肪	fong1
仿	彷	fong2
恍	恍	fong2
幌	幌	fong2
纺	紡	fong2
访	訪	fong2
仿	仿	fong2
晃	晃	fong2
放	放	fong3
况	況	fong3
防	防	fong4
妨	妨	fong4
房	房	fong4
枯	枯	fu1
俘	俘	fu1
轷	軤	fu1
呼	呼	fu1
麸	麩	fu1
孵	孵	fu1
肤	膚	fu1
孚	孚	fu1
敷	敷	fu1
夫	夫	fu1
骷	骷	fu1
苦	苦	fu2
唬	唬	fu2
腑	腑	fu2
抚	撫	fu2
釜	釜	fu2
拊	拊	fu2
琥	琥	fu2
府	府	fu2
虎	虎	fu2
甫	甫	fu2
俯	俯	fu2
斧	斧	fu2
赋	賦	fu3
富	富	fu3
库	庫	fu3
绔	絝	fu3
戽	戽	fu3
裤	褲	fu3
副	副	fu3
芙	芙	fu4
符	符	fu4
扶	扶	fu4
乎	乎	fu4
妇	婦	fu5
负	負	fu6
腐	腐	fu6
仆	仆	fu6
赴	赴	fu6
附	附	fu6
驸	駙	fu6
辅	輔	fu6
父	父	fu6
讣	訃	fu6
咐	咐	fu6
付	付	fu6
傅	傅	fu6
鲋	鮒	fu6
诙	詼	fui1
恢	恢	fui1
灰	灰	fui1
魁	魁	fui1
奎	奎	fui1/kwai1
鲔	鮪	fui2
晦	晦	fui3
悔	悔	fui3
诲	誨	fui3
辐	輻	fuk7
复	複	fuk7
福	福	fuk7
覆	覆	fuk7
腹	腹	fuk7
幅	幅	fuk7
馥	馥	fuk7
蝮	蝮	fuk7
蝠	蝠	fuk7
茯	茯	fuk9
伏	伏	fuk9
袱	袱	fuk9
复	復	fuk9
服	服	fuk9
宓	宓	fuk9
獾	貛	fun1
欢	歡	fun1
髋	髖	fun1
宽	寬	fun1
款	款	fun2
枫	楓	fung1
疯	瘋	fung1
丰	豐	fung1
烽	烽	fung1
风	風	fung1
峰	峰	fung1
锋	鋒	fung1
蜂	蜂	fung1
封	封	fung1
丰	丰	fung1
讽	諷	fung3
冯	馮	fung4
逢	逢	fung4
缝	縫	fung4
缝	縫	fung4/fung6
奉	奉	fung6
凤	鳳	fung6
俸	俸	fung6/fung2
阔	闊	fut8
家	傢	gaa1
加	加	gaa1
珈	珈	gaa1
迦	迦	gaa1
家	家	gaa1
枷	枷	gaa1
袈	袈	gaa1
嘉	嘉	gaa1
噶	噶	gaa1
痂	痂	gaa1
镓	鎵	gaa1
伽	伽	gaa1
贾	賈	gaa2
架	架	gaa2
尕	尕	gaa2
假	假	gaa2
槚	檟	gaa2
斝	斝	gaa2
驾	駕	gaa3
嫁	嫁	gaa3
稼	稼	gaa3
假	假	gaa3
咖	咖	gaa3
价	價	gaa3
架	架	gaa3
佳	佳	gaai1
皆	皆	gaai1
偕	偕	gaai1
秸	秸	gaai1
阶	階	gaai1
街	街	gaai1
解	解	gaai2
蚧	蚧	gaai2/gwaai2
解	解	gaai3
届	屆	gaai3
尬	尬	gaai3
界	界	gaai3
戒	戒	gaai3
芥	芥	gaai3
疥	疥	gaai3
诫	誡	gaai3
介	介	gaai3
革	革	gaak8
格	格	gaak8
胳	胳	gaak8
嗝	嗝	gaak8
镉	鎘	gaak8
隔	隔	gaak8
膈	膈	gaak8
骼	骼	gaak8
缄	緘	gaam1
监	監	gaam1
尴	尷	gaam1/gaam3
减	減	gaam2
鉴	鑑	gaam3
监	監	gaam3
奸	奸	gaan1
艰	艱	gaan1
奸	姦	gaan1
间	間	gaan1
柬	柬	gaan2
拣	揀	gaan2
简	簡	gaan2
茧	繭	gaan2
锏	鐧	gaan2
碱	鹼	gaan2
间	間	gaan3
谏	諫	gaan3
涧	澗	gaan3
耕	耕	gaang1
更	更	gaang1
袷	袷	gaap8
蛱	蛺	gaap8
甲	甲	gaap8
岬	岬	gaap8
钾	鉀	gaap8
郏	郟	gaap8
胛	胛	gaap8
夹	夾	gaap8
荚	莢	gaap8
饸	餄	gaap8
颊	頰	gaap8
轧	軋	gaat8
蛟	蛟	gaau1
郊	郊	gaau1
茭	茭	gaau1
交	交	gaau1
跤	跤	gaau1
胶	膠	gaau1
姣	姣	gaau2
饺	餃	gaau2
狡	狡	gaau2
搞	搞	gaau2
搅	攪	gaau2
绞	絞	gaau2
铰	鉸	gaau2
皎	皎	gaau2
佼	佼	gaau2
铰	鉸	gaau3
窖	窖	gaau3
觉	覺	gaau3
校	校	gaau3
较	較	gaau3
教	教	gaau3
酵	酵	gaau3/haau1
鸡	雞	gai1
蓟	薊	gai3
髻	髻	gai3
继	繼	gai3
计	計	gai3
泔	泔	gam1
金	金	gam1
柑	柑	gam1
今	今	gam1
甘	甘	gam1
禁	禁	gam1
苷	苷	gam1
锦	錦	gam2
感	感	gam2
敢	敢	gam2
橄	橄	gam2
淦	淦	gam3
噤	噤	gam3
禁	禁	gam3
赣	贛	gam3
斤	斤	gan1
筋	筋	gan1
跟	跟	gan1
根	根	gan1
巾	巾	gan1
哏	哏	gan1
瑾	瑾	gan2
馑	饉	gan2
堇	堇	gan2
谨	謹	gan2
仅	僅	gan2
紧	緊	gan2
艮	艮	gan3
靳	靳	gan3
觐	覲	gan3/gan2
近	近	gan6
更	更	gang1
庚	庚	gang1
羹	羹	gang1
梗	梗	gang2
哽	哽	gang2
亘	亙	gang2
埂	埂	gang2
耿	耿	gang2
鲠	鯁	gang2/kang2
更	更	gang3
急	急	gap7
鸽	鴿	gap8
蛤	蛤	gap8
吉	吉	gat7
讫	訖	gat7
桔	桔	gat7
纥	紇	gat7
嘎	嘎	gat8
疙	疙	gat9
阄	鬮	gau1
钩	鉤	gau1
佝	佝	gau1
鸠	鳩	gau1/kau1
玖	玖	gau2
韭	韭	gau2
枸	枸	gau2
苟	苟	gau2
狗	狗	gau2
久	久	gau2
九	九	gau2
纠	糾	gau2/dau2
救	救	gau3
咎	咎	gau3
灸	灸	gau3
究	究	gau3
疚	疚	gau3
够	夠	gau3
柩	柩	gau3
垢	垢	gau3
厩	廄	gau3
诟	詬	gau3
旧	舊	gau6
箕	箕	gei1
姬	姬	gei1
畸	畸	gei1
肌	肌	gei1
矶	磯	gei1
犄	犄	gei1
乩	乩	gei1
基	基	gei1
饥	飢	gei1
讥	譏	gei1
叽	嘰	gei1
奇	奇	gei1
几	几	gei1
畿	畿	gei1
玑	璣	gei1
机	機	gei1
几	幾	gei1
羁	覊	gei1
几	幾	gei2
己	己	gei2
杞	杞	gei2
纪	紀	gei2
记	記	gei3
觊	覬	gei3
纪	紀	gei3
寄	寄	gei3
既	既	gei3
妓	妓	gei6
芰	芰	gei6
技	技	gei6
伎	伎	gei6
忌	忌	gei6
惊	驚	geng1
颈	頸	geng2
镜	鏡	geng3
激	激	gik7
棘	棘	gik7
殛	殛	gik7
戟	戟	gik7
亟	亟	gik7
击	擊	gik7
极	極	gik9
兼	兼	gim1
鹣	鶼	gim1
搛	搛	gim1
捡	撿	gim2
检	檢	gim2
睑	瞼	gim2
剑	劍	gim3
俭	儉	gim6
坚	堅	gin1
犍	犍	gin1
肩	肩	gin1
建	建	gin3
见	見	gin3
腱	腱	gin3
件	件	gin6
键	鍵	gin6
健	健	gin6
兢	兢	ging1
惊	驚	ging1
泾	涇	ging1
经	經	ging1
矜	矜	ging1
荆	荊	ging1
京	京	ging1
景	景	ging2
境	境	ging2
警	警	ging2
竟	竟	ging2
儆	儆	ging2
璟	璟	ging2
憬	憬	ging2
劲	勁	ging3
径	逕	ging3
敬	敬	ging3
径	徑	ging3
痉	痙	ging6
竞	競	ging6
劲	勁	ging6
劫	劫	gip8
洁	潔	git8
结	結	git8
拮	拮	git8
杰	傑	git9
桀	桀	git9
娇	嬌	giu1
骄	驕	giu1
矫	矯	giu2
缴	繳	giu2
叫	叫	giu3
轿	轎	giu6
撬	撬	giu6
仡	仡	go1
歌	歌	go1
哥	哥	go1
旮	旮	go1/gok8
菏	菏	go1/ho4
个	個	go3
脚	腳	goek8
僵	殭	goeng1
姜	姜	goeng1
姜	薑	goeng1
蜣	蜣	goeng1
僵	僵	goeng1
羌	羌	goeng1
缰	韁	goeng1
疆	疆	goeng1
强	強	goeng6
据	据	goey1
居	居	goey1
龋	齲	goey2
蒟	蒟	goey2
莒	莒	goey2
举	舉	goey2
榉	櫸	goey2
矩	矩	goey2
踞	踞	goey3
据	據	goey3
句	句	goey3
锯	鋸	goey3/geu3
具	具	goey6
苣	苣	goey6
飓	颶	goey6
巨	巨	goey6
巨	鉅	goey6
炬	炬	goey6
讵	詎	goey6
惧	懼	goey6
遽	遽	goey6
该	該	goi1
赅	賅	goi1
改	改	goi2
盖	蓋	goi3
咯	咯	gok7
各	各	gok8
角	角	gok8
觉	覺	gok8
阁	閣	gok8
搁	擱	gok8
干	乾	gon1
杆	杆	gon1
肝	肝	gon1
干	干	gon1
竿	竿	gon1
擀	擀	gon2
赶	趕	gon2
杆	桿	gon2
干	幹	gon3
罡	罡	gong1
缸	缸	gong1
肛	肛	gong1
江	江	gong1
纲	綱	gong1
刚	剛	gong1
岗	崗	gong1
冈	岡	gong1
讲	講	gong2
港	港	gong2
绛	絳	gong3
杠	槓	gong3
降	降	gong3
钢	鋼	gong3
葛	葛	got8
割	割	got8
高	高	gou1
糕	糕	gou1
膏	膏	gou1
皋	皋	gou1
睾	睾	gou1
羔	羔	gou1
稿	稿	gou2
槁	槁	gou2
镐	鎬	gou2
缟	縞	gou2
藁	藁	gou2
杲	杲	gou2
锆	鋯	gou3
告	告	gou3
郜	郜	gou3
诰	誥	gou6
轱	軲	gu1
姑	姑	gu1
沽	沽	gu1
蛄	蛄	gu1
辜	辜	gu1
咕	咕	gu1
孤	孤	gu1
觚	觚	gu1
菇	菇	gu1
贾	賈	gu2
股	股	gu2
钴	鈷	gu2
牯	牯	gu2
古	古	gu2
估	估	gu2
鼓	鼓	gu2
蛊	蠱	gu2
雇	僱	gu3
顾	顧	gu3
固	固	gu3
故	故	gu3
锢	錮	gu3
谷	谷	guk7
鹄	鵠	guk7
毂	轂	guk7
谷	穀	guk7
掬	掬	guk7
鞠	鞠	guk7
梏	梏	guk7
嚳	嚳	guk7
菊	菊	guk7
局	局	guk9
焗	焗	guk9
锔	鋦	guk9
官	官	gun1
冠	冠	gun1
棺	棺	gun1
倌	倌	gun1
莞	莞	gun1
观	觀	gun1
管	管	gun2
馆	館	gun2
莞	莞	gun2
脘	脘	gun2
冠	冠	gun3
鹳	鸛	gun3
灌	灌	gun3
盥	盥	gun3
罐	罐	gun3
贯	貫	gun3
蚣	蚣	gung1
恭	恭	gung1
供	供	gung1
弓	弓	gung1
龚	龔	gung1
躬	躬	gung1
宫	宮	gung1
功	功	gung1
公	公	gung1
攻	攻	gung1
工	工	gung1
巩	鞏	gung2
拱	拱	gung2
珙	珙	gung2
供	供	gung3
贡	貢	gung3
共	共	gung6
呱	呱	gwaa1
瓜	瓜	gwaa1
寡	寡	gwaa2
挂	掛	gwaa3
卦	卦	gwaa3
褂	褂	gwaa3
乖	乖	gwaai1
拐	拐	gwaai2
蒯	蒯	gwaai2
柺	柺	gwaai2
怪	怪	gwaai3
掴	摑	gwaak8
关	關	gwaan1
鳏	鰥	gwaan1
掼	摜	gwaan3
惯	慣	gwaan3
刮	刮	gwaat8
刮	颳	gwaat8
龟	龜	gwai1
皈	皈	gwai1
闺	閨	gwai1
归	歸	gwai1
圭	圭	gwai1
瑰	瑰	gwai1
鲑	鮭	gwai1
硅	硅	gwai1
晷	晷	gwai2
鬼	鬼	gwai2
轨	軌	gwai2
诡	詭	gwai2
癸	癸	gwai3
瑰	瑰	gwai3
季	季	gwai3
桂	桂	gwai3
贵	貴	gwai3
悸	悸	gwai3
柜	櫃	gwai6
馈	饋	gwai6
跪	跪	gwai6
篑	簣	gwai6
筠	筠	gwan1
君	君	gwan1
钧	鈞	gwan1
军	軍	gwan1
均	均	gwan1
纶	綸	gwan1
鋆	鋆	gwan1
锟	錕	gwan1
鲲	鯤	gwan1
滚	滾	gwan2
棍	棍	gwan3
郡	郡	gwan6
珺	珺	gwan6
薨	薨	gwang1
肱	肱	gwang1
轰	轟	gwang1
訇	訇	gwang1
橘	橘	gwat7
骨	骨	gwat7
崛	崛	gwat9
倔	倔	gwat9
掘	掘	gwat9
虢	虢	gwik7
隙	隙	gwik7/kwing1
炯	炯	gwing2
迥	迥	gwing2
戈	戈	gwo1
果	果	gwo2
裹	裹	gwo2
过	過	gwo3
国	國	gwok8
郭	郭	gwok8
帼	幗	gwok8
腘	膕	gwok8
廓	廓	gwok8/kwok8
光	光	gwong1
桄	桄	gwong1
胱	胱	gwong1
诳	誑	gwong2
广	廣	gwong2
犷	獷	gwong2
桄	桄	gwong3
捐	捐	gyn1
涓	涓	gyn1
蠲	蠲	gyn1
娟	娟	gyn1
鹃	鵑	gyn1
卷	卷	gyn2
卷	捲	gyn2
鄄	鄄	gyn3
绢	絹	gyn3
眷	眷	gyn3
券	券	gyn3
倦	倦	gyn6
虾	蝦	haa1
哈	哈	haa1
蛤	蛤	haa4
遐	遐	haa4
瑕	瑕	haa4
霞	霞	haa4
厦	廈	haa6
夏	夏	haa6
下	下	haa6
暇	暇	haa6
揩	揩	haai1
嗨	嗨	haai1
孩	孩	haai4
鞋	鞋	haai4
谐	諧	haai4
骸	骸	haai4
骇	駭	haai5
蟹	蟹	haai5
獬	獬	haai5
解	解	haai6
械	械	haai6
懈	懈	haai6
邂	邂	haai6/haai5
赫	赫	haak7
客	客	haak8
吓	嚇	haak8
喊	喊	haam3
涵	涵	haam4
函	函	haam4
衔	銜	haam4
咸	鹹	haam4
咸	咸	haam4
槛	檻	haam5
馅	餡	haam6
陷	陷	haam6
娴	嫺	haan4
闲	閒	haan4
痫	癇	haan4
限	限	haan6
坑	坑	haang1
夯	夯	haang1
行	行	haang4
呷	呷	haap8
掐	掐	haap8
嗑	嗑	haap8
箧	篋	haap9
匣	匣	haap9
狎	狎	haap9
峡	峽	haap9
柙	柙	haap9
狭	狹	haap9/haap8
侠	俠	haap9/hap9
哮	哮	haau1
敲	敲	haau1
烤	烤	haau1/haau2
巧	巧	haau2
拷	拷	haau2
考	考	haau2
孝	孝	haau3
校	校	haau6
傚	傚	haau6
効	効	haau6
效	效	haau6
鼷	鼷	hai4
奚	奚	hai4
兮	兮	hai4
系	系	hai6
系	係	hai6
系	繫	hai6
氪	氪	hak7
克	剋	hak7
刻	刻	hak7
黑	黑	hak7
可	可	hak7
克	克	hak7
戡	戡	ham1
勘	勘	ham1
蚶	蚶	ham1
龛	龕	ham1
憨	憨	ham1
堪	堪	ham1
坎	坎	ham2
砍	砍	ham2
勘	勘	ham3
崁	崁	ham3
瞰	瞰	ham3
磡	磡	ham3
嵌	嵌	ham3/ham6
含	含	ham4
酣	酣	ham4
晗	晗	ham4
颔	頷	ham5
撼	撼	ham6
憾	憾	ham6
恳	懇	han2
狠	狠	han2
很	很	han2
垦	墾	han2
痕	痕	han4
恨	恨	han6
哼	哼	hang1
亨	亨	hang1
铿	鏗	hang1
茎	莖	hang1/ging3
啃	啃	hang2
肯	肯	hang2
衡	衡	hang4
行	行	hang4
桁	桁	hang4
恒	恆	hang4
幸	倖	hang6
幸	幸	hang6
悻	悻	hang6
杏	杏	hang6
行	行	hang6
恰	恰	hap7
洽	洽	hap7
瞌	瞌	hap9
阖	闔	hap9
磕	磕	hap9
合	合	hap9
盒	盒	hap9
颌	頜	hap9
乞	乞	hat7
阂	閡	hat9
瞎	瞎	hat9
辖	轄	hat9
劾	劾	hat9
纥	紇	hat9
檄	檄	hat9
龁	齕	hat9
核	核	hat9/wat9
齁	齁	hau1
口	口	hau2
吼	吼	hau3
猴	猴	hau4
瘊	瘊	hau4
篌	篌	hau4
喉	喉	hau4
侯	侯	hau4
厚	厚	hau5
鲎	鱟	hau6
后	後	hau6
逅	逅	hau6
后	后	hau6
候	候	hau6
醯	醯	hei1
嘿	嘿	hei1
烯	烯	hei1
禧	禧	hei1
熙	熙	hei1
嬉	嬉	hei1
曦	曦	hei1
牺	犧	hei1
稀	稀	hei1
羲	羲	hei1
浠	浠	hei1
熹	熹	hei1
希	希	hei1
嘻	嘻	hei1
唏	唏	hei1
欺	欺	hei1
欷	欷	hei1
囍	囍	hei2
喜	喜	hei2
岂	豈	hei2
起	起	hei2
弃	棄	hei3
憩	憩	hei3
戏	戲	hei3
器	器	hei3
汽	汽	hei3
气	氣	hei3
吃	吃	hek8
靴	靴	heu1
谦	謙	him1
险	險	him2
芡	芡	him3
欠	欠	him3
骞	騫	hin1
掀	掀	hin1
牵	牽	hin1
轩	軒	hin1
遣	遣	hin2
缱	繾	hin2
显	顯	hin2
谴	譴	hin2
蚬	蜆	hin2
宪	憲	hin3
献	獻	hin3
馨	馨	hing1
兄	兄	hing1
卿	卿	hing1
兴	興	hing1
氢	氫	hing1
轻	輕	hing1/heng1
磬	磬	hing3
罄	罄	hing3
庆	慶	hing3
兴	興	hing3
胫	脛	hing5/ging3
胁	脅	hip8
歉	歉	hip8
怯	怯	hip8
协	協	hip8
挟	挾	hip8/haap9
惬	愜	hip9
歇	歇	hit8
蝎	蠍	hit8
鸮	鴞	hiu1
侥	僥	hiu1
骁	驍	hiu1
枭	梟	hiu1
浇	澆	hiu1
嚣	囂	hiu1
橇	橇	hiu1/tsoey3
晓	曉	hiu2
窍	竅	hiu3/kiu3
哼	哼	hng6
苛	苛	ho1
诃	訶	ho1
呵	呵	ho1
可	可	ho2
坷	坷	ho2
岢	岢	ho2
嗬	嗬	ho2
荷	荷	ho4
河	河	ho4
何	何	ho4
荷	荷	ho6
贺	賀	ho6
乡	鄉	hoeng1
香	香	hoeng1
飨	饗	hoeng2
响	響	hoeng2
晌	晌	hoeng2
享	享	hoeng2
饷	餉	hoeng2
向	向	hoeng3
向	嚮	hoeng3
虚	虛	hoey1
盱	盱	hoey1
歔	歔	hoey1
吁	吁	hoey1
墟	墟	hoey1
嘘	噓	hoey1
许	許	hoey2
诩	詡	hoey2
栩	栩	hoey2
煦	煦	hoey2/hoey3
去	去	hoey3
开	開	hoi1
咍	咍	hoi1
锎	鐦	hoi1
铠	鎧	hoi2
恺	愷	hoi2
海	海	hoi2
凯	凱	hoi2
闿	闓	hoi2
垲	塏	hoi2
剀	剴	hoi2
氦	氦	hoi6
害	害	hoi6
亥	亥	hoi6
壳	殼	hok8
学	學	hok9
貉	貉	hok9
鹤	鶴	hok9
罕	罕	hon2
侃	侃	hon2
刊	刊	hon2/hon1
汉	漢	hon3
看	看	hon3
邯	邯	hon4
鼾	鼾	hon4
寒	寒	hon4
韩	韓	hon4
汗	汗	hon4
旱	旱	hon5
汗	汗	hon6
捍	捍	hon6
悍	悍	hon6
翰	翰	hon6
焊	焊	hon6
瀚	瀚	hon6
糠	糠	hong1
匡	匡	hong1
诓	誆	hong1
劻	劻	hong1
腔	腔	hong1
康	康	hong1
筐	筐	hong1/kwaang1
眶	眶	hong1/kwaang1
慷	慷	hong2/kong2
杭	杭	hong4
行	行	hong4
降	降	hong4
吭	吭	hong4
航	航	hong4
项	項	hong6
巷	巷	hong6/hong2
褐	褐	hot8
渴	渴	hot8
喝	喝	hot8
鞨	鞨	hot8
薅	薅	hou1
蒿	蒿	hou1
好	好	hou2
好	好	hou3
耗	耗	hou3
犒	犒	hou3
毫	毫	hou4
嗥	嗥	hou4
豪	豪	hou4
蠔	蠔	hou4
嚎	嚎	hou4
号	號	hou4
壕	壕	hou4
昊	昊	hou6
号	號	hou6
浩	浩	hou6
镐	鎬	hou6
皓	皓	hou6
灏	灝	hou6
哭	哭	huk7
酷	酷	huk9
槲	槲	huk9
匈	匈	hung1
凶	凶	hung1
箜	箜	hung1
崆	崆	hung1
胸	胸	hung1
汹	洶	hung1
空	空	hung1
凶	兇	hung1
恐	恐	hung2
孔	孔	hung2
汞	汞	hung3
控	控	hung3
哄	哄	hung3
烘	烘	hung3/hung1
哄	鬨	hung3/hung6
熊	熊	hung4
虹	虹	hung4
红	紅	hung4
雄	雄	hung4
鸿	鴻	hung4
洪	洪	hung4
讧	訌	hung4/hung3
圈	圈	hyn1
喧	喧	hyn1
暄	暄	hyn1
埙	壎	hyn1
萱	萱	hyn1
畎	畎	hyn2
犬	犬	hyn2
绚	絢	hyn3
券	券	hyn3
绻	綣	hyn3
劝	勸	hyn3
血	血	hyt8
也	也	jaa5
曳	曳	jai6
跩	跩	jai6
歆	歆	jam1
钦	欽	jam1
音	音	jam1
阴	陰	jam1
鑫	鑫	jam1
饮	飲	jam2
窨	窨	jam3
荫	蔭	jam3
壬	壬	jam4
淫	淫	jam4
吟	吟	jam4
任	任	jam4
霪	霪	jam4
荏	荏	jam5/jam6
妊	妊	jam6
任	任	jam6
饪	飪	jam6
赁	賃	jam6
衽	衽	jam6
任	任	jam6
恩	恩	jan1
因	因	jan1
茵	茵	jan1
堙	堙	jan1
姻	姻	jan1
甄	甄	jan1
氤	氤	jan1
忻	忻	jan1
欣	欣	jan1
殷	殷	jan1
昕	昕	jan1
隐	隱	jan2
瘾	癮	jan2
忍	忍	jan2
印	印	jan3
仁	仁	jan4
夤	夤	jan4
人	人	jan4
寅	寅	jan4
蚓	蚓	jan5
引	引	jan5
衅	釁	jan6
刃	刃	jan6
纫	紉	jan6
孕	孕	jan6
胤	胤	jan6
韧	韌	jan6/ngang6
熠	熠	jap7
悒	悒	jap7
翕	翕	jap7
邑	邑	jap7
揖	揖	jap7
挹	挹	jap7
泣	泣	jap7
入	入	jap9
壹	壹	jat7
一	一	jat7
日	日	jat9
逸	逸	jat9
溢	溢	jat9
轶	軼	jat9
优	優	jau1
邱	邱	jau1
咻	咻	jau1
鸺	鵂	jau1
貅	貅	jau1
蚯	蚯	jau1
丘	丘	jau1
休	休	jau1
幽	幽	jau1
忧	憂	jau1
髹	髹	jau1
柚	柚	jau2
黝	黝	jau2
幼	幼	jau3
铀	鈾	jau4
柔	柔	jau4
攸	攸	jau4
油	油	jau4
揉	揉	jau4
游	遊	jau4
邮	郵	jau4
酋	酋	jau4
犹	猶	jau4
鱿	魷	jau4
悠	悠	jau4
由	由	jau4
尤	尤	jau4
疣	疣	jau4
游	游	jau4
蚰	蚰	jau4
蹂	蹂	jau4
有	有	jau5
酉	酉	jau5
友	友	jau5
诱	誘	jau5
又	又	jau6
囿	囿	jau6
宥	宥	jau6
侑	侑	jau6
佑	佑	jau6
右	右	jau6
鼬	鼬	jau6
釉	釉	jau6
狖	狖	jau6
椰	椰	je4
揶	揶	je4
耶	耶	je4
爷	爺	je4
邪	邪	je4
冶	冶	je5
惹	惹	je5
野	野	je5
偌	偌	je6
夜	夜	je6
赢	贏	jeng4
依	依	ji1
衣	衣	ji1
铱	銥	ji1
漪	漪	ji1
祎	禕	ji1
祎	禕	ji1
猗	猗	ji1
医	醫	ji1
伊	伊	ji1
黟	黟	ji1
椅	椅	ji2
绮	綺	ji2
倚	倚	ji2
旖	旖	ji2
齮	齮	ji2
镱	鐿	ji3
薏	薏	ji3
癔	癔	ji3
意	意	ji3
懿	懿	ji3
姨	姨	ji4
怡	怡	ji4
而	而	ji4
迤	迤	ji4
仪	儀	ji4
诒	詒	ji4
宜	宜	ji4
夷	夷	ji4
谊	誼	ji4
疑	疑	ji4
贻	貽	ji4
儿	兒	ji4
痍	痍	ji4
胰	胰	ji4
眙	眙	ji4
移	移	ji4
饴	飴	ji4
咦	咦	ji4
彝	彞	ji4
沂	沂	ji4
蛇	蛇	ji4
颐	頤	ji4
议	議	ji5
矣	矣	ji5
以	以	ji5
迩	邇	ji5
耳	耳	ji5
拟	擬	ji5
迤	迤	ji5
洱	洱	ji5
已	已	ji5
尔	爾	ji5
肄	肄	ji6
义	義	ji6
劓	劓	ji6
二	二	ji6
易	易	ji6
贰	貳	ji6
异	異	ji6
抑	抑	jik7
阋	鬩	jik7
亿	億	jik7
臆	臆	jik7
益	益	jik7
忆	憶	jik7
奕	奕	jik9
疫	疫	jik9
译	譯	jik9
绎	繹	jik9
亦	亦	jik9
翼	翼	jik9
驿	驛	jik9
役	役	jik9
弋	弋	jik9
液	液	jik9
掖	掖	jik9
弈	弈	jik9
蜴	蜴	jik9
腋	腋	jik9
翌	翌	jik9
易	易	jik9
翊	翊	jik9
逆	逆	jik9/ngaak9
淹	淹	jim1
恹	懨	jim1
阉	閹	jim1
奄	奄	jim1
腌	醃	jim1/jip8
掩	掩	jim2
魇	魘	jim2
厌	厭	jim3
餍	饜	jim3
嫌	嫌	jim4
盐	鹽	jim4
炎	炎	jim4
严	嚴	jim4
髯	髯	jim4
蚺	蚺	jim4
阎	閻	jim4
闫	閆	jim4
檐	簷	jim4/sim4
冉	冉	jim5
俨	儼	jim5
苒	苒	jim5
染	染	jim5
焰	焰	jim6
艳	艷	jim6
验	驗	jim6
咽	咽	jin1
烟	菸	jin1
湮	湮	jin1
焉	焉	jin1
胭	胭	jin1
蔫	蔫	jin1
烟	煙	jin1
燕	燕	jin1
嫣	嫣	jin1
阏	閼	jin1
鄢	鄢	jin1
鼹	鼴	jin2
偃	偃	jin2
演	演	jin2
堰	堰	jin2
兖	兗	jin2
衍	衍	jin2/hin2
燕	燕	jin3
咽	嚥	jin3
宴	宴	jin3
言	言	jin4
涎	涎	jin4
研	研	jin4
贤	賢	jin4
然	然	jin4
舷	舷	jin4
弦	弦	jin4
筵	筵	jin4
蜒	蜒	jin4
延	延	jin4
燃	燃	jin4
焉	焉	jin4
妍	妍	jin4
唁	唁	jin6
谚	諺	jin6
彦	彥	jin6
砚	硯	jin6
苋	莧	jin6
现	現	jin6
谳	讞	jin6
英	英	jing1
鹦	鸚	jing1
鹰	鷹	jing1
缨	纓	jing1
瑛	瑛	jing1
膺	膺	jing1
婴	嬰	jing1
应	應	jing1
樱	櫻	jing1
映	映	jing2
影	影	jing2
应	應	jing3
营	營	jing4
蝇	蠅	jing4
刑	刑	jing4
形	形	jing4
潆	瀠	jing4
仍	仍	jing4
嬴	嬴	jing4
瀛	瀛	jing4
萦	縈	jing4
萤	螢	jing4
邢	邢	jing4
赢	贏	jing4
楹	楹	jing4
蓥	鎣	jing4
荥	滎	jing4
迎	迎	jing4
荧	熒	jing4
型	型	jing4
凝	凝	jing4
莹	瑩	jing4
盈	盈	jing4
陉	陘	jing4
滢	瀅	jing4/jing6
郢	郢	jing5
认	認	jing6
靥	靨	jip8
叶	葉	jip9
业	業	jip9
页	頁	jip9
烨	燁	jip9
谒	謁	jit8
噎	噎	jit8
咽	咽	jit8
热	熱	jit9
拽	拽	jit9
孽	孽	jit9
臬	臬	jit9/nip9
幺	么	jiu1
腰	腰	jiu1
夭	夭	jiu1
邀	邀	jiu1
吆	吆	jiu1
要	要	jiu1
妖	妖	jiu1
扰	擾	jiu2
夭	夭	jiu2
窈	窈	jiu2
绕	繞	jiu2/jiu5
要	要	jiu3
姚	姚	jiu4
谣	謠	jiu4
鳐	鰩	jiu4
饶	饒	jiu4
飖	颻	jiu4
娆	嬈	jiu4
摇	搖	jiu4
瑶	瑤	jiu4
尧	堯	jiu4
徭	徭	jiu4
遥	遙	jiu4
洮	洮	jiu4
窑	窯	jiu4
舀	舀	jiu5
曜	曜	jiu6
耀	耀	jiu6
鹞	鷂	jiu6
唷	唷	jo1
哟	喲	jo1
约	約	joek8
虐	虐	joek9
钥	鑰	joek9
药	藥	joek9
若	若	joek9
蒻	蒻	joek9
籥	籥	joek9
跃	躍	joek9
