開放粵語字典（劉錫祥版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［劉錫祥拼音］
嶼	屿	jui6
墜	坠	jui6
敘	叙	jui6
序	序	jui6
綴	缀	jui6/jui3
竺	竺	juk1
捉	捉	juk1
粥	粥	juk1
矚	瞩	juk1
足	足	juk1
燭	烛	juk1
竹	竹	juk1
祝	祝	juk1
築	筑	juk1
囑	嘱	juk1
濁	浊	juk6
軸	轴	juk6
族	族	juk6
鐲	镯	juk6
續	续	juk6
妯	妯	juk6
俗	俗	juk6
鏃	镞	juk6
躅	躅	juk6
逐	逐	juk6
諄	谆	jun1
樽	樽	jun1
榛	榛	jun1
臻	臻	jun1
津	津	jun1
遵	遵	jun1/juen1
儘	尽	jun2
准	准	jun2
隼	隼	jun2
準	准	jun2
晉	晋	jun3
進	进	jun3
竣	竣	jun3
縉	缙	jun3
駿	骏	jun3
俊	俊	jun3
峻	峻	jun3
燼	烬	jun6
盡	尽	jun6
樅	枞	jung1
忠	忠	jung1
鍾	钟	jung1
棕	棕	jung1
螽	螽	jung1
盅	盅	jung1
蹤	踪	jung1
鐘	钟	jung1
鬃	鬃	jung1
縱	纵	jung1
終	终	jung1
中	中	jung1
宗	宗	jung1
衷	衷	jung1/chung1
綜	综	jung1/jung3
種	种	jung2
腫	肿	jung2
總	总	jung2
縱	纵	jung3
中	中	jung3
眾	众	jung3
種	种	jung3
粽	粽	jung3/jung2
誦	诵	jung6
重	重	jung6
訟	讼	jung6
頌	颂	jung6
仲	仲	jung6
卒	卒	jut1
黜	黜	jut1
怵	怵	jut1
卡	卡	ka1
喀	喀	ka1
卡	卡	ka2
髂	髂	ka3
蒈	蒈	kaai2
楷	楷	kaai2
鍇	锴	kaai2/gaai1
揢	揢	kaak3
咯	咯	kaak3
銬	铐	kaau3
靠	靠	kaau3
蹊	蹊	kai1
溪	溪	kai1
稽	稽	kai1
嵇	嵇	kai1/hai4
啟	启	kai2
契	契	kai3
襟	襟	kam1
禽	禽	kam4
擒	擒	kam4
琴	琴	kam4
噙	噙	kam4
妗	妗	kam5
芹	芹	kan4
勤	勤	kan4
近	近	kan5
吸	吸	kap1
給	给	kap1
汲	汲	kap1
笈	笈	kap1
級	级	kap1
岌	岌	kap1
歙	歙	kap1
及	及	kap6
芨	芨	kap6/gap1
卡	卡	kat1
咳	咳	kat1
摳	抠	kau1
溝	沟	kau1/gau1
篝	篝	kau1/gau1
釦	扣	kau3
叩	叩	kau3
扣	扣	kau3
蔻	蔻	kau3
寇	寇	kau3
媾	媾	kau3/gau3
購	购	kau3/gau3
構	构	kau3/gau3
求	求	kau4
裘	裘	kau4
毬	毬	kau4
仇	仇	kau4
虯	虬	kau4
犰	犰	kau4
逑	逑	kau4
球	球	kau4
臼	臼	kau5/kau3
舅	舅	kau5/kau3
茄	茄	ke2
瘸	瘸	ke4
騎	骑	ke4
崎	崎	kei1
蹊	蹊	kei1
冀	冀	kei3
暨	暨	kei3
驥	骥	kei3
鰭	鳍	kei4
俟	俟	kei4
旗	旗	kei4
奇	奇	kei4
岐	岐	kei4
棋	棋	kei4
琪	琪	kei4
旂	旂	kei4
琦	琦	kei4
歧	歧	kei4
淇	淇	kei4
祈	祈	kei4
其	其	kei4
萁	萁	kei4
麒	麒	kei4
期	期	kei4
耆	耆	kei4
祁	祁	kei4
蘄	蕲	kei4
祺	祺	kei4
企	企	kei5
屐	屐	kek6
劇	剧	kek6
卻	却	keuk3
噱	噱	keuk6
強	强	keung4
羥	羟	keung5
強	强	keung5
黔	黔	kim4
鉗	钳	kim4
掮	掮	kin4
乾	乾	kin4
虔	虔	kin4
犍	犍	kin4
傾	倾	king1
頃	顷	king2
黥	黥	king4
瓊	琼	king4
擎	擎	king4
鯨	鲸	king4
黠	黠	kit3
頡	颉	kit3
揭	揭	kit3
鍥	锲	kit3
詰	诘	kit3
羯	羯	kit3
竭	竭	kit3
孑	孑	kit3
擷	撷	kit3/git3
蹺	跷	kiu1/hiu1
翹	翘	kiu3/hiu3
僑	侨	kiu4
橋	桥	kiu4
蕎	荞	kiu4
喬	乔	kiu4
翹	翘	kiu4
蹺	跷	kiu5
蓋	盖	koi3
鈣	钙	koi3
慨	慨	koi3
溉	溉	koi3
概	概	koi3
愾	忾	koi3
丐	丐	koi3
欬	欬	koi3
確	确	kok3
榷	榷	kok3
郝	郝	kok3
恪	恪	kok3
慤	悫	kok3
壑	壑	kok3
涸	涸	kok3
扛	扛	kong1
伉	伉	kong3
抗	抗	kong3
閌	闶	kong3
擴	扩	kong3
亢	亢	kong3
炕	炕	kong3
箍	箍	koo1
鱠	鲙	kooi2
潰	溃	kooi2
獪	狯	kooi2
聵	聩	kooi2
繪	绘	kooi2
膾	脍	kooi2
賄	贿	kooi2
劊	刽	kooi2
檜	桧	kooi2
澮	浍	kooi2
鄶	郐	kooi2
儈	侩	kooi2
會	会	kooi2/wooi6
括	括	koot3
聒	聒	koot3
蛞	蛞	koot3
豁	豁	koot3
拳	拳	kuen4
權	权	kuen4
蜷	蜷	kuen4
顴	颧	kuen4
鬈	鬈	kuen4
厥	厥	kuet3
孓	孓	kuet3
獗	獗	kuet3
決	决	kuet3
訣	诀	kuet3
缺	缺	kuet3
蹶	蹶	kuet3
蕨	蕨	kuet3
撅	撅	kuet3
闕	阙	kuet3
抉	抉	kuet3
橛	橛	kuet3/guet6
嶇	岖	kui1
駒	驹	kui1
軀	躯	kui1
驅	驱	kui1
祛	祛	kui1
俱	俱	kui1
區	区	kui1
拘	拘	kui1
渠	渠	kui4
瞿	瞿	kui4
蠼	蠼	kui4
衢	衢	kui4
朐	朐	kui4
璩	璩	kui4
拒	拒	kui5
距	距	kui5
麴	曲	kuk1
曲	曲	kuk1
穹	穹	kung4
窮	穷	kung4
邛	邛	kung4
夸	夸	kwa1
垮	垮	kwa1
誇	夸	kwa1
侉	侉	kwa2
跨	跨	kwa3
胯	胯	kwa3
挎	挎	kwa3
框	框	kwaang1/hong1
逛	逛	kwaang3
規	规	kwai1
巋	岿	kwai1
窺	窥	kwai1
虧	亏	kwai1
盔	盔	kwai1
睽	睽	kwai4
馗	馗	kwai4
葵	葵	kwai4
畦	畦	kwai4
夔	夔	kwai4
暌	暌	kwai4
喹	喹	kwai4
攜	携	kwai4
揆	揆	kwai4/kwai5
愧	愧	kwai5
坤	坤	kwan1
昆	昆	kwan1
崑	昆	kwan1
髡	髡	kwan1
焜	焜	kwan1/wan6
菌	菌	kwan2
捆	捆	kwan2
困	困	kwan3
睏	困	kwan3
窘	窘	kwan3
群	群	kwan4
裙	裙	kwan4
擴	扩	kwok3
曠	旷	kwong3
鄺	邝	kwong3/kong3
礦	矿	kwong3/kong3
狂	狂	kwong4
喇	喇	la1
拉	拉	la1
啦	啦	la1
喇	喇	la3
拉	拉	laai1
癩	癞	laai3
賴	赖	laai6
落	落	laai6
籟	籁	laai6
籃	篮	laam4
婪	婪	laam4
藍	蓝	laam4
嵐	岚	laam4
襤	褴	laam4
攬	揽	laam5
欖	榄	laam5
覽	览	laam5
濫	滥	laam6
艦	舰	laam6
纜	缆	laam6
斕	斓	laan4
蘭	兰	laan4
欄	栏	laan4
攔	拦	laan4
闌	阑	laan4
襴	襕	laan4
瀾	澜	laan4
懶	懒	laan5
爛	烂	laan6
冷	冷	laang5
砬	砬	laap6
垃	垃	laap6
立	立	laap6
蠟	蜡	laap6
臘	腊	laap6
邋	邋	laap6/laat6
辣	辣	laat6
拉	拉	laat6
犂	犂	lai4
黎	黎	lai4
犁	犁	lai4
藜	藜	lai4
蠡	蠡	lai4/lai5
醴	醴	lai5
鱧	鳢	lai5
澧	澧	lai5
禮	礼	lai5
麗	丽	lai6
蠣	蛎	lai6
厲	厉	lai6
例	例	lai6
礪	砺	lai6
勵	励	lai6
儷	俪	lai6
荔	荔	lai6
肋	肋	lak6/laak6
鰳	鳓	lak6/laak6
勒	勒	lak6/laak6
啉	啉	lam4
淋	淋	lam4
琳	琳	lam4
霖	霖	lam4
臨	临	lam4
林	林	lam4
懍	懔	lam5
凜	凛	lam5
笠	笠	lap1
甩	甩	lat1
嘍	喽	lau1
摟	搂	lau2
劉	刘	lau4
婁	娄	lau4
流	流	lau4
琉	琉	lau4
瀏	浏	lau4
榴	榴	lau4
螻	螻	lau4
樓	楼	lau4
硫	硫	lau4
僂	偻	lau4
髏	髅	lau4
瘤	瘤	lau4
留	留	lau4
撈	捞	lau4
騮	骝	lau4
柳	柳	lau5
簍	篓	lau5
溜	溜	lau6
漏	漏	lau6
陋	陋	lau6
餾	馏	lau6
遛	遛	lau6
鏤	镂	lau6
蹓	蹓	lau6
哩	哩	le1
咧	咧	le1
咧	咧	le2
璃	璃	lei1
喱	喱	lei1
璃	璃	lei4
罹	罹	lei4
縭	缡	lei4
梨	梨	lei4
蜊	蜊	lei4
漓	漓	lei4
鱺	鲡	lei4
離	离	lei4
釐	厘	lei4
狸	狸	lei4
籬	篱	lei4
履	履	lei5
李	李	lei5
里	里	lei5
鯉	鲤	lei5
鋰	锂	lei5
邐	逦	lei5
理	理	lei5
娌	娌	lei5
俚	俚	lei5
哩	哩	lei5/ying1/lei5
蒞	莅	lei6
利	利	lei6
俐	俐	lei6
吏	吏	lei6
痢	痢	lei6
猁	猁	lei6
莉	莉	lei6
靚	靓	leng3
略	略	leuk6
掠	掠	leuk6
兩	两	leung2
莨	莨	leung4
粱	粱	leung4
良	良	leung4
梁	梁	leung4
糧	粮	leung4
涼	凉	leung4
量	量	leung4
兩	两	leung5
倆	俩	leung5
魎	魉	leung5
亮	亮	leung6
量	量	leung6
輛	辆	leung6
諒	谅	leung6
踉	踉	leung6
哩	哩	li1
靂	雳	lik1
櫪	枥	lik1
礫	砾	lik1
瀝	沥	lik1/lik6
力	力	lik6
曆	历	lik6
歷	历	lik6
令	令	lim1
鐮	镰	lim4
帘	帘	lim4
簾	帘	lim4
廉	廉	lim4
殮	殓	lim5
臉	脸	lim5
斂	敛	lim6
襝	裣	lim6
鏈	链	lin4
連	连	lin4
憐	怜	lin4
漣	涟	lin4
蓮	莲	lin4
輦	辇	lin5
攆	撵	lin5
煉	炼	lin6
練	练	lin6
呤	呤	ling4
櫺	櫺	ling4
翎	翎	ling4
苓	苓	ling4
羚	羚	ling4
稜	棱	ling4
綾	绫	ling4
菱	菱	ling4
零	零	ling4
鈴	铃	ling4
靈	灵	ling4
蛉	蛉	ling4
伶	伶	ling4
陵	陵	ling4
聆	聆	ling4
齡	龄	ling4
凌	凌	ling4
囹	囹	ling4
玲	玲	ling4
鯪	鲮	ling4
令	令	ling4
領	领	ling5/leng5
嶺	岭	ling5/leng5
令	令	ling6
愣	愣	ling6
另	另	ling6
獵	猎	lip6
鬣	鬣	lip6
列	列	lit6
裂	裂	lit6
捩	捩	lit6
烈	烈	lit6
冽	冽	lit6
溜	溜	liu1
撂	撂	liu1
撩	撩	liu1
遼	辽	liu4
僚	僚	liu4
嘹	嘹	liu4
獠	獠	liu4
寮	寮	liu4
瞭	瞭	liu4
燎	燎	liu4
撩	撩	liu4
療	疗	liu4
聊	聊	liu4
寥	寥	liu4
鐐	镣	liu4
繚	缭	liu4
瞭	了	liu5
了	了	liu5
潦	潦	liu5/liu2
料	料	liu6
尥	尥	liu6
廖	廖	liu6
撈	捞	lo1
嚕	噜	lo1
佬	佬	lo2
爐	炉	lo4
盧	卢	lo4
顱	颅	lo4
廬	庐	lo4
勞	劳	lo4
牢	牢	lo4
癆	痨	lo4
醪	醪	lo4
蘆	芦	lo4
轤	轳	lo4
嘮	唠	lo4
瀘	泸	lo4
鱸	鲈	lo4
臚	胪	lo4
擄	掳	lo5
姥	姥	lo5
老	老	lo5
魯	鲁	lo5
鹵	卤	lo5
滷	卤	lo5
櫓	橹	lo5
虜	虏	lo5
露	露	lo6
澇	涝	lo6
鷺	鹭	lo6
勞	劳	lo6
賂	赂	lo6
輅	辂	lo6
潞	潞	lo6
嫪	嫪	lo6
璐	璐	lo6
路	路	lo6
咯	咯	loh1
囉	囉	loh1
旯	旯	loh1/lok3
裸	裸	loh2
蘿	萝	loh4
籮	箩	loh4
鑼	锣	loh4
羅	罗	loh4
邏	逻	loh4
玀	猡	loh4
螺	螺	loh4/loh2
崍	崃	loi4
徠	徕	loi4
淶	涞	loi4
萊	莱	loi4
來	来	loi4
賚	赉	loi6
睞	睐	loi6
耒	耒	loi6/lui6
珞	珞	lok3
鉻	铬	lok3
酪	酪	lok3
絡	络	lok3
餎	饹	lok3
烙	烙	lok3
洛	洛	lok3/lok6
駱	骆	lok3/lok6
樂	乐	lok6
落	落	lok6
啷	啷	long1
郎	郎	long2
郎	郎	long4
莨	莨	long4
榔	榔	long4
狼	狼	long4
鋃	锒	long4
廊	廊	long4
螂	螂	long4
瑯	琅	long4
朗	朗	long5
晾	晾	long6
浪	浪	long6
蒗	蒗	long6
閬	阆	long6/long4
戀	恋	luen2
臠	脔	luen2/luen4
欒	栾	luen4
鸞	鸾	luen4
孿	孪	luen4
聯	联	luen4
巒	峦	luen4
灤	滦	luen4
攣	挛	luen4
亂	乱	luen6
捋	捋	luet3
劣	劣	luet3/luet6
纍	累	lui4
雷	雷	lui4
縲	缧	lui4
嫘	嫘	lui4
羸	羸	lui4
鐳	镭	lui4
擂	擂	lui4
閭	闾	lui4
驢	驴	lui4
櫚	榈	lui4
騾	骡	lui4/loh4
膂	膂	lui5
旅	旅	lui5
壘	垒	lui5
呂	吕	lui5
屢	屡	lui5
累	累	lui5
裡	里	lui5
儡	儡	lui5
磊	磊	lui5
縷	缕	lui5
鋁	铝	lui5
侶	侣	lui5
褸	褛	lui5
蕾	蕾	lui5/lui4
慮	虑	lui6
戾	戾	lui6
漯	漯	lui6
淚	泪	lui6
累	累	lui6
濾	滤	lui6
類	类	lui6
轆	辘	luk1
碌	碌	luk1
麓	麓	luk1
碌	碌	luk6
錄	录	luk6
六	六	luk6
氯	氯	luk6
戮	戮	luk6
祿	禄	luk6
綠	绿	luk6
鹿	鹿	luk6
陸	陆	luk6
漉	漉	luk6
卵	卵	lun2
淪	沦	lun4
磷	磷	lun4
麟	麟	lun4
鄰	邻	lun4
輪	轮	lun4
圇	囵	lun4
侖	仑	lun4
綸	纶	lun4
璘	璘	lun4
遴	遴	lun4
崙	仑	lun4
倫	伦	lun4
鱗	鳞	lun4
嶙	嶙	lun4
粼	粼	lun4
論	论	lun4
掄	抡	lun4
藺	蔺	lun6
躪	躏	lun6
論	论	lun6
吝	吝	lun6
瓏	珑	lung4
曨	昽	lung4
窿	窿	lung4
嚨	咙	lung4
聾	聋	lung4
蘢	茏	lung4
矓	眬	lung4
隆	隆	lung4
籠	笼	lung4
龍	龙	lung4
朧	胧	lung4
壟	垄	lung5
隴	陇	lung5
籠	笼	lung5
攏	拢	lung5
弄	弄	lung6
溧	溧	lut6
鷸	鹬	lut6
慄	栗	lut6
傈	傈	lut6
律	律	lut6
率	率	lut6
栗	栗	lut6
篥	篥	lut6
嬤	嬷	ma1
媽	妈	ma1
嗎	吗	ma1/ma3
嘛	嘛	ma3
麻	麻	ma4
痲	麻	ma4
蟆	蟆	ma4
馬	马	ma5
獁	犸	ma5
瑪	玛	ma5
螞	蚂	ma5
碼	码	ma5
罵	骂	ma6
埋	埋	maai4
霾	霾	maai4/mai4
蕒	荬	maai5
買	买	maai5
邁	迈	maai6
賣	卖	maai6
擘	擘	maak3
謾	谩	maan4
鰻	鳗	maan4
蠻	蛮	maan4
饅	馒	maan4
蔓	蔓	maan4
晚	晚	maan5
漫	漫	maan6
幔	幔	maan6
萬	万	maan6
慢	慢	maan6
謾	谩	maan6
嫚	嫚	maan6
鏝	镘	maan6
蔓	蔓	maan6
墁	墁	maan6
縵	缦	maan6
熳	熳	maan6
曼	曼	maan6
繃	绷	maang1
盲	盲	maang4
蜢	蜢	maang5
猛	猛	maang5
勐	勐	maang5
錳	锰	maang5
孟	孟	maang6
貓	猫	maau1
茅	茅	maau4
矛	矛	maau4
鉚	铆	maau5
卯	卯	maau5
懋	懋	maau6
貌	貌	maau6
袤	袤	maau6
咪	咪	mai1/mei1
醚	醚	mai4
瞇	眯	mai4
迷	迷	mai4
謎	谜	mai4
米	米	mai5
袂	袂	mai6
万	万	mak6
麥	麦	mak6
墨	墨	mak6
脈	脉	mak6
默	默	mak6
驀	蓦	mak6
貘	貘	mak6
陌	陌	mak6
蚊	蚊	man1
緡	缗	man4
聞	闻	man4
文	文	man4
玟	玟	man4
紋	纹	man4
雯	雯	man4
民	民	man4
岷	岷	man4
旻	旻	man4
忞	忞	man4
珉	珉	man4
苠	苠	man4
氓	氓	man4
鰵	鳘	man5
抿	抿	man5
憫	悯	man5
刎	刎	man5
閩	闽	man5
閔	闵	man5
吻	吻	man5
泯	泯	man5
敏	敏	man5
黽	黾	man5
愍	愍	man5
湣	湣	man5
澠	渑	man5
汶	汶	man6
問	问	man6
紊	紊	man6
盟	盟	mang4
萌	萌	mang4
勿	勿	mat6
密	密	mat6
蜜	蜜	mat6
物	物	mat6
襪	袜	mat6
嘧	嘧	mat6
宓	宓	mat6
謐	谧	mat6
哞	哞	mau1
眸	眸	mau4
牟	牟	mau4
謀	谋	mau4
繆	缪	mau4
某	某	mau5
畝	亩	mau5
牡	牡	mau5
茂	茂	mau6
謬	谬	mau6
貿	贸	mau6
哶	哶	me1
楣	楣	mei4
嵋	嵋	mei4
靡	靡	mei4
蘼	蘼	mei4
眉	眉	mei4
微	微	mei4
薇	薇	mei4
湄	湄	mei4
麋	麋	mei4
獼	猕	mei4/nei4
瀰	弥	mei4/nei4
鎂	镁	mei5
美	美	mei5
娓	娓	mei5
媺	媺	mei5
尾	尾	mei5
魅	魅	mei6
寐	寐	mei6
味	味	mei6
未	未	mei6
媚	媚	mei6
命	命	meng6
冪	幂	mik6
汨	汨	mik6
鼏	鼏	mik6
覓	觅	mik6
棉	棉	min4
綿	绵	min4
眠	眠	min4
靦	腼	min5
免	免	min5
娩	娩	min5
冕	冕	min5
緬	缅	min5
勉	勉	min5
麵	面	min6
面	面	min6
洺	洺	ming4
名	名	ming4
鳴	鸣	ming4
明	明	ming4
溟	溟	ming4
螟	螟	ming4
冥	冥	ming4
瞑	瞑	ming4/ming5
銘	铭	ming4/ming5
暝	暝	ming4/ming6
皿	皿	ming5
酩	酩	ming5
茗	茗	ming5/ming4
命	命	ming6
滅	灭	mit6
篾	篾	mit6
衊	蔑	mit6
蔑	蔑	mit6
喵	喵	miu1
苗	苗	miu4
描	描	miu4
瞄	瞄	miu4
渺	渺	miu5
杳	杳	miu5
秒	秒	miu5
邈	邈	miu5
藐	藐	miu5
淼	淼	miu5
緲	缈	miu5
妙	妙	miu6
廟	庙	miu6
誣	诬	mo4
蕪	芜	mo4
無	无	mo4
毛	毛	mo4
毋	毋	mo4
膜	膜	mo4
謨	谟	mo4
摹	摹	mo4
髦	髦	mo4
巫	巫	mo4
模	模	mo4
氂	牦	mo4/lei4
姆	姆	mo5
武	武	mo5
母	母	mo5
侮	侮	mo5
鵡	鹉	mo5
舞	舞	mo5
拇	拇	mo5
嫵	妩	mo5
婺	婺	mo6
暮	暮	mo6
冒	冒	mo6
戊	戊	mo6
鶩	鹜	mo6
瑁	瑁	mo6
務	务	mo6
耄	耄	mo6
騖	骛	mo6
霧	雾	mo6
帽	帽	mo6
慕	慕	mo6
募	募	mo6
墓	墓	mo6
摩	摩	moh1
麼	么	moh1
魔	魔	moh1
摸	摸	moh2
磨	磨	moh4
蘑	蘑	moh4
饃	馍	moh4
剝	剥	mok1
漠	漠	mok6
膜	膜	mok6
幕	幕	mok6
莫	莫	mok6
寞	寞	mok6
茫	茫	mong4
忘	忘	mong4
芒	芒	mong4
忙	忙	mong4
氓	氓	mong4
亡	亡	mong4
鋩	铓	mong4
莽	莽	mong4
虻	虻	mong4
罔	罔	mong5
輞	辋	mong5
魍	魍	mong5
網	网	mong5
蟒	蟒	mong5
惘	惘	mong5
妄	妄	mong5
望	望	mong6
媒	媒	mooi4
煤	煤	mooi4
玫	玫	mooi4
枚	枚	mooi4
霉	霉	mooi4
莓	莓	mooi4
酶	酶	mooi4
梅	梅	mooi4
每	每	mooi5
昧	昧	mooi6
妹	妹	mooi6
鞔	鞔	moon4
門	门	moon4
瞞	瞒	moon4
們	们	moon4
捫	扪	moon4
蟎	螨	moon5
滿	满	moon5
悶	闷	moon6
燜	焖	moon6
沫	沫	moot3
抹	抹	moot3/maat3
歿	殁	moot6
末	末	moot6
沒	没	moot6
茉	茉	moot6
靺	靺	moot6
牧	牧	muk6
睦	睦	muk6
鉬	钼	muk6
沐	沐	muk6
穆	穆	muk6
仫	仫	muk6
木	木	muk6
苜	苜	muk6
目	目	muk6
朦	朦	mung4
曚	曚	mung4
矇	蒙	mung4
檬	檬	mung4
蒙	蒙	mung4
濛	蒙	mung4
蠓	蠓	mung5
懵	懵	mung5/mung2
夢	梦	mung6
哪	哪	na1
娜	娜	na4
拿	拿	na4
南	南	na4
哪	哪	na4
哪	哪	na5
那	那	na5
乃	乃	naai5
氖	氖	naai5
奶	奶	naai5
鼐	鼐	naai5
男	男	naam4
南	南	naam4
楠	楠	naam4
囡	囡	naam4
喃	喃	naam4
腩	腩	naam5
難	难	naan4
赧	赧	naan5
難	难	naan6
納	纳	naap6
吶	呐	naap6
鈉	钠	naap6
衲	衲	naap6
捺	捺	naat6
孬	孬	naau1
鐃	铙	naau4
錨	锚	naau4
撓	挠	naau4
橈	桡	naau4
猱	猱	naau4
淖	淖	naau6
鬧	闹	naau6
泥	泥	nai4
呢	呢	nai4/nei4
稔	稔	nam5
能	能	nang4
粒	粒	nap1/lap1
鈕	钮	nau2
朽	朽	nau2
扭	扭	nau2
妞	妞	nau2
狃	狃	nau2
紐	纽	nau2
呢	呢	ne1
彌	弥	nei4
怩	怩	nei4
鈮	铌	nei4
妮	妮	nei4
尼	尼	nei4
您	您	nei5
妳	你	nei5
你	你	nei5
旎	旎	nei5
膩	腻	nei6
餌	饵	nei6
娘	娘	neung4
嗯	嗯	ng2
吳	吴	ng4
吾	吾	ng4
梧	梧	ng4
鼯	鼯	ng4
蜈	蜈	ng4
忤	忤	ng5
五	五	ng5
午	午	ng5
伍	伍	ng5
牾	牾	ng5
焐	焐	ng6
摀	捂	ng6
嗯	嗯	ng6
悟	悟	ng6
誤	误	ng6
晤	晤	ng6
牙	牙	nga4
芽	芽	nga4
衙	衙	nga4
瓦	瓦	nga5
雅	雅	nga5
佤	佤	nga5
訝	讶	nga6
涯	涯	ngaai4
睚	睚	ngaai4
厓	厓	ngaai4
捱	挨	ngaai4
崖	崖	ngaai4
砹	砹	ngaai6
刈	刈	ngaai6
艾	艾	ngaai6
額	额	ngaak6
癌	癌	ngaam4
岩	岩	ngaam4
顏	颜	ngaan4
眼	眼	ngaan5
贗	赝	ngaan6
雁	雁	ngaan6
硬	硬	ngaang6
淆	淆	ngaau4
餚	肴	ngaau4
爻	爻	ngaau4
咬	咬	ngaau5
霓	霓	ngai4
危	危	ngai4
巍	巍	ngai4
猊	猊	ngai4
倪	倪	ngai4
蟻	蚁	ngai5
偽	伪	ngai6
羿	羿	ngai6
睨	睨	ngai6
藝	艺	ngai6
毅	毅	ngai6
囈	呓	ngai6
詣	诣	ngai6
魏	魏	ngai6
齗	龂	ngan4
垠	垠	ngan4
沂	沂	ngan4
銀	银	ngan4
齦	龈	ngan4
迄	迄	ngat6
圪	圪	ngat6
兀	兀	ngat6
屹	屹	ngat6
杌	杌	ngat6
勾	勾	ngau1
牛	牛	ngau4
藕	藕	ngau5
偶	偶	ngau5
齧	啮	ngit6/ngaat6
懊	懊	ngo3
奧	奥	ngo3
澳	澳	ngo3
襖	袄	ngo3/ngo2
敖	敖	ngo4
鰲	鳌	ngo4
翱	翱	ngo4
螯	螯	ngo4
獒	獒	ngo4
驁	骜	ngo4
熬	熬	ngo4/ngau4
遨	遨	ngo4/ngo6
傲	傲	ngo6
娥	娥	ngoh4
鵝	鹅	ngoh4
俄	俄	ngoh4
峨	峨	ngoh4
蛾	蛾	ngoh4
訛	讹	ngoh4
哦	哦	ngoh4
莪	莪	ngoh4
我	我	ngoh5
臥	卧	ngoh6
餓	饿	ngoh6
呆	呆	ngoi4
外	外	ngoi6
礙	碍	ngoi6
岳	岳	ngok6
嶽	岳	ngok6
鄂	鄂	ngok6
樂	乐	ngok6
鱷	鳄	ngok6
顎	颚	ngok6
噩	噩	ngok6
愕	愕	ngok6
岸	岸	ngon6
犴	犴	ngon6
骯	肮	ngong1/ngong3
盎	盎	ngong3/ngong2
昂	昂	ngong4
暱	昵	nik1
匿	匿	nik1
溺	溺	nik1/nik6
拈	拈	nim1
黏	黏	nim1/jim1
粘	粘	nim1/jim1
捻	捻	nim2
鯰	鲇	nim4
唸	念	nim6
念	念	nim6
廿	廿	nim6
年	年	nin4
碾	碾	nin5
寧	宁	ning4
嚀	咛	ning4
獰	狞	ning4
檸	柠	ning4
擰	拧	ning6
濘	泞	ning6
佞	佞	ning6
鎳	镍	nip1
捏	捏	nip6
躡	蹑	nip6
隉	陧	nip6
聶	聂	nip6
顳	颞	nip6
涅	涅	nip6
鑷	镊	nip6
鳥	鸟	niu5
裊	袅	niu5
尿	尿	niu6
溺	溺	niu6
奴	奴	no4
弩	弩	no5
腦	脑	no5
惱	恼	no5
瑙	瑙	no5
努	努	no5/lo5
怒	怒	no6
挪	挪	noh4
挼	挼	noh4
懦	懦	noh6
糯	糯	noh6
耐	耐	noi6
奈	奈	noi6
內	内	noi6
諾	诺	nok6
饢	馕	nong4
囔	囔	nong4
瓤	瓤	nong4
囊	囊	nong4
饢	馕	nong5
齉	齉	nong6
暖	暖	nuen5
嫩	嫩	nuen6
釹	钕	nui5
餒	馁	nui5
女	女	nui5/lui5
忸	忸	nuk6/nau2
農	农	nung4
儂	侬	nung4
膿	脓	nung4
濃	浓	nung4
訥	讷	nut6/naap6
媼	媪	o2
喔	喔	oh1
軻	轲	oh1
柯	柯	oh1
珂	珂	oh1
阿	阿	oh1
婀	婀	oh1
噢	噢	oh1
哦	哦	oh4
哦	哦	oh6
哀	哀	oi1
埃	埃	oi1
靉	叆	oi2
藹	蔼	oi2
曖	暧	oi2
毐	毐	oi2
愛	爱	oi3
璦	瑷	oi3
噁	恶	ok3
惡	恶	ok3
堊	垩	ok3
鞍	鞍	on1
銨	铵	on1
胺	胺	on1
桉	桉	on1
氨	氨	on1
安	安	on1
摁	摁	on3
按	按	on3
案	案	on3
趴	趴	pa1
怕	怕	pa3
扒	扒	pa4
爬	爬	pa4
杷	杷	pa4
琶	琶	pa4
耙	耙	pa4
哌	哌	paai3
派	派	paai3
湃	湃	paai3/baai3
排	排	paai4
牌	牌	paai4
俳	俳	paai4
啪	啪	paak1
帕	帕	paak3
柏	柏	paak3
拍	拍	paak3
魄	魄	paak3
珀	珀	paak3
攀	攀	paan1
扳	扳	paan1
盼	盼	paan3
袢	袢	paan3
澎	澎	paang1
烹	烹	paang1
鵬	鹏	paang4
硼	硼	paang4
澎	澎	paang4
棚	棚	paang4
彭	彭	paang4
膨	膨	paang4
棒	棒	paang5
拋	抛	paau1
泡	泡	paau1
脬	脬	paau1
跑	跑	paau2
疱	疱	paau3
炮	炮	paau3
泡	泡	paau3
豹	豹	paau3
咆	咆	paau4
庖	庖	paau4
刨	刨	paau4
麅	狍	paau4
匏	匏	paau4
批	批	pai1
睥	睥	pai5
噴	喷	pan3
顰	颦	pan4
嬪	嫔	pan4
貧	贫	pan4
頻	频	pan4
牝	牝	pan5
朋	朋	pang4
憑	凭	pang4
匹	匹	pat1
疋	疋	pat1
剖	剖	pau2
抔	抔	pau4
