開放粵語字典（黃錫凌數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［黃錫凌拼音］
董	董	dʊŋ2
懂	懂	dʊŋ2
凍	冻	dʊŋ3
棟	栋	dʊŋ3
慟	恸	dʊŋ6
胴	胴	dʊŋ6
動	动	dʊŋ6
恫	恫	dʊŋ6
侗	侗	dʊŋ6
洞	洞	dʊŋ6
欸	欸	ei1
欸	欸	ei2
欸	欸	ei4
欸	欸	ei6
花	花	fa1
化	化	fa3
塊	块	fai3
傀	傀	fai3
筷	筷	fai3
噲	哙	fai3
快	快	fai3
番	番	fan1
翻	翻	fan1
幡	幡	fan1
旛	旛	fan1
反	反	fan2
犯	犯	fan2
返	返	fan2
販	贩	fan3/fan2
泛	泛	fan3/fan6
釩	钒	fan4
帆	帆	fan4
凡	凡	fan4
繁	繁	fan4
藩	藩	fan4
樊	樊	fan4
礬	矾	fan4
煩	烦	fan4
蕃	蕃	fan4
梵	梵	fan4/fan6
範	范	fan6
飯	饭	fan6
范	范	fan6
瓣	瓣	fan6
犯	犯	fan6
琺	珐	fat8
發	发	fat8
髮	发	fat8
法	法	fat8
飛	飞	fei1
非	非	fei1
菲	菲	fei1
妃	妃	fei1
緋	绯	fei1
扉	扉	fei1
霏	霏	fei1
蜚	蜚	fei1
鯡	鲱	fei1
榧	榧	fei2
斐	斐	fei2
翡	翡	fei2
匪	匪	fei2
誹	诽	fei2
悱	悱	fei2
腓	腓	fei4
肥	肥	fei4
骷	骷	fu1
俘	俘	fu1
枯	枯	fu1
呼	呼	fu1
麩	麸	fu1
孵	孵	fu1
膚	肤	fu1
孚	孚	fu1
敷	敷	fu1
夫	夫	fu1
軤	轷	fu1
釜	釜	fu2
唬	唬	fu2
腑	腑	fu2
撫	抚	fu2
苦	苦	fu2
虎	虎	fu2
府	府	fu2
斧	斧	fu2
甫	甫	fu2
俯	俯	fu2
琥	琥	fu2
拊	拊	fu2
賦	赋	fu3
富	富	fu3
庫	库	fu3
副	副	fu3
褲	裤	fu3
絝	绔	fu3
戽	戽	fu3
芙	芙	fu4
乎	乎	fu4
符	符	fu4
扶	扶	fu4
婦	妇	fu5
附	附	fu6
負	负	fu6
赴	赴	fu6
仆	仆	fu6
腐	腐	fu6
輔	辅	fu6
父	父	fu6
訃	讣	fu6
傅	傅	fu6
付	付	fu6
駙	驸	fu6
鮒	鲋	fu6
咐	咐	fu6
恢	恢	fui1
魁	魁	fui1
詼	诙	fui1
灰	灰	fui1
奎	奎	fui1/kwɐi1
鮪	鲔	fui2
悔	悔	fui3
晦	晦	fui3
誨	诲	fui3
髖	髋	fun1
寬	宽	fun1
貛	獾	fun1
歡	欢	fun1
款	款	fun2
闊	阔	fut8
徽	徽	fɐi1
輝	辉	fɐi1
揮	挥	fɐi1
暉	晖	fɐi1
撝	撝	fɐi1
廢	废	fɐi3
肺	肺	fɐi3
費	费	fɐi3
沸	沸	fɐi3
狒	狒	fɐi3
吠	吠	fɐi6
醺	醺	fɐn1
勳	勋	fɐn1
燻	熏	fɐn1
芬	芬	fɐn1
酚	酚	fɐn1
熏	熏	fɐn1
昏	昏	fɐn1
葷	荤	fɐn1
婚	婚	fɐn1
薰	薰	fɐn1
氛	氛	fɐn1
紛	纷	fɐn1
分	分	fɐn1
吩	吩	fɐn1
粉	粉	fɐn2
訓	训	fɐn3
糞	粪	fɐn3
汾	汾	fɐn4
墳	坟	fɐn4
焚	焚	fɐn4
憤	愤	fɐn5
奮	奋	fɐn5
忿	忿	fɐn5
分	分	fɐn6
份	份	fɐn6
弗	弗	fɐt7
囫	囫	fɐt7
惚	惚	fɐt7
忽	忽	fɐt7
氟	氟	fɐt7
彿	佛	fɐt7
笏	笏	fɐt7
窟	窟	fɐt7
拂	拂	fɐt7
罰	罚	fɐt9
閥	阀	fɐt9
佛	佛	fɐt9
筏	筏	fɐt9
伐	伐	fɐt9
乏	乏	fɐt9
否	否	fɐu2
浮	浮	fɐu4
阜	阜	fɐu6
蝌	蝌	fɔ1
科	科	fɔ1
夥	伙	fɔ2
伙	伙	fɔ2
顆	颗	fɔ2
火	火	fɔ2
課	课	fɔ3
貨	货	fɔ3
攫	攫	fɔk8
霍	霍	fɔk8
芳	芳	fɔŋ1
慌	慌	fɔŋ1
謊	谎	fɔŋ1
肪	肪	fɔŋ1
邡	邡	fɔŋ1
荒	荒	fɔŋ1
方	方	fɔŋ1
坊	坊	fɔŋ1
仿	仿	fɔŋ2
恍	恍	fɔŋ2
幌	幌	fɔŋ2
紡	纺	fɔŋ2
晃	晃	fɔŋ2
彷	仿	fɔŋ2
訪	访	fɔŋ2
放	放	fɔŋ3
況	况	fɔŋ3
房	房	fɔŋ4
防	防	fɔŋ4
妨	妨	fɔŋ4
啡	啡	fɛ1
輻	辐	fʊk7
複	复	fʊk7
腹	腹	fʊk7
覆	覆	fʊk7
福	福	fʊk7
幅	幅	fʊk7
馥	馥	fʊk7
蝮	蝮	fʊk7
蝠	蝠	fʊk7
伏	伏	fʊk9
茯	茯	fʊk9
袱	袱	fʊk9
復	复	fʊk9
服	服	fʊk9
宓	宓	fʊk9
鋒	锋	fʊŋ1
峰	峰	fʊŋ1
蜂	蜂	fʊŋ1
丰	丰	fʊŋ1
烽	烽	fʊŋ1
封	封	fʊŋ1
瘋	疯	fʊŋ1
豐	丰	fʊŋ1
楓	枫	fʊŋ1
風	风	fʊŋ1
諷	讽	fʊŋ3
馮	冯	fʊŋ4
逢	逢	fʊŋ4
縫	缝	fʊŋ4
縫	缝	fʊŋ4/fʊŋ6
奉	奉	fʊŋ6
鳳	凤	fʊŋ6
俸	俸	fʊŋ6/fʊŋ2
加	加	ga1
痂	痂	ga1
珈	珈	ga1
迦	迦	ga1
家	家	ga1
鎵	镓	ga1
枷	枷	ga1
袈	袈	ga1
伽	伽	ga1
傢	家	ga1
嘉	嘉	ga1
噶	噶	ga1
架	架	ga2
檟	槚	ga2
尕	尕	ga2
假	假	ga2
賈	贾	ga2
斝	斝	ga2
嫁	嫁	ga3
駕	驾	ga3
稼	稼	ga3
假	假	ga3
咖	咖	ga3
架	架	ga3
價	价	ga3
階	阶	gai1
秸	秸	gai1
偕	偕	gai1
佳	佳	gai1
街	街	gai1
皆	皆	gai1
解	解	gai2
蚧	蚧	gai2/gwai2
屆	届	gai3
芥	芥	gai3
戒	戒	gai3
疥	疥	gai3
界	界	gai3
尬	尬	gai3
介	介	gai3
解	解	gai3
誡	诫	gai3
嗝	嗝	gak8
隔	隔	gak8
膈	膈	gak8
革	革	gak8
格	格	gak8
胳	胳	gak8
骼	骼	gak8
鎘	镉	gak8
緘	缄	gam1
監	监	gam1
尷	尴	gam1/gam3
減	减	gam2
監	监	gam3
鑑	鉴	gam3
奸	奸	gan1
艱	艰	gan1
姦	奸	gan1
間	间	gan1
繭	茧	gan2
揀	拣	gan2
鐧	锏	gan2
鹼	碱	gan2
簡	简	gan2
柬	柬	gan2
澗	涧	gan3
間	间	gan3
諫	谏	gan3
蛺	蛱	gap8
袷	袷	gap8
鉀	钾	gap8
頰	颊	gap8
甲	甲	gap8
餄	饸	gap8
莢	荚	gap8
夾	夹	gap8
岬	岬	gap8
胛	胛	gap8
郟	郏	gap8
軋	轧	gat8
茭	茭	gau1
郊	郊	gau1
蛟	蛟	gau1
交	交	gau1
跤	跤	gau1
膠	胶	gau1
攪	搅	gau2
搞	搞	gau2
餃	饺	gau2
絞	绞	gau2
鉸	铰	gau2
佼	佼	gau2
狡	狡	gau2
姣	姣	gau2
皎	皎	gau2
教	教	gau3
覺	觉	gau3
窖	窖	gau3
校	校	gau3
較	较	gau3
鉸	铰	gau3
酵	酵	gau3/hau1
更	更	gaŋ1
耕	耕	gaŋ1
姬	姬	gei1
几	几	gei1
覊	羁	gei1
嘰	叽	gei1
譏	讥	gei1
磯	矶	gei1
犄	犄	gei1
璣	玑	gei1
畸	畸	gei1
肌	肌	gei1
奇	奇	gei1
機	机	gei1
箕	箕	gei1
乩	乩	gei1
基	基	gei1
飢	饥	gei1
幾	几	gei1
畿	畿	gei1
杞	杞	gei2
紀	纪	gei2
幾	几	gei2
己	己	gei2
記	记	gei3
既	既	gei3
寄	寄	gei3
覬	觊	gei3
紀	纪	gei3
妓	妓	gei6
芰	芰	gei6
技	技	gei6
伎	伎	gei6
忌	忌	gei6
棘	棘	gik7
擊	击	gik7
戟	戟	gik7
激	激	gik7
亟	亟	gik7
殛	殛	gik7
極	极	gik9
鶼	鹣	gim1
搛	搛	gim1
兼	兼	gim1
瞼	睑	gim2
檢	检	gim2
撿	捡	gim2
劍	剑	gim3
儉	俭	gim6
肩	肩	gin1
犍	犍	gin1
堅	坚	gin1
腱	腱	gin3
見	见	gin3
建	建	gin3
件	件	gin6
鍵	键	gin6
健	健	gin6
劫	劫	gip8
潔	洁	git8
結	结	git8
拮	拮	git8
傑	杰	git9
桀	桀	git9
驕	骄	giu1
嬌	娇	giu1
繳	缴	giu2
矯	矫	giu2
叫	叫	giu3
轎	轿	giu6
撬	撬	giu6
睾	睾	gou1
羔	羔	gou1
皋	皋	gou1
膏	膏	gou1
糕	糕	gou1
高	高	gou1
藁	藁	gou2
槁	槁	gou2
稿	稿	gou2
縞	缟	gou2
鎬	镐	gou2
杲	杲	gou2
告	告	gou3
鋯	锆	gou3
郜	郜	gou3
誥	诰	gou6
辜	辜	gu1
沽	沽	gu1
蛄	蛄	gu1
軲	轱	gu1
咕	咕	gu1
孤	孤	gu1
姑	姑	gu1
觚	觚	gu1
菇	菇	gu1
估	估	gu2
鼓	鼓	gu2
股	股	gu2
賈	贾	gu2
牯	牯	gu2
蠱	蛊	gu2
古	古	gu2
鈷	钴	gu2
錮	锢	gu3
故	故	gu3
顧	顾	gu3
僱	雇	gu3
固	固	gu3
冠	冠	gun1
官	官	gun1
棺	棺	gun1
觀	观	gun1
倌	倌	gun1
莞	莞	gun1
管	管	gun2
館	馆	gun2
莞	莞	gun2
脘	脘	gun2
灌	灌	gun3
冠	冠	gun3
鸛	鹳	gun3
盥	盥	gun3
貫	贯	gun3
罐	罐	gun3
瓜	瓜	gwa1
呱	呱	gwa1
寡	寡	gwa2
卦	卦	gwa3
褂	褂	gwa3
掛	挂	gwa3
乖	乖	gwai1
蒯	蒯	gwai2
柺	柺	gwai2
拐	拐	gwai2
怪	怪	gwai3
摑	掴	gwak8
關	关	gwan1
鰥	鳏	gwan1
慣	惯	gwan3
摜	掼	gwan3
颳	刮	gwat8
刮	刮	gwat8
虢	虢	gwik7
隙	隙	gwik7/kwɪŋ1
龜	龟	gwɐi1
硅	硅	gwɐi1
閨	闺	gwɐi1
歸	归	gwɐi1
圭	圭	gwɐi1
瑰	瑰	gwɐi1
鮭	鲑	gwɐi1
皈	皈	gwɐi1
晷	晷	gwɐi2
鬼	鬼	gwɐi2
詭	诡	gwɐi2
軌	轨	gwɐi2
季	季	gwɐi3
桂	桂	gwɐi3
瑰	瑰	gwɐi3
悸	悸	gwɐi3
貴	贵	gwɐi3
癸	癸	gwɐi3
櫃	柜	gwɐi6
簣	篑	gwɐi6
饋	馈	gwɐi6
跪	跪	gwɐi6
筠	筠	gwɐn1
鯤	鲲	gwɐn1
鋆	鋆	gwɐn1
君	君	gwɐn1
鈞	钧	gwɐn1
錕	锟	gwɐn1
均	均	gwɐn1
綸	纶	gwɐn1
軍	军	gwɐn1
滾	滚	gwɐn2
棍	棍	gwɐn3
珺	珺	gwɐn6
郡	郡	gwɐn6
橘	橘	gwɐt7
骨	骨	gwɐt7
倔	倔	gwɐt9
掘	掘	gwɐt9
崛	崛	gwɐt9
訇	訇	gwɐŋ1
肱	肱	gwɐŋ1
轟	轰	gwɐŋ1
薨	薨	gwɐŋ1
戈	戈	gwɔ1
果	果	gwɔ2
裹	裹	gwɔ2
過	过	gwɔ3
郭	郭	gwɔk8
國	国	gwɔk8
幗	帼	gwɔk8
膕	腘	gwɔk8
廓	廓	gwɔk8/kwɔk8
光	光	gwɔŋ1
胱	胱	gwɔŋ1
桄	桄	gwɔŋ1
誑	诳	gwɔŋ2
獷	犷	gwɔŋ2
廣	广	gwɔŋ2
桄	桄	gwɔŋ3
迥	迥	gwɪŋ2
炯	炯	gwɪŋ2
娟	娟	gyn1
涓	涓	gyn1
捐	捐	gyn1
鵑	鹃	gyn1
蠲	蠲	gyn1
捲	卷	gyn2
卷	卷	gyn2
眷	眷	gyn3
絹	绢	gyn3
券	券	gyn3
鄄	鄄	gyn3
倦	倦	gyn6
腳	脚	gœk8
据	据	gœy1
居	居	gœy1
蒟	蒟	gœy2
齲	龋	gœy2
莒	莒	gœy2
矩	矩	gœy2
舉	举	gœy2
櫸	榉	gœy2
據	据	gœy3
句	句	gœy3
踞	踞	gœy3
鋸	锯	gœy3/gɛu3
遽	遽	gœy6
炬	炬	gœy6
鉅	巨	gœy6
懼	惧	gœy6
詎	讵	gœy6
具	具	gœy6
颶	飓	gœy6
苣	苣	gœy6
巨	巨	gœy6
僵	僵	gœŋ1
羌	羌	gœŋ1
殭	僵	gœŋ1
蜣	蜣	gœŋ1
薑	姜	gœŋ1
韁	缰	gœŋ1
疆	疆	gœŋ1
姜	姜	gœŋ1
強	强	gœŋ6
雞	鸡	gɐi1
計	计	gɐi3
髻	髻	gɐi3
薊	蓟	gɐi3
繼	继	gɐi3
甘	甘	gɐm1
今	今	gɐm1
金	金	gɐm1
苷	苷	gɐm1
禁	禁	gɐm1
泔	泔	gɐm1
柑	柑	gɐm1
錦	锦	gɐm2
感	感	gɐm2
敢	敢	gɐm2
橄	橄	gɐm2
贛	赣	gɐm3
禁	禁	gɐm3
噤	噤	gɐm3
淦	淦	gɐm3
斤	斤	gɐn1
哏	哏	gɐn1
跟	跟	gɐn1
根	根	gɐn1
巾	巾	gɐn1
筋	筋	gɐn1
瑾	瑾	gɐn2
緊	紧	gɐn2
堇	堇	gɐn2
僅	仅	gɐn2
饉	馑	gɐn2
謹	谨	gɐn2
艮	艮	gɐn3
靳	靳	gɐn3
覲	觐	gɐn3/gɐn2
近	近	gɐn6
急	急	gɐp7
蛤	蛤	gɐp8
鴿	鸽	gɐp8
紇	纥	gɐt7
訖	讫	gɐt7
吉	吉	gɐt7
桔	桔	gɐt7
嘎	嘎	gɐt8
疙	疙	gɐt9
鉤	钩	gɐu1
鬮	阄	gɐu1
佝	佝	gɐu1
鳩	鸠	gɐu1/kɐu1
狗	狗	gɐu2
枸	枸	gɐu2
韭	韭	gɐu2
九	九	gɐu2
玖	玖	gɐu2
苟	苟	gɐu2
久	久	gɐu2
糾	纠	gɐu2/dɐu2
疚	疚	gɐu3
廄	厩	gɐu3
垢	垢	gɐu3
詬	诟	gɐu3
救	救	gɐu3
究	究	gɐu3
灸	灸	gɐu3
咎	咎	gɐu3
夠	够	gɐu3
柩	柩	gɐu3
舊	旧	gɐu6
羹	羹	gɐŋ1
更	更	gɐŋ1
庚	庚	gɐŋ1
埂	埂	gɐŋ2
梗	梗	gɐŋ2
哽	哽	gɐŋ2
耿	耿	gɐŋ2
亙	亘	gɐŋ2
鯁	鲠	gɐŋ2/kɐŋ2
更	更	gɐŋ3
哥	哥	gɔ1
仡	仡	gɔ1
歌	歌	gɔ1
旮	旮	gɔ1/gɔk8
菏	菏	gɔ1/hɔ4
個	个	gɔ3
賅	赅	gɔi1
該	该	gɔi1
改	改	gɔi2
蓋	盖	gɔi3
咯	咯	gɔk7
閣	阁	gɔk8
各	各	gɔk8
角	角	gɔk8
擱	搁	gɔk8
覺	觉	gɔk8
干	干	gɔn1
乾	干	gɔn1
竿	竿	gɔn1
肝	肝	gɔn1
杆	杆	gɔn1
擀	擀	gɔn2
趕	赶	gɔn2
桿	杆	gɔn2
幹	干	gɔn3
割	割	gɔt8
葛	葛	gɔt8
缸	缸	gɔŋ1
江	江	gɔŋ1
綱	纲	gɔŋ1
肛	肛	gɔŋ1
岡	冈	gɔŋ1
崗	岗	gɔŋ1
罡	罡	gɔŋ1
剛	刚	gɔŋ1
港	港	gɔŋ2
講	讲	gɔŋ2
鋼	钢	gɔŋ3
絳	绛	gɔŋ3
槓	杠	gɔŋ3
降	降	gɔŋ3
驚	惊	gɛŋ1
頸	颈	gɛŋ2
鏡	镜	gɛŋ3
荊	荆	gɪŋ1
兢	兢	gɪŋ1
京	京	gɪŋ1
涇	泾	gɪŋ1
經	经	gɪŋ1
矜	矜	gɪŋ1
驚	惊	gɪŋ1
景	景	gɪŋ2
境	境	gɪŋ2
警	警	gɪŋ2
竟	竟	gɪŋ2
儆	儆	gɪŋ2
憬	憬	gɪŋ2
璟	璟	gɪŋ2
徑	径	gɪŋ3
敬	敬	gɪŋ3
勁	劲	gɪŋ3
逕	径	gɪŋ3
競	竞	gɪŋ6
勁	劲	gɪŋ6
痙	痉	gɪŋ6
掬	掬	gʊk7
谷	谷	gʊk7
穀	谷	gʊk7
轂	毂	gʊk7
鞠	鞠	gʊk7
梏	梏	gʊk7
嚳	嚳	gʊk7
菊	菊	gʊk7
鵠	鹄	gʊk7
焗	焗	gʊk9
鋦	锔	gʊk9
局	局	gʊk9
弓	弓	gʊŋ1
蚣	蚣	gʊŋ1
恭	恭	gʊŋ1
供	供	gʊŋ1
龔	龚	gʊŋ1
躬	躬	gʊŋ1
宮	宫	gʊŋ1
功	功	gʊŋ1
工	工	gʊŋ1
攻	攻	gʊŋ1
公	公	gʊŋ1
鞏	巩	gʊŋ2
珙	珙	gʊŋ2
拱	拱	gʊŋ2
供	供	gʊŋ3
貢	贡	gʊŋ3
共	共	gʊŋ6
蝦	虾	ha1
哈	哈	ha1
瑕	瑕	ha4
蛤	蛤	ha4
霞	霞	ha4
遐	遐	ha4
下	下	ha6
暇	暇	ha6
廈	厦	ha6
夏	夏	ha6
嗨	嗨	hai1
揩	揩	hai1
骸	骸	hai4
諧	谐	hai4
鞋	鞋	hai4
孩	孩	hai4
蟹	蟹	hai5
駭	骇	hai5
獬	獬	hai5
解	解	hai6
械	械	hai6
懈	懈	hai6
邂	邂	hai6/hai5
赫	赫	hak7
嚇	吓	hak8
客	客	hak8
喊	喊	ham3
咸	咸	ham4
涵	涵	ham4
鹹	咸	ham4
銜	衔	ham4
函	函	ham4
檻	槛	ham5
餡	馅	ham6
陷	陷	ham6
閒	闲	han4
嫺	娴	han4
癇	痫	han4
限	限	han6
呷	呷	hap8
嗑	嗑	hap8
掐	掐	hap8
峽	峡	hap9
柙	柙	hap9
匣	匣	hap9
狎	狎	hap9
篋	箧	hap9
狹	狭	hap9/hap8
俠	侠	hap9/hɐp9
哮	哮	hau1
敲	敲	hau1
烤	烤	hau1/hau2
巧	巧	hau2
考	考	hau2
拷	拷	hau2
孝	孝	hau3
傚	傚	hau6
校	校	hau6
効	効	hau6
效	效	hau6
坑	坑	haŋ1
夯	夯	haŋ1
行	行	haŋ4
欷	欷	hei1
熹	熹	hei1
嘿	嘿	hei1
欺	欺	hei1
唏	唏	hei1
嘻	嘻	hei1
希	希	hei1
浠	浠	hei1
醯	醯	hei1
烯	烯	hei1
稀	稀	hei1
犧	牺	hei1
曦	曦	hei1
嬉	嬉	hei1
熙	熙	hei1
禧	禧	hei1
羲	羲	hei1
囍	囍	hei2
喜	喜	hei2
豈	岂	hei2
起	起	hei2
戲	戏	hei3
器	器	hei3
汽	汽	hei3
棄	弃	hei3
氣	气	hei3
憩	憩	hei3
謙	谦	him1
險	险	him2
欠	欠	him3
芡	芡	him3
騫	骞	hin1
軒	轩	hin1
牽	牵	hin1
掀	掀	hin1
繾	缱	hin2
譴	谴	hin2
顯	显	hin2
蜆	蚬	hin2
遣	遣	hin2
憲	宪	hin3
獻	献	hin3
歉	歉	hip8
協	协	hip8
怯	怯	hip8
脅	胁	hip8
挾	挟	hip8/hap9
愜	惬	hip9
歇	歇	hit8
蠍	蝎	hit8
鴞	鸮	hiu1
驍	骁	hiu1
僥	侥	hiu1
梟	枭	hiu1
澆	浇	hiu1
囂	嚣	hiu1
橇	橇	hiu1/tsœy3
曉	晓	hiu2
竅	窍	hiu3/kiu3
蒿	蒿	hou1
薅	薅	hou1
好	好	hou2
犒	犒	hou3
耗	耗	hou3
好	好	hou3
蠔	蠔	hou4
號	号	hou4
豪	豪	hou4
嗥	嗥	hou4
嚎	嚎	hou4
毫	毫	hou4
壕	壕	hou4
鎬	镐	hou6
昊	昊	hou6
浩	浩	hou6
號	号	hou6
皓	皓	hou6
灝	灏	hou6
喧	喧	hyn1
萱	萱	hyn1
暄	暄	hyn1
壎	埙	hyn1
圈	圈	hyn1
畎	畎	hyn2
犬	犬	hyn2
綣	绻	hyn3
券	券	hyn3
勸	劝	hyn3
絢	绚	hyn3
血	血	hyt8
哼	哼	hŋ̩6
墟	墟	hœy1
盱	盱	hœy1
虛	虚	hœy1
歔	歔	hœy1
噓	嘘	hœy1
吁	吁	hœy1
栩	栩	hœy2
詡	诩	hœy2
許	许	hœy2
煦	煦	hœy2/hœy3
去	去	hœy3
香	香	hœŋ1
鄉	乡	hœŋ1
響	响	hœŋ2
饗	飨	hœŋ2
享	享	hœŋ2
晌	晌	hœŋ2
餉	饷	hœŋ2
向	向	hœŋ3
嚮	向	hœŋ3
兮	兮	hɐi4
鼷	鼷	hɐi4
奚	奚	hɐi4
系	系	hɐi6
繫	系	hɐi6
係	系	hɐi6
刻	刻	hɐk7
可	可	hɐk7
黑	黑	hɐk7
氪	氪	hɐk7
剋	克	hɐk7
克	克	hɐk7
蚶	蚶	hɐm1
憨	憨	hɐm1
堪	堪	hɐm1
勘	勘	hɐm1
龕	龛	hɐm1
戡	戡	hɐm1
砍	砍	hɐm2
坎	坎	hɐm2
磡	磡	hɐm3
勘	勘	hɐm3
崁	崁	hɐm3
瞰	瞰	hɐm3
嵌	嵌	hɐm3/hɐm6
酣	酣	hɐm4
含	含	hɐm4
晗	晗	hɐm4
頷	颔	hɐm5
憾	憾	hɐm6
撼	撼	hɐm6
狠	狠	hɐn2
懇	恳	hɐn2
墾	垦	hɐn2
很	很	hɐn2
痕	痕	hɐn4
恨	恨	hɐn6
恰	恰	hɐp7
洽	洽	hɐp7
盒	盒	hɐp9
磕	磕	hɐp9
合	合	hɐp9
闔	阖	hɐp9
頜	颌	hɐp9
瞌	瞌	hɐp9
乞	乞	hɐt7
瞎	瞎	hɐt9
轄	辖	hɐt9
閡	阂	hɐt9
劾	劾	hɐt9
檄	檄	hɐt9
紇	纥	hɐt9
齕	龁	hɐt9
核	核	hɐt9/wɐt9
齁	齁	hɐu1
口	口	hɐu2
吼	吼	hɐu3
猴	猴	hɐu4
侯	侯	hɐu4
篌	篌	hɐu4
喉	喉	hɐu4
瘊	瘊	hɐu4
厚	厚	hɐu5
候	候	hɐu6
后	后	hɐu6
後	后	hɐu6
鱟	鲎	hɐu6
逅	逅	hɐu6
哼	哼	hɐŋ1
亨	亨	hɐŋ1
鏗	铿	hɐŋ1
莖	茎	hɐŋ1/gɪŋ3
肯	肯	hɐŋ2
啃	啃	hɐŋ2
恆	恒	hɐŋ4
衡	衡	hɐŋ4
桁	桁	hɐŋ4
行	行	hɐŋ4
行	行	hɐŋ6
倖	幸	hɐŋ6
悻	悻	hɐŋ6
幸	幸	hɐŋ6
杏	杏	hɐŋ6
呵	呵	hɔ1
苛	苛	hɔ1
訶	诃	hɔ1
嗬	嗬	hɔ2
可	可	hɔ2
坷	坷	hɔ2
岢	岢	hɔ2
河	河	hɔ4
何	何	hɔ4
荷	荷	hɔ4
賀	贺	hɔ6
荷	荷	hɔ6
咍	咍	hɔi1
開	开	hɔi1
鐦	锎	hɔi1
塏	垲	hɔi2
愷	恺	hɔi2
海	海	hɔi2
鎧	铠	hɔi2
凱	凯	hɔi2
闓	闿	hɔi2
剴	剀	hɔi2
害	害	hɔi6
氦	氦	hɔi6
亥	亥	hɔi6
殼	壳	hɔk8
貉	貉	hɔk9
鶴	鹤	hɔk9
學	学	hɔk9
侃	侃	hɔn2
罕	罕	hɔn2
刊	刊	hɔn2/hɔn1
漢	汉	hɔn3
看	看	hɔn3
鼾	鼾	hɔn4
汗	汗	hɔn4
寒	寒	hɔn4
邯	邯	hɔn4
韓	韩	hɔn4
旱	旱	hɔn5
捍	捍	hɔn6
瀚	瀚	hɔn6
悍	悍	hɔn6
焊	焊	hɔn6
汗	汗	hɔn6
翰	翰	hɔn6
渴	渴	hɔt8
喝	喝	hɔt8
褐	褐	hɔt8
鞨	鞨	hɔt8
匡	匡	hɔŋ1
康	康	hɔŋ1
糠	糠	hɔŋ1
劻	劻	hɔŋ1
誆	诓	hɔŋ1
腔	腔	hɔŋ1
筐	筐	hɔŋ1/kwaŋ1
眶	眶	hɔŋ1/kwaŋ1
慷	慷	hɔŋ2/kɔŋ2
行	行	hɔŋ4
航	航	hɔŋ4
吭	吭	hɔŋ4
降	降	hɔŋ4
杭	杭	hɔŋ4
項	项	hɔŋ6
巷	巷	hɔŋ6/hɔŋ2
吃	吃	hɛk8
靴	靴	hɛu1
馨	馨	hɪŋ1
興	兴	hɪŋ1
卿	卿	hɪŋ1
兄	兄	hɪŋ1
氫	氢	hɪŋ1
輕	轻	hɪŋ1/hɛŋ1
慶	庆	hɪŋ3
磬	磬	hɪŋ3
興	兴	hɪŋ3
罄	罄	hɪŋ3
脛	胫	hɪŋ5/gɪŋ3
哭	哭	hʊk7
槲	槲	hʊk9
酷	酷	hʊk9
兇	凶	hʊŋ1
空	空	hʊŋ1
洶	汹	hʊŋ1
胸	胸	hʊŋ1
崆	崆	hʊŋ1
匈	匈	hʊŋ1
箜	箜	hʊŋ1
凶	凶	hʊŋ1
孔	孔	hʊŋ2
恐	恐	hʊŋ2
控	控	hʊŋ3
汞	汞	hʊŋ3
哄	哄	hʊŋ3
烘	烘	hʊŋ3/hʊŋ1
鬨	哄	hʊŋ3/hʊŋ6
虹	虹	hʊŋ4
洪	洪	hʊŋ4
熊	熊	hʊŋ4
紅	红	hʊŋ4
鴻	鸿	hʊŋ4
雄	雄	hʊŋ4
訌	讧	hʊŋ4/hʊŋ3
也	也	ja5
醫	医	ji1
衣	衣	ji1
銥	铱	ji1
漪	漪	ji1
依	依	ji1
伊	伊	ji1
黟	黟	ji1
禕	祎	ji1
禕	祎	ji1
猗	猗	ji1
綺	绮	ji2
椅	椅	ji2
倚	倚	ji2
旖	旖	ji2
齮	齮	ji2
懿	懿	ji3
薏	薏	ji3
癔	癔	ji3
意	意	ji3
鐿	镱	ji3
移	移	ji4
胰	胰	ji4
痍	痍	ji4
飴	饴	ji4
咦	咦	ji4
彞	彝	ji4
沂	沂	ji4
眙	眙	ji4
蛇	蛇	ji4
詒	诒	ji4
怡	怡	ji4
誼	谊	ji4
頤	颐	ji4
迤	迤	ji4
儀	仪	ji4
姨	姨	ji4
宜	宜	ji4
夷	夷	ji4
疑	疑	ji4
貽	贻	ji4
兒	儿	ji4
而	而	ji4
迤	迤	ji5
議	议	ji5
矣	矣	ji5
以	以	ji5
邇	迩	ji5
耳	耳	ji5
爾	尔	ji5
洱	洱	ji5
已	已	ji5
擬	拟	ji5
義	义	ji6
貳	贰	ji6
肄	肄	ji6
易	易	ji6
二	二	ji6
劓	劓	ji6
異	异	ji6
憶	忆	jik7
鬩	阋	jik7
抑	抑	jik7
億	亿	jik7
益	益	jik7
臆	臆	jik7
驛	驿	jik9
疫	疫	jik9
繹	绎	jik9
亦	亦	jik9
奕	奕	jik9
譯	译	jik9
役	役	jik9
翊	翊	jik9
液	液	jik9
翼	翼	jik9
弈	弈	jik9
蜴	蜴	jik9
掖	掖	jik9
翌	翌	jik9
易	易	jik9
弋	弋	jik9
腋	腋	jik9
逆	逆	jik9/ŋak9
淹	淹	jim1
