开放粤语字典（粤语拼音字数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［粤语拼音］
尕	尕	ga2
假	假	ga2
贾	賈	ga2
槚	檟	ga2
斝	斝	ga2
嫁	嫁	ga3
稼	稼	ga3
假	假	ga3
咖	咖	ga3
价	價	ga3
架	架	ga3
驾	駕	ga3
饸	餄	gab3
荚	莢	gab3
甲	甲	gab3
颊	頰	gab3
钾	鉀	gab3
蛱	蛺	gab3
岬	岬	gab3
袷	袷	gab3
夹	夾	gab3
郏	郟	gab3
胛	胛	gab3
轧	軋	gad3
嗝	嗝	gag3
隔	隔	gag3
镉	鎘	gag3
骼	骼	gag3
胳	胳	gag3
膈	膈	gag3
革	革	gag3
格	格	gag3
秸	秸	gai1
偕	偕	gai1
街	街	gai1
皆	皆	gai1
佳	佳	gai1
阶	階	gai1
解	解	gai2
蚧	蚧	gai2/guai2
届	屆	gai3
界	界	gai3
戒	戒	gai3
芥	芥	gai3
诫	誡	gai3
疥	疥	gai3
解	解	gai3
介	介	gai3
尬	尬	gai3
缄	緘	gam1
监	監	gam1
尴	尷	gam1/gam3
减	減	gam2
监	監	gam3
鉴	鑑	gam3
金	金	gamp1
柑	柑	gamp1
今	今	gamp1
甘	甘	gamp1
苷	苷	gamp1
泔	泔	gamp1
禁	禁	gamp1
感	感	gamp2
敢	敢	gamp2
锦	錦	gamp2
橄	橄	gamp2
禁	禁	gamp3
噤	噤	gamp3
淦	淦	gamp3
赣	贛	gamp3
间	間	gan1
艰	艱	gan1
奸	奸	gan1
奸	姦	gan1
简	簡	gan2
拣	揀	gan2
锏	鐧	gan2
碱	鹼	gan2
柬	柬	gan2
茧	繭	gan2
涧	澗	gan3
谏	諫	gan3
间	間	gan3
耕	耕	gang1
更	更	gang1
庚	庚	gank1
羹	羹	gank1
更	更	gank1
哽	哽	gank2
埂	埂	gank2
亘	亙	gank2
梗	梗	gank2
耿	耿	gank2
鲠	鯁	gank2/kank2
更	更	gank3
哏	哏	gant1
斤	斤	gant1
巾	巾	gant1
根	根	gant1
筋	筋	gant1
跟	跟	gant1
谨	謹	gant2
仅	僅	gant2
馑	饉	gant2
堇	堇	gant2
瑾	瑾	gant2
紧	緊	gant2
艮	艮	gant3
靳	靳	gant3
觐	覲	gant3/gant2
近	近	gant6
急	急	gap1
蛤	蛤	gap3
鸽	鴿	gap3
纥	紇	gat1
吉	吉	gat1
讫	訖	gat1
桔	桔	gat1
嘎	嘎	gat3
疙	疙	gat6
交	交	gau1
郊	郊	gau1
跤	跤	gau1
胶	膠	gau1
茭	茭	gau1
蛟	蛟	gau1
搅	攪	gau2
绞	絞	gau2
铰	鉸	gau2
佼	佼	gau2
姣	姣	gau2
饺	餃	gau2
搞	搞	gau2
狡	狡	gau2
皎	皎	gau2
较	較	gau3
校	校	gau3
铰	鉸	gau3
窖	窖	gau3
觉	覺	gau3
教	教	gau3
酵	酵	gau3/hau1
钩	鉤	gaw1
阄	鬮	gaw1
佝	佝	gaw1
鸠	鳩	gaw1/kaw1
玖	玖	gaw2
狗	狗	gaw2
九	九	gaw2
久	久	gaw2
苟	苟	gaw2
枸	枸	gaw2
韭	韭	gaw2
纠	糾	gaw2/daw2
救	救	gaw3
厩	廄	gaw3
垢	垢	gaw3
诟	詬	gaw3
灸	灸	gaw3
疚	疚	gaw3
咎	咎	gaw3
柩	柩	gaw3
究	究	gaw3
够	夠	gaw3
旧	舊	gaw6
鸡	雞	gay1
继	繼	gay3
计	計	gay3
蓟	薊	gay3
髻	髻	gay3
亟	亟	gek1
殛	殛	gek1
激	激	gek1
击	擊	gek1
戟	戟	gek1
棘	棘	gek1
极	極	gek6
惊	驚	geng1
颈	頸	geng2
镜	鏡	geng3
经	經	genk1
京	京	genk1
惊	驚	genk1
矜	矜	genk1
泾	涇	genk1
兢	兢	genk1
荆	荊	genk1
儆	儆	genk2
竟	竟	genk2
警	警	genk2
憬	憬	genk2
璟	璟	genk2
景	景	genk2
境	境	genk2
敬	敬	genk3
径	逕	genk3
径	徑	genk3
劲	勁	genk3
痉	痙	genk6
竞	競	genk6
劲	勁	genk6
脚	腳	geog3
羌	羌	geong1
姜	姜	geong1
僵	殭	geong1
蜣	蜣	geong1
姜	薑	geong1
缰	韁	geong1
疆	疆	geong1
僵	僵	geong1
强	強	geong6
鹃	鵑	geun1
捐	捐	geun1
蠲	蠲	geun1
娟	娟	geun1
涓	涓	geun1
卷	捲	geun2
卷	卷	geun2
鄄	鄄	geun3
眷	眷	geun3
绢	絹	geun3
券	券	geun3
倦	倦	geun6
畸	畸	gey1
矶	磯	gey1
讥	譏	gey1
姬	姬	gey1
机	機	gey1
犄	犄	gey1
肌	肌	gey1
奇	奇	gey1
箕	箕	gey1
乩	乩	gey1
基	基	gey1
饥	飢	gey1
玑	璣	gey1
畿	畿	gey1
几	几	gey1
羁	覊	gey1
叽	嘰	gey1
几	幾	gey1
几	幾	gey2
己	己	gey2
杞	杞	gey2
纪	紀	gey2
觊	覬	gey3
寄	寄	gey3
既	既	gey3
记	記	gey3
纪	紀	gey3
忌	忌	gey6
妓	妓	gey6
伎	伎	gey6
芰	芰	gey6
技	技	gey6
劫	劫	gib3
拮	拮	gid3
洁	潔	gid3
结	結	gid3
桀	桀	gid6
杰	傑	gid6
兼	兼	gim1
鹣	鶼	gim1
搛	搛	gim1
捡	撿	gim2
睑	瞼	gim2
检	檢	gim2
剑	劍	gim3
俭	儉	gim6
坚	堅	gin1
犍	犍	gin1
肩	肩	gin1
建	建	gin3
见	見	gin3
腱	腱	gin3
健	健	gin6
件	件	gin6
键	鍵	gin6
骄	驕	giu1
娇	嬌	giu1
矫	矯	giu2
缴	繳	giu2
叫	叫	giu3
轿	轎	giu6
撬	撬	giu6
歌	歌	go1
仡	仡	go1
哥	哥	go1
旮	旮	go1/gog3
菏	菏	go1/ho4
个	個	go3
葛	葛	god3
割	割	god3
咯	咯	gog1
搁	擱	gog3
角	角	gog3
各	各	gog3
觉	覺	gog3
阁	閣	gog3
赅	賅	goi1
该	該	goi1
改	改	goi2
盖	蓋	goi3
掬	掬	gok1
梏	梏	gok1
鞠	鞠	gok1
嚳	嚳	gok1
谷	穀	gok1
毂	轂	gok1
鹄	鵠	gok1
菊	菊	gok1
谷	谷	gok1
局	局	gok6
锔	鋦	gok6
焗	焗	gok6
肝	肝	gon1
干	乾	gon1
干	干	gon1
杆	杆	gon1
竿	竿	gon1
擀	擀	gon2
赶	趕	gon2
杆	桿	gon2
干	幹	gon3
刚	剛	gong1
岗	崗	gong1
冈	岡	gong1
纲	綱	gong1
江	江	gong1
罡	罡	gong1
缸	缸	gong1
肛	肛	gong1
港	港	gong2
讲	講	gong2
钢	鋼	gong3
降	降	gong3
绛	絳	gong3
杠	槓	gong3
蚣	蚣	gonk1
工	工	gonk1
公	公	gonk1
恭	恭	gonk1
供	供	gonk1
弓	弓	gonk1
龚	龔	gonk1
躬	躬	gonk1
宫	宮	gonk1
攻	攻	gonk1
功	功	gonk1
珙	珙	gonk2
拱	拱	gonk2
巩	鞏	gonk2
供	供	gonk3
贡	貢	gonk3
共	共	gonk6
羔	羔	gow1
糕	糕	gow1
高	高	gow1
膏	膏	gow1
皋	皋	gow1
睾	睾	gow1
槁	槁	gow2
稿	稿	gow2
镐	鎬	gow2
缟	縞	gow2
藁	藁	gow2
杲	杲	gow2
郜	郜	gow3
锆	鋯	gow3
告	告	gow3
诰	誥	gow6
居	居	goy1
据	据	goy1
榉	櫸	goy2
矩	矩	goy2
举	舉	goy2
蒟	蒟	goy2
龋	齲	goy2
莒	莒	goy2
踞	踞	goy3
据	據	goy3
句	句	goy3
锯	鋸	goy3/geo3
苣	苣	goy6
具	具	goy6
巨	巨	goy6
遽	遽	goy6
巨	鉅	goy6
讵	詎	goy6
炬	炬	goy6
惧	懼	goy6
飓	颶	goy6
菇	菇	gu1
辜	辜	gu1
觚	觚	gu1
咕	咕	gu1
轱	軲	gu1
蛄	蛄	gu1
沽	沽	gu1
姑	姑	gu1
孤	孤	gu1
贾	賈	gu2
股	股	gu2
估	估	gu2
古	古	gu2
蛊	蠱	gu2
钴	鈷	gu2
牯	牯	gu2
鼓	鼓	gu2
雇	僱	gu3
顾	顧	gu3
故	故	gu3
锢	錮	gu3
固	固	gu3
呱	呱	gua1
瓜	瓜	gua1
寡	寡	gua2
卦	卦	gua3
褂	褂	gua3
挂	掛	gua3
刮	刮	guad3
刮	颳	guad3
掴	摑	guag3
乖	乖	guai1
柺	柺	guai2
拐	拐	guai2
蒯	蒯	guai2
怪	怪	guai3
鳏	鰥	guan1
关	關	guan1
惯	慣	guan3
掼	摜	guan3
肱	肱	guank1
訇	訇	guank1
轰	轟	guank1
薨	薨	guank1
筠	筠	guant1
鲲	鯤	guant1
锟	錕	guant1
鋆	鋆	guant1
纶	綸	guant1
均	均	guant1
军	軍	guant1
钧	鈞	guant1
君	君	guant1
滚	滾	guant2
棍	棍	guant3
郡	郡	guant6
珺	珺	guant6
骨	骨	guat1
橘	橘	guat1
掘	掘	guat6
崛	崛	guat6
倔	倔	guat6
闺	閨	guay1
龟	龜	guay1
硅	硅	guay1
归	歸	guay1
圭	圭	guay1
瑰	瑰	guay1
皈	皈	guay1
鲑	鮭	guay1
诡	詭	guay2
鬼	鬼	guay2
轨	軌	guay2
晷	晷	guay2
瑰	瑰	guay3
癸	癸	guay3
季	季	guay3
桂	桂	guay3
贵	貴	guay3
悸	悸	guay3
篑	簣	guay6
跪	跪	guay6
柜	櫃	guay6
馈	饋	guay6
虢	虢	guek1
隙	隙	guek1/kuenk1
迥	迥	guenk2
炯	炯	guenk2
观	觀	gun1
冠	冠	gun1
棺	棺	gun1
倌	倌	gun1
官	官	gun1
莞	莞	gun1
脘	脘	gun2
莞	莞	gun2
管	管	gun2
馆	館	gun2
盥	盥	gun3
灌	灌	gun3
冠	冠	gun3
罐	罐	gun3
鹳	鸛	gun3
贯	貫	gun3
戈	戈	guo1
裹	裹	guo2
果	果	guo2
过	過	guo3
帼	幗	guog3
郭	郭	guog3
国	國	guog3
腘	膕	guog3
廓	廓	guog3/kuog3
光	光	guong1
桄	桄	guong1
胱	胱	guong1
广	廣	guong2
诳	誑	guong2
犷	獷	guong2
桄	桄	guong3
虾	蝦	ha1
哈	哈	ha1
瑕	瑕	ha4
蛤	蛤	ha4
霞	霞	ha4
遐	遐	ha4
下	下	ha6
暇	暇	ha6
夏	夏	ha6
厦	廈	ha6
恰	恰	hab1
洽	洽	hab1
掐	掐	hab3
呷	呷	hab3
嗑	嗑	hab3
柙	柙	hab6
狎	狎	hab6
箧	篋	hab6
峡	峽	hab6
匣	匣	hab6
颌	頜	hab6
盒	盒	hab6
阖	闔	hab6
合	合	hab6
磕	磕	hab6
瞌	瞌	hab6
狭	狹	hab6/hab3
侠	俠	hab6/hab6
赫	赫	hag1
客	客	hag3
吓	嚇	hag3
嗨	嗨	hai1
揩	揩	hai1
谐	諧	hai4
孩	孩	hai4
骸	骸	hai4
鞋	鞋	hai4
骇	駭	hai5
蟹	蟹	hai5
獬	獬	hai5
懈	懈	hai6
解	解	hai6
械	械	hai6
邂	邂	hai6/hai5
黑	黑	hak1
可	可	hak1
氪	氪	hak1
克	剋	hak1
克	克	hak1
刻	刻	hak1
喊	喊	ham3
函	函	ham4
涵	涵	ham4
衔	銜	ham4
咸	咸	ham4
咸	鹹	ham4
槛	檻	ham5
陷	陷	ham6
馅	餡	ham6
堪	堪	hamp1
戡	戡	hamp1
龛	龕	hamp1
勘	勘	hamp1
憨	憨	hamp1
蚶	蚶	hamp1
坎	坎	hamp2
砍	砍	hamp2
崁	崁	hamp3
瞰	瞰	hamp3
磡	磡	hamp3
勘	勘	hamp3
嵌	嵌	hamp3/hamp6
酣	酣	hamp4
含	含	hamp4
晗	晗	hamp4
颔	頷	hamp5
憾	憾	hamp6
撼	撼	hamp6
娴	嫺	han4
闲	閒	han4
痫	癇	han4
限	限	han6
夯	夯	hang1
坑	坑	hang1
行	行	hang4
亨	亨	hank1
铿	鏗	hank1
哼	哼	hank1
茎	莖	hank1/genk3
肯	肯	hank2
啃	啃	hank2
行	行	hank4
桁	桁	hank4
恒	恆	hank4
衡	衡	hank4
行	行	hank6
悻	悻	hank6
幸	幸	hank6
幸	倖	hank6
杏	杏	hank6
很	很	hant2
垦	墾	hant2
狠	狠	hant2
恳	懇	hant2
痕	痕	hant4
恨	恨	hant6
乞	乞	hat1
辖	轄	hat6
劾	劾	hat6
瞎	瞎	hat6
檄	檄	hat6
纥	紇	hat6
龁	齕	hat6
阂	閡	hat6
核	核	hat6/wat6
敲	敲	hau1
哮	哮	hau1
烤	烤	hau1/hau2
巧	巧	hau2
拷	拷	hau2
考	考	hau2
孝	孝	hau3
校	校	hau6
傚	傚	hau6
效	效	hau6
効	効	hau6
齁	齁	haw1
口	口	haw2
吼	吼	haw3
喉	喉	haw4
猴	猴	haw4
篌	篌	haw4
侯	侯	haw4
瘊	瘊	haw4
厚	厚	haw5
候	候	haw6
鲎	鱟	haw6
逅	逅	haw6
后	後	haw6
后	后	haw6
奚	奚	hay4
兮	兮	hay4
鼷	鼷	hay4
系	係	hay6
系	繫	hay6
系	系	hay6
吃	吃	heg3
卿	卿	henk1
兄	兄	henk1
兴	興	henk1
氢	氫	henk1
馨	馨	henk1
轻	輕	henk1/heng1
磬	磬	henk3
罄	罄	henk3
兴	興	henk3
庆	慶	henk3
胫	脛	henk5/genk3
靴	靴	heo1
香	香	heong1
乡	鄉	heong1
响	響	heong2
飨	饗	heong2
享	享	heong2
晌	晌	heong2
饷	餉	heong2
向	向	heong3
向	嚮	heong3
血	血	heud3
萱	萱	heun1
圈	圈	heun1
暄	暄	heun1
埙	壎	heun1
喧	喧	heun1
畎	畎	heun2
犬	犬	heun2
绻	綣	heun3
绚	絢	heun3
券	券	heun3
劝	勸	heun3
浠	浠	hey1
曦	曦	hey1
嬉	嬉	hey1
熙	熙	hey1
欷	欷	hey1
稀	稀	hey1
牺	犧	hey1
熹	熹	hey1
欺	欺	hey1
唏	唏	hey1
嘻	嘻	hey1
希	希	hey1
烯	烯	hey1
嘿	嘿	hey1
羲	羲	hey1
醯	醯	hey1
禧	禧	hey1
岂	豈	hey2
起	起	hey2
囍	囍	hey2
喜	喜	hey2
弃	棄	hey3
汽	汽	hey3
器	器	hey3
戏	戲	hey3
憩	憩	hey3
气	氣	hey3
歉	歉	hib3
协	協	hib3
怯	怯	hib3
胁	脅	hib3
挟	挾	hib3/hab6
惬	愜	hib6
蝎	蠍	hid3
歇	歇	hid3
谦	謙	him1
险	險	him2
芡	芡	him3
欠	欠	him3
牵	牽	hin1
轩	軒	hin1
骞	騫	hin1
掀	掀	hin1
遣	遣	hin2
谴	譴	hin2
蚬	蜆	hin2
缱	繾	hin2
显	顯	hin2
宪	憲	hin3
献	獻	hin3
浇	澆	hiu1
枭	梟	hiu1
侥	僥	hiu1
嚣	囂	hiu1
鸮	鴞	hiu1
骁	驍	hiu1
橇	橇	hiu1/coy3
晓	曉	hiu2
窍	竅	hiu3/kiu3
哼	哼	hng6
呵	呵	ho1
诃	訶	ho1
苛	苛	ho1
岢	岢	ho2
嗬	嗬	ho2
坷	坷	ho2
可	可	ho2
河	河	ho4
荷	荷	ho4
何	何	ho4
贺	賀	ho6
荷	荷	ho6
鞨	鞨	hod3
喝	喝	hod3
渴	渴	hod3
褐	褐	hod3
壳	殼	hog3
鹤	鶴	hog6
学	學	hog6
貉	貉	hog6
锎	鐦	hoi1
开	開	hoi1
咍	咍	hoi1
剀	剴	hoi2
垲	塏	hoi2
闿	闓	hoi2
恺	愷	hoi2
海	海	hoi2
铠	鎧	hoi2
凯	凱	hoi2
氦	氦	hoi6
亥	亥	hoi6
害	害	hoi6
哭	哭	hok1
酷	酷	hok6
槲	槲	hok6
侃	侃	hon2
罕	罕	hon2
刊	刊	hon2/hon1
看	看	hon3
汉	漢	hon3
邯	邯	hon4
鼾	鼾	hon4
韩	韓	hon4
寒	寒	hon4
汗	汗	hon4
旱	旱	hon5
悍	悍	hon6
瀚	瀚	hon6
捍	捍	hon6
汗	汗	hon6
翰	翰	hon6
焊	焊	hon6
诓	誆	hong1
匡	匡	hong1
康	康	hong1
劻	劻	hong1
腔	腔	hong1
糠	糠	hong1
筐	筐	hong1/kuang1
眶	眶	hong1/kuang1
慷	慷	hong2/kong2
杭	杭	hong4
降	降	hong4
吭	吭	hong4
行	行	hong4
航	航	hong4
项	項	hong6
巷	巷	hong6/hong2
胸	胸	honk1
汹	洶	honk1
凶	兇	honk1
崆	崆	honk1
空	空	honk1
凶	凶	honk1
匈	匈	honk1
箜	箜	honk1
孔	孔	honk2
恐	恐	honk2
汞	汞	honk3
哄	哄	honk3
控	控	honk3
烘	烘	honk3/honk1
哄	鬨	honk3/honk6
洪	洪	honk4
红	紅	honk4
鸿	鴻	honk4
虹	虹	honk4
雄	雄	honk4
熊	熊	honk4
讧	訌	honk4/honk3
薅	薅	how1
蒿	蒿	how1
好	好	how2
耗	耗	how3
犒	犒	how3
好	好	how3
蠔	蠔	how4
豪	豪	how4
嗥	嗥	how4
壕	壕	how4
毫	毫	how4
嚎	嚎	how4
号	號	how4
皓	皓	how6
灏	灝	how6
号	號	how6
浩	浩	how6
昊	昊	how6
镐	鎬	how6
墟	墟	hoy1
吁	吁	hoy1
盱	盱	hoy1
虚	虛	hoy1
歔	歔	hoy1
嘘	噓	hoy1
诩	詡	hoy2
许	許	hoy2
栩	栩	hoy2
煦	煦	hoy2/hoy3
去	去	hoy3
渣	渣	ja1
吒	吒	ja1
咱	咱	ja1
楂	楂	ja1
糌	糌	ja1
齇	齇	ja1
抓	抓	ja1/jau2
咋	咋	ja3
乍	乍	ja3
诈	詐	ja3
榨	榨	ja3
咤	咤	ja3
炸	炸	ja3
蚱	蚱	ja3/jag3
膪	膪	ja6
嵖	嵖	ja6
砸	砸	jab3
眨	眨	jab3
匝	匝	jab3
咂	咂	jab3
杂	雜	jab6
隰	隰	jab6
袭	襲	jab6
闸	閘	jab6
集	集	jab6
习	習	jab6
什	什	jab6
扎	扎	jad3
铡	鍘	jad3
拶	拶	jad3
紮	紮	jad3
轧	軋	jad3
札	札	jad3
窄	窄	jag3
责	責	jag3
啧	嘖	jag3
泽	澤	jag6
摘	摘	jag6
踯	躑	jag6
掷	擲	jag6
宅	宅	jag6
谪	謫	jag6
择	擇	jag6
赍	齎	jai1
斋	齋	jai1
债	債	jai3
寨	寨	jai6
眦	眥	jai6
侧	側	jak1
仄	仄	jak1
昃	昃	jak1
则	則	jak1
崭	嶄	jam2
斩	斬	jam2
蘸	蘸	jam3
湛	湛	jam3
暂	暫	jam6
錾	鏨	jam6
站	站	jam6
簪	簪	jamp1
箴	箴	jamp1
砧	砧	jamp1
斟	斟	jamp1
针	針	jamp1
怎	怎	jamp2
枕	枕	jamp2
枕	枕	jamp3
浸	浸	jamp3
鸩	鴆	jamp6
朕	朕	jamp6
趱	趲	jan2
攒	攢	jan2
盏	盞	jan2
赞	讚	jan3
赞	贊	jan3
赚	賺	jan6
撰	撰	jan6
馔	饌	jan6
栈	棧	jan6
绽	綻	jan6
挣	掙	jang6
曾	曾	jank1
峥	崢	jank1
铮	錚	jank1
增	增	jank1
筝	箏	jank1
僧	僧	jank1
憎	憎	jank1
争	爭	jank1/jang1
睁	睜	jank1/jang1
狰	猙	jank1/jang1
挣	掙	jank1/jang1
赠	贈	jank6
真	真	jant1
珍	珍	jant1
胗	胗	jant1
疹	疹	jant2
轸	軫	jant2/cant2
震	震	jant3
镇	鎮	jant3
赈	賑	jant3
振	振	jant3
圳	圳	jant3
阵	陣	jant6
执	執	jap1
汁	汁	jap1
质	質	jat1
蛰	蟄	jat6
蛭	蛭	jat6
侄	姪	jat6
窒	窒	jat6
桎	桎	jat6
疾	疾	jat6
嫉	嫉	jat6
嘲	嘲	jau1
找	找	jau2
爪	爪	jau2
罩	罩	jau3
州	州	jaw1
辀	輈	jaw1
诹	諏	jaw1
揪	揪	jaw1
陬	陬	jaw1
周	周	jaw1
舟	舟	jaw1
洲	洲	jaw1
邹	鄒	jaw1
诌	謅	jaw1
周	週	jaw1
走	走	jaw2
帚	帚	jaw2
酒	酒	jaw2
肘	肘	jaw2
咒	咒	jaw3
皱	皺	jaw3
昼	晝	jaw3
揍	揍	jaw3
绉	縐	jaw3
奏	奏	jaw3
纣	紂	jaw6
骤	驟	jaw6
宙	宙	jaw6
就	就	jaw6
袖	袖	jaw6
鹫	鷲	jaw6
冑	冑	jaw6
岫	岫	jaw6
跻	躋	jay1
齑	齏	jay1
挤	擠	jay1
剂	劑	jay1
仔	仔	jay2
济	濟	jay2
制	製	jay3
祭	祭	jay3
济	濟	jay3
掣	掣	jay3
际	際	jay3
制	制	jay3
霁	霽	jay3
滞	滯	jay6
嗟	嗟	je1
遮	遮	je1
者	者	je2
姐	姐	je2
蔗	蔗	je3
借	借	je3
柘	柘	je3
这	這	je5/je3
谢	謝	je6
只	隻	jeg3
鲫	鯽	jek1
稷	稷	jek1
职	職	jek1
即	即	jek1
陟	陟	jek1
织	織	jek1
迹	跡	jek1
绩	績	jek1
积	積	jek1
渍	漬	jek1/ji3
瘠	瘠	jek3
炙	炙	jek3/jeg3
脊	脊	jek3/jeg3
席	席	jek6
殖	殖	jek6
植	植	jek6
籍	籍	jek6
值	值	jek6
寂	寂	jek6
直	直	jek6
矽	矽	jek6
汐	汐	jek6
夕	夕	jek6
藉	藉	jek6
借	藉	jek6/je3
借	借	jek6/je3
蓆	蓆	jek6/jeg6
郑	鄭	jeng6/jenk6
祯	禎	jenk1
旌	旌	jenk1
正	正	jenk1
征	徵	jenk1
精	精	jenk1
晶	晶	jenk1
钲	鉦	jenk1
贞	貞	jenk1
菁	菁	jenk1
侦	偵	jenk1
蒸	蒸	jenk1
睛	睛	jenk1
烝	烝	jenk1
症	癥	jenk1
征	征	jenk1
怔	怔	jenk1
整	整	jenk2
井	井	jenk2/jeng2
正	正	jenk3
政	政	jenk3
证	證	jenk3
症	症	jenk3
静	靜	jenk6
靖	靖	jenk6
净	淨	jenk6
阱	阱	jenk6/jeng6
着	著	jeog3
嚼	嚼	jeog3
鹊	鵲	jeog3
酌	酌	jeog3
灼	灼	jeog3
斫	斫	jeog3
爵	爵	jeog3
雀	雀	jeog3
桌	桌	jeog3/ceog3
勺	勺	jeog3/ceog3
着	著	jeog6
著	著	jeog6
漳	漳	jeong1
鄣	鄣	jeong1
嫜	嫜	jeong1
獐	獐	jeong1
张	張	jeong1
樟	樟	jeong1
璋	璋	jeong1
蟑	蟑	jeong1
将	將	jeong1
章	章	jeong1
浆	漿	jeong1
彰	彰	jeong1
蒋	蔣	jeong2
长	長	jeong2
桨	槳	jeong2
掌	掌	jeong2
奖	獎	jeong2
涨	漲	jeong2/jeong3
胀	脹	jeong3
嶂	嶂	jeong3
障	障	jeong3
幛	幛	jeong3
将	將	jeong3
账	賬	jeong3
涨	漲	jeong3
帐	帳	jeong3
仗	仗	jeong3
瘴	瘴	jeong3
酱	醬	jeong3
象	象	jeong6
丈	丈	jeong6
杖	杖	jeong6
匠	匠	jeong6
橡	橡	jeong6
像	像	jeong6
仗	仗	jeong6
朱	朱	jeu1
诸	諸	jeu1
铢	銖	jeu1
诛	誅	jeu1
茱	茱	jeu1
珠	珠	jeu1
猪	豬	jeu1
蛛	蛛	jeu1
侏	侏	jeu1
株	株	jeu1
煮	煮	jeu2
主	主	jeu2
著	著	jeu3
注	注	jeu3
炷	炷	jeu3
著	著	jeu3
蛀	蛀	jeu3
驻	駐	jeu3
注	註	jeu3
住	住	jeu6
箸	箸	jeu6
茁	茁	jeud3
咄	咄	jeud3
掇	掇	jeud3
啜	啜	jeud3
拙	拙	jeud3
辍	輟	jeud3
绝	絕	jeud6
尊	尊	jeun1
专	專	jeun1
颛	顓	jeun1
砖	磚	jeun1
鳟	鱒	jeun1/jeun3
镌	鐫	jeun1/jont3
纂	纂	jeun2
传	傳	jeun2
转	轉	jeun2
钻	鑽	jeun3
转	轉	jeun3
钻	鑽	jeun3/jeun1
传	傳	jeun6
脂	脂	ji1
淄	淄	ji1
鼒	鼒	ji1
资	資	ji1
赀	貲	ji1
知	知	ji1
之	之	ji1
谘	諮	ji1
龇	齜	ji1
芝	芝	ji1
支	支	ji1
枝	枝	ji1
姿	姿	ji1
肢	肢	ji1
咨	咨	ji1
滋	滋	ji1
孜	孜	ji1
蜘	蜘	ji1
氏	氏	ji1
辎	輜	ji1
吱	吱	ji1
兹	茲	ji1
只	只	ji2
止	止	ji2
指	指	ji2
纸	紙	ji2
旨	旨	ji2
紫	紫	ji2
滓	滓	ji2
梓	梓	ji2
子	子	ji2
咫	咫	ji2
姊	姊	ji2
仔	仔	ji2
祉	祉	ji2
酯	酯	ji2
趾	趾	ji2
址	址	ji2
芷	芷	ji2
秭	秭	ji2
籽	籽	ji2
轾	輊	ji3
至	至	ji3
质	質	ji3
志	誌	ji3
志	志	ji3
置	置	ji3
挚	摯	ji3
智	智	ji3
痣	痣	ji3
踬	躓	ji3
致	緻	ji3
致	致	ji3
恣	恣	ji3/ci3
字	字	ji6
祀	祀	ji6
巳	巳	ji6
耜	耜	ji6
伺	伺	ji6
嗣	嗣	ji6
痔	痔	ji6
俟	俟	ji6
稚	稚	ji6
自	自	ji6
治	治	ji6
饲	飼	ji6
雉	雉	ji6
峙	峙	ji6/ci5
豸	豸	ji6/jai6
寺	寺	ji6/ji2
褶	褶	jib3
折	摺	jib3
嗫	囁	jib3
辄	輒	jib3
浃	浹	jib3
接	接	jib3
楫	楫	jib3
唧	唧	jid1
哲	哲	jid3
疖	癤	jid3
栉	櫛	jid3
节	節	jid3
婕	婕	jid3
折	折	jid3
蜇	蜇	jid3
浙	浙	jid3
睫	睫	jid6
截	截	jid6
捷	捷	jid6
沾	沾	jim1
尖	尖	jim1
詹	詹	jim1
谵	譫	jim1
占	占	jim1
瞻	瞻	jim1
霑	霑	jim1
占	佔	jim3
渐	漸	jim6
膻	羶	jin1
毡	氈	jin1
煎	煎	jin1
笺	箋	jin1
剪	剪	jin2
展	展	jin2
辗	輾	jin2
碾	碾	jin2
翦	翦	jin2
阐	闡	jin2/cin2
饯	餞	jin3
战	戰	jin3
箭	箭	jin3
颤	顫	jin3
荐	薦	jin3
溅	濺	jin3
贱	賤	jin6
招	招	jiu1
椒	椒	jiu1
朝	朝	jiu1
焦	焦	jiu1
礁	礁	jiu1
蕉	蕉	jiu1
沼	沼	jiu2
剿	剿	jiu2
照	照	jiu3
诏	詔	jiu3
赵	趙	jiu6
召	召	jiu6
俎	俎	jo2
阻	阻	jo2
左	左	jo2
佐	佐	jo3
诅	詛	jo3/jo2
坐	坐	jo6
唑	唑	jo6
座	座	jo6
助	助	jo6
作	作	jog3
昨	昨	jog3/jog6
凿	鑿	jog6
擢	擢	jog6
哉	哉	joi1
栽	栽	joi1
灾	災	joi1
宰	宰	joi2
崽	崽	joi2
载	載	joi2
再	再	joi3
载	載	joi3
在	在	joi6
筑	築	jok1
竺	竺	jok1
嘱	囑	jok1
烛	燭	jok1
瞩	矚	jok1
捉	捉	jok1
粥	粥	jok1
足	足	jok1
竹	竹	jok1
祝	祝	jok1
轴	軸	jok6
浊	濁	jok6
逐	逐	jok6
族	族	jok6
镯	鐲	jok6
妯	妯	jok6
镞	鏃	jok6
躅	躅	jok6
俗	俗	jok6
续	續	jok6
装	裝	jong1
脏	髒	jong1
赃	贓	jong1
妆	妝	jong1
庄	莊	jong1
桩	樁	jong1
驵	駔	jong2
葬	葬	jong3
壮	壯	jong3
戆	戇	jong3/ngong6
