开放粤语字典（粤语拼音字数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［粤语拼音］
半	半	bun3
叛	叛	bun6
绊	絆	bun6
畔	畔	bun6
胖	胖	bun6
拌	拌	bun6
伴	伴	bun6/pun2
差	差	ca1
叉	叉	ca1
岔	岔	ca3
杈	杈	ca3
诧	詫	ca3
衩	衩	ca3
姹	姹	ca3
碴	碴	ca4
茬	茬	ca4
垞	垞	ca4
茶	茶	ca4
搽	搽	ca4
槎	槎	ca4
查	查	ca4
锸	鍤	cab3
插	插	cab3
擦	擦	cad3
察	察	cad3
刷	刷	cad3
獭	獺	cad3
刹	剎	cad3/sad3
册	冊	cag3
策	策	cag3
拆	拆	cag3
栅	柵	cag3
鲗	鰂	cag6
贼	賊	cag6
猜	猜	cai1
搋	搋	cai1
钗	釵	cai1
揣	揣	cai1
差	差	cai1
踹	踹	cai2
踩	踩	cai2
虿	蠆	cai3
侪	儕	cai4
柴	柴	cai4
豺	豺	cai4
测	測	cak1
恻	惻	cak1
参	參	cam1
搀	攙	cam1
掺	摻	cam1
惨	慘	cam2
忏	懺	cam3
杉	杉	cam3/sam1
谗	讒	cam4
馋	饞	cam4
惭	慚	cam4
蚕	蠶	cam4
侵	侵	camp1
参	參	camp1/cam1
碜	磣	camp2
寝	寢	camp2
谶	讖	camp3/cam3
寻	尋	camp4
荨	蕁	camp4
沉	沉	camp4
鲟	鱘	camp4
餐	餐	can1
产	產	can2
铲	鏟	can2
灿	燦	can3
璨	璨	can3
残	殘	can4
撑	撐	cang1
瞠	瞠	cang1
橙	橙	cang4/cang2
锃	鋥	cang6
曾	曾	cank4
层	層	cank4
亲	親	cant1
瞋	瞋	cant1
嗔	嗔	cant1
诊	診	cant2
哂	哂	cant2
缜	縝	cant2/jant2
龀	齔	cant3
趁	趁	cant3
衬	襯	cant3
陈	陳	cant4
尘	塵	cant4
缉	緝	cap1
葺	葺	cap1
辑	輯	cap1
柒	柒	cat1
漆	漆	cat1
七	七	cat1
钞	鈔	cau1
抄	抄	cau1
吵	吵	cau2
炒	炒	cau2
肏	肏	cau3
巢	巢	cau4
秋	秋	caw1
鳅	鰍	caw1
楸	楸	caw1
秋	鞦	caw1
抽	抽	caw1
丑	丑	caw2
丑	醜	caw2
凑	湊	caw3
溴	溴	caw3
嗅	嗅	caw3
糗	糗	caw3
臭	臭	caw3
囚	囚	caw4
踌	躊	caw4
畴	疇	caw4
筹	籌	caw4
泅	泅	caw4
仇	仇	caw4
遒	遒	caw4
稠	稠	caw4
惆	惆	caw4
酬	酬	caw4
绸	綢	caw4
俦	儔	caw4
凄	淒	cay1
栖	棲	cay1
悽	悽	cay1
妻	妻	cay1
沏	沏	cay3
切	切	cay3
砌	砌	cay3
荠	薺	cay4
齐	齊	cay4
车	車	ce1
奢	奢	ce1
扯	扯	ce2
且	且	ce2
邪	邪	ce4
輋	輋	ce4
斜	斜	ce4
赤	赤	ceg3
呎	呎	ceg3
尺	尺	ceg3
斥	斥	cek1
戚	戚	cek1
叱	叱	cek1
彳	彳	cek1
敕	敕	cek1
蛏	蟶	cenk1
氰	氰	cenk1
蜻	蜻	cenk1
鲭	鯖	cenk1
称	稱	cenk1
清	清	cenk1
青	青	cenk1/ceng1
拯	拯	cenk2
骋	騁	cenk2
逞	逞	cenk2
请	請	cenk2/ceng2
秤	秤	cenk3
称	稱	cenk3
称	稱	cenk3/cank3
澄	澄	cenk4
呈	呈	cenk4
惩	懲	cenk4
程	程	cenk4
埕	埕	cenk4
澂	澂	cenk4
晴	晴	cenk4
情	情	cenk4
绰	綽	ceog3
戳	戳	ceog3
卓	卓	ceog3
菖	菖	ceong1
昌	昌	ceong1
锵	鏘	ceong1
娼	娼	ceong1
猖	猖	ceong1
戗	戧	ceong1
窗	窗	ceong1
枪	槍	ceong1
鲳	鯧	ceong1
呛	嗆	ceong1
伥	倀	ceong1
抢	搶	ceong2
倡	倡	ceong3
呛	嗆	ceong3
跄	蹌	ceong3
炝	熗	ceong3
怅	悵	ceong3
戗	戧	ceong3
畅	暢	ceong3
唱	唱	ceong3
详	詳	ceong4
樯	檣	ceong4
长	長	ceong4
戕	戕	ceong4
场	場	ceong4
肠	腸	ceong4
翔	翔	ceong4
祥	祥	ceong4
蔷	薔	ceong4
墙	牆	ceong4
橱	櫥	ceu1
躇	躇	ceu1
贮	貯	ceu2
杵	杵	ceu2
处	處	ceu3
蹰	蹰	ceu4
厨	廚	ceu4/coy4
署	署	ceu5
褚	褚	ceu5
苎	苧	ceu5
柱	柱	ceu5
曙	曙	ceu5
储	儲	ceu5
伫	佇	ceu5
处	處	ceu5
猝	猝	ceud3
踅	踅	ceud3
撮	撮	ceud3
穿	穿	ceun1
汆	汆	ceun1
川	川	ceun1
村	村	ceun1
蹿	躥	ceun1
忖	忖	ceun2
喘	喘	ceun2
揣	揣	ceun2
撺	攛	ceun2/ceun3
爨	爨	ceun3
吋	吋	ceun3
窜	竄	ceun3
寸	寸	ceun3
串	串	ceun3
醛	醛	ceun4
荃	荃	ceun4
辁	輇	ceun4
全	全	ceun4
痊	痊	ceun4
传	傳	ceun4
铨	銓	ceun4
存	存	ceun4
筌	筌	ceun4
泉	泉	ceun4
诠	詮	ceun4
魑	魑	ci1
疵	疵	ci1
嗤	嗤	ci1
痴	癡	ci1
眵	眵	ci1
差	差	ci1
螭	螭	ci1
蚩	蚩	ci1
跐	跐	ci1
笞	笞	ci1
雌	雌	ci1
哧	哧	ci1
鸱	鴟	ci1
此	此	ci2
侈	侈	ci2
褫	褫	ci2
始	始	ci2
齿	齒	ci2
耻	恥	ci2
矢	矢	ci2
豕	豕	ci2
跐	跐	ci2
次	次	ci3
赐	賜	ci3
帜	幟	ci3
刺	刺	ci3
炽	熾	ci3
厕	廁	ci3
翅	翅	ci3
慈	慈	ci4
驰	馳	ci4
篪	篪	ci4
祠	祠	ci4
瓷	瓷	ci4
词	詞	ci4
磁	磁	ci4
辞	辭	ci4
池	池	ci4
墀	墀	ci4
弛	弛	ci4
糍	糍	ci4
持	持	ci4
匙	匙	ci4
迟	遲	ci4
脐	臍	ci4
踟	踟	ci4
茌	茌	ci4
柿	柿	ci5
恃	恃	ci5
似	似	ci5
妾	妾	cib3
撤	撤	cid3
切	切	cid3
掣	掣	cid3
设	設	cid3
澈	澈	cid3
彻	徹	cid3
辙	轍	cid3
签	簽	cim1
歼	殲	cim1
签	籤	cim1
纤	纖	cim1
谄	諂	cim2
僭	僭	cim3
堑	塹	cim3
暹	暹	cim3/cim1
潜	潛	cim4
千	千	cin1
仟	仟	cin1
迁	遷	cin1
阡	阡	cin1
千	韆	cin1
浅	淺	cin2
钱	錢	cin4
缠	纏	cin4
前	前	cin4
践	踐	cin5/jin6
昭	昭	ciu1
锹	鍬	ciu1
超	超	ciu1
钊	釗	ciu1
悄	悄	ciu2
悄	悄	ciu2/ciu1
肖	肖	ciu3
鞘	鞘	ciu3
峭	峭	ciu3
俏	俏	ciu3
樵	樵	ciu4
朝	朝	ciu4
潮	潮	ciu4
瞧	瞧	ciu4
憔	憔	ciu4
雏	雛	co1
初	初	co1
刍	芻	co1
磋	磋	co1
搓	搓	co1
楚	楚	co2
础	礎	co2
挫	挫	co3
错	錯	co3
锉	銼	co3
锄	鋤	co4
坐	坐	co5
错	錯	cog3
睬	睬	coi2
彩	綵	coi2
彩	彩	coi2
采	採	coi2
采	采	coi2
菜	菜	coi3
塞	塞	coi3
蔡	蔡	coi3
赛	賽	coi3
裁	裁	coi4
财	財	coi4
才	才	coi4
材	材	coi4
蹙	蹙	cok1
畜	畜	cok1
簇	簇	cok1
矗	矗	cok1
束	束	cok1
搐	搐	cok1
蓄	蓄	cok1
促	促	cok1
速	速	cok1
龊	齪	cok1
亍	亍	cok1
蹴	蹴	cok1
簌	簌	cok1
触	觸	cok1/jok1
创	創	cong1
仓	倉	cong1
沧	滄	cong1
伧	傖	cong1
疮	瘡	cong1
苍	蒼	cong1
舱	艙	cong1
闯	闖	cong2
厂	廠	cong2
敞	敞	cong2
氅	氅	cong2
创	創	cong3
藏	藏	cong4
床	床	cong4
匆	匆	conk1
聪	聰	conk1
骢	驄	conk1
枞	樅	conk1
充	充	conk1
冲	沖	conk1
葱	蔥	conk1
憧	憧	conk1
忡	忡	conk1
冲	衝	conk1
囱	囪	conk1
涌	涌	conk1
冢	冢	conk2
宠	寵	conk2
松	松	conk4
琮	琮	conk4
虫	蟲	conk4
重	重	conk4
从	從	conk4
丛	叢	conk4
重	重	conk5
