開放粵語字典（教院拼音版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［教院拼音］
晴	晴	tsing4
澂	澂	tsing4
澄	澄	tsing4
埕	埕	tsing4
妾	妾	tsip8
切	切	tsit8
設	设	tsit8
撤	撤	tsit8
徹	彻	tsit8
轍	辙	tsit8
掣	掣	tsit8
澈	澈	tsit8
鍬	锹	tsiu1
超	超	tsiu1
釗	钊	tsiu1
昭	昭	tsiu1
悄	悄	tsiu2
悄	悄	tsiu2/tsiu1
俏	俏	tsiu3
峭	峭	tsiu3
鞘	鞘	tsiu3
肖	肖	tsiu3
樵	樵	tsiu4
朝	朝	tsiu4
潮	潮	tsiu4
瞧	瞧	tsiu4
憔	憔	tsiu4
搓	搓	tso1
初	初	tso1
雛	雏	tso1
磋	磋	tso1
芻	刍	tso1
楚	楚	tso2
礎	础	tso2
銼	锉	tso3
錯	错	tso3
挫	挫	tso3
鋤	锄	tso4
坐	坐	tso5
卓	卓	tsoek8
綽	绰	tsoek8
戳	戳	tsoek8
春	春	tsoen1
蠢	蠢	tsoen2
馴	驯	tsoen4
旬	旬	tsoen4
循	循	tsoen4
秦	秦	tsoen4
巡	巡	tsoen4
螓	螓	tsoen4
嗪	嗪	tsoen4
槍	枪	tsoeng1
鯧	鲳	tsoeng1
嗆	呛	tsoeng1
昌	昌	tsoeng1
窗	窗	tsoeng1
猖	猖	tsoeng1
娼	娼	tsoeng1
倀	伥	tsoeng1
鏘	锵	tsoeng1
菖	菖	tsoeng1
戧	戗	tsoeng1
搶	抢	tsoeng2
倡	倡	tsoeng3
戧	戗	tsoeng3
悵	怅	tsoeng3
唱	唱	tsoeng3
暢	畅	tsoeng3
蹌	跄	tsoeng3
嗆	呛	tsoeng3
熗	炝	tsoeng3
祥	祥	tsoeng4
牆	墙	tsoeng4
薔	蔷	tsoeng4
翔	翔	tsoeng4
詳	详	tsoeng4
場	场	tsoeng4
戕	戕	tsoeng4
長	长	tsoeng4
檣	樯	tsoeng4
腸	肠	tsoeng4
齣	出	tsoet7
出	出	tsoet7
催	催	tsoey1
炊	炊	tsoey1
摧	摧	tsoey1
崔	崔	tsoey1
吹	吹	tsoey1
趨	趋	tsoey1
璀	璀	tsoey1/tsoey2
娶	娶	tsoey2
取	取	tsoey2
揣	揣	tsoey2
趣	趣	tsoey3
啐	啐	tsoey3
覷	觑	tsoey3
脆	脆	tsoey3
翠	翠	tsoey3
淬	淬	tsoey3/soey6
焠	焠	tsoey3/soey6
錘	锤	tsoey4
除	除	tsoey4
捶	捶	tsoey4
槌	槌	tsoey4
蜍	蜍	tsoey4
徐	徐	tsoey4
隨	随	tsoey4
隋	隋	tsoey4
滁	滁	tsoey4
睬	睬	tsoi2
采	采	tsoi2
綵	彩	tsoi2
採	采	tsoi2
彩	彩	tsoi2
塞	塞	tsoi3
菜	菜	tsoi3
賽	赛	tsoi3
蔡	蔡	tsoi3
才	才	tsoi4
材	材	tsoi4
裁	裁	tsoi4
財	财	tsoi4
錯	错	tsok8
倉	仓	tsong1
滄	沧	tsong1
創	创	tsong1
傖	伧	tsong1
瘡	疮	tsong1
艙	舱	tsong1
蒼	苍	tsong1
廠	厂	tsong2
敞	敞	tsong2
闖	闯	tsong2
氅	氅	tsong2
創	创	tsong3
藏	藏	tsong4
床	床	tsong4
粗	粗	tsou1
操	操	tsou1
草	草	tsou2
噪	噪	tsou3
措	措	tsou3
糙	糙	tsou3
醋	醋	tsou3
躁	躁	tsou3
燥	燥	tsou3
操	操	tsou3/tsou1
曹	曹	tsou4
槽	槽	tsou4
嘈	嘈	tsou4
漕	漕	tsou4
蹙	蹙	tsuk7
搐	搐	tsuk7
束	束	tsuk7
矗	矗	tsuk7
亍	亍	tsuk7
齪	龊	tsuk7
簇	簇	tsuk7
蓄	蓄	tsuk7
促	促	tsuk7
速	速	tsuk7
簌	簌	tsuk7
蹴	蹴	tsuk7
畜	畜	tsuk7
觸	触	tsuk7/dzuk7
沖	冲	tsung1
衝	冲	tsung1
聰	聪	tsung1
忡	忡	tsung1
囪	囱	tsung1
憧	憧	tsung1
蔥	葱	tsung1
涌	涌	tsung1
充	充	tsung1
樅	枞	tsung1
驄	骢	tsung1
匆	匆	tsung1
寵	宠	tsung2
冢	冢	tsung2
叢	丛	tsung4
重	重	tsung4
松	松	tsung4
琮	琮	tsung4
從	从	tsung4
蟲	虫	tsung4
重	重	tsung5
櫥	橱	tsy1
躇	躇	tsy1
杵	杵	tsy2
貯	贮	tsy2
處	处	tsy3
蹰	蹰	tsy4
廚	厨	tsy4/tsoey4
署	署	tsy5
褚	褚	tsy5
佇	伫	tsy5
儲	储	tsy5
苧	苎	tsy5
柱	柱	tsy5
處	处	tsy5
曙	曙	tsy5
穿	穿	tsyn1
村	村	tsyn1
躥	蹿	tsyn1
汆	汆	tsyn1
川	川	tsyn1
揣	揣	tsyn2
忖	忖	tsyn2
喘	喘	tsyn2
攛	撺	tsyn2/tsyn3
吋	吋	tsyn3
爨	爨	tsyn3
寸	寸	tsyn3
竄	窜	tsyn3
串	串	tsyn3
詮	诠	tsyn4
泉	泉	tsyn4
存	存	tsyn4
銓	铨	tsyn4
傳	传	tsyn4
痊	痊	tsyn4
全	全	tsyn4
醛	醛	tsyn4
荃	荃	tsyn4
輇	辁	tsyn4
筌	筌	tsyn4
猝	猝	tsyt8
撮	撮	tsyt8
踅	踅	tsyt8
禿	秃	tuk7
通	通	tung1
捅	捅	tung2
桶	桶	tung2
統	统	tung2
筒	筒	tung2/tung4
痛	痛	tung3
銅	铜	tung4
酮	酮	tung4
童	童	tung4
佟	佟	tung4
衕	同	tung4
僮	僮	tung4
同	同	tung4
桐	桐	tung4
瞳	瞳	tung4
彤	彤	tung4
峒	峒	tung4
潼	潼	tung4
囤	囤	tyn4
團	团	tyn4
豚	豚	tyn4
臀	臀	tyn4
糰	团	tyn4
屯	屯	tyn4
斷	断	tyn5
脫	脱	tyt8
屋	屋	uk7
甕	瓮	ung3
齆	齆	ung3
蛙	蛙	waa1
哇	哇	waa1
娃	娃	waa1
嘩	哗	waa1
譁	哗	waa1
凹	凹	waa1
窪	洼	waa1
剮	剐	waa2
話	话	waa2
畫	画	waa2/waa6
驊	骅	waa4
華	华	waa4
划	划	waa4/waa1
踝	踝	waa5
話	话	waa6
華	华	waa6
樺	桦	waa6/waa4
歪	歪	waai1
淮	淮	waai4
懷	怀	waai4
槐	槐	waai4
壞	坏	waai6
或	或	waak9
畫	画	waak9
劃	划	waak9
惑	惑	waak9
灣	湾	waan1
彎	弯	waan1
玩	玩	waan2
綰	绾	waan2
鬟	鬟	waan4
環	环	waan4
玩	玩	waan4
寰	寰	waan4
還	还	waan4
頑	顽	waan4
挽	挽	waan5
輓	挽	waan5
幻	幻	waan6
患	患	waan6
宦	宦	waan6
橫	横	waang4
橫	横	waang6
挖	挖	waat8
斡	斡	waat8
滑	滑	waat9
猾	猾	waat9
逶	逶	wai1
威	威	wai1
委	委	wai1
崴	崴	wai1
葳	葳	wai1
萎	萎	wai2
猥	猥	wai2
喟	喟	wai2
委	委	wai2
痿	痿	wai2
毀	毁	wai2
卉	卉	wai2
餵	喂	wai3
畏	畏	wai3
穢	秽	wai3
慰	慰	wai3
尉	尉	wai3
喂	喂	wai3
蔚	蔚	wai3
薈	荟	wai3/wui6
為	为	wai4
違	违	wai4
唯	唯	wai4
桅	桅	wai4
帷	帷	wai4
維	维	wai4
惟	惟	wai4
圍	围	wai4
濰	潍	wai4
遺	遗	wai4
闈	闱	wai4
韋	韦	wai5
韙	韪	wai5
偉	伟	wai5
葦	苇	wai5
緯	纬	wai5
諱	讳	wai5
瑋	玮	wai5
彗	彗	wai6
位	位	wai6
惠	惠	wai6
謂	谓	wai6
衛	卫	wai6
胃	胃	wai6
渭	渭	wai6
為	为	wai6
蝟	猬	wai6
蕙	蕙	wai6
慧	慧	wai6
瘟	瘟	wan1
氳	氲	wan1
溫	温	wan1
穩	稳	wan2
醞	酝	wan3
蘊	蕴	wan3
搵	揾	wan3
慍	愠	wan3
紜	纭	wan4
餛	馄	wan4
暈	晕	wan4
筠	筠	wan4
耘	耘	wan4
芸	芸	wan4
勻	匀	wan4
渾	浑	wan4
云	云	wan4
蕓	芸	wan4
鋆	鋆	wan4
雲	云	wan4
昀	昀	wan4
琿	珲	wan4
魂	魂	wan4
妘	妘	wan4
隕	陨	wan5
尹	尹	wan5
允	允	wan5
殞	殒	wan5
狁	狁	wan5
暈	晕	wan6
熨	熨	wan6
鄆	郓	wan6
運	运	wan6
諢	诨	wan6
混	混	wan6
韻	韵	wan6/wan5
閎	闳	wang4
弘	弘	wang4
宏	宏	wang4
鬱	郁	wat7
屈	屈	wat7
鷸	鹬	wat9
聿	聿	wat9/loet9
域	域	wik9
蜮	蜮	wik9
閾	阈	wik9
扔	扔	wing1
榮	荣	wing4
嶸	嵘	wing4
永	永	wing5
穎	颖	wing6
詠	咏	wing6
潁	颍	wing6
泳	泳	wing6
蝸	蜗	wo1
窩	窝	wo1
渦	涡	wo1
鍋	锅	wo1
撾	挝	wo1
媧	娲	wo1
倭	倭	wo1
萵	莴	wo1
窠	窠	wo1/fo1
和	和	wo4
禾	禾	wo4
禍	祸	wo6
獲	获	wok9
鑊	镬	wok9
穫	获	wok9
汪	汪	wong1
枉	枉	wong2
磺	磺	wong4
煌	煌	wong4
遑	遑	wong4
王	王	wong4
黃	黄	wong4
皇	皇	wong4
隍	隍	wong4
惶	惶	wong4
潢	潢	wong4
凰	凰	wong4
徨	徨	wong4
簧	簧	wong4
蟥	蟥	wong4
蝗	蝗	wong4
往	往	wong5
旺	旺	wong6
鄔	邬	wu1
污	污	wu1
鎢	钨	wu1
烏	乌	wu1
惡	恶	wu1
嗚	呜	wu1
塢	坞	wu2
滸	浒	wu2
惡	恶	wu3
壺	壶	wu4
葫	葫	wu4
醐	醐	wu4
湖	湖	wu4
狐	狐	wu4
蝴	蝴	wu4
瑚	瑚	wu4
猢	猢	wu4
煳	煳	wu4
餬	糊	wu4
鬍	胡	wu4
衚	胡	wu4
鶘	鹕	wu4
弧	弧	wu4
胡	胡	wu4
糊	糊	wu4
滬	沪	wu6
扈	扈	wu6
護	护	wu6
祜	祜	wu6
戶	户	wu6
互	互	wu6
芋	芋	wu6
怙	怙	wu6
瓠	瓠	wu6/wu4
偎	偎	wui1
徊	徊	wui4
蛔	蛔	wui4
洄	洄	wui4
迴	回	wui4
回	回	wui4
會	会	wui5
會	会	wui6
匯	汇	wui6
燴	烩	wui6
彙	汇	wui6/wai6
會	会	wui6/wui2
剜	剜	wun1
碗	碗	wun2
腕	腕	wun2
莞	莞	wun2
惋	惋	wun2/jyn2
豌	豌	wun2/wun1
玩	玩	wun2/wun6
垣	垣	wun4
桓	桓	wun4
援	援	wun4/jyn4
皖	皖	wun5
浣	浣	wun5
喚	唤	wun6
換	换	wun6
瘓	痪	wun6
緩	缓	wun6
煥	焕	wun6
奐	奂	wun6
玩	玩	wun6
活	活	wut9
