開放粵語字典（粵語拼音字調符調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［粵語拼音］
格	格	gâg
胳	胳	gâg
嗝	嗝	gâg
隔	隔	gâg
膈	膈	gâg
骼	骼	gâg
革	革	gâg
介	介	gâi
解	解	gâi
屆	届	gâi
疥	疥	gâi
尬	尬	gâi
界	界	gâi
戒	戒	gâi
誡	诫	gâi
芥	芥	gâi
鑑	鉴	gâm
監	监	gâm
淦	淦	gâmp
贛	赣	gâmp
噤	噤	gâmp
禁	禁	gâmp
澗	涧	gân
間	间	gân
諫	谏	gân
更	更	gânk
艮	艮	gânt
靳	靳	gânt
覲	觐	gânt/gãnt
蛤	蛤	gâp
鴿	鸽	gâp
嘎	嘎	gât
鉸	铰	gâu
校	校	gâu
教	教	gâu
較	较	gâu
覺	觉	gâu
窖	窖	gâu
酵	酵	gâu/häu
究	究	gâw
柩	柩	gâw
疚	疚	gâw
救	救	gâw
咎	咎	gâw
夠	够	gâw
詬	诟	gâw
垢	垢	gâw
廄	厩	gâw
灸	灸	gâw
計	计	gây
繼	继	gây
髻	髻	gây
薊	蓟	gây
尕	尕	gã
賈	贾	gã
斝	斝	gã
假	假	gã
檟	槚	gã
架	架	gã
解	解	gãi
蚧	蚧	gãi/guãi
減	减	gãm
橄	橄	gãmp
敢	敢	gãmp
錦	锦	gãmp
感	感	gãmp
揀	拣	gãn
柬	柬	gãn
簡	简	gãn
繭	茧	gãn
鹼	碱	gãn
鐧	锏	gãn
哽	哽	gãnk
埂	埂	gãnk
梗	梗	gãnk
亙	亘	gãnk
耿	耿	gãnk
鯁	鲠	gãnk/kãnk
謹	谨	gãnt
緊	紧	gãnt
堇	堇	gãnt
僅	仅	gãnt
饉	馑	gãnt
瑾	瑾	gãnt
搞	搞	gãu
餃	饺	gãu
狡	狡	gãu
姣	姣	gãu
皎	皎	gãu
攪	搅	gãu
佼	佼	gãu
絞	绞	gãu
鉸	铰	gãu
苟	苟	gãw
韭	韭	gãw
枸	枸	gãw
玖	玖	gãw
九	九	gãw
久	久	gãw
狗	狗	gãw
糾	纠	gãw/dãw
珈	珈	gä
迦	迦	gä
加	加	gä
袈	袈	gä
伽	伽	gä
噶	噶	gä
嘉	嘉	gä
痂	痂	gä
鎵	镓	gä
傢	家	gä
枷	枷	gä
家	家	gä
佳	佳	gäi
階	阶	gäi
街	街	gäi
偕	偕	gäi
秸	秸	gäi
皆	皆	gäi
緘	缄	gäm
監	监	gäm
尷	尴	gäm/gâm
今	今	gämp
柑	柑	gämp
金	金	gämp
泔	泔	gämp
甘	甘	gämp
禁	禁	gämp
苷	苷	gämp
間	间	gän
艱	艰	gän
奸	奸	gän
姦	奸	gän
更	更	gäng
耕	耕	gäng
羹	羹	gänk
更	更	gänk
庚	庚	gänk
斤	斤	gänt
巾	巾	gänt
哏	哏	gänt
根	根	gänt
跟	跟	gänt
筋	筋	gänt
急	急	gäp
紇	纥	gät
吉	吉	gät
桔	桔	gät
訖	讫	gät
跤	跤	gäu
膠	胶	gäu
茭	茭	gäu
郊	郊	gäu
交	交	gäu
蛟	蛟	gäu
鉤	钩	gäw
佝	佝	gäw
鬮	阄	gäw
鳩	鸠	gäw/käw
雞	鸡	gäy
極	极	gèk
痙	痉	gènk
競	竞	gènk
勁	劲	gènk
忌	忌	gèy
伎	伎	gèy
技	技	gèy
芰	芰	gèy
妓	妓	gèy
鏡	镜	gêng
敬	敬	gênk
徑	径	gênk
勁	劲	gênk
逕	径	gênk
覬	觊	gêy
記	记	gêy
既	既	gêy
寄	寄	gêy
紀	纪	gêy
棘	棘	gëk
激	激	gëk
殛	殛	gëk
戟	戟	gëk
亟	亟	gëk
擊	击	gëk
驚	惊	gëng
矜	矜	gënk
經	经	gënk
涇	泾	gënk
兢	兢	gënk
荊	荆	gënk
驚	惊	gënk
京	京	gënk
磯	矶	gëy
犄	犄	gëy
姬	姬	gëy
畸	畸	gëy
譏	讥	gëy
奇	奇	gëy
箕	箕	gëy
乩	乩	gëy
基	基	gëy
飢	饥	gëy
嘰	叽	gëy
覊	羁	gëy
几	几	gëy
璣	玑	gëy
機	机	gëy
幾	几	gëy
肌	肌	gëy
畿	畿	gëy
傑	杰	gìd
桀	桀	gìd
儉	俭	gìm
鍵	键	gìn
件	件	gìn
健	健	gìn
撬	撬	gìu
轎	轿	gìu
劫	劫	gîb
結	结	gîd
拮	拮	gîd
潔	洁	gîd
劍	剑	gîm
見	见	gîn
建	建	gîn
腱	腱	gîn
叫	叫	gîu
搛	搛	gïm
兼	兼	gïm
鶼	鹣	gïm
犍	犍	gïn
肩	肩	gïn
堅	坚	gïn
驕	骄	gïu
嬌	娇	gïu
鋦	锔	gòk
局	局	gòk
焗	焗	gòk
共	共	gònk
誥	诰	gòw
懼	惧	gòy
颶	飓	gòy
詎	讵	gòy
苣	苣	gòy
遽	遽	gòy
具	具	gòy
鉅	巨	gòy
巨	巨	gòy
炬	炬	gòy
個	个	gô
葛	葛	gôd
割	割	gôd
各	各	gôg
角	角	gôg
擱	搁	gôg
閣	阁	gôg
覺	觉	gôg
蓋	盖	gôi
幹	干	gôn
鋼	钢	gông
槓	杠	gông
降	降	gông
絳	绛	gông
供	供	gônk
貢	贡	gônk
郜	郜	gôw
告	告	gôw
鋯	锆	gôw
踞	踞	gôy
據	据	gôy
句	句	gôy
鋸	锯	gôy/geô
改	改	gõi
擀	擀	gõn
桿	杆	gõn
趕	赶	gõn
港	港	gõng
講	讲	gõng
拱	拱	gõnk
鞏	巩	gõnk
珙	珙	gõnk
杲	杲	gõw
藁	藁	gõw
稿	稿	gõw
槁	槁	gõw
縞	缟	gõw
鎬	镐	gõw
齲	龋	gõy
舉	举	gõy
矩	矩	gõy
櫸	榉	gõy
蒟	蒟	gõy
莒	莒	gõy
歌	歌	gö
哥	哥	gö
仡	仡	gö
旮	旮	gö/gôg
菏	菏	gö/ho
咯	咯	gög
該	该	göi
賅	赅	göi
轂	毂	gök
菊	菊	gök
嚳	嚳	gök
鵠	鹄	gök
穀	谷	gök
掬	掬	gök
鞠	鞠	gök
梏	梏	gök
谷	谷	gök
竿	竿	gön
肝	肝	gön
杆	杆	gön
乾	干	gön
干	干	gön
綱	纲	göng
罡	罡	göng
剛	刚	göng
崗	岗	göng
岡	冈	göng
江	江	göng
缸	缸	göng
肛	肛	göng
弓	弓	gönk
工	工	gönk
功	功	gönk
宮	宫	gönk
公	公	gönk
躬	躬	gönk
龔	龚	gönk
供	供	gönk
恭	恭	gönk
蚣	蚣	gönk
攻	攻	gönk
睾	睾	göw
皋	皋	göw
羔	羔	göw
膏	膏	göw
高	高	göw
糕	糕	göw
据	据	göy
居	居	göy
僱	雇	gû
故	故	gû
顧	顾	gû
固	固	gû
錮	锢	gû
盥	盥	gûn
冠	冠	gûn
灌	灌	gûn
貫	贯	gûn
罐	罐	gûn
鸛	鹳	gûn
觚	觚	gü
咕	咕	gü
軲	轱	gü
蛄	蛄	gü
沽	沽	gü
姑	姑	gü
菇	菇	gü
辜	辜	gü
孤	孤	gü
棺	棺	gün
倌	倌	gün
莞	莞	gün
觀	观	gün
冠	冠	gün
官	官	gün
瞼	睑	gĩm
撿	捡	gĩm
檢	检	gĩm
矯	矫	gĩu
繳	缴	gĩu
古	古	gũ
估	估	gũ
鈷	钴	gũ
賈	贾	gũ
牯	牯	gũ
股	股	gũ
蠱	蛊	gũ
鼓	鼓	gũ
館	馆	gũn
管	管	gũn
脘	脘	gũn
莞	莞	gũn
頸	颈	gẽng
境	境	gẽnk
警	警	gẽnk
竟	竟	gẽnk
儆	儆	gẽnk
憬	憬	gẽnk
景	景	gẽnk
璟	璟	gẽnk
紀	纪	gẽy
己	己	gẽy
幾	几	gẽy
杞	杞	gẽy
遐	遐	ha
霞	霞	ha
瑕	瑕	ha
蛤	蛤	ha
骸	骸	hai
諧	谐	hai
鞋	鞋	hai
孩	孩	hai
函	函	ham
銜	衔	ham
咸	咸	ham
涵	涵	ham
鹹	咸	ham
酣	酣	hamp
晗	晗	hamp
含	含	hamp
嫺	娴	han
閒	闲	han
癇	痫	han
行	行	hang
桁	桁	hank
恆	恒	hank
衡	衡	hank
行	行	hank
痕	痕	hant
瘊	瘊	haw
篌	篌	haw
喉	喉	haw
侯	侯	haw
猴	猴	haw
奚	奚	hay
兮	兮	hay
鼷	鼷	hay
向	向	heông
嚮	向	heông
享	享	heõng
晌	晌	heõng
餉	饷	heõng
饗	飨	heõng
響	响	heõng
靴	靴	heö
鄉	乡	heöng
香	香	heöng
血	血	heûd
勸	劝	heûn
絢	绚	heûn
綣	绻	heûn
券	券	heûn
萱	萱	heün
喧	喧	heün
圈	圈	heün
壎	埙	heün
暄	暄	heün
畎	畎	heũn
犬	犬	heũn
荷	荷	ho
河	河	ho
何	何	ho
汗	汗	hon
韓	韩	hon
寒	寒	hon
邯	邯	hon
鼾	鼾	hon
降	降	hong
杭	杭	hong
航	航	hong
吭	吭	hong
行	行	hong
虹	虹	honk
洪	洪	honk
雄	雄	honk
紅	红	honk
鴻	鸿	honk
熊	熊	honk
訌	讧	honk/hônk
號	号	how
嚎	嚎	how
嗥	嗥	how
壕	壕	how
蠔	蠔	how
豪	豪	how
毫	毫	how
廈	厦	hà
暇	暇	hà
下	下	hà
夏	夏	hà
篋	箧	hàb
磕	磕	hàb
峽	峡	hàb
匣	匣	hàb
頜	颌	hàb
瞌	瞌	hàb
柙	柙	hàb
合	合	hàb
盒	盒	hàb
闔	阖	hàb
狎	狎	hàb
俠	侠	hàb/hàb
狹	狭	hàb/hâb
解	解	hài
懈	懈	hài
械	械	hài
邂	邂	hài/hái
餡	馅	hàm
陷	陷	hàm
撼	撼	hàmp
憾	憾	hàmp
限	限	hàn
行	行	hànk
杏	杏	hànk
悻	悻	hànk
幸	幸	hànk
倖	幸	hànk
恨	恨	hànt
轄	辖	hàt
齕	龁	hàt
瞎	瞎	hàt
紇	纥	hàt
劾	劾	hàt
閡	阂	hàt
檄	檄	hàt
核	核	hàt/wàt
傚	傚	hàu
效	效	hàu
校	校	hàu
効	効	hàu
鱟	鲎	hàw
后	后	hàw
候	候	hàw
逅	逅	hàw
後	后	hàw
系	系	hày
繫	系	hày
係	系	hày
獬	獬	hái
駭	骇	hái
蟹	蟹	hái
檻	槛	hám
頷	颔	hámp
厚	厚	háw
掐	掐	hâb
呷	呷	hâb
嗑	嗑	hâb
嚇	吓	hâg
客	客	hâg
喊	喊	hâm
瞰	瞰	hâmp
勘	勘	hâmp
磡	磡	hâmp
崁	崁	hâmp
嵌	嵌	hâmp/hàmp
孝	孝	hâu
吼	吼	hâw
坎	坎	hãmp
砍	砍	hãmp
肯	肯	hãnk
啃	啃	hãnk
懇	恳	hãnt
很	很	hãnt
狠	狠	hãnt
墾	垦	hãnt
考	考	hãu
拷	拷	hãu
巧	巧	hãu
口	口	hãw
蝦	虾	hä
哈	哈	hä
恰	恰	häb
洽	洽	häb
赫	赫	häg
嗨	嗨	häi
揩	揩	häi
黑	黑	häk
剋	克	häk
刻	刻	häk
可	可	häk
克	克	häk
氪	氪	häk
勘	勘	hämp
蚶	蚶	hämp
憨	憨	hämp
龕	龛	hämp
堪	堪	hämp
戡	戡	hämp
坑	坑	häng
夯	夯	häng
哼	哼	hänk
鏗	铿	hänk
亨	亨	hänk
莖	茎	hänk/gênk
乞	乞	hät
敲	敲	häu
哮	哮	häu
烤	烤	häu/hãu
齁	齁	häw
脛	胫	hénk/gênk
吃	吃	hêg
慶	庆	hênk
興	兴	hênk
磬	磬	hênk
罄	罄	hênk
戲	戏	hêy
汽	汽	hêy
氣	气	hêy
憩	憩	hêy
器	器	hêy
棄	弃	hêy
興	兴	hënk
卿	卿	hënk
氫	氢	hënk
兄	兄	hënk
馨	馨	hënk
輕	轻	hënk/hëng
熹	熹	hëy
希	希	hëy
嘻	嘻	hëy
唏	唏	hëy
欺	欺	hëy
欷	欷	hëy
浠	浠	hëy
嬉	嬉	hëy
醯	醯	hëy
羲	羲	hëy
禧	禧	hëy
烯	烯	hëy
稀	稀	hëy
犧	牺	hëy
曦	曦	hëy
熙	熙	hëy
嘿	嘿	hëy
愜	惬	hìb
協	协	hîb
脅	胁	hîb
怯	怯	hîb
歉	歉	hîb
挾	挟	hîb/hàb
歇	歇	hîd
蠍	蝎	hîd
芡	芡	hîm
欠	欠	hîm
獻	献	hîn
憲	宪	hîn
竅	窍	hîu/kîu
謙	谦	hïm
牽	牵	hïn
騫	骞	hïn
軒	轩	hïn
掀	掀	hïn
驍	骁	hïu
澆	浇	hïu
囂	嚣	hïu
梟	枭	hïu
鴞	鸮	hïu
僥	侥	hïu
橇	橇	hïu/côy
賀	贺	hò
荷	荷	hò
貉	貉	hòg
鶴	鹤	hòg
學	学	hòg
氦	氦	hòi
害	害	hòi
亥	亥	hòi
槲	槲	hòk
酷	酷	hòk
汗	汗	hòn
捍	捍	hòn
翰	翰	hòn
焊	焊	hòn
瀚	瀚	hòn
悍	悍	hòn
項	项	hòng
巷	巷	hòng/hõng
號	号	hòw
鎬	镐	hòw
皓	皓	hòw
灝	灏	hòw
浩	浩	hòw
昊	昊	hòw
旱	旱	hón
鞨	鞨	hôd
喝	喝	hôd
褐	褐	hôd
渴	渴	hôd
殼	壳	hôg
漢	汉	hôn
看	看	hôn
哄	哄	hônk
汞	汞	hônk
控	控	hônk
鬨	哄	hônk/hònk
烘	烘	hônk/hönk
犒	犒	hôw
好	好	hôw
耗	耗	hôw
去	去	hôy
可	可	hõ
嗬	嗬	hõ
坷	坷	hõ
岢	岢	hõ
海	海	hõi
凱	凯	hõi
鎧	铠	hõi
剴	剀	hõi
愷	恺	hõi
塏	垲	hõi
闓	闿	hõi
罕	罕	hõn
侃	侃	hõn
刊	刊	hõn/hön
慷	慷	hõng/kõng
恐	恐	hõnk
孔	孔	hõnk
好	好	hõw
栩	栩	hõy
詡	诩	hõy
許	许	hõy
煦	煦	hõy/hôy
訶	诃	hö
呵	呵	hö
苛	苛	hö
開	开	höi
咍	咍	höi
鐦	锎	höi
哭	哭	hök
糠	糠	höng
誆	诓	höng
劻	劻	höng
腔	腔	höng
匡	匡	höng
康	康	höng
眶	眶	höng/kuäng
筐	筐	höng/kuäng
凶	凶	hönk
洶	汹	hönk
胸	胸	hönk
崆	崆	hönk
空	空	hönk
匈	匈	hönk
兇	凶	hönk
箜	箜	hönk
蒿	蒿	höw
薅	薅	höw
盱	盱	höy
歔	歔	höy
虛	虚	höy
噓	嘘	höy
墟	墟	höy
吁	吁	höy
險	险	hĩm
譴	谴	hĩn
繾	缱	hĩn
顯	显	hĩn
遣	遣	hĩn
蜆	蚬	hĩn
曉	晓	hĩu
哼	哼	hǹg
喜	喜	hẽy
豈	岂	hẽy
囍	囍	hẽy
起	起	hẽy
著	着	jeòg
著	著	jeòg
象	象	jeòng
杖	杖	jeòng
仗	仗	jeòng
像	像	jeòng
橡	橡	jeòng
匠	匠	jeòng
丈	丈	jeòng
雀	雀	jeôg
著	着	jeôg
鵲	鹊	jeôg
爵	爵	jeôg
嚼	嚼	jeôg
斫	斫	jeôg
灼	灼	jeôg
酌	酌	jeôg
勺	勺	jeôg/ceôg
桌	桌	jeôg/ceôg
醬	酱	jeông
幛	幛	jeông
瘴	瘴	jeông
障	障	jeông
嶂	嶂	jeông
賬	账	jeông
將	将	jeông
脹	胀	jeông
漲	涨	jeông
帳	帐	jeông
仗	仗	jeông
槳	桨	jeõng
獎	奖	jeõng
掌	掌	jeõng
長	长	jeõng
蔣	蒋	jeõng
漲	涨	jeõng/jeông
彰	彰	jeöng
將	将	jeöng
章	章	jeöng
漿	浆	jeöng
張	张	jeöng
漳	漳	jeöng
璋	璋	jeöng
蟑	蟑	jeöng
獐	獐	jeöng
樟	樟	jeöng
鄣	鄣	jeöng
嫜	嫜	jeöng
住	住	jeù
箸	箸	jeù
絕	绝	jeùd
傳	传	jeùn
著	著	jeû
駐	驻	jeû
注	注	jeû
註	注	jeû
著	著	jeû
蛀	蛀	jeû
炷	炷	jeû
啜	啜	jeûd
掇	掇	jeûd
輟	辍	jeûd
拙	拙	jeûd
咄	咄	jeûd
茁	茁	jeûd
轉	转	jeûn
鑽	钻	jeûn
鑽	钻	jeûn/jeün
豬	猪	jeü
株	株	jeü
蛛	蛛	jeü
侏	侏	jeü
珠	珠	jeü
銖	铢	jeü
茱	茱	jeü
誅	诛	jeü
諸	诸	jeü
朱	朱	jeü
磚	砖	jeün
尊	尊	jeün
顓	颛	jeün
專	专	jeün
鱒	鳟	jeün/jeûn
鐫	镌	jeün/jônt
煮	煮	jeũ
主	主	jeũ
傳	传	jeũn
纂	纂	jeũn
轉	转	jeũn
嵖	嵖	jà
膪	膪	jà
襲	袭	jàb
閘	闸	jàb
習	习	jàb
雜	杂	jàb
什	什	jàb
隰	隰	jàb
集	集	jàb
澤	泽	jàg
擇	择	jàg
摘	摘	jàg
躑	踯	jàg
擲	掷	jàg
謫	谪	jàg
宅	宅	jàg
眥	眦	jài
寨	寨	jài
站	站	jàm
鏨	錾	jàm
暫	暂	jàm
鴆	鸩	jàmp
朕	朕	jàmp
棧	栈	jàn
綻	绽	jàn
撰	撰	jàn
饌	馔	jàn
賺	赚	jàn
掙	挣	jàng
贈	赠	jànk
陣	阵	jànt
姪	侄	jàt
窒	窒	jàt
桎	桎	jàt
蟄	蛰	jàt
蛭	蛭	jàt
嫉	嫉	jàt
疾	疾	jàt
岫	岫	jàw
宙	宙	jàw
紂	纣	jàw
就	就	jàw
袖	袖	jàw
鷲	鹫	jàw
驟	骤	jàw
冑	冑	jàw
滯	滞	jày
炸	炸	jâ
詐	诈	jâ
乍	乍	jâ
咋	咋	jâ
榨	榨	jâ
咤	咤	jâ
蚱	蚱	jâ/jâg
咂	咂	jâb
眨	眨	jâb
砸	砸	jâb
匝	匝	jâb
札	札	jâd
扎	扎	jâd
軋	轧	jâd
紮	紮	jâd
鍘	铡	jâd
拶	拶	jâd
嘖	啧	jâg
責	责	jâg
窄	窄	jâg
債	债	jâi
湛	湛	jâm
蘸	蘸	jâm
枕	枕	jâmp
浸	浸	jâmp
讚	赞	jân
贊	赞	jân
鎮	镇	jânt
震	震	jânt
圳	圳	jânt
振	振	jânt
賑	赈	jânt
罩	罩	jâu
晝	昼	jâw
縐	绉	jâw
皺	皱	jâw
奏	奏	jâw
揍	揍	jâw
咒	咒	jâw
祭	祭	jây
製	制	jây
掣	掣	jây
際	际	jây
霽	霁	jây
濟	济	jây
制	制	jây
斬	斩	jãm
嶄	崭	jãm
怎	怎	jãmp
枕	枕	jãmp
盞	盏	jãn
趲	趱	jãn
攢	攒	jãn
疹	疹	jãnt
軫	轸	jãnt/cãnt
爪	爪	jãu
找	找	jãu
走	走	jãw
帚	帚	jãw
肘	肘	jãw
酒	酒	jãw
濟	济	jãy
仔	仔	jãy
咱	咱	jä
糌	糌	jä
吒	吒	jä
渣	渣	jä
齇	齇	jä
楂	楂	jä
抓	抓	jä/jãu
齎	赍	jäi
齋	斋	jäi
側	侧	jäk
則	则	jäk
仄	仄	jäk
昃	昃	jäk
斟	斟	jämp
箴	箴	jämp
針	针	jämp
砧	砧	jämp
簪	簪	jämp
增	增	jänk
崢	峥	jänk
錚	铮	jänk
僧	僧	jänk
憎	憎	jänk
曾	曾	jänk
箏	筝	jänk
猙	狰	jänk/jäng
掙	挣	jänk/jäng
爭	争	jänk/jäng
睜	睁	jänk/jäng
珍	珍	jänt
胗	胗	jänt
真	真	jänt
汁	汁	jäp
執	执	jäp
質	质	jät
嘲	嘲	jäu
鄒	邹	jäw
輈	辀	jäw
週	周	jäw
揪	揪	jäw
謅	诌	jäw
州	州	jäw
周	周	jäw
舟	舟	jäw
諏	诹	jäw
洲	洲	jäw
陬	陬	jäw
擠	挤	jäy
劑	剂	jäy
齏	齑	jäy
躋	跻	jäy
謝	谢	jè
汐	汐	jèk
席	席	jèk
夕	夕	jèk
寂	寂	jèk
籍	籍	jèk
殖	殖	jèk
直	直	jèk
藉	藉	jèk
值	值	jèk
矽	矽	jèk
植	植	jèk
蓆	蓆	jèk/jèg
藉	借	jèk/jê
借	借	jèk/jê
鄭	郑	jèng/jènk
淨	净	jènk
靜	静	jènk
靖	靖	jènk
阱	阱	jènk/jèng
這	这	jé/jê
柘	柘	jê
借	借	jê
蔗	蔗	jê
隻	只	jêg
瘠	瘠	jêk
炙	炙	jêk/jêg
脊	脊	jêk/jêg
政	政	jênk
正	正	jênk
證	证	jênk
症	症	jênk
嗟	嗟	jë
遮	遮	jë
績	绩	jëk
積	积	jëk
即	即	jëk
織	织	jëk
跡	迹	jëk
鯽	鲫	jëk
職	职	jëk
陟	陟	jëk
稷	稷	jëk
漬	渍	jëk/jî
鉦	钲	jënk
癥	症	jënk
烝	烝	jënk
睛	睛	jënk
蒸	蒸	jënk
偵	侦	jënk
菁	菁	jënk
貞	贞	jënk
征	征	jënk
怔	怔	jënk
徵	征	jënk
正	正	jënk
禎	祯	jënk
精	精	jënk
旌	旌	jënk
晶	晶	jënk
字	字	jì
雉	雉	jì
治	治	jì
巳	巳	jì
伺	伺	jì
耜	耜	jì
嗣	嗣	jì
稚	稚	jì
祀	祀	jì
自	自	jì
俟	俟	jì
痔	痔	jì
飼	饲	jì
峙	峙	jì/cí
豸	豸	jì/jài
寺	寺	jì/jĩ
捷	捷	jìd
睫	睫	jìd
截	截	jìd
漸	渐	jìm
賤	贱	jìn
召	召	jìu
趙	赵	jìu
質	质	jî
誌	志	jî
痣	痣	jî
智	智	jî
摯	挚	jî
志	志	jî
緻	致	jî
至	至	jî
輊	轾	jî
致	致	jî
置	置	jî
躓	踬	jî
恣	恣	jî/cî
輒	辄	jîb
摺	折	jîb
楫	楫	jîb
褶	褶	jîb
接	接	jîb
浹	浃	jîb
囁	嗫	jîb
櫛	栉	jîd
婕	婕	jîd
折	折	jîd
節	节	jîd
哲	哲	jîd
蜇	蜇	jîd
癤	疖	jîd
浙	浙	jîd
佔	占	jîm
顫	颤	jîn
薦	荐	jîn
餞	饯	jîn
戰	战	jîn
濺	溅	jîn
箭	箭	jîn
詔	诏	jîu
照	照	jîu
氏	氏	jï
蜘	蜘	jï
脂	脂	jï
支	支	jï
枝	枝	jï
咨	咨	jï
滋	滋	jï
孜	孜	jï
茲	兹	jï
姿	姿	jï
淄	淄	jï
鼒	鼒	jï
資	资	jï
貲	赀	jï
知	知	jï
吱	吱	jï
諮	谘	jï
齜	龇	jï
芝	芝	jï
肢	肢	jï
輜	辎	jï
之	之	jï
唧	唧	jïd
瞻	瞻	jïm
尖	尖	jïm
詹	詹	jïm
譫	谵	jïm
霑	霑	jïm
沾	沾	jïm
占	占	jïm
煎	煎	jïn
箋	笺	jïn
羶	膻	jïn
氈	毡	jïn
招	招	jïu
椒	椒	jïu
蕉	蕉	jïu
焦	焦	jïu
礁	礁	jïu
朝	朝	jïu
唑	唑	jò
助	助	jò
坐	坐	jò
座	座	jò
鑿	凿	jòg
擢	擢	jòg
在	在	jòi
鐲	镯	jòk
軸	轴	jòk
續	续	jòk
妯	妯	jòk
族	族	jòk
躅	躅	jòk
俗	俗	jòk
逐	逐	jòk
濁	浊	jòk
鏃	镞	jòk
藏	藏	jòng
臟	脏	jòng
撞	撞	jòng
狀	状	jòng
奘	奘	jòng
頌	颂	jònk
重	重	jònk
訟	讼	jònk
誦	诵	jònk
仲	仲	jònk
燼	烬	jònt
盡	尽	jònt
造	造	jòw
皂	皂	jòw
做	做	jòw
慥	慥	jòw/côw
嶼	屿	jòy
罪	罪	jòy
序	序	jòy
墜	坠	jòy
敘	叙	jòy
聚	聚	jòy
漵	溆	jòy
綴	缀	jòy/jôy
佐	佐	jô
詛	诅	jô/jõ
作	作	jôg
昨	昨	jôg/jòg
載	载	jôi
再	再	jôi
壯	壮	jông
葬	葬	jông
戇	戆	jông/ngòng
中	中	jônk
種	种	jônk
眾	众	jônk
縱	纵	jônk
粽	粽	jônk/jõnk
縉	缙	jônt
進	进	jônt
俊	俊	jônt
竣	竣	jônt
駿	骏	jônt
峻	峻	jônt
晉	晋	jônt
灶	灶	jôw
醉	醉	jôy
惴	惴	jôy
贅	赘	jôy
最	最	jôy
左	左	jõ
俎	俎	jõ
阻	阻	jõ
宰	宰	jõi
崽	崽	jõi
載	载	jõi
駔	驵	jõng
總	总	jõnk
種	种	jõnk
腫	肿	jõnk
準	准	jõnt
儘	尽	jõnt
准	准	jõnt
隼	隼	jõnt
早	早	jõw
澡	澡	jõw
組	组	jõw
蚤	蚤	jõw
藻	藻	jõw
祖	祖	jõw
駔	驵	jõw
棗	枣	jõw
齟	龃	jõy
咀	咀	jõy
嘴	嘴	jõy
沮	沮	jõy
栽	栽	jöi
災	灾	jöi
哉	哉	jöi
竹	竹	jök
矚	瞩	jök
燭	烛	jök
捉	捉	jök
粥	粥	jök
祝	祝	jök
足	足	jök
竺	竺	jök
築	筑	jök
囑	嘱	jök
髒	脏	jöng
裝	装	jöng
贓	赃	jöng
妝	妆	jöng
樁	桩	jöng
莊	庄	jöng
中	中	jönk
終	终	jönk
縱	纵	jönk
盅	盅	jönk
宗	宗	jönk
樅	枞	jönk
鐘	钟	jönk
蹤	踪	jönk
螽	螽	jönk
棕	棕	jönk
鍾	钟	jönk
忠	忠	jönk
鬃	鬃	jönk
衷	衷	jönk/cönk
綜	综	jönk/jônk
臻	臻	jönt
津	津	jönt
樽	樽	jönt
榛	榛	jönt
諄	谆	jönt
遵	遵	jönt/jeün
怵	怵	jöt
黜	黜	jöt
卒	卒	jöt
糟	糟	jöw
租	租	jöw
遭	遭	jöw
狙	狙	jöy
追	追	jöy
錐	锥	jöy
椎	椎	jöy
蛆	蛆	jöy/cöy
秭	秭	jĩ
止	止	jĩ
只	只	jĩ
指	指	jĩ
紙	纸	jĩ
子	子	jĩ
芷	芷	jĩ
趾	趾	jĩ
酯	酯	jĩ
祉	祉	jĩ
仔	仔	jĩ
姊	姊	jĩ
咫	咫	jĩ
旨	旨	jĩ
滓	滓	jĩ
籽	籽	jĩ
址	址	jĩ
紫	紫	jĩ
梓	梓	jĩ
展	展	jĩn
輾	辗	jĩn
碾	碾	jĩn
剪	剪	jĩn
翦	翦	jĩn
闡	阐	jĩn/cĩn
沼	沼	jĩu
剿	剿	jĩu
者	者	jẽ
姐	姐	jẽ
整	整	jẽnk
井	井	jẽnk/jẽng
擒	擒	kamp
琴	琴	kamp
噙	噙	kamp
禽	禽	kamp
勤	勤	kant
芹	芹	kant
毬	毬	kaw
裘	裘	kaw
求	求	kaw
球	球	kaw
仇	仇	kaw
虯	虬	kaw
逑	逑	kaw
犰	犰	kaw
瘸	瘸	ke
騎	骑	ke
鯨	鲸	kenk
黥	黥	kenk
瓊	琼	kenk
擎	擎	kenk
強	强	keong
權	权	keun
蜷	蜷	keun
顴	颧	keun
拳	拳	keun
鬈	鬈	keun
俟	俟	key
鰭	鳍	key
耆	耆	key
旗	旗	key
奇	奇	key
岐	岐	key
期	期	key
祺	祺	key
祁	祁	key
棋	棋	key
蘄	蕲	key
琪	琪	key
旂	旂	key
琦	琦	key
歧	歧	key
淇	淇	key
祈	祈	key
其	其	key
萁	萁	key
麒	麒	key
噱	噱	keòg
強	强	keóng
羥	羟	keóng
卻	却	keôg
撅	撅	keûd
厥	厥	keûd
孓	孓	keûd
蕨	蕨	keûd
蹶	蹶	keûd
闕	阙	keûd
訣	诀	keûd
決	决	keûd
獗	獗	keûd
缺	缺	keûd
抉	抉	keûd
橛	橛	keûd/geùd
鉗	钳	kim
黔	黔	kim
犍	犍	kin
乾	乾	kin
虔	虔	kin
掮	掮	kin
蕎	荞	kiu
