开放粤语字典（耶鲁拼音调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［耶鲁拼音］
铰	鉸	gaau
窖	窖	gaau
觉	覺	gaau
教	教	gaau
校	校	gaau
酵	酵	gaau/hāau
鸡	雞	gāi
计	計	gai
髻	髻	gai
蓟	薊	gai
继	繼	gai
金	金	gām
柑	柑	gām
今	今	gām
甘	甘	gām
苷	苷	gām
禁	禁	gām
泔	泔	gām
感	感	gám
敢	敢	gám
橄	橄	gám
锦	錦	gám
禁	禁	gam
赣	贛	gam
淦	淦	gam
噤	噤	gam
筋	筋	gān
跟	跟	gān
根	根	gān
巾	巾	gān
斤	斤	gān
哏	哏	gān
紧	緊	gán
堇	堇	gán
谨	謹	gán
仅	僅	gán
馑	饉	gán
瑾	瑾	gán
靳	靳	gan
艮	艮	gan
觐	覲	gan/gán
近	近	gahn
庚	庚	gāng
更	更	gāng
羹	羹	gāng
梗	梗	gáng
耿	耿	gáng
亘	亙	gáng
埂	埂	gáng
哽	哽	gáng
鲠	鯁	gáng/káng
更	更	gang
急	急	gāp
鸽	鴿	gap
蛤	蛤	gap
吉	吉	gāt
讫	訖	gāt
纥	紇	gāt
桔	桔	gāt
嘎	嘎	gat
疙	疙	gaht
钩	鉤	gāu
阄	鬮	gāu
佝	佝	gāu
鸠	鳩	gāu/kāu
韭	韭	gáu
枸	枸	gáu
苟	苟	gáu
狗	狗	gáu
久	久	gáu
九	九	gáu
玖	玖	gáu
纠	糾	gáu/dáu
灸	灸	gau
够	夠	gau
咎	咎	gau
柩	柩	gau
究	究	gau
疚	疚	gau
救	救	gau
诟	詬	gau
垢	垢	gau
厩	廄	gau
旧	舊	gauh
饥	飢	gēi
基	基	gēi
乩	乩	gēi
箕	箕	gēi
奇	奇	gēi
肌	肌	gēi
畸	畸	gēi
姬	姬	gēi
犄	犄	gēi
矶	磯	gēi
讥	譏	gēi
叽	嘰	gēi
羁	覊	gēi
几	几	gēi
畿	畿	gēi
玑	璣	gēi
机	機	gēi
几	幾	gēi
纪	紀	géi
几	幾	géi
己	己	géi
杞	杞	géi
觊	覬	gei
纪	紀	gei
寄	寄	gei
既	既	gei
记	記	gei
妓	妓	geih
芰	芰	geih
技	技	geih
伎	伎	geih
忌	忌	geih
惊	驚	gēng
颈	頸	géng
镜	鏡	geng
居	居	gēui
据	据	gēui
举	舉	géui
矩	矩	géui
榉	櫸	géui
蒟	蒟	géui
龋	齲	géui
莒	莒	géui
踞	踞	geui
据	據	geui
句	句	geui
锯	鋸	geui/geu
讵	詎	geuih
惧	懼	geuih
炬	炬	geuih
巨	鉅	geuih
遽	遽	geuih
巨	巨	geuih
具	具	geuih
飓	颶	geuih
苣	苣	geuih
脚	腳	geuk
僵	僵	geūng
羌	羌	geūng
僵	殭	geūng
蜣	蜣	geūng
姜	薑	geūng
缰	韁	geūng
疆	疆	geūng
姜	姜	geūng
强	強	geuhng
棘	棘	gīk
激	激	gīk
击	擊	gīk
戟	戟	gīk
亟	亟	gīk
殛	殛	gīk
极	極	gihk
兼	兼	gīm
鹣	鶼	gīm
搛	搛	gīm
捡	撿	gím
睑	瞼	gím
检	檢	gím
剑	劍	gim
俭	儉	gihm
坚	堅	gīn
肩	肩	gīn
犍	犍	gīn
腱	腱	gin
建	建	gin
见	見	gin
健	健	gihn
件	件	gihn
键	鍵	gihn
惊	驚	gīng
荆	荊	gīng
兢	兢	gīng
泾	涇	gīng
经	經	gīng
矜	矜	gīng
京	京	gīng
景	景	gíng
境	境	gíng
警	警	gíng
竟	竟	gíng
儆	儆	gíng
憬	憬	gíng
璟	璟	gíng
径	徑	ging
敬	敬	ging
劲	勁	ging
径	逕	ging
竞	競	gihng
劲	勁	gihng
痉	痙	gihng
劫	劫	gip
洁	潔	git
结	結	git
拮	拮	git
杰	傑	giht
桀	桀	giht
娇	嬌	giū
骄	驕	giū
矫	矯	giú
缴	繳	giú
叫	叫	giu
撬	撬	giuh
轿	轎	giuh
仡	仡	gō
哥	哥	gō
歌	歌	gō
旮	旮	gō/gok
菏	菏	gō/hòh
个	個	go
该	該	gōi
赅	賅	gōi
改	改	gói
盖	蓋	goi
咯	咯	gōk
各	各	gok
角	角	gok
搁	擱	gok
阁	閣	gok
觉	覺	gok
干	乾	gōn
杆	杆	gōn
肝	肝	gōn
竿	竿	gōn
干	干	gōn
擀	擀	gón
赶	趕	gón
杆	桿	gón
干	幹	gon
缸	缸	gōng
罡	罡	gōng
肛	肛	gōng
江	江	gōng
纲	綱	gōng
冈	岡	gōng
岗	崗	gōng
刚	剛	gōng
讲	講	góng
港	港	góng
绛	絳	gong
钢	鋼	gong
降	降	gong
杠	槓	gong
割	割	got
葛	葛	got
高	高	gōu
糕	糕	gōu
膏	膏	gōu
羔	羔	gōu
睾	睾	gōu
皋	皋	gōu
稿	稿	góu
槁	槁	góu
镐	鎬	góu
缟	縞	góu
杲	杲	góu
藁	藁	góu
锆	鋯	gou
告	告	gou
郜	郜	gou
诰	誥	gouh
姑	姑	gū
沽	沽	gū
蛄	蛄	gū
轱	軲	gū
咕	咕	gū
孤	孤	gū
辜	辜	gū
菇	菇	gū
觚	觚	gū
蛊	蠱	gú
钴	鈷	gú
牯	牯	gú
贾	賈	gú
古	古	gú
估	估	gú
鼓	鼓	gú
股	股	gú
雇	僱	gu
顾	顧	gu
锢	錮	gu
故	故	gu
固	固	gu
谷	谷	gūk
鹄	鵠	gūk
毂	轂	gūk
谷	穀	gūk
掬	掬	gūk
鞠	鞠	gūk
梏	梏	gūk
嚳	嚳	gūk
菊	菊	gūk
局	局	guhk
焗	焗	guhk
锔	鋦	guhk
冠	冠	gūn
官	官	gūn
棺	棺	gūn
观	觀	gūn
莞	莞	gūn
倌	倌	gūn
管	管	gún
馆	館	gún
莞	莞	gún
脘	脘	gún
鹳	鸛	gun
冠	冠	gun
灌	灌	gun
盥	盥	gun
罐	罐	gun
贯	貫	gun
蚣	蚣	gūng
恭	恭	gūng
供	供	gūng
弓	弓	gūng
龚	龔	gūng
躬	躬	gūng
宫	宮	gūng
功	功	gūng
工	工	gūng
攻	攻	gūng
公	公	gūng
巩	鞏	gúng
拱	拱	gúng
珙	珙	gúng
贡	貢	gung
供	供	gung
共	共	guhng
呱	呱	gwā
瓜	瓜	gwā
寡	寡	gwá
挂	掛	gwa
卦	卦	gwa
褂	褂	gwa
乖	乖	gwāai
拐	拐	gwáai
柺	柺	gwáai
蒯	蒯	gwáai
怪	怪	gwaai
掴	摑	gwaak
关	關	gwāan
鳏	鰥	gwāan
掼	摜	gwaan
惯	慣	gwaan
刮	刮	gwaat
刮	颳	gwaat
龟	龜	gwāi
硅	硅	gwāi
闺	閨	gwāi
归	歸	gwāi
圭	圭	gwāi
瑰	瑰	gwāi
鲑	鮭	gwāi
皈	皈	gwāi
晷	晷	gwái
鬼	鬼	gwái
轨	軌	gwái
诡	詭	gwái
癸	癸	gwai
瑰	瑰	gwai
季	季	gwai
桂	桂	gwai
悸	悸	gwai
贵	貴	gwai
柜	櫃	gwaih
馈	饋	gwaih
跪	跪	gwaih
篑	簣	gwaih
筠	筠	gwān
君	君	gwān
钧	鈞	gwān
军	軍	gwān
均	均	gwān
纶	綸	gwān
鋆	鋆	gwān
锟	錕	gwān
鲲	鯤	gwān
滚	滾	gwán
棍	棍	gwan
郡	郡	gwahn
珺	珺	gwahn
薨	薨	gwāng
肱	肱	gwāng
訇	訇	gwāng
轰	轟	gwāng
橘	橘	gwāt
骨	骨	gwāt
倔	倔	gwaht
掘	掘	gwaht
崛	崛	gwaht
虢	虢	gwīk
隙	隙	gwīk/kwīng
炯	炯	gwíng
迥	迥	gwíng
戈	戈	gwō
裹	裹	gwó
果	果	gwó
过	過	gwo
郭	郭	gwok
腘	膕	gwok
国	國	gwok
帼	幗	gwok
廓	廓	gwok/kwok
胱	胱	gwōng
光	光	gwōng
桄	桄	gwōng
犷	獷	gwóng
广	廣	gwóng
诳	誑	gwóng
桄	桄	gwong
捐	捐	gyūn
鹃	鵑	gyūn
娟	娟	gyūn
涓	涓	gyūn
蠲	蠲	gyūn
卷	卷	gyún
卷	捲	gyún
绢	絹	gyun
券	券	gyun
眷	眷	gyun
鄄	鄄	gyun
倦	倦	gyuhn
哈	哈	hā
虾	蝦	hā
遐	遐	hàh
瑕	瑕	hàh
蛤	蛤	hàh
霞	霞	hàh
夏	夏	hah
下	下	hah
暇	暇	hah
厦	廈	hah
揩	揩	hāai
嗨	嗨	hāai
孩	孩	hàaih
谐	諧	hàaih
骸	骸	hàaih
鞋	鞋	hàaih
骇	駭	háaih
獬	獬	háaih
蟹	蟹	háaih
懈	懈	haaih
械	械	haaih
解	解	haaih
邂	邂	haaih/háaih
赫	赫	hāak
吓	嚇	haak
客	客	haak
喊	喊	haam
函	函	hàahm
涵	涵	hàahm
咸	鹹	hàahm
咸	咸	hàahm
衔	銜	hàahm
槛	檻	háahm
陷	陷	haahm
馅	餡	haahm
闲	閒	hàahn
痫	癇	hàahn
娴	嫺	hàahn
限	限	haahn
夯	夯	hāang
坑	坑	hāang
行	行	hàahng
呷	呷	haap
嗑	嗑	haap
掐	掐	haap
匣	匣	haahp
柙	柙	haahp
箧	篋	haahp
狎	狎	haahp
峡	峽	haahp
狭	狹	haahp/haap
侠	俠	haahp/hahp
哮	哮	hāau
敲	敲	hāau
烤	烤	hāau/háau
拷	拷	háau
考	考	háau
巧	巧	háau
孝	孝	haau
校	校	haauh
効	効	haauh
效	效	haauh
傚	傚	haauh
奚	奚	hàih
兮	兮	hàih
鼷	鼷	hàih
系	係	haih
系	繫	haih
系	系	haih
克	克	hāk
刻	刻	hāk
黑	黑	hāk
氪	氪	hāk
克	剋	hāk
可	可	hāk
勘	勘	hām
蚶	蚶	hām
龛	龕	hām
戡	戡	hām
堪	堪	hām
憨	憨	hām
砍	砍	hám
坎	坎	hám
崁	崁	ham
磡	磡	ham
勘	勘	ham
瞰	瞰	ham
嵌	嵌	ham/hahm
含	含	hàhm
酣	酣	hàhm
晗	晗	hàhm
颔	頷	háhm
撼	撼	hahm
憾	憾	hahm
很	很	hán
狠	狠	hán
恳	懇	hán
垦	墾	hán
痕	痕	hàhn
恨	恨	hahn
铿	鏗	hāng
哼	哼	hāng
亨	亨	hāng
茎	莖	hāng/ging
肯	肯	háng
啃	啃	háng
桁	桁	hàhng
恒	恆	hàhng
衡	衡	hàhng
行	行	hàhng
悻	悻	hahng
杏	杏	hahng
幸	幸	hahng
幸	倖	hahng
行	行	hahng
恰	恰	hāp
洽	洽	hāp
磕	磕	hahp
合	合	hahp
盒	盒	hahp
阖	闔	hahp
颌	頜	hahp
瞌	瞌	hahp
乞	乞	hāt
瞎	瞎	haht
辖	轄	haht
阂	閡	haht
劾	劾	haht
檄	檄	haht
龁	齕	haht
纥	紇	haht
核	核	haht/waht
齁	齁	hāu
口	口	háu
吼	吼	hau
猴	猴	hàuh
侯	侯	hàuh
喉	喉	hàuh
篌	篌	hàuh
瘊	瘊	hàuh
厚	厚	háuh
后	後	hauh
逅	逅	hauh
后	后	hauh
鲎	鱟	hauh
候	候	hauh
嘿	嘿	hēi
烯	烯	hēi
禧	禧	hēi
熙	熙	hēi
嬉	嬉	hēi
曦	曦	hēi
牺	犧	hēi
稀	稀	hēi
羲	羲	hēi
醯	醯	hēi
欷	欷	hēi
希	希	hēi
嘻	嘻	hēi
唏	唏	hēi
欺	欺	hēi
熹	熹	hēi
浠	浠	hēi
喜	喜	héi
岂	豈	héi
起	起	héi
囍	囍	héi
憩	憩	hei
戏	戲	hei
器	器	hei
汽	汽	hei
弃	棄	hei
气	氣	hei
吃	吃	hek
靴	靴	hēu
墟	墟	hēui
吁	吁	hēui
嘘	噓	hēui
虚	虛	hēui
歔	歔	hēui
盱	盱	hēui
诩	詡	héui
许	許	héui
栩	栩	héui
煦	煦	héui/heui
去	去	heui
香	香	heūng
乡	鄉	heūng
响	響	heúng
飨	饗	heúng
饷	餉	heúng
晌	晌	heúng
享	享	heúng
向	向	heung
向	嚮	heung
谦	謙	hīm
险	險	hím
芡	芡	him
欠	欠	him
掀	掀	hīn
牵	牽	hīn
轩	軒	hīn
骞	騫	hīn
遣	遣	hín
显	顯	hín
谴	譴	hín
蚬	蜆	hín
缱	繾	hín
献	獻	hin
宪	憲	hin
兄	兄	hīng
卿	卿	hīng
兴	興	hīng
馨	馨	hīng
氢	氫	hīng
轻	輕	hīng/hēng
磬	磬	hing
罄	罄	hing
兴	興	hing
庆	慶	hing
胫	脛	híhng/ging
胁	脅	hip
歉	歉	hip
协	協	hip
怯	怯	hip
挟	挾	hip/haahp
惬	愜	hihp
歇	歇	hit
蝎	蠍	hit
侥	僥	hiū
鸮	鴞	hiū
骁	驍	hiū
枭	梟	hiū
浇	澆	hiū
嚣	囂	hiū
橇	橇	hiū/cheui
晓	曉	hiú
窍	竅	hiu/kiu
哼	哼	hngh
苛	苛	hō
诃	訶	hō
呵	呵	hō
可	可	hó
坷	坷	hó
岢	岢	hó
嗬	嗬	hó
何	何	hòh
河	河	hòh
荷	荷	hòh
贺	賀	hoh
荷	荷	hoh
开	開	hōi
咍	咍	hōi
锎	鐦	hōi
恺	愷	hói
海	海	hói
铠	鎧	hói
凯	凱	hói
闿	闓	hói
剀	剴	hói
垲	塏	hói
害	害	hoih
亥	亥	hoih
氦	氦	hoih
壳	殼	hok
貉	貉	hohk
鹤	鶴	hohk
学	學	hohk
侃	侃	hón
罕	罕	hón
刊	刊	hón/hōn
看	看	hon
汉	漢	hon
韩	韓	hòhn
邯	邯	hòhn
鼾	鼾	hòhn
寒	寒	hòhn
汗	汗	hòhn
旱	旱	hóhn
悍	悍	hohn
瀚	瀚	hohn
捍	捍	hohn
汗	汗	hohn
翰	翰	hohn
焊	焊	hohn
匡	匡	hōng
康	康	hōng
糠	糠	hōng
腔	腔	hōng
劻	劻	hōng
诓	誆	hōng
眶	眶	hōng/kwāang
筐	筐	hōng/kwāang
慷	慷	hóng/kóng
行	行	hòhng
航	航	hòhng
杭	杭	hòhng
降	降	hòhng
吭	吭	hòhng
项	項	hohng
巷	巷	hohng/hóng
渴	渴	hot
喝	喝	hot
鞨	鞨	hot
褐	褐	hot
蒿	蒿	hōu
薅	薅	hōu
好	好	hóu
犒	犒	hou
好	好	hou
耗	耗	hou
蠔	蠔	hòuh
豪	豪	hòuh
嗥	嗥	hòuh
壕	壕	hòuh
毫	毫	hòuh
嚎	嚎	hòuh
号	號	hòuh
昊	昊	houh
浩	浩	houh
号	號	houh
镐	鎬	houh
灏	灝	houh
皓	皓	houh
哭	哭	hūk
酷	酷	huhk
槲	槲	huhk
匈	匈	hūng
凶	凶	hūng
箜	箜	hūng
崆	崆	hūng
胸	胸	hūng
汹	洶	hūng
凶	兇	hūng
空	空	hūng
恐	恐	húng
孔	孔	húng
哄	哄	hung
控	控	hung
汞	汞	hung
烘	烘	hung/hūng
哄	鬨	hung/huhng
虹	虹	hùhng
熊	熊	hùhng
洪	洪	hùhng
雄	雄	hùhng
鸿	鴻	hùhng
红	紅	hùhng
讧	訌	hùhng/hung
圈	圈	hyūn
萱	萱	hyūn
喧	喧	hyūn
暄	暄	hyūn
埙	壎	hyūn
犬	犬	hyún
畎	畎	hyún
劝	勸	hyun
券	券	hyun
绚	絢	hyun
绻	綣	hyun
血	血	hyut
渣	渣	jā
糌	糌	jā
吒	吒	jā
咱	咱	jā
楂	楂	jā
齇	齇	jā
抓	抓	jā/jáau
炸	炸	ja
诈	詐	ja
乍	乍	ja
咋	咋	ja
榨	榨	ja
咤	咤	ja
蚱	蚱	ja/jaak
嵖	嵖	jah
膪	膪	jah
斋	齋	jāai
赍	齎	jāai
债	債	jaai
寨	寨	jaaih
眦	眥	jaaih
窄	窄	jaak
啧	嘖	jaak
责	責	jaak
宅	宅	jaahk
择	擇	jaahk
泽	澤	jaahk
摘	摘	jaahk
踯	躑	jaahk
掷	擲	jaahk
谪	謫	jaahk
斩	斬	jáam
崭	嶄	jáam
湛	湛	jaam
蘸	蘸	jaam
站	站	jaahm
錾	鏨	jaahm
暂	暫	jaahm
趱	趲	jáan
盏	盞	jáan
攒	攢	jáan
赞	讚	jaan
赞	贊	jaan
栈	棧	jaahn
绽	綻	jaahn
撰	撰	jaahn
赚	賺	jaahn
馔	饌	jaahn
挣	掙	jaahng
眨	眨	jaap
咂	咂	jaap
匝	匝	jaap
砸	砸	jaap
闸	閘	jaahp
集	集	jaahp
习	習	jaahp
杂	雜	jaahp
什	什	jaahp
袭	襲	jaahp
隰	隰	jaahp
札	札	jaat
扎	扎	jaat
轧	軋	jaat
紮	紮	jaat
铡	鍘	jaat
拶	拶	jaat
嘲	嘲	jāau
爪	爪	jáau
找	找	jáau
罩	罩	jaau
跻	躋	jāi
齑	齏	jāi
剂	劑	jāi
挤	擠	jāi
仔	仔	jái
济	濟	jái
祭	祭	jai
制	製	jai
霁	霽	jai
济	濟	jai
制	制	jai
际	際	jai
掣	掣	jai
滞	滯	jaih
侧	側	jāk
则	則	jāk
昃	昃	jāk
仄	仄	jāk
针	針	jām
簪	簪	jām
箴	箴	jām
砧	砧	jām
斟	斟	jām
枕	枕	jám
怎	怎	jám
浸	浸	jam
枕	枕	jam
鸩	鴆	jahm
朕	朕	jahm
胗	胗	jān
珍	珍	jān
真	真	jān
疹	疹	ján
轸	軫	ján/chán
振	振	jan
赈	賑	jan
镇	鎮	jan
震	震	jan
圳	圳	jan
阵	陣	jahn
僧	僧	jāng
憎	憎	jāng
曾	曾	jāng
筝	箏	jāng
增	增	jāng
峥	崢	jāng
铮	錚	jāng
挣	掙	jāng/jāang
睁	睜	jāng/jāang
争	爭	jāng/jāang
狰	猙	jāng/jāang
赠	贈	jahng
汁	汁	jāp
执	執	jāp
质	質	jāt
侄	姪	jaht
窒	窒	jaht
桎	桎	jaht
疾	疾	jaht
蛰	蟄	jaht
嫉	嫉	jaht
蛭	蛭	jaht
舟	舟	jāu
周	周	jāu
州	州	jāu
揪	揪	jāu
周	週	jāu
洲	洲	jāu
诌	謅	jāu
邹	鄒	jāu
陬	陬	jāu
辀	輈	jāu
诹	諏	jāu
酒	酒	jáu
肘	肘	jáu
帚	帚	jáu
走	走	jáu
奏	奏	jau
揍	揍	jau
昼	晝	jau
咒	咒	jau
皱	皺	jau
绉	縐	jau
鹫	鷲	jauh
冑	冑	jauh
袖	袖	jauh
就	就	jauh
纣	紂	jauh
宙	宙	jauh
骤	驟	jauh
岫	岫	jauh
遮	遮	jē
嗟	嗟	jē
者	者	jé
姐	姐	jé
蔗	蔗	je
借	借	je
柘	柘	je
这	這	jéh/je
谢	謝	jeh
只	隻	jek
郑	鄭	jehng/jihng
狙	狙	jēui
椎	椎	jēui
锥	錐	jēui
追	追	jēui
蛆	蛆	jēui/chēui
咀	咀	jéui
龃	齟	jéui
沮	沮	jéui
嘴	嘴	jéui
醉	醉	jeui
惴	惴	jeui
赘	贅	jeui
最	最	jeui
罪	罪	jeuih
序	序	jeuih
屿	嶼	jeuih
坠	墜	jeuih
叙	敘	jeuih
聚	聚	jeuih
溆	漵	jeuih
缀	綴	jeuih/jeui
鹊	鵲	jeuk
着	著	jeuk
嚼	嚼	jeuk
酌	酌	jeuk
灼	灼	jeuk
雀	雀	jeuk
爵	爵	jeuk
斫	斫	jeuk
桌	桌	jeuk/cheuk
勺	勺	jeuk/cheuk
着	著	jeuhk
著	著	jeuhk
臻	臻	jeūn
谆	諄	jeūn
津	津	jeūn
榛	榛	jeūn
樽	樽	jeūn
遵	遵	jeūn/jyūn
准	準	jeún
尽	儘	jeún
准	准	jeún
隼	隼	jeún
进	進	jeun
晋	晉	jeun
骏	駿	jeun
竣	竣	jeun
缙	縉	jeun
峻	峻	jeun
俊	俊	jeun
尽	盡	jeuhn
烬	燼	jeuhn
漳	漳	jeūng
张	張	jeūng
浆	漿	jeūng
章	章	jeūng
将	將	jeūng
蟑	蟑	jeūng
璋	璋	jeūng
樟	樟	jeūng
彰	彰	jeūng
獐	獐	jeūng
嫜	嫜	jeūng
鄣	鄣	jeūng
掌	掌	jeúng
长	長	jeúng
奖	獎	jeúng
桨	槳	jeúng
蒋	蔣	jeúng
涨	漲	jeúng/jeung
将	將	jeung
账	賬	jeung
酱	醬	jeung
瘴	瘴	jeung
障	障	jeung
仗	仗	jeung
帐	帳	jeung
涨	漲	jeung
胀	脹	jeung
幛	幛	jeung
嶂	嶂	jeung
象	象	jeuhng
丈	丈	jeuhng
仗	仗	jeuhng
像	像	jeuhng
橡	橡	jeuhng
匠	匠	jeuhng
杖	杖	jeuhng
黜	黜	jeūt
怵	怵	jeūt
卒	卒	jeūt
蜘	蜘	jī
脂	脂	jī
支	支	jī
枝	枝	jī
姿	姿	jī
咨	咨	jī
滋	滋	jī
孜	孜	jī
兹	茲	jī
吱	吱	jī
辎	輜	jī
肢	肢	jī
芝	芝	jī
龇	齜	jī
谘	諮	jī
之	之	jī
知	知	jī
赀	貲	jī
资	資	jī
鼒	鼒	jī
淄	淄	jī
氏	氏	jī
子	子	jí
止	止	jí
只	只	jí
指	指	jí
纸	紙	jí
旨	旨	jí
紫	紫	jí
址	址	jí
籽	籽	jí
滓	滓	jí
梓	梓	jí
咫	咫	jí
姊	姊	jí
仔	仔	jí
祉	祉	jí
酯	酯	jí
趾	趾	jí
芷	芷	jí
秭	秭	jí
致	致	ji
轾	輊	ji
至	至	ji
致	緻	ji
质	質	ji
志	誌	ji
志	志	ji
置	置	ji
挚	摯	ji
智	智	ji
痣	痣	ji
踬	躓	ji
恣	恣	ji/chi
祀	祀	jih
巳	巳	jih
雉	雉	jih
字	字	jih
痔	痔	jih
俟	俟	jih
治	治	jih
自	自	jih
稚	稚	jih
饲	飼	jih
嗣	嗣	jih
耜	耜	jih
伺	伺	jih
峙	峙	jih/chíh
豸	豸	jih/jaaih
寺	寺	jih/jí
借	借	jihk/je
职	職	jīk
稷	稷	jīk
鲫	鯽	jīk
即	即	jīk
积	積	jīk
织	織	jīk
迹	跡	jīk
绩	績	jīk
陟	陟	jīk
渍	漬	jīk/ji
瘠	瘠	jik
炙	炙	jik/jek
脊	脊	jik/jek
直	直	jihk
藉	藉	jihk
值	值	jihk
席	席	jihk
植	植	jihk
殖	殖	jihk
籍	籍	jihk
寂	寂	jihk
矽	矽	jihk
汐	汐	jihk
夕	夕	jihk
借	藉	jihk/je
蓆	蓆	jihk/jehk
瞻	瞻	jīm
占	占	jīm
詹	詹	jīm
谵	譫	jīm
尖	尖	jīm
沾	沾	jīm
霑	霑	jīm
占	佔	jim
渐	漸	jihm
煎	煎	jīn
笺	箋	jīn
膻	羶	jīn
毡	氈	jīn
展	展	jín
辗	輾	jín
碾	碾	jín
剪	剪	jín
翦	翦	jín
阐	闡	jín/chín
箭	箭	jin
颤	顫	jin
溅	濺	jin
战	戰	jin
饯	餞	jin
荐	薦	jin
贱	賤	jihn
征	征	jīng
怔	怔	jīng
征	徵	jīng
正	正	jīng
旌	旌	jīng
晶	晶	jīng
精	精	jīng
祯	禎	jīng
钲	鉦	jīng
贞	貞	jīng
菁	菁	jīng
侦	偵	jīng
蒸	蒸	jīng
睛	睛	jīng
烝	烝	jīng
症	癥	jīng
整	整	jíng
井	井	jíng/jéng
症	症	jing
证	證	jing
正	正	jing
政	政	jing
靖	靖	jihng
静	靜	jihng
净	淨	jihng
阱	阱	jihng/jehng
楫	楫	jip
折	摺	jip
褶	褶	jip
嗫	囁	jip
辄	輒	jip
浃	浹	jip
接	接	jip
唧	唧	jīt
浙	浙	jit
节	節	jit
蜇	蜇	jit
疖	癤	jit
栉	櫛	jit
哲	哲	jit
婕	婕	jit
折	折	jit
截	截	jiht
睫	睫	jiht
捷	捷	jiht
椒	椒	jiū
朝	朝	jiū
焦	焦	jiū
礁	礁	jiū
蕉	蕉	jiū
招	招	jiū
沼	沼	jiú
剿	剿	jiú
照	照	jiu
诏	詔	jiu
召	召	jiuh
赵	趙	jiuh
左	左	jó
阻	阻	jó
俎	俎	jó
佐	佐	jo
诅	詛	jo/jó
坐	坐	joh
座	座	joh
助	助	joh
唑	唑	joh
栽	栽	jōi
哉	哉	jōi
灾	災	jōi
载	載	jói
宰	宰	jói
崽	崽	jói
再	再	joi
载	載	joi
在	在	joih
作	作	jok
昨	昨	jok/johk
凿	鑿	johk
擢	擢	johk
桩	樁	jōng
妆	妝	jōng
庄	莊	jōng
装	裝	jōng
脏	髒	jōng
赃	贓	jōng
驵	駔	jóng
壮	壯	jong
葬	葬	jong
戆	戇	jong/ngohng
奘	奘	johng
藏	藏	johng
状	狀	johng
撞	撞	johng
脏	臟	johng
遭	遭	jōu
租	租	jōu
糟	糟	jōu
组	組	jóu
藻	藻	jóu
蚤	蚤	jóu
早	早	jóu
澡	澡	jóu
枣	棗	jóu
祖	祖	jóu
驵	駔	jóu
灶	灶	jou
做	做	jouh
造	造	jouh
皂	皂	jouh
慥	慥	jouh/chou
足	足	jūk
竹	竹	jūk
祝	祝	jūk
粥	粥	jūk
捉	捉	jūk
瞩	矚	jūk
烛	燭	jūk
嘱	囑	jūk
竺	竺	jūk
筑	築	jūk
镯	鐲	juhk
族	族	juhk
逐	逐	juhk
浊	濁	juhk
轴	軸	juhk
续	續	juhk
妯	妯	juhk
俗	俗	juhk
躅	躅	juhk
镞	鏃	juhk
中	中	jūng
终	終	jūng
纵	縱	jūng
盅	盅	jūng
宗	宗	jūng
棕	棕	jūng
钟	鍾	jūng
忠	忠	jūng
鬃	鬃	jūng
螽	螽	jūng
踪	蹤	jūng
钟	鐘	jūng
枞	樅	jūng
衷	衷	jūng/chūng
综	綜	jūng/jung
种	種	júng
肿	腫	júng
总	總	júng
纵	縱	jung
中	中	jung
种	種	jung
众	眾	jung
粽	粽	jung/júng
重	重	juhng
讼	訟	juhng
诵	誦	juhng
颂	頌	juhng
仲	仲	juhng
侏	侏	jyū
诸	諸	jyū
朱	朱	jyū
铢	銖	jyū
诛	誅	jyū
茱	茱	jyū
珠	珠	jyū
猪	豬	jyū
蛛	蛛	jyū
株	株	jyū
主	主	jyú
煮	煮	jyú
驻	駐	jyu
蛀	蛀	jyu
著	著	jyu
注	註	jyu
著	著	jyu
注	注	jyu
炷	炷	jyu
住	住	jyuh
箸	箸	jyuh
砖	磚	jyūn
颛	顓	jyūn
尊	尊	jyūn
专	專	jyūn
鳟	鱒	jyūn/jyun
镌	鐫	jyūn/jeun
转	轉	jyún
纂	纂	jyún
传	傳	jyún
转	轉	jyun
钻	鑽	jyun
钻	鑽	jyun/jyūn
传	傳	jyuhn
辍	輟	jyut
拙	拙	jyut
啜	啜	jyut
茁	茁	jyut
咄	咄	jyut
掇	掇	jyut
绝	絕	jyuht
喀	喀	kā
卡	卡	kā
卡	卡	ká
髂	髂	ka
楷	楷	káai
蒈	蒈	káai
锴	鍇	káai/gāai
揢	揢	kaak
咯	咯	kaak
铐	銬	kaau
靠	靠	kaau
稽	稽	kāi
蹊	蹊	kāi
溪	溪	kāi
嵇	嵇	kāi/hàih
启	啟	kái
契	契	kai
襟	襟	kām
噙	噙	kàhm
禽	禽	kàhm
擒	擒	kàhm
琴	琴	kàhm
妗	妗	káhm
勤	勤	kàhn
芹	芹	kàhn
近	近	káhn
岌	岌	kāp
给	給	kāp
吸	吸	kāp
汲	汲	kāp
笈	笈	kāp
级	級	kāp
歙	歙	kāp
及	及	kahp
芨	芨	kahp/gāp
咳	咳	kāt
卡	卡	kāt
抠	摳	kāu
篝	篝	kāu/gāu
沟	溝	kāu/gāu
叩	叩	kau
扣	扣	kau
寇	寇	kau
扣	釦	kau
蔻	蔻	kau
构	構	kau/gau
媾	媾	kau/gau
