开放粤语字典（耶鲁拼音调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［耶鲁拼音］
猜	猜	chāai
钗	釵	chāai
差	差	chāai
揣	揣	chāai
搋	搋	chāai
踩	踩	cháai
踹	踹	cháai
虿	蠆	chaai
柴	柴	chàaih
豺	豺	chàaih
侪	儕	chàaih
拆	拆	chaak
册	冊	chaak
策	策	chaak
栅	柵	chaak
鲗	鰂	chaahk
贼	賊	chaahk
搀	攙	chāam
参	參	chāam
掺	摻	chāam
惨	慘	cháam
忏	懺	chaam
杉	杉	chaam/sāam
惭	慚	chàahm
谗	讒	chàahm
馋	饞	chàahm
蚕	蠶	chàahm
餐	餐	chāan
产	產	cháan
铲	鏟	cháan
灿	燦	chaan
璨	璨	chaan
残	殘	chàahn
撑	撐	chāang
瞠	瞠	chāang
橙	橙	chàahng/cháang
锃	鋥	chaahng
插	插	chaap
锸	鍤	chaap
刷	刷	chaat
獭	獺	chaat
擦	擦	chaat
察	察	chaat
抄	抄	chāau
钞	鈔	chāau
吵	吵	cháau
炒	炒	cháau
肏	肏	chaau
巢	巢	chàauh
凄	淒	chāi
妻	妻	chāi
栖	棲	chāi
悽	悽	chāi
砌	砌	chai
沏	沏	chai
切	切	chai
荠	薺	chàih
齐	齊	chàih
测	測	chāk
恻	惻	chāk
侵	侵	chām
参	參	chām/chāam
寝	寢	chám
碜	磣	chám
谶	讖	cham/chaam
沉	沉	chàhm
寻	尋	chàhm
荨	蕁	chàhm
鲟	鱘	chàhm
亲	親	chān
嗔	嗔	chān
瞋	瞋	chān
诊	診	chán
哂	哂	chán
缜	縝	chán/ján
衬	襯	chan
趁	趁	chan
龀	齔	chan
尘	塵	chàhn
陈	陳	chàhn
层	層	chàhng
曾	曾	chàhng
葺	葺	chāp
缉	緝	chāp
辑	輯	chāp
漆	漆	chāt
柒	柒	chāt
七	七	chāt
秋	鞦	chāu
抽	抽	chāu
鳅	鰍	chāu
秋	秋	chāu
楸	楸	chāu
丑	丑	cháu
丑	醜	cháu
臭	臭	chau
糗	糗	chau
嗅	嗅	chau
凑	湊	chau
溴	溴	chau
惆	惆	chàuh
酬	酬	chàuh
绸	綢	chàuh
稠	稠	chàuh
畴	疇	chàuh
踌	躊	chàuh
囚	囚	chàuh
筹	籌	chàuh
泅	泅	chàuh
仇	仇	chàuh
俦	儔	chàuh
遒	遒	chàuh
奢	奢	chē
车	車	chē
扯	扯	ché
且	且	ché
邪	邪	chèh
斜	斜	chèh
輋	輋	chèh
尺	尺	chek
赤	赤	chek
呎	呎	chek
催	催	chēui
炊	炊	chēui
摧	摧	chēui
吹	吹	chēui
趋	趨	chēui
崔	崔	chēui
璀	璀	chēui/chéui
揣	揣	chéui
娶	娶	chéui
取	取	chéui
脆	脆	cheui
趣	趣	cheui
啐	啐	cheui
觑	覷	cheui
翠	翠	cheui
焠	焠	cheui/seuih
淬	淬	cheui/seuih
除	除	chèuih
槌	槌	chèuih
隋	隋	chèuih
捶	捶	chèuih
锤	錘	chèuih
蜍	蜍	chèuih
徐	徐	chèuih
随	隨	chèuih
滁	滁	chèuih
卓	卓	cheuk
戳	戳	cheuk
绰	綽	cheuk
春	春	cheūn
蠢	蠢	cheún
驯	馴	cheùhn
旬	旬	cheùhn
循	循	cheùhn
秦	秦	cheùhn
巡	巡	cheùhn
嗪	嗪	cheùhn
螓	螓	cheùhn
枪	槍	cheūng
鲳	鯧	cheūng
呛	嗆	cheūng
昌	昌	cheūng
窗	窗	cheūng
戗	戧	cheūng
猖	猖	cheūng
菖	菖	cheūng
锵	鏘	cheūng
伥	倀	cheūng
娼	娼	cheūng
抢	搶	cheúng
唱	唱	cheung
戗	戧	cheung
怅	悵	cheung
倡	倡	cheung
畅	暢	cheung
跄	蹌	cheung
呛	嗆	cheung
炝	熗	cheung
祥	祥	cheùhng
墙	牆	cheùhng
蔷	薔	cheùhng
翔	翔	cheùhng
肠	腸	cheùhng
场	場	cheùhng
戕	戕	cheùhng
长	長	cheùhng
樯	檣	cheùhng
详	詳	cheùhng
出	齣	cheūt
出	出	cheūt
雌	雌	chī
鸱	鴟	chī
笞	笞	chī
蚩	蚩	chī
螭	螭	chī
眵	眵	chī
哧	哧	chī
差	差	chī
痴	癡	chī
嗤	嗤	chī
疵	疵	chī
魑	魑	chī
跐	跐	chī
矢	矢	chí
耻	恥	chí
齿	齒	chí
始	始	chí
此	此	chí
侈	侈	chí
褫	褫	chí
豕	豕	chí
跐	跐	chí
次	次	chi
赐	賜	chi
帜	幟	chi
刺	刺	chi
炽	熾	chi
厕	廁	chi
翅	翅	chi
瓷	瓷	chìh
祠	祠	chìh
篪	篪	chìh
驰	馳	chìh
慈	慈	chìh
词	詞	chìh
磁	磁	chìh
辞	辭	chìh
池	池	chìh
墀	墀	chìh
弛	弛	chìh
糍	糍	chìh
持	持	chìh
匙	匙	chìh
迟	遲	chìh
脐	臍	chìh
茌	茌	chìh
踟	踟	chìh
恃	恃	chíh
柿	柿	chíh
似	似	chíh
斥	斥	chīk
戚	戚	chīk
叱	叱	chīk
敕	敕	chīk
彳	彳	chīk
签	籤	chīm
纤	纖	chīm
歼	殲	chīm
签	簽	chīm
谄	諂	chím
堑	塹	chim
僭	僭	chim
暹	暹	chim/chīm
潜	潛	chìhm
迁	遷	chīn
阡	阡	chīn
仟	仟	chīn
千	韆	chīn
千	千	chīn
浅	淺	chín
前	前	chìhn
缠	纏	chìhn
钱	錢	chìhn
践	踐	chíhn/jihn
蛏	蟶	chīng
氰	氰	chīng
清	清	chīng
称	稱	chīng
蜻	蜻	chīng
鲭	鯖	chīng
青	青	chīng/chēng
拯	拯	chíng
逞	逞	chíng
骋	騁	chíng
请	請	chíng/chéng
称	稱	ching
秤	秤	ching
称	稱	ching/chang
情	情	chìhng
惩	懲	chìhng
程	程	chìhng
晴	晴	chìhng
澄	澄	chìhng
呈	呈	chìhng
埕	埕	chìhng
澂	澂	chìhng
妾	妾	chip
设	設	chit
切	切	chit
彻	徹	chit
辙	轍	chit
澈	澈	chit
撤	撤	chit
掣	掣	chit
超	超	chiū
钊	釗	chiū
昭	昭	chiū
锹	鍬	chiū
悄	悄	chiú
悄	悄	chiú/chiū
峭	峭	chiu
俏	俏	chiu
鞘	鞘	chiu
肖	肖	chiu
朝	朝	chiùh
潮	潮	chiùh
瞧	瞧	chiùh
憔	憔	chiùh
樵	樵	chiùh
初	初	chō
雏	雛	chō
刍	芻	chō
磋	磋	chō
搓	搓	chō
楚	楚	chó
础	礎	chó
错	錯	cho
锉	銼	cho
挫	挫	cho
锄	鋤	chòh
坐	坐	chóh
采	採	chói
睬	睬	chói
采	采	chói
彩	綵	chói
彩	彩	chói
菜	菜	choi
赛	賽	choi
蔡	蔡	choi
塞	塞	choi
材	材	chòih
裁	裁	chòih
才	才	chòih
财	財	chòih
错	錯	chok
沧	滄	chōng
创	創	chōng
伧	傖	chōng
疮	瘡	chōng
苍	蒼	chōng
舱	艙	chōng
仓	倉	chōng
敞	敞	chóng
厂	廠	chóng
闯	闖	chóng
氅	氅	chóng
创	創	chong
藏	藏	chòhng
床	床	chòhng
操	操	chōu
粗	粗	chōu
草	草	chóu
措	措	chou
糙	糙	chou
醋	醋	chou
躁	躁	chou
燥	燥	chou
噪	噪	chou
操	操	chou/chōu
曹	曹	chòuh
嘈	嘈	chòuh
漕	漕	chòuh
槽	槽	chòuh
搐	搐	chūk
束	束	chūk
矗	矗	chūk
蹙	蹙	chūk
畜	畜	chūk
簇	簇	chūk
蓄	蓄	chūk
促	促	chūk
速	速	chūk
簌	簌	chūk
蹴	蹴	chūk
龊	齪	chūk
亍	亍	chūk
触	觸	chūk/jūk
匆	匆	chūng
忡	忡	chūng
冲	衝	chūng
聪	聰	chūng
冲	沖	chūng
囱	囪	chūng
憧	憧	chūng
葱	蔥	chūng
涌	涌	chūng
充	充	chūng
枞	樅	chūng
骢	驄	chūng
宠	寵	chúng
冢	冢	chúng
从	從	chùhng
丛	叢	chùhng
重	重	chùhng
松	松	chùhng
琮	琮	chùhng
虫	蟲	chùhng
重	重	chúhng
躇	躇	chyū
橱	櫥	chyū
杵	杵	chyú
贮	貯	chyú
处	處	chyu
蹰	蹰	chyùh
厨	廚	chyùh/chèuih
署	署	chyúh
储	儲	chyúh
苎	苧	chyúh
柱	柱	chyúh
曙	曙	chyúh
处	處	chyúh
伫	佇	chyúh
褚	褚	chyúh
穿	穿	chyūn
汆	汆	chyūn
川	川	chyūn
蹿	躥	chyūn
村	村	chyūn
忖	忖	chyún
揣	揣	chyún
喘	喘	chyún
撺	攛	chyún/chyun
吋	吋	chyun
爨	爨	chyun
寸	寸	chyun
串	串	chyun
窜	竄	chyun
泉	泉	chyùhn
诠	詮	chyùhn
存	存	chyùhn
铨	銓	chyùhn
传	傳	chyùhn
痊	痊	chyùhn
全	全	chyùhn
醛	醛	chyùhn
荃	荃	chyùhn
辁	輇	chyùhn
筌	筌	chyùhn
猝	猝	chyut
撮	撮	chyut
踅	踅	chyut
打	打	dá
呆	呆	dāai
歹	歹	dáai
带	帶	daai
戴	戴	daai
大	大	daaih
担	擔	dāam
耽	耽	dāam
眈	眈	dāam
儋	儋	dāam
聃	聃	dāam
胆	膽	dáam
氮	氮	daahm
淡	淡	daahm
澹	澹	daahm
淡	淡	daahm/táahm
单	單	dāan
郸	鄲	dāan
丹	丹	dāan
殚	殫	dāan
弹	彈	dáan
旦	旦	daan
诞	誕	daan
掸	撢	dáahn
掸	撣	dáahn
蛋	蛋	daahn
但	但	daahn
弹	彈	daahn
惮	憚	daahn
疍	疍	daahn
搭	搭	daap
耷	耷	daap
答	答	daap
瘩	瘩	daap
踏	踏	daahp
蹋	蹋	daahp
沓	沓	daahp
靼	靼	daat
妲	妲	daat/táan
