开放粤语字典（广州拼音版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［广州拼音］
竞	競	ging6
劲	勁	ging6
痉	痙	ging6
骄	驕	giu1
娇	嬌	giu1
矫	矯	giu2
缴	繳	giu2
叫	叫	giu3
轿	轎	giu6
撬	撬	giu6
歌	歌	go1
仡	仡	go1
哥	哥	go1
旮	旮	go1/gog3
菏	菏	go1/ho4
个	個	go3
割	割	god3
葛	葛	god3
咯	咯	gog1
角	角	gog3
阁	閣	gog3
搁	擱	gog3
觉	覺	gog3
各	各	gog3
该	該	goi1
赅	賅	goi1
改	改	goi2
盖	蓋	goi3
杆	杆	gon1
干	乾	gon1
竿	竿	gon1
肝	肝	gon1
干	干	gon1
赶	趕	gon2
杆	桿	gon2
擀	擀	gon2
干	幹	gon3
罡	罡	gong1
肛	肛	gong1
江	江	gong1
纲	綱	gong1
冈	岡	gong1
岗	崗	gong1
刚	剛	gong1
缸	缸	gong1
讲	講	gong2
港	港	gong2
绛	絳	gong3
杠	槓	gong3
钢	鋼	gong3
降	降	gong3
高	高	gou1
膏	膏	gou1
糕	糕	gou1
皋	皋	gou1
羔	羔	gou1
睾	睾	gou1
藁	藁	gou2
稿	稿	gou2
槁	槁	gou2
镐	鎬	gou2
缟	縞	gou2
杲	杲	gou2
锆	鋯	gou3
郜	郜	gou3
告	告	gou3
诰	誥	gou6
沽	沽	gu1
姑	姑	gu1
觚	觚	gu1
蛄	蛄	gu1
轱	軲	gu1
咕	咕	gu1
菇	菇	gu1
辜	辜	gu1
孤	孤	gu1
鼓	鼓	gu2
股	股	gu2
估	估	gu2
蛊	蠱	gu2
钴	鈷	gu2
贾	賈	gu2
古	古	gu2
牯	牯	gu2
雇	僱	gu3
顾	顧	gu3
锢	錮	gu3
故	故	gu3
固	固	gu3
鹄	鵠	gug1
谷	谷	gug1
毂	轂	gug1
谷	穀	gug1
掬	掬	gug1
鞠	鞠	gug1
梏	梏	gug1
嚳	嚳	gug1
菊	菊	gug1
局	局	gug6
焗	焗	gug6
锔	鋦	gug6
官	官	gun1
冠	冠	gun1
棺	棺	gun1
倌	倌	gun1
莞	莞	gun1
观	觀	gun1
管	管	gun2
馆	館	gun2
莞	莞	gun2
脘	脘	gun2
冠	冠	gun3
贯	貫	gun3
灌	灌	gun3
罐	罐	gun3
鹳	鸛	gun3
盥	盥	gun3
龚	龔	gung1
躬	躬	gung1
弓	弓	gung1
功	功	gung1
工	工	gung1
攻	攻	gung1
供	供	gung1
恭	恭	gung1
蚣	蚣	gung1
宫	宮	gung1
公	公	gung1
巩	鞏	gung2
拱	拱	gung2
珙	珙	gung2
贡	貢	gung3
供	供	gung3
共	共	gung6
呱	呱	gwa1
瓜	瓜	gwa1
寡	寡	gwa2
挂	掛	gwa3
卦	卦	gwa3
褂	褂	gwa3
刮	颳	gwad3
刮	刮	gwad3
掴	摑	gwag3
乖	乖	gwai1
蒯	蒯	gwai2
拐	拐	gwai2
柺	柺	gwai2
怪	怪	gwai3
鳏	鰥	gwan1
关	關	gwan1
惯	慣	gwan3
掼	摜	gwan3
骨	骨	gwed1
橘	橘	gwed1
倔	倔	gwed6
崛	崛	gwed6
掘	掘	gwed6
硅	硅	gwei1
龟	龜	gwei1
鲑	鮭	gwei1
闺	閨	gwei1
归	歸	gwei1
圭	圭	gwei1
瑰	瑰	gwei1
皈	皈	gwei1
鬼	鬼	gwei2
轨	軌	gwei2
诡	詭	gwei2
晷	晷	gwei2
癸	癸	gwei3
桂	桂	gwei3
悸	悸	gwei3
贵	貴	gwei3
季	季	gwei3
瑰	瑰	gwei3
柜	櫃	gwei6
篑	簣	gwei6
馈	饋	gwei6
跪	跪	gwei6
君	君	gwen1
筠	筠	gwen1
锟	錕	gwen1
钧	鈞	gwen1
鲲	鯤	gwen1
均	均	gwen1
纶	綸	gwen1
鋆	鋆	gwen1
军	軍	gwen1
滚	滾	gwen2
棍	棍	gwen3
郡	郡	gwen6
珺	珺	gwen6
訇	訇	gweng1
薨	薨	gweng1
轰	轟	gweng1
肱	肱	gweng1
虢	虢	gwig1
隙	隙	gwig1/kwing1
迥	迥	gwing2
炯	炯	gwing2
戈	戈	gwo1
裹	裹	gwo2
果	果	gwo2
过	過	gwo3
帼	幗	gwog3
国	國	gwog3
郭	郭	gwog3
腘	膕	gwog3
廓	廓	gwog3/kwog3
光	光	gwong1
胱	胱	gwong1
桄	桄	gwong1
广	廣	gwong2
诳	誑	gwong2
犷	獷	gwong2
桄	桄	gwong3
畿	畿	géi1
几	几	géi1
羁	覊	géi1
叽	嘰	géi1
讥	譏	géi1
矶	磯	géi1
犄	犄	géi1
玑	璣	géi1
畸	畸	géi1
肌	肌	géi1
奇	奇	géi1
箕	箕	géi1
乩	乩	géi1
基	基	géi1
饥	飢	géi1
机	機	géi1
几	幾	géi1
姬	姬	géi1
几	幾	géi2
己	己	géi2
杞	杞	géi2
纪	紀	géi2
纪	紀	géi3
寄	寄	géi3
既	既	géi3
觊	覬	géi3
记	記	géi3
妓	妓	géi6
技	技	géi6
伎	伎	géi6
芰	芰	géi6
忌	忌	géi6
惊	驚	géng1
颈	頸	géng2
镜	鏡	géng3
脚	腳	gêg3
僵	殭	gêng1
羌	羌	gêng1
僵	僵	gêng1
姜	姜	gêng1
姜	薑	gêng1
疆	疆	gêng1
缰	韁	gêng1
蜣	蜣	gêng1
强	強	gêng6
居	居	gêu1
据	据	gêu1
矩	矩	gêu2
蒟	蒟	gêu2
莒	莒	gêu2
榉	櫸	gêu2
龋	齲	gêu2
举	舉	gêu2
踞	踞	gêu3
句	句	gêu3
据	據	gêu3
锯	鋸	gêu3/gê3
具	具	gêu6
飓	颶	gêu6
苣	苣	gêu6
巨	巨	gêu6
遽	遽	gêu6
巨	鉅	gêu6
炬	炬	gêu6
讵	詎	gêu6
惧	懼	gêu6
捐	捐	gün1
鹃	鵑	gün1
蠲	蠲	gün1
娟	娟	gün1
涓	涓	gün1
卷	卷	gün2
卷	捲	gün2
鄄	鄄	gün3
绢	絹	gün3
券	券	gün3
眷	眷	gün3
倦	倦	gün6
虾	蝦	ha1
哈	哈	ha1
蛤	蛤	ha4
遐	遐	ha4
霞	霞	ha4
瑕	瑕	ha4
厦	廈	ha6
下	下	ha6
夏	夏	ha6
暇	暇	ha6
嗑	嗑	hab3
掐	掐	hab3
呷	呷	hab3
箧	篋	hab6
狎	狎	hab6
匣	匣	hab6
峡	峽	hab6
柙	柙	hab6
狭	狹	hab6/hab3
侠	俠	hab6/heb6
赫	赫	hag1
吓	嚇	hag3
客	客	hag3
揩	揩	hai1
嗨	嗨	hai1
鞋	鞋	hai4
孩	孩	hai4
骸	骸	hai4
谐	諧	hai4
蟹	蟹	hai5
獬	獬	hai5
骇	駭	hai5
械	械	hai6
解	解	hai6
懈	懈	hai6
邂	邂	hai6/hai5
喊	喊	ham3
咸	咸	ham4
咸	鹹	ham4
涵	涵	ham4
函	函	ham4
衔	銜	ham4
槛	檻	ham5
馅	餡	ham6
陷	陷	ham6
痫	癇	han4
娴	嫺	han4
闲	閒	han4
限	限	han6
坑	坑	hang1
夯	夯	hang1
行	行	hang4
敲	敲	hao1
哮	哮	hao1
烤	烤	hao1/hao2
考	考	hao2
拷	拷	hao2
巧	巧	hao2
孝	孝	hao3
效	效	hao6
効	効	hao6
傚	傚	hao6
校	校	hao6
洽	洽	heb1
恰	恰	heb1
颌	頜	heb6
瞌	瞌	heb6
盒	盒	heb6
合	合	heb6
阖	闔	heb6
磕	磕	heb6
乞	乞	hed1
纥	紇	hed6
瞎	瞎	hed6
阂	閡	hed6
辖	轄	hed6
劾	劾	hed6
檄	檄	hed6
龁	齕	hed6
核	核	hed6/wed6
黑	黑	heg1
氪	氪	heg1
克	克	heg1
刻	刻	heg1
克	剋	heg1
可	可	heg1
鼷	鼷	hei4
奚	奚	hei4
兮	兮	hei4
系	係	hei6
系	系	hei6
系	繫	hei6
堪	堪	hem1
憨	憨	hem1
龛	龕	hem1
蚶	蚶	hem1
戡	戡	hem1
勘	勘	hem1
坎	坎	hem2
砍	砍	hem2
勘	勘	hem3
瞰	瞰	hem3
磡	磡	hem3
崁	崁	hem3
嵌	嵌	hem3/hem6
含	含	hem4
酣	酣	hem4
晗	晗	hem4
颔	頷	hem5
憾	憾	hem6
撼	撼	hem6
恳	懇	hen2
很	很	hen2
狠	狠	hen2
垦	墾	hen2
痕	痕	hen4
恨	恨	hen6
哼	哼	heng1
亨	亨	heng1
铿	鏗	heng1
茎	莖	heng1/ging3
啃	啃	heng2
肯	肯	heng2
恒	恆	heng4
桁	桁	heng4
衡	衡	heng4
行	行	heng4
悻	悻	heng6
幸	幸	heng6
幸	倖	heng6
行	行	heng6
杏	杏	heng6
齁	齁	heo1
口	口	heo2
吼	吼	heo3
篌	篌	heo4
侯	侯	heo4
喉	喉	heo4
猴	猴	heo4
瘊	瘊	heo4
厚	厚	heo5
后	後	heo6
逅	逅	heo6
鲎	鱟	heo6
后	后	heo6
候	候	heo6
胁	脅	hib3
歉	歉	hib3
协	協	hib3
怯	怯	hib3
挟	挾	hib3/hab6
惬	愜	hib6
歇	歇	hid3
蝎	蠍	hid3
谦	謙	him1
险	險	him2
欠	欠	him3
芡	芡	him3
掀	掀	hin1
轩	軒	hin1
牵	牽	hin1
骞	騫	hin1
显	顯	hin2
谴	譴	hin2
蚬	蜆	hin2
遣	遣	hin2
缱	繾	hin2
宪	憲	hin3
献	獻	hin3
馨	馨	hing1
兴	興	hing1
卿	卿	hing1
兄	兄	hing1
氢	氫	hing1
轻	輕	hing1/héng1
磬	磬	hing3
罄	罄	hing3
兴	興	hing3
庆	慶	hing3
胫	脛	hing5/ging3
侥	僥	hiu1
鸮	鴞	hiu1
骁	驍	hiu1
枭	梟	hiu1
浇	澆	hiu1
嚣	囂	hiu1
橇	橇	hiu1/cêu3
晓	曉	hiu2
窍	竅	hiu3/kiu3
哼	哼	hng6
苛	苛	ho1
呵	呵	ho1
诃	訶	ho1
可	可	ho2
嗬	嗬	ho2
岢	岢	ho2
坷	坷	ho2
河	河	ho4
荷	荷	ho4
何	何	ho4
贺	賀	ho6
荷	荷	ho6
喝	喝	hod3
渴	渴	hod3
褐	褐	hod3
鞨	鞨	hod3
壳	殼	hog3
学	學	hog6
鹤	鶴	hog6
貉	貉	hog6
开	開	hoi1
锎	鐦	hoi1
咍	咍	hoi1
凯	凱	hoi2
铠	鎧	hoi2
海	海	hoi2
恺	愷	hoi2
闿	闓	hoi2
垲	塏	hoi2
剀	剴	hoi2
亥	亥	hoi6
氦	氦	hoi6
害	害	hoi6
侃	侃	hon2
罕	罕	hon2
刊	刊	hon2/hon1
看	看	hon3
汉	漢	hon3
韩	韓	hon4
邯	邯	hon4
鼾	鼾	hon4
汗	汗	hon4
寒	寒	hon4
旱	旱	hon5
捍	捍	hon6
瀚	瀚	hon6
焊	焊	hon6
汗	汗	hon6
翰	翰	hon6
悍	悍	hon6
腔	腔	hong1
诓	誆	hong1
匡	匡	hong1
康	康	hong1
糠	糠	hong1
劻	劻	hong1
筐	筐	hong1/kwang1
眶	眶	hong1/kwang1
慷	慷	hong2/kong2
吭	吭	hong4
降	降	hong4
杭	杭	hong4
行	行	hong4
航	航	hong4
项	項	hong6
巷	巷	hong6/hong2
蒿	蒿	hou1
薅	薅	hou1
好	好	hou2
好	好	hou3
犒	犒	hou3
耗	耗	hou3
豪	豪	hou4
蠔	蠔	hou4
嗥	嗥	hou4
壕	壕	hou4
号	號	hou4
嚎	嚎	hou4
毫	毫	hou4
昊	昊	hou6
浩	浩	hou6
号	號	hou6
镐	鎬	hou6
皓	皓	hou6
灏	灝	hou6
哭	哭	hug1
酷	酷	hug6
槲	槲	hug6
空	空	hung1
凶	凶	hung1
箜	箜	hung1
崆	崆	hung1
胸	胸	hung1
汹	洶	hung1
凶	兇	hung1
匈	匈	hung1
恐	恐	hung2
孔	孔	hung2
哄	哄	hung3
控	控	hung3
汞	汞	hung3
烘	烘	hung3/hung1
哄	鬨	hung3/hung6
虹	虹	hung4
红	紅	hung4
洪	洪	hung4
雄	雄	hung4
鸿	鴻	hung4
熊	熊	hung4
讧	訌	hung4/hung3
吃	吃	hég3
羲	羲	héi1
欷	欷	héi1
稀	稀	héi1
牺	犧	héi1
浠	浠	héi1
熹	熹	héi1
欺	欺	héi1
唏	唏	héi1
嘻	嘻	héi1
希	希	héi1
嘿	嘿	héi1
烯	烯	héi1
禧	禧	héi1
熙	熙	héi1
嬉	嬉	héi1
曦	曦	héi1
醯	醯	héi1
岂	豈	héi2
囍	囍	héi2
喜	喜	héi2
起	起	héi2
汽	汽	héi3
憩	憩	héi3
戏	戲	héi3
器	器	héi3
弃	棄	héi3
气	氣	héi3
靴	靴	hê1
香	香	hêng1
乡	鄉	hêng1
晌	晌	hêng2
响	響	hêng2
享	享	hêng2
饷	餉	hêng2
飨	饗	hêng2
向	向	hêng3
向	嚮	hêng3
歔	歔	hêu1
盱	盱	hêu1
虚	虛	hêu1
吁	吁	hêu1
嘘	噓	hêu1
墟	墟	hêu1
许	許	hêu2
栩	栩	hêu2
诩	詡	hêu2
煦	煦	hêu2/hêu3
去	去	hêu3
血	血	hüd3
喧	喧	hün1
暄	暄	hün1
埙	壎	hün1
萱	萱	hün1
圈	圈	hün1
畎	畎	hün2
犬	犬	hün2
劝	勸	hün3
绚	絢	hün3
券	券	hün3
绻	綣	hün3
淄	淄	ji1
鼒	鼒	ji1
资	資	ji1
赀	貲	ji1
知	知	ji1
氏	氏	ji1
谘	諮	ji1
龇	齜	ji1
芝	芝	ji1
肢	肢	ji1
辎	輜	ji1
吱	吱	ji1
兹	茲	ji1
孜	孜	ji1
滋	滋	ji1
咨	咨	ji1
姿	姿	ji1
枝	枝	ji1
支	支	ji1
脂	脂	ji1
之	之	ji1
蜘	蜘	ji1
祉	祉	ji2
酯	酯	ji2
趾	趾	ji2
芷	芷	ji2
秭	秭	ji2
只	只	ji2
指	指	ji2
纸	紙	ji2
旨	旨	ji2
紫	紫	ji2
址	址	ji2
籽	籽	ji2
滓	滓	ji2
梓	梓	ji2
咫	咫	ji2
姊	姊	ji2
仔	仔	ji2
子	子	ji2
止	止	ji2
踬	躓	ji3
致	致	ji3
轾	輊	ji3
至	至	ji3
致	緻	ji3
质	質	ji3
痣	痣	ji3
志	志	ji3
置	置	ji3
挚	摯	ji3
智	智	ji3
志	誌	ji3
恣	恣	ji3/qi3
巳	巳	ji6
耜	耜	ji6
嗣	嗣	ji6
饲	飼	ji6
稚	稚	ji6
自	自	ji6
治	治	ji6
俟	俟	ji6
祀	祀	ji6
字	字	ji6
雉	雉	ji6
痔	痔	ji6
伺	伺	ji6
寺	寺	ji6/ji2
峙	峙	ji6/qi5
豸	豸	ji6/zai6
辄	輒	jib3
嗫	囁	jib3
浃	浹	jib3
折	摺	jib3
楫	楫	jib3
接	接	jib3
褶	褶	jib3
唧	唧	jid1
疖	癤	jid3
栉	櫛	jid3
哲	哲	jid3
婕	婕	jid3
折	折	jid3
浙	浙	jid3
蜇	蜇	jid3
节	節	jid3
捷	捷	jid6
睫	睫	jid6
截	截	jid6
陟	陟	jig1
职	職	jig1
稷	稷	jig1
鲫	鯽	jig1
即	即	jig1
绩	績	jig1
织	織	jig1
迹	跡	jig1
积	積	jig1
渍	漬	jig1/ji3
瘠	瘠	jig3
炙	炙	jig3/zég3
脊	脊	jig3/zég3
席	席	jig6
直	直	jig6
藉	藉	jig6
值	值	jig6
矽	矽	jig6
植	植	jig6
汐	汐	jig6
籍	籍	jig6
寂	寂	jig6
夕	夕	jig6
殖	殖	jig6
借	借	jig6/zé3
借	藉	jig6/zé3
蓆	蓆	jig6/zég6
詹	詹	jim1
占	占	jim1
谵	譫	jim1
瞻	瞻	jim1
霑	霑	jim1
尖	尖	jim1
沾	沾	jim1
占	佔	jim3
渐	漸	jim6
笺	箋	jin1
煎	煎	jin1
膻	羶	jin1
毡	氈	jin1
剪	剪	jin2
辗	輾	jin2
碾	碾	jin2
展	展	jin2
翦	翦	jin2
阐	闡	jin2/qin2
溅	濺	jin3
战	戰	jin3
饯	餞	jin3
荐	薦	jin3
箭	箭	jin3
颤	顫	jin3
贱	賤	jin6
征	徵	jing1
症	癥	jing1
征	征	jing1
怔	怔	jing1
正	正	jing1
旌	旌	jing1
晶	晶	jing1
睛	睛	jing1
祯	禎	jing1
钲	鉦	jing1
烝	烝	jing1
贞	貞	jing1
菁	菁	jing1
侦	偵	jing1
蒸	蒸	jing1
精	精	jing1
整	整	jing2
井	井	jing2/zéng2
症	症	jing3
正	正	jing3
证	證	jing3
政	政	jing3
靖	靖	jing6
静	靜	jing6
净	淨	jing6
阱	阱	jing6/zéng6
礁	礁	jiu1
椒	椒	jiu1
朝	朝	jiu1
焦	焦	jiu1
蕉	蕉	jiu1
招	招	jiu1
沼	沼	jiu2
剿	剿	jiu2
诏	詔	jiu3
照	照	jiu3
召	召	jiu6
赵	趙	jiu6
蛛	蛛	ju1
朱	朱	ju1
铢	銖	ju1
诛	誅	ju1
茱	茱	ju1
珠	珠	ju1
猪	豬	ju1
诸	諸	ju1
株	株	ju1
侏	侏	ju1
煮	煮	ju2
主	主	ju2
著	著	ju3
著	著	ju3
注	註	ju3
蛀	蛀	ju3
注	注	ju3
驻	駐	ju3
炷	炷	ju3
箸	箸	ju6
住	住	ju6
掇	掇	jud3
茁	茁	jud3
咄	咄	jud3
辍	輟	jud3
拙	拙	jud3
啜	啜	jud3
绝	絕	jud6
砖	磚	jun1
颛	顓	jun1
尊	尊	jun1
专	專	jun1
鳟	鱒	jun1/jun3
镌	鐫	jun1/zên3
纂	纂	jun2
传	傳	jun2
转	轉	jun2
钻	鑽	jun3
转	轉	jun3
钻	鑽	jun3/jun1
传	傳	jun6
喀	喀	ka1
卡	卡	ka1
卡	卡	ka2
髂	髂	ka3
揢	揢	kag3
咯	咯	kag3
蒈	蒈	kai2
楷	楷	kai2
锴	鍇	kai2/gai1
铐	銬	kao3
靠	靠	kao3
笈	笈	keb1
级	級	keb1
歙	歙	keb1
汲	汲	keb1
吸	吸	keb1
岌	岌	keb1
给	給	keb1
及	及	keb6
芨	芨	keb6/geb1
卡	卡	ked1
咳	咳	ked1
溪	溪	kei1
蹊	蹊	kei1
稽	稽	kei1
嵇	嵇	kei1/hei4
启	啟	kei2
契	契	kei3
襟	襟	kem1
禽	禽	kem4
擒	擒	kem4
琴	琴	kem4
噙	噙	kem4
妗	妗	kem5
芹	芹	ken4
勤	勤	ken4
近	近	ken5
抠	摳	keo1
篝	篝	keo1/geo1
沟	溝	keo1/geo1
扣	扣	keo3
寇	寇	keo3
叩	叩	keo3
扣	釦	keo3
蔻	蔻	keo3
购	購	keo3/geo3
构	構	keo3/geo3
媾	媾	keo3/geo3
虬	虯	keo4
求	求	keo4
球	球	keo4
毬	毬	keo4
裘	裘	keo4
逑	逑	keo4
犰	犰	keo4
仇	仇	keo4
舅	舅	keo5/keo3
臼	臼	keo5/keo3
颉	頡	kid3
孑	孑	kid3
黠	黠	kid3
锲	鍥	kid3
竭	竭	kid3
羯	羯	kid3
诘	詰	kid3
揭	揭	kid3
撷	擷	kid3/gid3
黔	黔	kim4
钳	鉗	kim4
犍	犍	kin4
乾	乾	kin4
掮	掮	kin4
虔	虔	kin4
倾	傾	king1
顷	頃	king2
黥	黥	king4
擎	擎	king4
琼	瓊	king4
鲸	鯨	king4
跷	蹺	kiu1/hiu1
翘	翹	kiu3/hiu3
侨	僑	kiu4
桥	橋	kiu4
乔	喬	kiu4
翘	翹	kiu4
荞	蕎	kiu4
跷	蹺	kiu5
郝	郝	kog3
榷	榷	kog3
确	確	kog3
恪	恪	kog3
悫	慤	kog3
壑	壑	kog3
涸	涸	kog3
忾	愾	koi3
丐	丐	koi3
溉	溉	koi3
钙	鈣	koi3
慨	慨	koi3
盖	蓋	koi3
概	概	koi3
欬	欬	koi3
扛	扛	kong1
扩	擴	kong3
抗	抗	kong3
炕	炕	kong3
闶	閌	kong3
亢	亢	kong3
伉	伉	kong3
箍	箍	ku1
聒	聒	kud3
豁	豁	kud3
括	括	kud3
蛞	蛞	kud3
曲	麴	kug1
曲	曲	kug1
聩	聵	kui2
贿	賄	kui2
郐	鄶	kui2
溃	潰	kui2
狯	獪	kui2
刽	劊	kui2
绘	繪	kui2
浍	澮	kui2
桧	檜	kui2
脍	膾	kui2
侩	儈	kui2
鲙	鱠	kui2
会	會	kui2/wui6
邛	邛	kung4
穷	窮	kung4
穹	穹	kung4
垮	垮	kwa1
夸	夸	kwa1
夸	誇	kwa1
侉	侉	kwa2
跨	跨	kwa3
挎	挎	kwa3
胯	胯	kwa3
框	框	kwang1/hong1
逛	逛	kwang3
窥	窺	kwei1
亏	虧	kwei1
盔	盔	kwei1
规	規	kwei1
岿	巋	kwei1
畦	畦	kwei4
葵	葵	kwei4
携	攜	kwei4
夔	夔	kwei4
馗	馗	kwei4
喹	喹	kwei4
暌	暌	kwei4
睽	睽	kwei4
揆	揆	kwei4/kwei5
愧	愧	kwei5
髡	髡	kwen1
坤	坤	kwen1
昆	崑	kwen1
昆	昆	kwen1
焜	焜	kwen1/wen6
捆	捆	kwen2
菌	菌	kwen2
困	睏	kwen3
困	困	kwen3
窘	窘	kwen3
裙	裙	kwen4
群	群	kwen4
扩	擴	kwog3
旷	曠	kwong3
邝	鄺	kwong3/kong3
矿	礦	kwong3/kong3
狂	狂	kwong4
茄	茄	ké2
瘸	瘸	ké4
骑	騎	ké4
剧	劇	kég6
屐	屐	kég6
蹊	蹊	kéi1
崎	崎	kéi1
骥	驥	kéi3
暨	暨	kéi3
冀	冀	kéi3
旗	旗	kéi4
麒	麒	kéi4
萁	萁	kéi4
其	其	kéi4
耆	耆	kéi4
鳍	鰭	kéi4
俟	俟	kéi4
期	期	kéi4
奇	奇	kéi4
祺	祺	kéi4
棋	棋	kéi4
琪	琪	kéi4
旂	旂	kéi4
琦	琦	kéi4
歧	歧	kéi4
淇	淇	kéi4
祈	祈	kéi4
蕲	蘄	kéi4
祁	祁	kéi4
岐	岐	kéi4
企	企	kéi5
却	卻	kêg3
噱	噱	kêg6
强	強	kêng4
羟	羥	kêng5
强	強	kêng5
区	區	kêu1
岖	嶇	kêu1
拘	拘	kêu1
驹	駒	kêu1
祛	祛	kêu1
俱	俱	kêu1
躯	軀	kêu1
驱	驅	kêu1
蠼	蠼	kêu4
瞿	瞿	kêu4
渠	渠	kêu4
衢	衢	kêu4
璩	璩	kêu4
朐	朐	kêu4
拒	拒	kêu5
距	距	kêu5
厥	厥	küd3
撅	撅	küd3
蕨	蕨	küd3
孓	孓	küd3
阙	闕	küd3
獗	獗	küd3
决	決	küd3
诀	訣	küd3
缺	缺	küd3
抉	抉	küd3
蹶	蹶	küd3
橛	橛	küd3/güd6
拳	拳	kün4
权	權	kün4
颧	顴	kün4
鬈	鬈	kün4
蜷	蜷	kün4
啦	啦	la1
拉	拉	la1
喇	喇	la1
喇	喇	la3
腊	臘	lab6
垃	垃	lab6
砬	砬	lab6
立	立	lab6
蜡	蠟	lab6
邋	邋	lab6/lad6
拉	拉	lad6
辣	辣	lad6
拉	拉	lai1
癞	癩	lai3
赖	賴	lai6
落	落	lai6
籁	籟	lai6
岚	嵐	lam4
蓝	藍	lam4
婪	婪	lam4
篮	籃	lam4
褴	襤	lam4
览	覽	lam5
揽	攬	lam5
榄	欖	lam5
缆	纜	lam6
滥	濫	lam6
舰	艦	lam6
襕	襴	lan4
斓	斕	lan4
栏	欄	lan4
兰	蘭	lan4
拦	攔	lan4
阑	闌	lan4
澜	瀾	lan4
懒	懶	lan5
烂	爛	lan6
冷	冷	lang5
笠	笠	leb1
甩	甩	led1
勒	勒	leg6/lag6
肋	肋	leg6/lag6
鳓	鰳	leg6/lag6
犁	犁	lei4
藜	藜	lei4
犂	犂	lei4
黎	黎	lei4
蠡	蠡	lei4/lei5
澧	澧	lei5
醴	醴	lei5
礼	禮	lei5
鳢	鱧	lei5
励	勵	lei6
砺	礪	lei6
俪	儷	lei6
例	例	lei6
厉	厲	lei6
丽	麗	lei6
蛎	蠣	lei6
荔	荔	lei6
淋	淋	lem4
临	臨	lem4
林	林	lem4
啉	啉	lem4
琳	琳	lem4
霖	霖	lem4
懔	懍	lem5
凛	凜	lem5
喽	嘍	leo1
搂	摟	leo2
浏	瀏	leo4
琉	琉	leo4
偻	僂	leo4
髅	髏	leo4
榴	榴	leo4
捞	撈	leo4
硫	硫	leo4
刘	劉	leo4
瘤	瘤	leo4
留	留	leo4
螻	螻	leo4
楼	樓	leo4
骝	騮	leo4
流	流	leo4
娄	婁	leo4
篓	簍	leo5
柳	柳	leo5
漏	漏	leo6
陋	陋	leo6
蹓	蹓	leo6
溜	溜	leo6
馏	餾	leo6
遛	遛	leo6
镂	鏤	leo6
哩	哩	li1
鬣	鬣	lib6
猎	獵	lib6
烈	烈	lid6
列	列	lid6
捩	捩	lid6
冽	冽	lid6
裂	裂	lid6
砾	礫	lig1
枥	櫪	lig1
雳	靂	lig1
沥	瀝	lig1/lig6
力	力	lig6
历	曆	lig6
历	歷	lig6
令	令	lim1
镰	鐮	lim4
帘	簾	lim4
帘	帘	lim4
廉	廉	lim4
脸	臉	lim5
殓	殮	lim5
裣	襝	lim6
敛	斂	lim6
连	連	lin4
链	鏈	lin4
莲	蓮	lin4
涟	漣	lin4
怜	憐	lin4
辇	輦	lin5
撵	攆	lin5
炼	煉	lin6
练	練	lin6
菱	菱	ling4
棱	稜	ling4
羚	羚	ling4
苓	苓	ling4
陵	陵	ling4
呤	呤	ling4
櫺	櫺	ling4
翎	翎	ling4
绫	綾	ling4
零	零	ling4
铃	鈴	ling4
灵	靈	ling4
鲮	鯪	ling4
玲	玲	ling4
囹	囹	ling4
凌	凌	ling4
龄	齡	ling4
令	令	ling4
伶	伶	ling4
聆	聆	ling4
蛉	蛉	ling4
岭	嶺	ling5/léng5
领	領	ling5/léng5
另	另	ling6
愣	愣	ling6
令	令	ling6
溜	溜	liu1
撂	撂	liu1
撩	撩	liu1
僚	僚	liu4
辽	遼	liu4
缭	繚	liu4
镣	鐐	liu4
嘹	嘹	liu4
獠	獠	liu4
寥	寥	liu4
瞭	瞭	liu4
燎	燎	liu4
撩	撩	liu4
疗	療	liu4
聊	聊	liu4
寮	寮	liu4
了	瞭	liu5
了	了	liu5
潦	潦	liu5/liu2
尥	尥	liu6
廖	廖	liu6
料	料	liu6
咯	咯	lo1
囉	囉	lo1
旯	旯	lo1/log3
裸	裸	lo2
箩	籮	lo4
猡	玀	lo4
萝	蘿	lo4
罗	羅	lo4
逻	邏	lo4
锣	鑼	lo4
螺	螺	lo4/lo2
烙	烙	log3
铬	鉻	log3
饹	餎	log3
酪	酪	log3
珞	珞	log3
络	絡	log3
洛	洛	log3/log6
骆	駱	log3/log6
乐	樂	log6
落	落	log6
来	來	loi4
徕	徠	loi4
涞	淶	loi4
崃	崍	loi4
莱	萊	loi4
睐	睞	loi6
赉	賚	loi6
耒	耒	loi6/lêu6
啷	啷	long1
郎	郎	long2
郎	郎	long4
琅	瑯	long4
狼	狼	long4
螂	螂	long4
锒	鋃	long4
榔	榔	long4
莨	莨	long4
廊	廊	long4
朗	朗	long5
浪	浪	long6
蒗	蒗	long6
晾	晾	long6
阆	閬	long6/long4
捞	撈	lou1
噜	嚕	lou1
佬	佬	lou2
醪	醪	lou4
卢	盧	lou4
胪	臚	lou4
庐	廬	lou4
劳	勞	lou4
牢	牢	lou4
痨	癆	lou4
芦	蘆	lou4
轳	轤	lou4
唠	嘮	lou4
鲈	鱸	lou4
泸	瀘	lou4
炉	爐	lou4
