开放粤语字典（广州拼音版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［广州拼音］
鲗	鰂	cag6
贼	賊	cag6
搋	搋	cai1
猜	猜	cai1
钗	釵	cai1
差	差	cai1
揣	揣	cai1
踩	踩	cai2
踹	踹	cai2
虿	蠆	cai3
柴	柴	cai4
侪	儕	cai4
豺	豺	cai4
参	參	cam1
搀	攙	cam1
掺	摻	cam1
惨	慘	cam2
忏	懺	cam3
杉	杉	cam3/sam1
蚕	蠶	cam4
惭	慚	cam4
馋	饞	cam4
谗	讒	cam4
餐	餐	can1
铲	鏟	can2
产	產	can2
璨	璨	can3
灿	燦	can3
残	殘	can4
瞠	瞠	cang1
撑	撐	cang1
橙	橙	cang4/cang2
锃	鋥	cang6
抄	抄	cao1
钞	鈔	cao1
吵	吵	cao2
炒	炒	cao2
肏	肏	cao3
巢	巢	cao4
缉	緝	ceb1
辑	輯	ceb1
葺	葺	ceb1
七	七	ced1
柒	柒	ced1
漆	漆	ced1
测	測	ceg1
恻	惻	ceg1
悽	悽	cei1
凄	淒	cei1
栖	棲	cei1
妻	妻	cei1
切	切	cei3
沏	沏	cei3
砌	砌	cei3
荠	薺	cei4
齐	齊	cei4
侵	侵	cem1
参	參	cem1/cam1
碜	磣	cem2
寝	寢	cem2
谶	讖	cem3/cam3
寻	尋	cem4
鲟	鱘	cem4
荨	蕁	cem4
沉	沉	cem4
瞋	瞋	cen1
亲	親	cen1
嗔	嗔	cen1
哂	哂	cen2
诊	診	cen2
缜	縝	cen2/zen2
衬	襯	cen3
趁	趁	cen3
龀	齔	cen3
尘	塵	cen4
陈	陳	cen4
层	層	ceng4
曾	曾	ceng4
鳅	鰍	ceo1
秋	秋	ceo1
秋	鞦	ceo1
楸	楸	ceo1
抽	抽	ceo1
丑	丑	ceo2
丑	醜	ceo2
嗅	嗅	ceo3
糗	糗	ceo3
凑	湊	ceo3
溴	溴	ceo3
臭	臭	ceo3
绸	綢	ceo4
酬	酬	ceo4
惆	惆	ceo4
畴	疇	ceo4
踌	躊	ceo4
囚	囚	ceo4
筹	籌	ceo4
泅	泅	ceo4
遒	遒	ceo4
俦	儔	ceo4
稠	稠	ceo4
仇	仇	ceo4
刍	芻	co1
雏	雛	co1
磋	磋	co1
搓	搓	co1
初	初	co1
础	礎	co2
楚	楚	co2
锉	銼	co3
错	錯	co3
挫	挫	co3
锄	鋤	co4
坐	坐	co5
错	錯	cog3
彩	綵	coi2
采	採	coi2
睬	睬	coi2
采	采	coi2
彩	彩	coi2
赛	賽	coi3
蔡	蔡	coi3
塞	塞	coi3
菜	菜	coi3
裁	裁	coi4
才	才	coi4
财	財	coi4
材	材	coi4
沧	滄	cong1
伧	傖	cong1
苍	蒼	cong1
创	創	cong1
舱	艙	cong1
仓	倉	cong1
疮	瘡	cong1
敞	敞	cong2
厂	廠	cong2
闯	闖	cong2
氅	氅	cong2
创	創	cong3
床	床	cong4
藏	藏	cong4
操	操	cou1
粗	粗	cou1
草	草	cou2
糙	糙	cou3
措	措	cou3
燥	燥	cou3
噪	噪	cou3
醋	醋	cou3
躁	躁	cou3
操	操	cou3/cou1
漕	漕	cou4
槽	槽	cou4
嘈	嘈	cou4
曹	曹	cou4
搐	搐	cug1
簇	簇	cug1
畜	畜	cug1
蹙	蹙	cug1
龊	齪	cug1
促	促	cug1
速	速	cug1
簌	簌	cug1
矗	矗	cug1
束	束	cug1
蓄	蓄	cug1
蹴	蹴	cug1
亍	亍	cug1
触	觸	cug1/zug1
聪	聰	cung1
冲	衝	cung1
骢	驄	cung1
枞	樅	cung1
充	充	cung1
忡	忡	cung1
葱	蔥	cung1
憧	憧	cung1
囱	囪	cung1
冲	沖	cung1
匆	匆	cung1
涌	涌	cung1
宠	寵	cung2
冢	冢	cung2
丛	叢	cung4
从	從	cung4
虫	蟲	cung4
重	重	cung4
松	松	cung4
琮	琮	cung4
重	重	cung5
奢	奢	cé1
车	車	cé1
且	且	cé2
扯	扯	cé2
輋	輋	cé4
邪	邪	cé4
斜	斜	cé4
尺	尺	cég3
赤	赤	cég3
呎	呎	cég3
出	齣	cêd1
出	出	cêd1
戳	戳	cêg3
绰	綽	cêg3
卓	卓	cêg3
春	春	cên1
蠢	蠢	cên2
驯	馴	cên4
旬	旬	cên4
循	循	cên4
秦	秦	cên4
螓	螓	cên4
巡	巡	cên4
嗪	嗪	cên4
枪	槍	cêng1
鲳	鯧	cêng1
呛	嗆	cêng1
昌	昌	cêng1
窗	窗	cêng1
戗	戧	cêng1
猖	猖	cêng1
锵	鏘	cêng1
伥	倀	cêng1
娼	娼	cêng1
菖	菖	cêng1
抢	搶	cêng2
戗	戧	cêng3
怅	悵	cêng3
倡	倡	cêng3
唱	唱	cêng3
跄	蹌	cêng3
呛	嗆	cêng3
炝	熗	cêng3
畅	暢	cêng3
墙	牆	cêng4
蔷	薔	cêng4
翔	翔	cêng4
肠	腸	cêng4
场	場	cêng4
戕	戕	cêng4
长	長	cêng4
樯	檣	cêng4
祥	祥	cêng4
详	詳	cêng4
摧	摧	cêu1
催	催	cêu1
炊	炊	cêu1
吹	吹	cêu1
崔	崔	cêu1
趋	趨	cêu1
璀	璀	cêu1/cêu2
娶	娶	cêu2
取	取	cêu2
揣	揣	cêu2
翠	翠	cêu3
啐	啐	cêu3
觑	覷	cêu3
脆	脆	cêu3
趣	趣	cêu3
焠	焠	cêu3/sêu6
淬	淬	cêu3/sêu6
除	除	cêu4
捶	捶	cêu4
锤	錘	cêu4
蜍	蜍	cêu4
槌	槌	cêu4
徐	徐	cêu4
随	隨	cêu4
滁	滁	cêu4
隋	隋	cêu4
打	打	da2
搭	搭	dab3
耷	耷	dab3
答	答	dab3
瘩	瘩	dab3
沓	沓	dab6
踏	踏	dab6
蹋	蹋	dab6
靼	靼	dad3
妲	妲	dad3/tan2
达	達	dad6
繨	繨	dad6
哒	噠	dad6
呆	呆	dai1
歹	歹	dai2
戴	戴	dai3
带	帶	dai3
大	大	dai6
儋	儋	dam1
担	擔	dam1
耽	耽	dam1
聃	聃	dam1
眈	眈	dam1
胆	膽	dam2
澹	澹	dam6
淡	淡	dam6
氮	氮	dam6
淡	淡	dam6/tam5
殚	殫	dan1
单	單	dan1
郸	鄲	dan1
丹	丹	dan1
弹	彈	dan2
诞	誕	dan3
旦	旦	dan3
掸	撣	dan5
掸	撢	dan5
疍	疍	dan6
弹	彈	dan6
蛋	蛋	dan6
但	但	dan6
惮	憚	dan6
突	突	ded6
凸	凸	ded6
德	德	deg1
得	得	deg1
特	特	deg6
低	低	dei1
骶	骶	dei2
底	底	dei2
邸	邸	dei2
抵	抵	dei2
柢	柢	dei2
诋	詆	dei2
缔	締	dei3
谛	諦	dei3
帝	帝	dei3
碲	碲	dei3
蒂	蒂	dei3
棣	棣	dei6
第	第	dei6
隶	隸	dei6
悌	悌	dei6
弟	弟	dei6
递	遞	dei6
逮	逮	dei6/doi6
墩	墩	den2
炖	燉	den6
灯	燈	deng1
蹬	蹬	deng1
噔	噔	deng1
登	登	deng1
等	等	deng2
凳	凳	deng3
镫	鐙	deng3
磴	磴	deng3
邓	鄧	deng6
瞪	瞪	deng6/deng1
兜	兜	deo1
蚪	蚪	deo2
陡	陡	deo2
斗	斗	deo2
抖	抖	deo2
斗	鬥	deo3
逗	逗	deo6
窦	竇	deo6
痘	痘	deo6
豆	豆	deo6/deo2
叠	疊	dib6
蝶	蝶	dib6
喋	喋	dib6
牒	牒	dib6
鲽	鰈	dib6
谍	諜	dib6
碟	碟	dib6
跌	跌	did3
秩	秩	did6
耋	耋	did6
迭	迭	did6
嫡	嫡	dig1
的	的	dig1
滴	滴	dig1
敌	敵	dig6
翟	翟	dig6
迪	迪	dig6
涤	滌	dig6
狄	狄	dig6
掂	掂	dim1
点	點	dim2
店	店	dim3
玷	玷	dim3
踮	踮	dim3
惦	惦	dim3
颠	顛	din1
碘	碘	din1
巅	巔	din1
癫	癲	din1
典	典	din2
垫	墊	din2
碘	碘	din2
垫	墊	din3
佃	佃	din6
垫	墊	din6
甸	甸	din6
殿	殿	din6
靛	靛	din6
淀	澱	din6
电	電	din6
奠	奠	din6
汀	汀	ding1
丁	丁	ding1
仃	仃	ding1
町	町	ding1
钉	釘	ding1/déng1
盯	盯	ding1/déng1
叮	叮	ding1/déng1
酊	酊	ding2
鼎	鼎	ding2
顶	頂	ding2
碇	碇	ding3
锭	錠	ding3/ding6
订	訂	ding3/ding6
啶	啶	ding6
定	定	ding6
丢	丟	diu1
貂	貂	diu1
叼	叼	diu1
鲷	鯛	diu1
凋	凋	diu1
碉	碉	diu1
刁	刁	diu1
雕	雕	diu1
屌	屌	diu2
吊	弔	diu3
吊	吊	diu3
钓	釣	diu3
调	調	diu6
掉	掉	diu6
多	多	do1
哆	哆	do1
躲	躲	do2
跺	跺	do2
朵	朵	do2/dê2
剁	剁	do2/dêg3
惰	惰	do6
驮	馱	do6
堕	墮	do6
踱	踱	dog6
铎	鐸	dog6
度	度	dog6
待	待	doi6
袋	袋	doi6
玳	玳	doi6
黛	黛	doi6
代	代	doi6
叇	靆	doi6
甙	甙	doi6
岱	岱	doi6
怠	怠	doi6/toi5
殆	殆	doi6/toi5
当	當	dong1
铛	鐺	dong1
裆	襠	dong1
当	噹	dong1
党	黨	dong2
挡	擋	dong2
当	當	dong3
档	檔	dong3
菪	菪	dong6
荡	蕩	dong6
荡	盪	dong6
砀	碭	dong6
宕	宕	dong6
都	都	dou1
嘟	嘟	dou1
叨	叨	dou1
刀	刀	dou1
睹	睹	dou2
倒	倒	dou2
岛	島	dou2
捣	搗	dou2
堵	堵	dou2
赌	賭	dou2
妒	妒	dou3
倒	倒	dou3
蠹	蠹	dou3
到	到	dou3
稻	稻	dou6
盗	盜	dou6
杜	杜	dou6
导	導	dou6
蹈	蹈	dou6
度	度	dou6
