开放粤语字典（黄锡凌调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［黄锡凌拼音］
狰	猙	'dzɐŋ/'dzaŋ
睁	睜	'dzɐŋ/'dzaŋ
灾	災	'dzɔi
栽	栽	'dzɔi
哉	哉	'dzɔi
妆	妝	'dzɔŋ
庄	莊	'dzɔŋ
装	裝	'dzɔŋ
脏	髒	'dzɔŋ
赃	贓	'dzɔŋ
桩	樁	'dzɔŋ
嗟	嗟	'dzɛ
遮	遮	'dzɛ
晶	晶	'dzɪŋ
蒸	蒸	'dzɪŋ
症	癥	'dzɪŋ
侦	偵	'dzɪŋ
烝	烝	'dzɪŋ
旌	旌	'dzɪŋ
睛	睛	'dzɪŋ
菁	菁	'dzɪŋ
精	精	'dzɪŋ
征	徵	'dzɪŋ
祯	禎	'dzɪŋ
征	征	'dzɪŋ
怔	怔	'dzɪŋ
贞	貞	'dzɪŋ
钲	鉦	'dzɪŋ
正	正	'dzɪŋ
足	足	'dzʊk
祝	祝	'dzʊk
粥	粥	'dzʊk
捉	捉	'dzʊk
瞩	矚	'dzʊk
烛	燭	'dzʊk
嘱	囑	'dzʊk
筑	築	'dzʊk
竹	竹	'dzʊk
竺	竺	'dzʊk
螽	螽	'dzʊŋ
鬃	鬃	'dzʊŋ
中	中	'dzʊŋ
忠	忠	'dzʊŋ
钟	鍾	'dzʊŋ
棕	棕	'dzʊŋ
宗	宗	'dzʊŋ
枞	樅	'dzʊŋ
钟	鐘	'dzʊŋ
踪	蹤	'dzʊŋ
盅	盅	'dzʊŋ
纵	縱	'dzʊŋ
终	終	'dzʊŋ
衷	衷	'dzʊŋ/'tsʊŋ
综	綜	'dzʊŋ/¯dzʊŋ
敦	敦	'dœn
惇	惇	'dœn
蹲	蹲	'dœn
墩	墩	'dœn
咄	咄	'dœt
堆	堆	'dœy
低	低	'dɐi
得	得	'dɐk
德	德	'dɐk
兜	兜	'dɐu
噔	噔	'dɐŋ
灯	燈	'dɐŋ
登	登	'dɐŋ
蹬	蹬	'dɐŋ
哆	哆	'dɔ
多	多	'dɔ
铛	鐺	'dɔŋ
裆	襠	'dɔŋ
当	噹	'dɔŋ
当	當	'dɔŋ
爹	爹	'dɛ
仃	仃	'dɪŋ
丁	丁	'dɪŋ
町	町	'dɪŋ
汀	汀	'dɪŋ
叮	叮	'dɪŋ/'dɛŋ
盯	盯	'dɪŋ/'dɛŋ
钉	釘	'dɪŋ/'dɛŋ
督	督	'dʊk
笃	篤	'dʊk
咚	咚	'dʊŋ
冬	冬	'dʊŋ
氡	氡	'dʊŋ
东	東	'dʊŋ
欸	欸	'ei
花	花	'fa
翻	翻	'fan
番	番	'fan
幡	幡	'fan
旛	旛	'fan
鲱	鯡	'fei
菲	菲	'fei
妃	妃	'fei
霏	霏	'fei
非	非	'fei
飞	飛	'fei
扉	扉	'fei
蜚	蜚	'fei
绯	緋	'fei
呼	呼	'fu
轷	軤	'fu
骷	骷	'fu
夫	夫	'fu
肤	膚	'fu
孵	孵	'fu
麸	麩	'fu
敷	敷	'fu
枯	枯	'fu
孚	孚	'fu
俘	俘	'fu
诙	詼	'fui
灰	灰	'fui
魁	魁	'fui
恢	恢	'fui
奎	奎	'fui/'kwɐi
宽	寬	'fun
欢	歡	'fun
髋	髖	'fun
獾	貛	'fun
挥	揮	'fɐi
撝	撝	'fɐi
晖	暉	'fɐi
徽	徽	'fɐi
辉	輝	'fɐi
纷	紛	'fɐn
婚	婚	'fɐn
薰	薰	'fɐn
氛	氛	'fɐn
勋	勳	'fɐn
吩	吩	'fɐn
芬	芬	'fɐn
酚	酚	'fɐn
昏	昏	'fɐn
荤	葷	'fɐn
分	分	'fɐn
熏	燻	'fɐn
熏	熏	'fɐn
醺	醺	'fɐn
佛	彿	'fɐt
惚	惚	'fɐt
笏	笏	'fɐt
氟	氟	'fɐt
窟	窟	'fɐt
囫	囫	'fɐt
忽	忽	'fɐt
弗	弗	'fɐt
拂	拂	'fɐt
科	科	'fɔ
蝌	蝌	'fɔ
邡	邡	'fɔŋ
坊	坊	'fɔŋ
谎	謊	'fɔŋ
慌	慌	'fɔŋ
肪	肪	'fɔŋ
方	方	'fɔŋ
荒	荒	'fɔŋ
芳	芳	'fɔŋ
啡	啡	'fɛ
辐	輻	'fʊk
复	複	'fʊk
腹	腹	'fʊk
覆	覆	'fʊk
福	福	'fʊk
幅	幅	'fʊk
馥	馥	'fʊk
蝠	蝠	'fʊk
蝮	蝮	'fʊk
风	風	'fʊŋ
封	封	'fʊŋ
蜂	蜂	'fʊŋ
锋	鋒	'fʊŋ
丰	豐	'fʊŋ
烽	烽	'fʊŋ
丰	丰	'fʊŋ
枫	楓	'fʊŋ
疯	瘋	'fʊŋ
峰	峰	'fʊŋ
伽	伽	'ga
袈	袈	'ga
枷	枷	'ga
家	家	'ga
家	傢	'ga
噶	噶	'ga
嘉	嘉	'ga
痂	痂	'ga
镓	鎵	'ga
加	加	'ga
迦	迦	'ga
珈	珈	'ga
佳	佳	'gai
偕	偕	'gai
街	街	'gai
阶	階	'gai
皆	皆	'gai
秸	秸	'gai
监	監	'gam
缄	緘	'gam
尴	尷	'gam/¯gam
奸	姦	'gan
艰	艱	'gan
间	間	'gan
奸	奸	'gan
跤	跤	'gau
蛟	蛟	'gau
交	交	'gau
郊	郊	'gau
茭	茭	'gau
胶	膠	'gau
耕	耕	'gaŋ
更	更	'gaŋ
矶	磯	'gei
乩	乩	'gei
箕	箕	'gei
奇	奇	'gei
几	幾	'gei
机	機	'gei
肌	肌	'gei
基	基	'gei
玑	璣	'gei
畿	畿	'gei
几	几	'gei
羁	覊	'gei
讥	譏	'gei
畸	畸	'gei
姬	姬	'gei
饥	飢	'gei
犄	犄	'gei
叽	嘰	'gei
戟	戟	'gik
击	擊	'gik
棘	棘	'gik
亟	亟	'gik
殛	殛	'gik
激	激	'gik
鹣	鶼	'gim
搛	搛	'gim
兼	兼	'gim
坚	堅	'gin
犍	犍	'gin
肩	肩	'gin
娇	嬌	'giu
骄	驕	'giu
羔	羔	'gou
膏	膏	'gou
糕	糕	'gou
皋	皋	'gou
高	高	'gou
睾	睾	'gou
姑	姑	'gu
沽	沽	'gu
蛄	蛄	'gu
轱	軲	'gu
咕	咕	'gu
孤	孤	'gu
辜	辜	'gu
觚	觚	'gu
菇	菇	'gu
冠	冠	'gun
官	官	'gun
棺	棺	'gun
倌	倌	'gun
莞	莞	'gun
观	觀	'gun
瓜	瓜	'gwa
呱	呱	'gwa
乖	乖	'gwai
关	關	'gwan
鳏	鰥	'gwan
虢	虢	'gwik
隙	隙	'gwik/'kwɪŋ
龟	龜	'gwɐi
瑰	瑰	'gwɐi
鲑	鮭	'gwɐi
皈	皈	'gwɐi
硅	硅	'gwɐi
圭	圭	'gwɐi
归	歸	'gwɐi
闺	閨	'gwɐi
均	均	'gwɐn
军	軍	'gwɐn
纶	綸	'gwɐn
君	君	'gwɐn
筠	筠	'gwɐn
鋆	鋆	'gwɐn
锟	錕	'gwɐn
鲲	鯤	'gwɐn
钧	鈞	'gwɐn
橘	橘	'gwɐt
骨	骨	'gwɐt
轰	轟	'gwɐŋ
訇	訇	'gwɐŋ
薨	薨	'gwɐŋ
肱	肱	'gwɐŋ
戈	戈	'gwɔ
桄	桄	'gwɔŋ
光	光	'gwɔŋ
胱	胱	'gwɔŋ
娟	娟	'gyn
捐	捐	'gyn
鹃	鵑	'gyn
蠲	蠲	'gyn
涓	涓	'gyn
据	据	'gœy
居	居	'gœy
僵	僵	'gœŋ
疆	疆	'gœŋ
缰	韁	'gœŋ
姜	薑	'gœŋ
姜	姜	'gœŋ
蜣	蜣	'gœŋ
僵	殭	'gœŋ
羌	羌	'gœŋ
鸡	雞	'gɐi
今	今	'gɐm
柑	柑	'gɐm
苷	苷	'gɐm
甘	甘	'gɐm
泔	泔	'gɐm
金	金	'gɐm
禁	禁	'gɐm
哏	哏	'gɐn
筋	筋	'gɐn
跟	跟	'gɐn
根	根	'gɐn
巾	巾	'gɐn
斤	斤	'gɐn
急	急	'gɐp
讫	訖	'gɐt
桔	桔	'gɐt
纥	紇	'gɐt
吉	吉	'gɐt
佝	佝	'gɐu
阄	鬮	'gɐu
钩	鉤	'gɐu
鸠	鳩	'gɐu/'kɐu
庚	庚	'gɐŋ
更	更	'gɐŋ
羹	羹	'gɐŋ
哥	哥	'gɔ
仡	仡	'gɔ
歌	歌	'gɔ
旮	旮	'gɔ/¯gɔk
菏	菏	'gɔ/ˌhɔ
赅	賅	'gɔi
该	該	'gɔi
咯	咯	'gɔk
杆	杆	'gɔn
干	乾	'gɔn
干	干	'gɔn
竿	竿	'gɔn
肝	肝	'gɔn
岗	崗	'gɔŋ
肛	肛	'gɔŋ
罡	罡	'gɔŋ
缸	缸	'gɔŋ
刚	剛	'gɔŋ
江	江	'gɔŋ
纲	綱	'gɔŋ
冈	岡	'gɔŋ
惊	驚	'gɛŋ
京	京	'gɪŋ
惊	驚	'gɪŋ
经	經	'gɪŋ
泾	涇	'gɪŋ
兢	兢	'gɪŋ
荆	荊	'gɪŋ
矜	矜	'gɪŋ
谷	谷	'gʊk
毂	轂	'gʊk
谷	穀	'gʊk
鞠	鞠	'gʊk
梏	梏	'gʊk
嚳	嚳	'gʊk
菊	菊	'gʊk
鹄	鵠	'gʊk
掬	掬	'gʊk
宫	宮	'gʊŋ
攻	攻	'gʊŋ
工	工	'gʊŋ
功	功	'gʊŋ
公	公	'gʊŋ
躬	躬	'gʊŋ
龚	龔	'gʊŋ
蚣	蚣	'gʊŋ
弓	弓	'gʊŋ
供	供	'gʊŋ
恭	恭	'gʊŋ
哈	哈	'ha
虾	蝦	'ha
揩	揩	'hai
嗨	嗨	'hai
赫	赫	'hak
哮	哮	'hau
敲	敲	'hau
烤	烤	'hau/´hau
夯	夯	'haŋ
坑	坑	'haŋ
熙	熙	'hei
嬉	嬉	'hei
醯	醯	'hei
浠	浠	'hei
熹	熹	'hei
欺	欺	'hei
羲	羲	'hei
唏	唏	'hei
嘻	嘻	'hei
希	希	'hei
稀	稀	'hei
欷	欷	'hei
禧	禧	'hei
牺	犧	'hei
嘿	嘿	'hei
烯	烯	'hei
曦	曦	'hei
谦	謙	'him
掀	掀	'hin
牵	牽	'hin
轩	軒	'hin
骞	騫	'hin
嚣	囂	'hiu
枭	梟	'hiu
骁	驍	'hiu
鸮	鴞	'hiu
侥	僥	'hiu
浇	澆	'hiu
橇	橇	'hiu/¯tsœy
蒿	蒿	'hou
薅	薅	'hou
埙	壎	'hyn
萱	萱	'hyn
圈	圈	'hyn
暄	暄	'hyn
喧	喧	'hyn
吁	吁	'hœy
墟	墟	'hœy
歔	歔	'hœy
嘘	噓	'hœy
盱	盱	'hœy
虚	虛	'hœy
乡	鄉	'hœŋ
香	香	'hœŋ
氪	氪	'hɐk
可	可	'hɐk
克	克	'hɐk
刻	刻	'hɐk
黑	黑	'hɐk
克	剋	'hɐk
堪	堪	'hɐm
戡	戡	'hɐm
憨	憨	'hɐm
勘	勘	'hɐm
蚶	蚶	'hɐm
龛	龕	'hɐm
洽	洽	'hɐp
恰	恰	'hɐp
乞	乞	'hɐt
齁	齁	'hɐu
亨	亨	'hɐŋ
哼	哼	'hɐŋ
铿	鏗	'hɐŋ
茎	莖	'hɐŋ/¯gɪŋ
诃	訶	'hɔ
苛	苛	'hɔ
呵	呵	'hɔ
开	開	'hɔi
锎	鐦	'hɔi
咍	咍	'hɔi
腔	腔	'hɔŋ
糠	糠	'hɔŋ
诓	誆	'hɔŋ
匡	匡	'hɔŋ
劻	劻	'hɔŋ
康	康	'hɔŋ
筐	筐	'hɔŋ/'kwaŋ
眶	眶	'hɔŋ/'kwaŋ
靴	靴	'hɛu
馨	馨	'hɪŋ
卿	卿	'hɪŋ
氢	氫	'hɪŋ
