开放粤语字典（黄锡凌调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［黄锡凌拼音］
恤	恤	'sœt
摔	摔	'sœt
蟀	蟀	'sœt
衰	衰	'sœy
濉	濉	'sœy
绥	綏	'sœy
需	需	'sœy
胥	胥	'sœy
荽	荽	'sœy
须	須	'sœy
虽	雖	'sœy
睢	睢	'sœy
伤	傷	'sœŋ
殇	殤	'sœŋ
孀	孀	'sœŋ
觞	觴	'sœŋ
湘	湘	'sœŋ
箱	箱	'sœŋ
商	商	'sœŋ
厢	廂	'sœŋ
双	雙	'sœŋ
霜	霜	'sœŋ
襄	襄	'sœŋ
相	相	'sœŋ
镶	鑲	'sœŋ
鹴	鸘	'sœŋ
嘶	嘶	'sɐi
硒	硒	'sɐi
舾	舾	'sɐi
犀	犀	'sɐi
西	西	'sɐi
筛	篩	'sɐi
塞	塞	'sɐk
噻	噻	'sɐk
参	參	'sɐm
森	森	'sɐm
心	心	'sɐm
琛	琛	'sɐm
深	深	'sɐm
芯	芯	'sɐm
郴	郴	'sɐm
身	身	'sɐn
燊	燊	'sɐn
薪	薪	'sɐn
新	新	'sɐn
砷	砷	'sɐn
伸	伸	'sɐn
申	申	'sɐn
呻	呻	'sɐn
锌	鋅	'sɐn
娠	娠	'sɐn
辛	辛	'sɐn
莘	莘	'sɐn
绅	紳	'sɐn
湿	濕	'sɐp
涩	澀	'sɐp/'sik/¯gip
膝	膝	'sɐt
瑟	瑟	'sɐt
失	失	'sɐt
室	室	'sɐt
虱	蝨	'sɐt
螋	螋	'sɐu
飕	颼	'sɐu
羞	羞	'sɐu
嗖	嗖	'sɐu
馊	餿	'sɐu
收	收	'sɐu
修	修	'sɐu
搜	搜	'sɐu/´sɐu
笙	笙	'sɐŋ
生	生	'sɐŋ/'saŋ
唆	唆	'sɔ
疏	疏	'sɔ
蓑	蓑	'sɔ
蔬	蔬	'sɔ
嗦	嗦	'sɔ
羧	羧	'sɔ
梭	梭	'sɔ
梳	梳	'sɔ
鳃	鰓	'sɔi
腮	腮	'sɔi
桑	桑	'sɔŋ
丧	喪	'sɔŋ
些	些	'sɛ
星	星	'sɪŋ
惺	惺	'sɪŋ
升	陞	'sɪŋ
胜	勝	'sɪŋ
升	升	'sɪŋ
升	昇	'sɪŋ
猩	猩	'sɪŋ
声	聲	'sɪŋ/'sɛŋ
腥	腥	'sɪŋ/'sɛŋ
粟	粟	'sʊk
僳	僳	'sʊk
倏	倏	'sʊk
鹔	鷫	'sʊk
宿	宿	'sʊk
叔	叔	'sʊk
夙	夙	'sʊk
缩	縮	'sʊk
蓿	蓿	'sʊk
肃	肅	'sʊk
淞	淞	'sʊŋ
松	鬆	'sʊŋ
忪	忪	'sʊŋ
从	從	'sʊŋ
嵩	嵩	'sʊŋ
它	它	'ta
他	祂	'ta
他	他	'ta
她	她	'ta
它	牠	'ta
铊	鉈	'ta
贪	貪	'tam
坍	坍	'tan
瘫	癱	'tan
摊	攤	'tan
滩	灘	'tan
铽	鋱	'tik
忑	忑	'tik
惕	惕	'tik
倜	倜	'tik
忒	忒	'tik
剔	剔	'tik
添	添	'tim
天	天	'tin
挑	挑	'tiu
叨	叨	'tou
饕	饕	'tou
韬	韜	'tou
滔	滔	'tou
叉	叉	'tsa
差	差	'tsa
揣	揣	'tsai
搋	搋	'tsai
猜	猜	'tsai
钗	釵	'tsai
差	差	'tsai
参	參	'tsam
掺	摻	'tsam
搀	攙	'tsam
餐	餐	'tsan
钞	鈔	'tsau
抄	抄	'tsau
瞠	瞠	'tsaŋ
撑	撐	'tsaŋ
蚩	蚩	'tsi
差	差	'tsi
哧	哧	'tsi
眵	眵	'tsi
螭	螭	'tsi
疵	疵	'tsi
痴	癡	'tsi
跐	跐	'tsi
嗤	嗤	'tsi
笞	笞	'tsi
鸱	鴟	'tsi
魑	魑	'tsi
雌	雌	'tsi
彳	彳	'tsik
敕	敕	'tsik
叱	叱	'tsik
戚	戚	'tsik
斥	斥	'tsik
签	籤	'tsim
纤	纖	'tsim
签	簽	'tsim
歼	殲	'tsim
迁	遷	'tsin
阡	阡	'tsin
仟	仟	'tsin
千	韆	'tsin
千	千	'tsin
超	超	'tsiu
锹	鍬	'tsiu
昭	昭	'tsiu
钊	釗	'tsiu
粗	粗	'tsou
操	操	'tsou
躇	躇	'tsy
橱	櫥	'tsy
汆	汆	'tsyn
穿	穿	'tsyn
村	村	'tsyn
川	川	'tsyn
蹿	躥	'tsyn
春	春	'tsœn
出	齣	'tsœt
出	出	'tsœt
催	催	'tsœy
趋	趨	'tsœy
吹	吹	'tsœy
摧	摧	'tsœy
崔	崔	'tsœy
炊	炊	'tsœy
璀	璀	'tsœy/´tsœy
猖	猖	'tsœŋ
伥	倀	'tsœŋ
锵	鏘	'tsœŋ
菖	菖	'tsœŋ
娼	娼	'tsœŋ
枪	槍	'tsœŋ
鲳	鯧	'tsœŋ
戗	戧	'tsœŋ
呛	嗆	'tsœŋ
昌	昌	'tsœŋ
窗	窗	'tsœŋ
栖	棲	'tsɐi
悽	悽	'tsɐi
妻	妻	'tsɐi
凄	淒	'tsɐi
测	測	'tsɐk
恻	惻	'tsɐk
侵	侵	'tsɐm
参	參	'tsɐm/'tsam
瞋	瞋	'tsɐn
亲	親	'tsɐn
嗔	嗔	'tsɐn
葺	葺	'tsɐp
缉	緝	'tsɐp
辑	輯	'tsɐp
柒	柒	'tsɐt
漆	漆	'tsɐt
七	七	'tsɐt
秋	秋	'tsɐu
抽	抽	'tsɐu
秋	鞦	'tsɐu
鳅	鰍	'tsɐu
楸	楸	'tsɐu
磋	磋	'tsɔ
搓	搓	'tsɔ
刍	芻	'tsɔ
雏	雛	'tsɔ
初	初	'tsɔ
仓	倉	'tsɔŋ
沧	滄	'tsɔŋ
创	創	'tsɔŋ
伧	傖	'tsɔŋ
苍	蒼	'tsɔŋ
疮	瘡	'tsɔŋ
舱	艙	'tsɔŋ
车	車	'tsɛ
奢	奢	'tsɛ
称	稱	'tsɪŋ
清	清	'tsɪŋ
氰	氰	'tsɪŋ
蛏	蟶	'tsɪŋ
蜻	蜻	'tsɪŋ
鲭	鯖	'tsɪŋ
青	青	'tsɪŋ/'tsɛŋ
簇	簇	'tsʊk
亍	亍	'tsʊk
龊	齪	'tsʊk
蹴	蹴	'tsʊk
簌	簌	'tsʊk
畜	畜	'tsʊk
蹙	蹙	'tsʊk
矗	矗	'tsʊk
束	束	'tsʊk
搐	搐	'tsʊk
蓄	蓄	'tsʊk
促	促	'tsʊk
速	速	'tsʊk
触	觸	'tsʊk/'dzʊk
充	充	'tsʊŋ
憧	憧	'tsʊŋ
涌	涌	'tsʊŋ
囱	囪	'tsʊŋ
冲	沖	'tsʊŋ
葱	蔥	'tsʊŋ
骢	驄	'tsʊŋ
匆	匆	'tsʊŋ
枞	樅	'tsʊŋ
忡	忡	'tsʊŋ
聪	聰	'tsʊŋ
冲	衝	'tsʊŋ
湍	湍	'tœn/'dzyn
推	推	'tœy
锑	銻	'tɐi
梯	梯	'tɐi
吞	吞	'tɐn
饨	飩	'tɐn
偷	偷	'tɐu
拖	拖	'tɔ
苔	苔	'tɔi
胎	胎	'tɔi
汤	湯	'tɔŋ
汀	汀	'tɪŋ
烃	烴	'tɪŋ
听	聽	'tɪŋ/'tɛŋ
厅	廳	'tɪŋ/'tɛŋ
秃	禿	'tʊk
通	通	'tʊŋ
洼	窪	'wa
娃	娃	'wa
蛙	蛙	'wa
哇	哇	'wa
哗	嘩	'wa
哗	譁	'wa
凹	凹	'wa
歪	歪	'wai
湾	灣	'wan
弯	彎	'wan
钨	鎢	'wu
污	污	'wu
邬	鄔	'wu
乌	烏	'wu
呜	嗚	'wu
恶	惡	'wu
偎	偎	'wui
剜	剜	'wun
威	威	'wɐi
葳	葳	'wɐi
委	委	'wɐi
逶	逶	'wɐi
崴	崴	'wɐi
氲	氳	'wɐn
温	溫	'wɐn
瘟	瘟	'wɐn
屈	屈	'wɐt
郁	鬱	'wɐt
蜗	蝸	'wɔ
娲	媧	'wɔ
涡	渦	'wɔ
窝	窩	'wɔ
挝	撾	'wɔ
莴	萵	'wɔ
锅	鍋	'wɔ
倭	倭	'wɔ
窠	窠	'wɔ/'fɔ
汪	汪	'wɔŋ
扔	扔	'wɪŋ
勾	勾	'ŋɐu
肮	骯	'ŋɔŋ/¯ŋɔŋ
哎	哎	'ɐi
唉	唉	'ɐi
龌	齷	'ɐk/'ak
扼	扼	'ɐk/'ak
幄	幄	'ɐk/'ak
厄	厄	'ɐk/'ak
渥	渥	'ɐk/'ak
握	握	'ɐk/'ak
谙	諳	'ɐm
庵	庵	'ɐm
鹌	鵪	'ɐm
瓯	甌	'ɐu
欧	歐	'ɐu
鸥	鷗	'ɐu
莺	鶯	'ɐŋ
罂	罌	'ɐŋ
珂	珂	'ɔ
轲	軻	'ɔ
喔	喔	'ɔ
柯	柯	'ɔ
婀	婀	'ɔ
噢	噢	'ɔ
阿	阿	'ɔ
哀	哀	'ɔi
埃	埃	'ɔi
安	安	'ɔn
铵	銨	'ɔn
氨	氨	'ɔn
胺	胺	'ɔn
鞍	鞍	'ɔn
桉	桉	'ɔn
屋	屋	'ʊk
罢	罷	_ba
吧	吧	_ba
稗	稗	_bai
败	敗	_bai
白	白	_bak
卜	蔔	_bak
匐	匐	_bak
帛	帛	_bak
扮	扮	_ban
办	辦	_ban
茇	茇	_bat
龅	齙	_bau
鲍	鮑	_bau
蹦	蹦	_baŋ
绷	繃	_baŋ
箆	箆	_bei
备	備	_bei
鼻	鼻	_bei
避	避	_bei
被	被	_bei
惫	憊	_bei/_bai
辨	辨	_bin
辩	辯	_bin
便	便	_bin
卞	卞	_bin
别	別	_bit
蹩	蹩	_bit
瘪	癟	_bit
步	步	_bou
部	部	_bou
簿	簿	_bou
捕	捕	_bou
暴	暴	_bou
哺	哺	_bou
埠	埠	_bou/_fɐu
焙	焙	_bui
悖	悖	_bui
背	背	_bui
拌	拌	_bun
畔	畔	_bun
叛	叛	_bun
绊	絆	_bun
胖	胖	_bun
伴	伴	_bun/´pun
脖	脖	_but
拨	撥	_but
勃	勃	_but
荸	荸	_but
渤	渤	_but
弊	弊	_bɐi
陛	陛	_bɐi
毙	斃	_bɐi
狴	狴	_bɐi
币	幣	_bɐi
敝	敝	_bɐi
笨	笨	_bɐn
苾	苾	_bɐt
拔	拔	_bɐt
跋	跋	_bɐt
弼	弼	_bɐt
钹	鈸	_bɐt
菝	菝	_bɐt
薄	薄	_bɔk
礴	礴	_bɔk
箔	箔	_bɔk
泊	泊	_bɔk
铂	鉑	_bɔk
雹	雹	_bɔk
舶	舶	_bɔk/¯pak
磅	磅	_bɔŋ
镑	鎊	_bɔŋ
傍	傍	_bɔŋ
呗	唄	_bɛ
病	病	_bɛŋ/_bɪŋ
并	並	_bɪŋ
蹼	蹼	_bʊk
濮	濮	_bʊk
瀑	瀑	_bʊk
仆	僕	_bʊk
曝	曝	_bʊk
大	大	_dai
澹	澹	_dam
淡	淡	_dam
氮	氮	_dam
淡	淡	_dam/ˏtam
蛋	蛋	_dan
疍	疍	_dan
弹	彈	_dan
惮	憚	_dan
但	但	_dan
蹋	蹋	_dap
沓	沓	_dap
踏	踏	_dap
哒	噠	_dat
达	達	_dat
繨	繨	_dat
地	地	_dei
涤	滌	_dik
翟	翟	_dik
狄	狄	_dik
迪	迪	_dik
敌	敵	_dik
奠	奠	_din
佃	佃	_din
电	電	_din
淀	澱	_din
垫	墊	_din
殿	殿	_din
靛	靛	_din
甸	甸	_din
叠	疊	_dip
碟	碟	_dip
喋	喋	_dip
牒	牒	_dip
谍	諜	_dip
鲽	鰈	_dip
蝶	蝶	_dip
耋	耋	_dit
秩	秩	_dit
迭	迭	_dit
掉	掉	_diu
调	調	_diu
稻	稻	_dou
蹈	蹈	_dou
杜	杜	_dou
镀	鍍	_dou
道	道	_dou
悼	悼	_dou
渡	渡	_dou
导	導	_dou
度	度	_dou
盗	盜	_dou
缎	緞	_dyn
段	段	_dyn
断	斷	_dyn
断	斷	_dyn/¯dyn
夺	奪	_dyt
膪	膪	_dza
嵖	嵖	_dza
眦	眥	_dzai
寨	寨	_dzai
谪	謫	_dzak
宅	宅	_dzak
择	擇	_dzak
泽	澤	_dzak
摘	摘	_dzak
掷	擲	_dzak
踯	躑	_dzak
暂	暫	_dzam
站	站	_dzam
錾	鏨	_dzam
栈	棧	_dzan
绽	綻	_dzan
馔	饌	_dzan
赚	賺	_dzan
撰	撰	_dzan
袭	襲	_dzap
闸	閘	_dzap
集	集	_dzap
习	習	_dzap
隰	隰	_dzap
什	什	_dzap
杂	雜	_dzap
挣	掙	_dzaŋ
祀	祀	_dzi
字	字	_dzi
稚	稚	_dzi
痔	痔	_dzi
饲	飼	_dzi
嗣	嗣	_dzi
自	自	_dzi
治	治	_dzi
巳	巳	_dzi
雉	雉	_dzi
伺	伺	_dzi
耜	耜	_dzi
俟	俟	_dzi
豸	豸	_dzi/_dzai
寺	寺	_dzi/´dzi
峙	峙	_dzi/ˏtsi
籍	籍	_dzik
矽	矽	_dzik
寂	寂	_dzik
直	直	_dzik
汐	汐	_dzik
殖	殖	_dzik
植	植	_dzik
席	席	_dzik
值	值	_dzik
夕	夕	_dzik
藉	藉	_dzik
蓆	蓆	_dzik/_dzɛk
借	藉	_dzik/¯dzɛ
借	借	_dzik/¯dzɛ
渐	漸	_dzim
贱	賤	_dzin
捷	捷	_dzit
睫	睫	_dzit
截	截	_dzit
召	召	_dziu
赵	趙	_dziu
造	造	_dzou
皂	皂	_dzou
做	做	_dzou
慥	慥	_dzou/¯tsou
住	住	_dzy
箸	箸	_dzy
传	傳	_dzyn
绝	絕	_dzyt
著	著	_dzœk
着	著	_dzœk
尽	盡	_dzœn
烬	燼	_dzœn
屿	嶼	_dzœy
序	序	_dzœy
溆	漵	_dzœy
罪	罪	_dzœy
聚	聚	_dzœy
叙	敘	_dzœy
坠	墜	_dzœy
缀	綴	_dzœy/¯dzœy
丈	丈	_dzœŋ
像	像	_dzœŋ
象	象	_dzœŋ
仗	仗	_dzœŋ
匠	匠	_dzœŋ
杖	杖	_dzœŋ
橡	橡	_dzœŋ
滞	滯	_dzɐi
朕	朕	_dzɐm
鸩	鴆	_dzɐm
阵	陣	_dzɐn
蛭	蛭	_dzɐt
桎	桎	_dzɐt
侄	姪	_dzɐt
疾	疾	_dzɐt
蛰	蟄	_dzɐt
嫉	嫉	_dzɐt
窒	窒	_dzɐt
鹫	鷲	_dzɐu
冑	冑	_dzɐu
袖	袖	_dzɐu
就	就	_dzɐu
纣	紂	_dzɐu
宙	宙	_dzɐu
岫	岫	_dzɐu
骤	驟	_dzɐu
赠	贈	_dzɐŋ
唑	唑	_dzɔ
坐	坐	_dzɔ
座	座	_dzɔ
助	助	_dzɔ
在	在	_dzɔi
擢	擢	_dzɔk
凿	鑿	_dzɔk
脏	臟	_dzɔŋ
奘	奘	_dzɔŋ
藏	藏	_dzɔŋ
状	狀	_dzɔŋ
撞	撞	_dzɔŋ
谢	謝	_dzɛ
郑	鄭	_dzɛŋ/_dzɪŋ
净	淨	_dzɪŋ
靖	靖	_dzɪŋ
静	靜	_dzɪŋ
阱	阱	_dzɪŋ/_dzɛŋ
浊	濁	_dzʊk
续	續	_dzʊk
妯	妯	_dzʊk
镯	鐲	_dzʊk
轴	軸	_dzʊk
俗	俗	_dzʊk
镞	鏃	_dzʊk
族	族	_dzʊk
逐	逐	_dzʊk
躅	躅	_dzʊk
重	重	_dzʊŋ
颂	頌	_dzʊŋ
仲	仲	_dzʊŋ
诵	誦	_dzʊŋ
讼	訟	_dzʊŋ
盹	盹	_dœn
钝	鈍	_dœn
顿	頓	_dœn
沌	沌	_dœn
遁	遁	_dœn
吨	噸	_dœn
兑	兌	_dœy
队	隊	_dœy
第	第	_dɐi
递	遞	_dɐi
弟	弟	_dɐi
悌	悌	_dɐi
棣	棣	_dɐi
隶	隸	_dɐi
逮	逮	_dɐi/_dɔi
特	特	_dɐk
炖	燉	_dɐn
突	突	_dɐt
凸	凸	_dɐt
逗	逗	_dɐu
痘	痘	_dɐu
窦	竇	_dɐu
豆	豆	_dɐu/´dɐu
邓	鄧	_dɐŋ
瞪	瞪	_dɐŋ/'dɐŋ
堕	墮	_dɔ
驮	馱	_dɔ
惰	惰	_dɔ
岱	岱	_dɔi
玳	玳	_dɔi
待	待	_dɔi
袋	袋	_dɔi
甙	甙	_dɔi
代	代	_dɔi
黛	黛	_dɔi
叇	靆	_dɔi
殆	殆	_dɔi/ˏtɔi
怠	怠	_dɔi/ˏtɔi
踱	踱	_dɔk
铎	鐸	_dɔk
度	度	_dɔk
菪	菪	_dɔŋ
砀	碭	_dɔŋ
荡	盪	_dɔŋ
荡	蕩	_dɔŋ
宕	宕	_dɔŋ
笛	笛	_dɛk
籴	糴	_dɛk
啶	啶	_dɪŋ
定	定	_dɪŋ
毒	毒	_dʊk
碡	碡	_dʊk
独	獨	_dʊk
读	讀	_dʊk
渎	瀆	_dʊk
黩	黷	_dʊk
椟	櫝	_dʊk
牍	牘	_dʊk
髑	髑	_dʊk
犊	犢	_dʊk
侗	侗	_dʊŋ
动	動	_dʊŋ
胴	胴	_dʊŋ
恸	慟	_dʊŋ
洞	洞	_dʊŋ
恫	恫	_dʊŋ
欸	欸	_ei
范	范	_fan
犯	犯	_fan
范	範	_fan
瓣	瓣	_fan
饭	飯	_fan
驸	駙	_fu
鲋	鮒	_fu
讣	訃	_fu
父	父	_fu
辅	輔	_fu
傅	傅	_fu
付	付	_fu
腐	腐	_fu
赴	赴	_fu
负	負	_fu
仆	仆	_fu
咐	咐	_fu
附	附	_fu
吠	吠	_fɐi
份	份	_fɐn
分	分	_fɐn
筏	筏	_fɐt
佛	佛	_fɐt
罚	罰	_fɐt
阀	閥	_fɐt
伐	伐	_fɐt
乏	乏	_fɐt
阜	阜	_fɐu
宓	宓	_fʊk
茯	茯	_fʊk
伏	伏	_fʊk
袱	袱	_fʊk
复	復	_fʊk
服	服	_fʊk
凤	鳳	_fʊŋ
奉	奉	_fʊŋ
俸	俸	_fʊŋ/´fʊŋ
妓	妓	_gei
伎	伎	_gei
忌	忌	_gei
技	技	_gei
芰	芰	_gei
极	極	_gik
俭	儉	_gim
件	件	_gin
键	鍵	_gin
健	健	_gin
杰	傑	_git
桀	桀	_git
轿	轎	_giu
撬	撬	_giu
诰	誥	_gou
篑	簣	_gwɐi
跪	跪	_gwɐi
馈	饋	_gwɐi
柜	櫃	_gwɐi
珺	珺	_gwɐn
郡	郡	_gwɐn
倔	倔	_gwɐt
崛	崛	_gwɐt
掘	掘	_gwɐt
倦	倦	_gyn
巨	鉅	_gœy
苣	苣	_gœy
巨	巨	_gœy
炬	炬	_gœy
飓	颶	_gœy
惧	懼	_gœy
讵	詎	_gœy
遽	遽	_gœy
具	具	_gœy
强	強	_gœŋ
近	近	_gɐn
疙	疙	_gɐt
旧	舊	_gɐu
痉	痙	_gɪŋ
劲	勁	_gɪŋ
竞	競	_gɪŋ
局	局	_gʊk
焗	焗	_gʊk
锔	鋦	_gʊk
共	共	_gʊŋ
下	下	_ha
夏	夏	_ha
厦	廈	_ha
暇	暇	_ha
械	械	_hai
懈	懈	_hai
解	解	_hai
邂	邂	_hai/ˏhai
馅	餡	_ham
陷	陷	_ham
限	限	_han
箧	篋	_hap
峡	峽	_hap
柙	柙	_hap
狎	狎	_hap
匣	匣	_hap
侠	俠	_hap/_hɐp
狭	狹	_hap/¯hap
傚	傚	_hau
效	效	_hau
校	校	_hau
効	効	_hau
惬	愜	_hip
灏	灝	_hou
昊	昊	_hou
号	號	_hou
浩	浩	_hou
皓	皓	_hou
镐	鎬	_hou
哼	哼	_hŋ̩
系	繫	_hɐi
系	係	_hɐi
系	系	_hɐi
憾	憾	_hɐm
撼	撼	_hɐm
恨	恨	_hɐn
阖	闔	_hɐp
盒	盒	_hɐp
合	合	_hɐp
磕	磕	_hɐp
瞌	瞌	_hɐp
颌	頜	_hɐp
辖	轄	_hɐt
阂	閡	_hɐt
劾	劾	_hɐt
檄	檄	_hɐt
龁	齕	_hɐt
纥	紇	_hɐt
瞎	瞎	_hɐt
核	核	_hɐt/_wɐt
候	候	_hɐu
后	後	_hɐu
鲎	鱟	_hɐu
逅	逅	_hɐu
后	后	_hɐu
幸	幸	_hɐŋ
杏	杏	_hɐŋ
悻	悻	_hɐŋ
幸	倖	_hɐŋ
行	行	_hɐŋ
荷	荷	_hɔ
贺	賀	_hɔ
氦	氦	_hɔi
害	害	_hɔi
亥	亥	_hɔi
鹤	鶴	_hɔk
学	學	_hɔk
貉	貉	_hɔk
捍	捍	_hɔn
翰	翰	_hɔn
焊	焊	_hɔn
悍	悍	_hɔn
汗	汗	_hɔn
瀚	瀚	_hɔn
项	項	_hɔŋ
巷	巷	_hɔŋ/´hɔŋ
槲	槲	_hʊk
酷	酷	_hʊk
劓	劓	_ji
义	義	_ji
二	二	_ji
易	易	_ji
肄	肄	_ji
异	異	_ji
贰	貳	_ji
亦	亦	_jik
译	譯	_jik
绎	繹	_jik
奕	奕	_jik
驿	驛	_jik
役	役	_jik
翊	翊	_jik
液	液	_jik
弈	弈	_jik
蜴	蜴	_jik
腋	腋	_jik
疫	疫	_jik
翼	翼	_jik
翌	翌	_jik
掖	掖	_jik
弋	弋	_jik
易	易	_jik
逆	逆	_jik/_ŋak
验	驗	_jim
焰	焰	_jim
艳	艷	_jim
唁	唁	_jin
砚	硯	_jin
苋	莧	_jin
现	現	_jin
彦	彥	_jin
谚	諺	_jin
谳	讞	_jin
业	業	_jip
烨	燁	_jip
页	頁	_jip
叶	葉	_jip
热	熱	_jit
拽	拽	_jit
孽	孽	_jit
臬	臬	_jit/_nip
耀	耀	_jiu
鹞	鷂	_jiu
曜	曜	_jiu
豫	豫	_jy
语	語	_jy
裕	裕	_jy
寓	寓	_jy
御	御	_jy
与	與	_jy
誉	譽	_jy
蓣	蕷	_jy
御	禦	_jy
愈	愈	_jy
驭	馭	_jy
喻	喻	_jy
谕	諭	_jy
吁	籲	_jy
遇	遇	_jy
预	預	_jy
愈	癒	_jy
愿	願	_jyn
院	院	_jyn
县	縣	_jyn
媛	媛	_jyn
炫	炫	_jyn/ˌjyn
远	遠	_jyn/ˏjyn
悦	悅	_jyt
越	越	_jyt
粤	粵	_jyt
曰	曰	_jyt
阅	閱	_jyt
钇	釔	_jyt
穴	穴	_jyt
钺	鉞	_jyt
月	月	_jyt
乙	乙	_jyt/¯jyt
虐	虐	_jœk
钥	鑰	_jœk
药	藥	_jœk
龠	龠	_jœk
籥	籥	_jœk
弱	弱	_jœk
蒻	蒻	_jœk
疟	瘧	_jœk
若	若	_jœk
跃	躍	_jœk
谑	謔	_jœk
润	潤	_jœn
闰	閏	_jœn
芮	芮	_jœy
睿	睿	_jœy
裔	裔	_jœy
锐	銳	_jœy
恙	恙	_jœŋ
漾	漾	_jœŋ
让	讓	_jœŋ
样	樣	_jœŋ
壤	壤	_jœŋ
酿	釀	_jœŋ
曳	曳	_jɐi
跩	跩	_jɐi
赁	賃	_jɐm
衽	衽	_jɐm
妊	妊	_jɐm
饪	飪	_jɐm
任	任	_jɐm
任	任	_jɐm
胤	胤	_jɐn
纫	紉	_jɐn
衅	釁	_jɐn
刃	刃	_jɐn
孕	孕	_jɐn
韧	韌	_jɐn/_ŋɐŋ
入	入	_jɐp
轶	軼	_jɐt
溢	溢	_jɐt
逸	逸	_jɐt
日	日	_jɐt
囿	囿	_jɐu
又	又	_jɐu
宥	宥	_jɐu
釉	釉	_jɐu
侑	侑	_jɐu
佑	佑	_jɐu
右	右	_jɐu
鼬	鼬	_jɐu
狖	狖	_jɐu
夜	夜	_jɛ
偌	偌	_jɛ
认	認	_jɪŋ
育	育	_jʊk
玉	玉	_jʊk
缛	縟	_jʊk
欲	慾	_jʊk
欲	欲	_jʊk
肉	肉	_jʊk
褥	褥	_jʊk
钰	鈺	_jʊk
狱	獄	_jʊk
蓐	蓐	_jʊk
辱	辱	_jʊk
浴	浴	_jʊk
鬻	鬻	_jʊk
峪	峪	_jʊk/_jy
用	用	_jʊŋ
噱	噱	_kœk
及	及	_kɐp
芨	芨	_kɐp/'gɐp
屐	屐	_kɛk
剧	劇	_kɛk
落	落	_lai
籁	籟	_lai
赖	賴	_lai
滥	濫	_lam
舰	艦	_lam
缆	纜	_lam
烂	爛	_lan
蜡	蠟	_lap
立	立	_lap
垃	垃	_lap
砬	砬	_lap
腊	臘	_lap
邋	邋	_lap/_lat
拉	拉	_lat
辣	辣	_lat
痢	痢	_lei
吏	吏	_lei
猁	猁	_lei
利	利	_lei
莉	莉	_lei
俐	俐	_lei
莅	蒞	_lei
力	力	_lik
历	曆	_lik
历	歷	_lik
敛	斂	_lim
裣	襝	_lim
炼	煉	_lin
练	練	_lin
鬣	鬣	_lip
猎	獵	_lip
捩	捩	_lit
冽	冽	_lit
裂	裂	_lit
列	列	_lit
烈	烈	_lit
料	料	_liu
尥	尥	_liu
廖	廖	_liu
辂	輅	_lou
鹭	鷺	_lou
璐	璐	_lou
路	路	_lou
露	露	_lou
涝	澇	_lou
潞	潞	_lou
赂	賂	_lou
劳	勞	_lou
嫪	嫪	_lou
乱	亂	_lyn
掠	掠	_lœk
略	略	_lœk
吝	吝	_lœn
蔺	藺	_lœn
躏	躪	_lœn
论	論	_lœn
率	率	_lœt
律	律	_lœt
鹬	鷸	_lœt
溧	溧	_lœt
篥	篥	_lœt
傈	傈	_lœt
栗	栗	_lœt
栗	慄	_lœt
滤	濾	_lœy
类	類	_lœy
泪	淚	_lœy
虑	慮	_lœy
戾	戾	_lœy
累	累	_lœy
漯	漯	_lœy
辆	輛	_lœŋ
谅	諒	_lœŋ
踉	踉	_lœŋ
亮	亮	_lœŋ
量	量	_lœŋ
荔	荔	_lɐi
砺	礪	_lɐi
蛎	蠣	_lɐi
丽	麗	_lɐi
厉	厲	_lɐi
俪	儷	_lɐi
励	勵	_lɐi
例	例	_lɐi
肋	肋	_lɐk/_lak
鳓	鰳	_lɐk/_lak
勒	勒	_lɐk/_lak
陋	陋	_lɐu
蹓	蹓	_lɐu
镂	鏤	_lɐu
遛	遛	_lɐu
馏	餾	_lɐu
漏	漏	_lɐu
溜	溜	_lɐu
睐	睞	_lɔi
赉	賚	_lɔi
耒	耒	_lɔi/_lœy
乐	樂	_lɔk
落	落	_lɔk
蒗	蒗	_lɔŋ
晾	晾	_lɔŋ
浪	浪	_lɔŋ
阆	閬	_lɔŋ/ˌlɔŋ
令	令	_lɪŋ
另	另	_lɪŋ
愣	愣	_lɪŋ
陆	陸	_lʊk
鹿	鹿	_lʊk
漉	漉	_lʊk
碌	碌	_lʊk
戮	戮	_lʊk
禄	祿	_lʊk
氯	氯	_lʊk
录	錄	_lʊk
绿	綠	_lʊk
六	六	_lʊk
弄	弄	_lʊŋ
骂	罵	_ma
迈	邁	_mai
卖	賣	_mai
镘	鏝	_man
谩	謾	_man
嫚	嫚	_man
万	萬	_man
慢	慢	_man
蔓	蔓	_man
缦	縵	_man
曼	曼	_man
熳	熳	_man
漫	漫	_man
幔	幔	_man
墁	墁	_man
懋	懋	_mau
貌	貌	_mau
袤	袤	_mau
孟	孟	_maŋ
味	味	_mei
寐	寐	_mei
媚	媚	_mei
魅	魅	_mei
未	未	_mei
觅	覓	_mik
汨	汨	_mik
幂	冪	_mik
鼏	鼏	_mik
面	面	_min
面	麵	_min
蔑	衊	_mit
灭	滅	_mit
蔑	蔑	_mit
篾	篾	_mit
庙	廟	_miu
妙	妙	_miu
雾	霧	_mou
务	務	_mou
帽	帽	_mou
