開放粵語字典（國際音標版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［國際音標］
伙	伙	fɔ:˧˥
顆	颗	fɔ:˧˥
夥	伙	fɔ:˧˥
啡	啡	fɛ:˥
馥	馥	fʊk˥
蝮	蝮	fʊk˥
蝠	蝠	fʊk˥
腹	腹	fʊk˥
福	福	fʊk˥
輻	辐	fʊk˥
複	复	fʊk˥
幅	幅	fʊk˥
覆	覆	fʊk˥
宓	宓	fʊk˨
茯	茯	fʊk˨
服	服	fʊk˨
復	复	fʊk˨
袱	袱	fʊk˨
伏	伏	fʊk˨
瘋	疯	fʊŋ˥
烽	烽	fʊŋ˥
風	风	fʊŋ˥
楓	枫	fʊŋ˥
豐	丰	fʊŋ˥
峰	峰	fʊŋ˥
封	封	fʊŋ˥
蜂	蜂	fʊŋ˥
鋒	锋	fʊŋ˥
丰	丰	fʊŋ˥
諷	讽	fʊŋ˧
鳳	凤	fʊŋ˨
奉	奉	fʊŋ˨
俸	俸	fʊŋ˨/fʊŋ˧˥
馮	冯	fʊŋ˨˩
縫	缝	fʊŋ˨˩
逢	逢	fʊŋ˨˩
縫	缝	fʊŋ˨˩/fʊŋ˨
嗨	嗨	ha:i˥
揩	揩	ha:i˥
械	械	ha:i˨
解	解	ha:i˨
懈	懈	ha:i˨
邂	邂	ha:i˨/ha:i˩˧
孩	孩	ha:i˨˩
鞋	鞋	ha:i˨˩
諧	谐	ha:i˨˩
骸	骸	ha:i˨˩
蟹	蟹	ha:i˩˧
獬	獬	ha:i˩˧
駭	骇	ha:i˩˧
赫	赫	ha:k˥
客	客	ha:k˧
嚇	吓	ha:k˧
喊	喊	ha:m˧
陷	陷	ha:m˨
餡	馅	ha:m˨
咸	咸	ha:m˨˩
涵	涵	ha:m˨˩
銜	衔	ha:m˨˩
鹹	咸	ha:m˨˩
函	函	ha:m˨˩
檻	槛	ha:m˩˧
限	限	ha:n˨
癇	痫	ha:n˨˩
嫺	娴	ha:n˨˩
閒	闲	ha:n˨˩
呷	呷	ha:p˧
嗑	嗑	ha:p˧
掐	掐	ha:p˧
峽	峡	ha:p˨
狎	狎	ha:p˨
篋	箧	ha:p˨
柙	柙	ha:p˨
匣	匣	ha:p˨
狹	狭	ha:p˨/ha:p˧
俠	侠	ha:p˨/hɐp˨
敲	敲	ha:u˥
哮	哮	ha:u˥
烤	烤	ha:u˥/ha:u˧˥
孝	孝	ha:u˧
拷	拷	ha:u˧˥
巧	巧	ha:u˧˥
考	考	ha:u˧˥
校	校	ha:u˨
傚	傚	ha:u˨
効	効	ha:u˨
效	效	ha:u˨
夯	夯	ha:ŋ˥
坑	坑	ha:ŋ˥
行	行	ha:ŋ˨˩
蝦	虾	ha:˥
哈	哈	ha:˥
夏	夏	ha:˨
下	下	ha:˨
廈	厦	ha:˨
暇	暇	ha:˨
遐	遐	ha:˨˩
瑕	瑕	ha:˨˩
蛤	蛤	ha:˨˩
霞	霞	ha:˨˩
曦	曦	hei˥
禧	禧	hei˥
熙	熙	hei˥
嬉	嬉	hei˥
烯	烯	hei˥
犧	牺	hei˥
稀	稀	hei˥
嘿	嘿	hei˥
醯	醯	hei˥
欷	欷	hei˥
希	希	hei˥
嘻	嘻	hei˥
唏	唏	hei˥
欺	欺	hei˥
熹	熹	hei˥
浠	浠	hei˥
羲	羲	hei˥
戲	戏	hei˧
憩	憩	hei˧
汽	汽	hei˧
棄	弃	hei˧
氣	气	hei˧
器	器	hei˧
囍	囍	hei˧˥
起	起	hei˧˥
豈	岂	hei˧˥
喜	喜	hei˧˥
謙	谦	hi:m˥
芡	芡	hi:m˧
欠	欠	hi:m˧
險	险	hi:m˧˥
軒	轩	hi:n˥
牽	牵	hi:n˥
掀	掀	hi:n˥
騫	骞	hi:n˥
憲	宪	hi:n˧
獻	献	hi:n˧
蜆	蚬	hi:n˧˥
繾	缱	hi:n˧˥
譴	谴	hi:n˧˥
顯	显	hi:n˧˥
遣	遣	hi:n˧˥
歉	歉	hi:p˧
怯	怯	hi:p˧
脅	胁	hi:p˧
協	协	hi:p˧
挾	挟	hi:p˧/ha:p˨
愜	惬	hi:p˨
歇	歇	hi:t˧
蠍	蝎	hi:t˧
梟	枭	hi:u˥
澆	浇	hi:u˥
鴞	鸮	hi:u˥
囂	嚣	hi:u˥
僥	侥	hi:u˥
驍	骁	hi:u˥
橇	橇	hi:u˥/tsʰɵy˧
竅	窍	hi:u˧/kʰi:u˧
曉	晓	hi:u˧˥
薅	薅	hou˥
蒿	蒿	hou˥
好	好	hou˧
耗	耗	hou˧
犒	犒	hou˧
好	好	hou˧˥
號	号	hou˨
皓	皓	hou˨
鎬	镐	hou˨
浩	浩	hou˨
灝	灏	hou˨
昊	昊	hou˨
壕	壕	hou˨˩
蠔	蠔	hou˨˩
豪	豪	hou˨˩
號	号	hou˨˩
毫	毫	hou˨˩
嗥	嗥	hou˨˩
嚎	嚎	hou˨˩
壎	埙	hy:n˥
喧	喧	hy:n˥
萱	萱	hy:n˥
暄	暄	hy:n˥
圈	圈	hy:n˥
絢	绚	hy:n˧
券	券	hy:n˧
勸	劝	hy:n˧
綣	绻	hy:n˧
畎	畎	hy:n˧˥
犬	犬	hy:n˧˥
血	血	hy:t˧
哼	哼	hŋ̩˨
鄉	乡	hœ:ŋ˥
香	香	hœ:ŋ˥
嚮	向	hœ:ŋ˧
向	向	hœ:ŋ˧
享	享	hœ:ŋ˧˥
餉	饷	hœ:ŋ˧˥
晌	晌	hœ:ŋ˧˥
響	响	hœ:ŋ˧˥
饗	飨	hœ:ŋ˧˥
系	系	hɐi˨
繫	系	hɐi˨
係	系	hɐi˨
兮	兮	hɐi˨˩
奚	奚	hɐi˨˩
鼷	鼷	hɐi˨˩
黑	黑	hɐk˥
剋	克	hɐk˥
可	可	hɐk˥
刻	刻	hɐk˥
克	克	hɐk˥
氪	氪	hɐk˥
勘	勘	hɐm˥
蚶	蚶	hɐm˥
憨	憨	hɐm˥
戡	戡	hɐm˥
堪	堪	hɐm˥
龕	龛	hɐm˥
瞰	瞰	hɐm˧
勘	勘	hɐm˧
崁	崁	hɐm˧
磡	磡	hɐm˧
嵌	嵌	hɐm˧/hɐm˨
坎	坎	hɐm˧˥
砍	砍	hɐm˧˥
撼	撼	hɐm˨
憾	憾	hɐm˨
含	含	hɐm˨˩
酣	酣	hɐm˨˩
晗	晗	hɐm˨˩
頷	颔	hɐm˩˧
懇	恳	hɐn˧˥
很	很	hɐn˧˥
狠	狠	hɐn˧˥
墾	垦	hɐn˧˥
恨	恨	hɐn˨
痕	痕	hɐn˨˩
洽	洽	hɐp˥
恰	恰	hɐp˥
瞌	瞌	hɐp˨
合	合	hɐp˨
盒	盒	hɐp˨
闔	阖	hɐp˨
磕	磕	hɐp˨
頜	颌	hɐp˨
乞	乞	hɐt˥
檄	檄	hɐt˨
紇	纥	hɐt˨
齕	龁	hɐt˨
瞎	瞎	hɐt˨
轄	辖	hɐt˨
閡	阂	hɐt˨
劾	劾	hɐt˨
核	核	hɐt˨/wɐt˨
齁	齁	hɐu˥
吼	吼	hɐu˧
口	口	hɐu˧˥
鱟	鲎	hɐu˨
候	候	hɐu˨
后	后	hɐu˨
逅	逅	hɐu˨
後	后	hɐu˨
篌	篌	hɐu˨˩
猴	猴	hɐu˨˩
侯	侯	hɐu˨˩
喉	喉	hɐu˨˩
瘊	瘊	hɐu˨˩
厚	厚	hɐu˩˧
亨	亨	hɐŋ˥
哼	哼	hɐŋ˥
鏗	铿	hɐŋ˥
莖	茎	hɐŋ˥/kɪŋ˧
啃	啃	hɐŋ˧˥
肯	肯	hɐŋ˧˥
倖	幸	hɐŋ˨
行	行	hɐŋ˨
幸	幸	hɐŋ˨
悻	悻	hɐŋ˨
杏	杏	hɐŋ˨
桁	桁	hɐŋ˨˩
恆	恒	hɐŋ˨˩
衡	衡	hɐŋ˨˩
行	行	hɐŋ˨˩
開	开	hɔ:i˥
鐦	锎	hɔ:i˥
咍	咍	hɔ:i˥
海	海	hɔ:i˧˥
塏	垲	hɔ:i˧˥
剴	剀	hɔ:i˧˥
凱	凯	hɔ:i˧˥
闓	闿	hɔ:i˧˥
鎧	铠	hɔ:i˧˥
愷	恺	hɔ:i˧˥
害	害	hɔ:i˨
亥	亥	hɔ:i˨
氦	氦	hɔ:i˨
殼	壳	hɔ:k˧
貉	貉	hɔ:k˨
鶴	鹤	hɔ:k˨
學	学	hɔ:k˨
看	看	hɔ:n˧
漢	汉	hɔ:n˧
侃	侃	hɔ:n˧˥
罕	罕	hɔ:n˧˥
刊	刊	hɔ:n˧˥/hɔ:n˥
翰	翰	hɔ:n˨
悍	悍	hɔ:n˨
焊	焊	hɔ:n˨
汗	汗	hɔ:n˨
捍	捍	hɔ:n˨
瀚	瀚	hɔ:n˨
汗	汗	hɔ:n˨˩
寒	寒	hɔ:n˨˩
鼾	鼾	hɔ:n˨˩
韓	韩	hɔ:n˨˩
邯	邯	hɔ:n˨˩
旱	旱	hɔ:n˩˧
鞨	鞨	hɔ:t˧
褐	褐	hɔ:t˧
喝	喝	hɔ:t˧
渴	渴	hɔ:t˧
康	康	hɔ:ŋ˥
匡	匡	hɔ:ŋ˥
腔	腔	hɔ:ŋ˥
劻	劻	hɔ:ŋ˥
誆	诓	hɔ:ŋ˥
糠	糠	hɔ:ŋ˥
筐	筐	hɔ:ŋ˥/kʰwa:ŋ˥
眶	眶	hɔ:ŋ˥/kʰwa:ŋ˥
慷	慷	hɔ:ŋ˧˥/kʰɔ:ŋ˧˥
項	项	hɔ:ŋ˨
巷	巷	hɔ:ŋ˨/hɔ:ŋ˧˥
降	降	hɔ:ŋ˨˩
吭	吭	hɔ:ŋ˨˩
杭	杭	hɔ:ŋ˨˩
行	行	hɔ:ŋ˨˩
航	航	hɔ:ŋ˨˩
訶	诃	hɔ:˥
呵	呵	hɔ:˥
苛	苛	hɔ:˥
嗬	嗬	hɔ:˧˥
岢	岢	hɔ:˧˥
坷	坷	hɔ:˧˥
可	可	hɔ:˧˥
荷	荷	hɔ:˨
賀	贺	hɔ:˨
何	何	hɔ:˨˩
河	河	hɔ:˨˩
荷	荷	hɔ:˨˩
吃	吃	hɛ:k˧
靴	靴	hɛ:u˥
兄	兄	hɪŋ˥
氫	氢	hɪŋ˥
卿	卿	hɪŋ˥
興	兴	hɪŋ˥
馨	馨	hɪŋ˥
輕	轻	hɪŋ˥/hɛ:ŋ˥
興	兴	hɪŋ˧
慶	庆	hɪŋ˧
罄	罄	hɪŋ˧
磬	磬	hɪŋ˧
脛	胫	hɪŋ˩˧/kɪŋ˧
虛	虚	hɵy˥
噓	嘘	hɵy˥
吁	吁	hɵy˥
歔	歔	hɵy˥
墟	墟	hɵy˥
盱	盱	hɵy˥
去	去	hɵy˧
詡	诩	hɵy˧˥
許	许	hɵy˧˥
栩	栩	hɵy˧˥
煦	煦	hɵy˧˥/hɵy˧
哭	哭	hʊk˥
槲	槲	hʊk˨
酷	酷	hʊk˨
凶	凶	hʊŋ˥
匈	匈	hʊŋ˥
胸	胸	hʊŋ˥
兇	凶	hʊŋ˥
崆	崆	hʊŋ˥
空	空	hʊŋ˥
洶	汹	hʊŋ˥
箜	箜	hʊŋ˥
哄	哄	hʊŋ˧
控	控	hʊŋ˧
汞	汞	hʊŋ˧
烘	烘	hʊŋ˧/hʊŋ˥
鬨	哄	hʊŋ˧/hʊŋ˨
孔	孔	hʊŋ˧˥
恐	恐	hʊŋ˧˥
紅	红	hʊŋ˨˩
虹	虹	hʊŋ˨˩
熊	熊	hʊŋ˨˩
洪	洪	hʊŋ˨˩
雄	雄	hʊŋ˨˩
鴻	鸿	hʊŋ˨˩
訌	讧	hʊŋ˨˩/hʊŋ˧
也	也	ja:˩˧
奄	奄	ji:m˥
淹	淹	ji:m˥
懨	恹	ji:m˥
閹	阉	ji:m˥
醃	腌	ji:m˥/ji:p˧
饜	餍	ji:m˧
厭	厌	ji:m˧
魘	魇	ji:m˧˥
掩	掩	ji:m˧˥
焰	焰	ji:m˨
驗	验	ji:m˨
艷	艳	ji:m˨
閻	阎	ji:m˨˩
炎	炎	ji:m˨˩
閆	闫	ji:m˨˩
蚺	蚺	ji:m˨˩
嫌	嫌	ji:m˨˩
嚴	严	ji:m˨˩
髯	髯	ji:m˨˩
鹽	盐	ji:m˨˩
簷	檐	ji:m˨˩/si:m˨˩
染	染	ji:m˩˧
儼	俨	ji:m˩˧
苒	苒	ji:m˩˧
冉	冉	ji:m˩˧
蔫	蔫	ji:n˥
咽	咽	ji:n˥
閼	阏	ji:n˥
鄢	鄢	ji:n˥
嫣	嫣	ji:n˥
燕	燕	ji:n˥
湮	湮	ji:n˥
胭	胭	ji:n˥
焉	焉	ji:n˥
菸	烟	ji:n˥
煙	烟	ji:n˥
嚥	咽	ji:n˧
燕	燕	ji:n˧
宴	宴	ji:n˧
兗	兖	ji:n˧˥
堰	堰	ji:n˧˥
鼴	鼹	ji:n˧˥
演	演	ji:n˧˥
偃	偃	ji:n˧˥
衍	衍	ji:n˧˥/hi:n˧˥
彥	彦	ji:n˨
讞	谳	ji:n˨
諺	谚	ji:n˨
現	现	ji:n˨
硯	砚	ji:n˨
唁	唁	ji:n˨
莧	苋	ji:n˨
延	延	ji:n˨˩
燃	燃	ji:n˨˩
筵	筵	ji:n˨˩
妍	妍	ji:n˨˩
蜒	蜒	ji:n˨˩
焉	焉	ji:n˨˩
言	言	ji:n˨˩
涎	涎	ji:n˨˩
研	研	ji:n˨˩
賢	贤	ji:n˨˩
弦	弦	ji:n˨˩
舷	舷	ji:n˨˩
然	然	ji:n˨˩
靨	靥	ji:p˧
葉	叶	ji:p˨
燁	烨	ji:p˨
頁	页	ji:p˨
業	业	ji:p˨
謁	谒	ji:t˧
噎	噎	ji:t˧
咽	咽	ji:t˧
熱	热	ji:t˨
拽	拽	ji:t˨
孽	孽	ji:t˨
臬	臬	ji:t˨/ni:p˨
腰	腰	ji:u˥
么	幺	ji:u˥
妖	妖	ji:u˥
邀	邀	ji:u˥
吆	吆	ji:u˥
夭	夭	ji:u˥
要	要	ji:u˥
要	要	ji:u˧
窈	窈	ji:u˧˥
夭	夭	ji:u˧˥
擾	扰	ji:u˧˥
繞	绕	ji:u˧˥/ji:u˩˧
鷂	鹞	ji:u˨
耀	耀	ji:u˨
曜	曜	ji:u˨
颻	飖	ji:u˨˩
饒	饶	ji:u˨˩
鰩	鳐	ji:u˨˩
謠	谣	ji:u˨˩
姚	姚	ji:u˨˩
嬈	娆	ji:u˨˩
搖	摇	ji:u˨˩
瑤	瑶	ji:u˨˩
堯	尧	ji:u˨˩
窯	窑	ji:u˨˩
徭	徭	ji:u˨˩
洮	洮	ji:u˨˩
遙	遥	ji:u˨˩
舀	舀	ji:u˩˧
伊	伊	ji:˥
依	依	ji:˥
漪	漪	ji:˥
銥	铱	ji:˥
衣	衣	ji:˥
黟	黟	ji:˥
猗	猗	ji:˥
禕	祎	ji:˥
禕	祎	ji:˥
醫	医	ji:˥
意	意	ji:˧
懿	懿	ji:˧
癔	癔	ji:˧
薏	薏	ji:˧
鐿	镱	ji:˧
椅	椅	ji:˧˥
齮	齮	ji:˧˥
旖	旖	ji:˧˥
綺	绮	ji:˧˥
倚	倚	ji:˧˥
二	二	ji:˨
劓	劓	ji:˨
義	义	ji:˨
肄	肄	ji:˨
異	异	ji:˨
易	易	ji:˨
貳	贰	ji:˨
移	移	ji:˨˩
宜	宜	ji:˨˩
疑	疑	ji:˨˩
貽	贻	ji:˨˩
兒	儿	ji:˨˩
痍	痍	ji:˨˩
胰	胰	ji:˨˩
姨	姨	ji:˨˩
飴	饴	ji:˨˩
咦	咦	ji:˨˩
彞	彝	ji:˨˩
沂	沂	ji:˨˩
眙	眙	ji:˨˩
蛇	蛇	ji:˨˩
儀	仪	ji:˨˩
迤	迤	ji:˨˩
詒	诒	ji:˨˩
怡	怡	ji:˨˩
而	而	ji:˨˩
誼	谊	ji:˨˩
頤	颐	ji:˨˩
夷	夷	ji:˨˩
爾	尔	ji:˩˧
議	议	ji:˩˧
矣	矣	ji:˩˧
以	以	ji:˩˧
邇	迩	ji:˩˧
耳	耳	ji:˩˧
已	已	ji:˩˧
擬	拟	ji:˩˧
迤	迤	ji:˩˧
洱	洱	ji:˩˧
蜿	蜿	jy:n˥
鳶	鸢	jy:n˥
冤	冤	jy:n˥
鴛	鸳	jy:n˥
淵	渊	jy:n˥
怨	怨	jy:n˧
菀	菀	jy:n˧˥
宛	宛	jy:n˧˥
苑	苑	jy:n˧˥
婉	婉	jy:n˧˥
琬	琬	jy:n˧˥
縣	县	jy:n˨
媛	媛	jy:n˨
院	院	jy:n˨
願	愿	jy:n˨
炫	炫	jy:n˨/jy:n˨˩
遠	远	jy:n˨/jy:n˩˧
沿	沿	jy:n˨˩
元	元	jy:n˨˩
員	员	jy:n˨˩
玄	玄	jy:n˨˩
芫	芫	jy:n˨˩
源	源	jy:n˨˩
園	园	jy:n˨˩
鉛	铅	jy:n˨˩
烷	烷	jy:n˨˩
緣	缘	jy:n˨˩
懸	悬	jy:n˨˩
圓	圆	jy:n˨˩
袁	袁	jy:n˨˩
完	完	jy:n˨˩
沅	沅	jy:n˨˩
紈	纨	jy:n˨˩
猿	猿	jy:n˨˩
眩	眩	jy:n˨˩
轅	辕	jy:n˨˩
原	原	jy:n˨˩
丸	丸	jy:n˨˩/jy:n˧˥
阮	阮	jy:n˩˧
軟	软	jy:n˩˧
遠	远	jy:n˩˧
悅	悦	jy:t˨
粵	粤	jy:t˨
閱	阅	jy:t˨
穴	穴	jy:t˨
越	越	jy:t˨
釔	钇	jy:t˨
鉞	钺	jy:t˨
曰	曰	jy:t˨
月	月	jy:t˨
乙	乙	jy:t˨/jy:t˧
淤	淤	jy:˥
迂	迂	jy:˥
於	于	jy:˥
酗	酗	jy:˧/hɵy˧˥/hɵy˧
瘀	瘀	jy:˧˥
嫗	妪	jy:˧˥
傴	伛	jy:˧˥
喻	喻	jy:˨
豫	豫	jy:˨
與	与	jy:˨
語	语	jy:˨
禦	御	jy:˨
譽	誉	jy:˨
籲	吁	jy:˨
御	御	jy:˨
蕷	蓣	jy:˨
遇	遇	jy:˨
預	预	jy:˨
癒	愈	jy:˨
馭	驭	jy:˨
愈	愈	jy:˨
裕	裕	jy:˨
寓	寓	jy:˨
諭	谕	jy:˨
余	余	jy:˨˩
茹	茹	jy:˨˩
輿	舆	jy:˨˩
渝	渝	jy:˨˩
如	如	jy:˨˩
俞	俞	jy:˨˩
虞	虞	jy:˨˩
萸	萸	jy:˨˩
隅	隅	jy:˨˩
狳	狳	jy:˨˩
覦	觎	jy:˨˩
儒	儒	jy:˨˩
諛	谀	jy:˨˩
踰	逾	jy:˨˩
瑜	瑜	jy:˨˩
愉	愉	jy:˨˩
妤	妤	jy:˨˩
愚	愚	jy:˨˩
濡	濡	jy:˨˩
竽	竽	jy:˨˩
臾	臾	jy:˨˩
逾	逾	jy:˨˩
禺	禺	jy:˨˩
餘	余	jy:˨˩
榆	榆	jy:˨˩
蝓	蝓	jy:˨˩
揄	揄	jy:˨˩
于	于	jy:˨˩
蠕	蠕	jy:˨˩
歟	欤	jy:˨˩
魚	鱼	jy:˨˩
盂	盂	jy:˨˩
漁	渔	jy:˨˩
娛	娱	jy:˨˩
嚅	嚅	jy:˨˩
予	予	jy:˨˩
孺	孺	jy:˨˩/jy:˨
予	予	jy:˩˧
雨	雨	jy:˩˧
語	语	jy:˩˧
禹	禹	jy:˩˧
圄	圄	jy:˩˧
瑀	瑀	jy:˩˧
羽	羽	jy:˩˧
齬	龉	jy:˩˧
汝	汝	jy:˩˧
宇	宇	jy:˩˧
與	与	jy:˩˧
乳	乳	jy:˩˧
貐	貐	jy:˩˧
敔	敔	jy:˩˧
約	约	jœ:k˧
龠	龠	jœ:k˨
鑰	钥	jœ:k˨
若	若	jœ:k˨
虐	虐	jœ:k˨
藥	药	jœ:k˨
蒻	蒻	jœ:k˨
弱	弱	jœ:k˨
謔	谑	jœ:k˨
躍	跃	jœ:k˨
瘧	疟	jœ:k˨
籥	籥	jœ:k˨
央	央	jœ:ŋ˥
殃	殃	jœ:ŋ˥
鴦	鸯	jœ:ŋ˥
秧	秧	jœ:ŋ˥
鞅	鞅	jœ:ŋ˧˥
壤	壤	jœ:ŋ˨
釀	酿	jœ:ŋ˨
恙	恙	jœ:ŋ˨
漾	漾	jœ:ŋ˨
樣	样	jœ:ŋ˨
讓	让	jœ:ŋ˨
陽	阳	jœ:ŋ˨˩
暘	旸	jœ:ŋ˨˩
揚	扬	jœ:ŋ˨˩
洋	洋	jœ:ŋ˨˩
羊	羊	jœ:ŋ˨˩
颺	飏	jœ:ŋ˨˩
蘘	蘘	jœ:ŋ˨˩
穰	穰	jœ:ŋ˨˩
禳	禳	jœ:ŋ˨˩
瀼	瀼	jœ:ŋ˨˩
徉	徉	jœ:ŋ˨˩
烊	烊	jœ:ŋ˨˩
瘍	疡	jœ:ŋ˨˩
佯	佯	jœ:ŋ˨˩
楊	杨	jœ:ŋ˨˩
攘	攘	jœ:ŋ˩˧
仰	仰	jœ:ŋ˩˧
養	养	jœ:ŋ˩˧
癢	痒	jœ:ŋ˩˧
氧	氧	jœ:ŋ˩˧
嚷	嚷	jœ:ŋ˩˧/jœ:ŋ˨
