開放粵語字典（國際音標版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［國際音標］
跩	跩	jɐi˨
曳	曳	jɐi˨
陰	阴	jɐm˥
鑫	鑫	jɐm˥
欽	钦	jɐm˥
歆	歆	jɐm˥
音	音	jɐm˥
窨	窨	jɐm˧
蔭	荫	jɐm˧
飲	饮	jɐm˧˥
賃	赁	jɐm˨
衽	衽	jɐm˨
任	任	jɐm˨
任	任	jɐm˨
妊	妊	jɐm˨
飪	饪	jɐm˨
任	任	jɐm˨˩
霪	霪	jɐm˨˩
淫	淫	jɐm˨˩
吟	吟	jɐm˨˩
壬	壬	jɐm˨˩
荏	荏	jɐm˩˧/jɐm˨
氤	氤	jɐn˥
恩	恩	jɐn˥
因	因	jɐn˥
茵	茵	jɐn˥
堙	堙	jɐn˥
姻	姻	jɐn˥
忻	忻	jɐn˥
昕	昕	jɐn˥
欣	欣	jɐn˥
殷	殷	jɐn˥
甄	甄	jɐn˥
印	印	jɐn˧
癮	瘾	jɐn˧˥
忍	忍	jɐn˧˥
隱	隐	jɐn˧˥
胤	胤	jɐn˨
紉	纫	jɐn˨
孕	孕	jɐn˨
釁	衅	jɐn˨
刃	刃	jɐn˨
韌	韧	jɐn˨/ŋɐŋ˨
人	人	jɐn˨˩
寅	寅	jɐn˨˩
仁	仁	jɐn˨˩
夤	夤	jɐn˨˩
引	引	jɐn˩˧
蚓	蚓	jɐn˩˧
揖	揖	jɐp˥
熠	熠	jɐp˥
泣	泣	jɐp˥
邑	邑	jɐp˥
悒	悒	jɐp˥
翕	翕	jɐp˥
挹	挹	jɐp˥
入	入	jɐp˨
壹	壹	jɐt˥
一	一	jɐt˥
逸	逸	jɐt˨
軼	轶	jɐt˨
日	日	jɐt˨
溢	溢	jɐt˨
憂	忧	jɐu˥
幽	幽	jɐu˥
邱	邱	jɐu˥
優	优	jɐu˥
蚯	蚯	jɐu˥
貅	貅	jɐu˥
鵂	鸺	jɐu˥
咻	咻	jɐu˥
髹	髹	jɐu˥
丘	丘	jɐu˥
休	休	jɐu˥
幼	幼	jɐu˧
黝	黝	jɐu˧˥
柚	柚	jɐu˧˥
侑	侑	jɐu˨
囿	囿	jɐu˨
宥	宥	jɐu˨
又	又	jɐu˨
佑	佑	jɐu˨
右	右	jɐu˨
鼬	鼬	jɐu˨
狖	狖	jɐu˨
釉	釉	jɐu˨
游	游	jɐu˨˩
酋	酋	jɐu˨˩
鈾	铀	jɐu˨˩
遊	游	jɐu˨˩
揉	揉	jɐu˨˩
油	油	jɐu˨˩
攸	攸	jɐu˨˩
柔	柔	jɐu˨˩
郵	邮	jɐu˨˩
疣	疣	jɐu˨˩
蹂	蹂	jɐu˨˩
魷	鱿	jɐu˨˩
悠	悠	jɐu˨˩
由	由	jɐu˨˩
尤	尤	jɐu˨˩
蚰	蚰	jɐu˨˩
猶	犹	jɐu˨˩
酉	酉	jɐu˩˧
友	友	jɐu˩˧
誘	诱	jɐu˩˧
有	有	jɐu˩˧
唷	唷	jɔ:˥
喲	哟	jɔ:˥
贏	赢	jɛ:ŋ˨˩
偌	偌	jɛ:˨
夜	夜	jɛ:˨
爺	爷	jɛ:˨˩
揶	揶	jɛ:˨˩
邪	邪	jɛ:˨˩
耶	耶	jɛ:˨˩
椰	椰	jɛ:˨˩
野	野	jɛ:˩˧
冶	冶	jɛ:˩˧
惹	惹	jɛ:˩˧
鬩	阋	jɪk˥
抑	抑	jɪk˥
益	益	jɪk˥
億	亿	jɪk˥
憶	忆	jɪk˥
臆	臆	jɪk˥
疫	疫	jɪk˨
譯	译	jɪk˨
奕	奕	jɪk˨
驛	驿	jɪk˨
役	役	jɪk˨
翊	翊	jɪk˨
液	液	jɪk˨
翼	翼	jɪk˨
弈	弈	jɪk˨
蜴	蜴	jɪk˨
腋	腋	jɪk˨
翌	翌	jɪk˨
易	易	jɪk˨
弋	弋	jɪk˨
掖	掖	jɪk˨
繹	绎	jɪk˨
亦	亦	jɪk˨
逆	逆	jɪk˨/ŋa:k˨
櫻	樱	jɪŋ˥
嬰	婴	jɪŋ˥
纓	缨	jɪŋ˥
膺	膺	jɪŋ˥
瑛	瑛	jɪŋ˥
應	应	jɪŋ˥
英	英	jɪŋ˥
鷹	鹰	jɪŋ˥
鸚	鹦	jɪŋ˥
應	应	jɪŋ˧
影	影	jɪŋ˧˥
映	映	jɪŋ˧˥
認	认	jɪŋ˨
陘	陉	jɪŋ˨˩
滎	荥	jɪŋ˨˩
鎣	蓥	jɪŋ˨˩
熒	荧	jɪŋ˨˩
型	型	jɪŋ˨˩
蠅	蝇	jɪŋ˨˩
刑	刑	jɪŋ˨˩
形	形	jɪŋ˨˩
瀠	潆	jɪŋ˨˩
營	营	jɪŋ˨˩
凝	凝	jɪŋ˨˩
瑩	莹	jɪŋ˨˩
盈	盈	jɪŋ˨˩
迎	迎	jɪŋ˨˩
楹	楹	jɪŋ˨˩
贏	赢	jɪŋ˨˩
邢	邢	jɪŋ˨˩
螢	萤	jɪŋ˨˩
縈	萦	jɪŋ˨˩
仍	仍	jɪŋ˨˩
瀛	瀛	jɪŋ˨˩
嬴	嬴	jɪŋ˨˩
瀅	滢	jɪŋ˨˩/jɪŋ˨
郢	郢	jɪŋ˩˧
閏	闰	jɵn˨
潤	润	jɵn˨
睿	睿	jɵy˨
芮	芮	jɵy˨
銳	锐	jɵy˨
裔	裔	jɵy˨
蕤	蕤	jɵy˨˩
蕊	蕊	jɵy˩˧
沃	沃	jʊk˥
郁	郁	jʊk˥
頊	顼	jʊk˥
煜	煜	jʊk˥
毓	毓	jʊk˥
彧	彧	jʊk˥
旭	旭	jʊk˥
昱	昱	jʊk˥
獄	狱	jʊk˨
欲	欲	jʊk˨
玉	玉	jʊk˨
肉	肉	jʊk˨
育	育	jʊk˨
辱	辱	jʊk˨
浴	浴	jʊk˨
鈺	钰	jʊk˨
褥	褥	jʊk˨
鬻	鬻	jʊk˨
慾	欲	jʊk˨
蓐	蓐	jʊk˨
縟	缛	jʊk˨
峪	峪	jʊk˨/jy:˨
廱	廱	jʊŋ˥
雍	雍	jʊŋ˥
翁	翁	jʊŋ˥
邕	邕	jʊŋ˥
嗡	嗡	jʊŋ˥
饔	饔	jʊŋ˥
佣	佣	jʊŋ˧˥
踴	踊	jʊŋ˧˥
俑	俑	jʊŋ˧˥
湧	涌	jʊŋ˧˥
冗	冗	jʊŋ˧˥
擁	拥	jʊŋ˧˥
臃	臃	jʊŋ˧˥
蛹	蛹	jʊŋ˧˥
慂	恿	jʊŋ˧˥
用	用	jʊŋ˨
榕	榕	jʊŋ˨˩
戎	戎	jʊŋ˨˩
熔	熔	jʊŋ˨˩
庸	庸	jʊŋ˨˩
茸	茸	jʊŋ˨˩
鱅	鳙	jʊŋ˨˩
慵	慵	jʊŋ˨˩
傭	佣	jʊŋ˨˩
容	容	jʊŋ˨˩
融	融	jʊŋ˨˩
鏞	镛	jʊŋ˨˩
蓉	蓉	jʊŋ˨˩
溶	溶	jʊŋ˨˩
絨	绒	jʊŋ˨˩/jʊŋ˧˥
勇	勇	jʊŋ˩˧
街	街	ka:i˥
皆	皆	ka:i˥
階	阶	ka:i˥
秸	秸	ka:i˥
偕	偕	ka:i˥
佳	佳	ka:i˥
界	界	ka:i˧
尬	尬	ka:i˧
疥	疥	ka:i˧
誡	诫	ka:i˧
介	介	ka:i˧
屆	届	ka:i˧
戒	戒	ka:i˧
芥	芥	ka:i˧
解	解	ka:i˧
解	解	ka:i˧˥
蚧	蚧	ka:i˧˥/kwa:i˧˥
格	格	ka:k˧
革	革	ka:k˧
骼	骼	ka:k˧
胳	胳	ka:k˧
嗝	嗝	ka:k˧
鎘	镉	ka:k˧
隔	隔	ka:k˧
膈	膈	ka:k˧
緘	缄	ka:m˥
監	监	ka:m˥
尷	尴	ka:m˥/ka:m˧
監	监	ka:m˧
鑑	鉴	ka:m˧
減	减	ka:m˧˥
間	间	ka:n˥
姦	奸	ka:n˥
艱	艰	ka:n˥
奸	奸	ka:n˥
間	间	ka:n˧
澗	涧	ka:n˧
諫	谏	ka:n˧
鹼	碱	ka:n˧˥
鐧	锏	ka:n˧˥
揀	拣	ka:n˧˥
柬	柬	ka:n˧˥
簡	简	ka:n˧˥
繭	茧	ka:n˧˥
餄	饸	ka:p˧
甲	甲	ka:p˧
袷	袷	ka:p˧
蛺	蛱	ka:p˧
鉀	钾	ka:p˧
頰	颊	ka:p˧
莢	荚	ka:p˧
夾	夹	ka:p˧
胛	胛	ka:p˧
岬	岬	ka:p˧
郟	郏	ka:p˧
軋	轧	ka:t˧
茭	茭	ka:u˥
膠	胶	ka:u˥
交	交	ka:u˥
郊	郊	ka:u˥
蛟	蛟	ka:u˥
跤	跤	ka:u˥
較	较	ka:u˧
窖	窖	ka:u˧
鉸	铰	ka:u˧
覺	觉	ka:u˧
教	教	ka:u˧
校	校	ka:u˧
酵	酵	ka:u˧/ha:u˥
搞	搞	ka:u˧˥
佼	佼	ka:u˧˥
皎	皎	ka:u˧˥
鉸	铰	ka:u˧˥
餃	饺	ka:u˧˥
絞	绞	ka:u˧˥
攪	搅	ka:u˧˥
姣	姣	ka:u˧˥
狡	狡	ka:u˧˥
更	更	ka:ŋ˥
耕	耕	ka:ŋ˥
噶	噶	ka:˥
伽	伽	ka:˥
傢	家	ka:˥
嘉	嘉	ka:˥
痂	痂	ka:˥
鎵	镓	ka:˥
袈	袈	ka:˥
加	加	ka:˥
珈	珈	ka:˥
迦	迦	ka:˥
枷	枷	ka:˥
家	家	ka:˥
價	价	ka:˧
駕	驾	ka:˧
嫁	嫁	ka:˧
稼	稼	ka:˧
假	假	ka:˧
咖	咖	ka:˧
架	架	ka:˧
檟	槚	ka:˧˥
斝	斝	ka:˧˥
假	假	ka:˧˥
尕	尕	ka:˧˥
架	架	ka:˧˥
賈	贾	ka:˧˥
奇	奇	kei˥
箕	箕	kei˥
乩	乩	kei˥
肌	肌	kei˥
畸	畸	kei˥
姬	姬	kei˥
犄	犄	kei˥
磯	矶	kei˥
譏	讥	kei˥
嘰	叽	kei˥
覊	羁	kei˥
几	几	kei˥
畿	畿	kei˥
璣	玑	kei˥
機	机	kei˥
幾	几	kei˥
飢	饥	kei˥
基	基	kei˥
覬	觊	kei˧
記	记	kei˧
既	既	kei˧
寄	寄	kei˧
紀	纪	kei˧
己	己	kei˧˥
杞	杞	kei˧˥
紀	纪	kei˧˥
幾	几	kei˧˥
妓	妓	kei˨
伎	伎	kei˨
技	技	kei˨
忌	忌	kei˨
芰	芰	kei˨
搛	搛	ki:m˥
兼	兼	ki:m˥
鶼	鹣	ki:m˥
劍	剑	ki:m˧
撿	捡	ki:m˧˥
檢	检	ki:m˧˥
瞼	睑	ki:m˧˥
儉	俭	ki:m˨
犍	犍	ki:n˥
肩	肩	ki:n˥
堅	坚	ki:n˥
腱	腱	ki:n˧
建	建	ki:n˧
見	见	ki:n˧
健	健	ki:n˨
件	件	ki:n˨
鍵	键	ki:n˨
劫	劫	ki:p˧
潔	洁	ki:t˧
拮	拮	ki:t˧
結	结	ki:t˧
傑	杰	ki:t˨
桀	桀	ki:t˨
嬌	娇	ki:u˥
驕	骄	ki:u˥
叫	叫	ki:u˧
繳	缴	ki:u˧˥
矯	矫	ki:u˧˥
撬	撬	ki:u˨
轎	轿	ki:u˨
糕	糕	kou˥
膏	膏	kou˥
羔	羔	kou˥
皋	皋	kou˥
高	高	kou˥
睾	睾	kou˥
告	告	kou˧
郜	郜	kou˧
鋯	锆	kou˧
鎬	镐	kou˧˥
稿	稿	kou˧˥
縞	缟	kou˧˥
杲	杲	kou˧˥
藁	藁	kou˧˥
槁	槁	kou˧˥
誥	诰	kou˨
倌	倌	ku:n˥
棺	棺	ku:n˥
觀	观	ku:n˥
莞	莞	ku:n˥
官	官	ku:n˥
冠	冠	ku:n˥
罐	罐	ku:n˧
盥	盥	ku:n˧
灌	灌	ku:n˧
冠	冠	ku:n˧
鸛	鹳	ku:n˧
貫	贯	ku:n˧
管	管	ku:n˧˥
館	馆	ku:n˧˥
脘	脘	ku:n˧˥
莞	莞	ku:n˧˥
觚	觚	ku:˥
軲	轱	ku:˥
菇	菇	ku:˥
孤	孤	ku:˥
姑	姑	ku:˥
沽	沽	ku:˥
蛄	蛄	ku:˥
辜	辜	ku:˥
咕	咕	ku:˥
故	故	ku:˧
錮	锢	ku:˧
僱	雇	ku:˧
顧	顾	ku:˧
固	固	ku:˧
估	估	ku:˧˥
鼓	鼓	ku:˧˥
股	股	ku:˧˥
古	古	ku:˧˥
賈	贾	ku:˧˥
鈷	钴	ku:˧˥
牯	牯	ku:˧˥
蠱	蛊	ku:˧˥
乖	乖	kwa:i˥
怪	怪	kwa:i˧
拐	拐	kwa:i˧˥
柺	柺	kwa:i˧˥
蒯	蒯	kwa:i˧˥
摑	掴	kwa:k˧
關	关	kwa:n˥
鰥	鳏	kwa:n˥
慣	惯	kwa:n˧
摜	掼	kwa:n˧
刮	刮	kwa:t˧
颳	刮	kwa:t˧
瓜	瓜	kwa:˥
呱	呱	kwa:˥
褂	褂	kwa:˧
掛	挂	kwa:˧
卦	卦	kwa:˧
寡	寡	kwa:˧˥
閨	闺	kwɐi˥
硅	硅	kwɐi˥
龜	龟	kwɐi˥
歸	归	kwɐi˥
圭	圭	kwɐi˥
瑰	瑰	kwɐi˥
鮭	鲑	kwɐi˥
皈	皈	kwɐi˥
悸	悸	kwɐi˧
桂	桂	kwɐi˧
季	季	kwɐi˧
瑰	瑰	kwɐi˧
癸	癸	kwɐi˧
貴	贵	kwɐi˧
詭	诡	kwɐi˧˥
軌	轨	kwɐi˧˥
鬼	鬼	kwɐi˧˥
晷	晷	kwɐi˧˥
跪	跪	kwɐi˨
簣	篑	kwɐi˨
饋	馈	kwɐi˨
櫃	柜	kwɐi˨
軍	军	kwɐn˥
均	均	kwɐn˥
鯤	鲲	kwɐn˥
鈞	钧	kwɐn˥
鋆	鋆	kwɐn˥
筠	筠	kwɐn˥
錕	锟	kwɐn˥
綸	纶	kwɐn˥
君	君	kwɐn˥
棍	棍	kwɐn˧
滾	滚	kwɐn˧˥
郡	郡	kwɐn˨
珺	珺	kwɐn˨
骨	骨	kwɐt˥
橘	橘	kwɐt˥
倔	倔	kwɐt˨
崛	崛	kwɐt˨
掘	掘	kwɐt˨
薨	薨	kwɐŋ˥
訇	訇	kwɐŋ˥
肱	肱	kwɐŋ˥
轟	轰	kwɐŋ˥
國	国	kwɔ:k˧
膕	腘	kwɔ:k˧
郭	郭	kwɔ:k˧
幗	帼	kwɔ:k˧
廓	廓	kwɔ:k˧/kʰwɔ:k˧
光	光	kwɔ:ŋ˥
胱	胱	kwɔ:ŋ˥
桄	桄	kwɔ:ŋ˥
桄	桄	kwɔ:ŋ˧
誑	诳	kwɔ:ŋ˧˥
獷	犷	kwɔ:ŋ˧˥
廣	广	kwɔ:ŋ˧˥
戈	戈	kwɔ:˥
過	过	kwɔ:˧
裹	裹	kwɔ:˧˥
果	果	kwɔ:˧˥
虢	虢	kwɪk˥
隙	隙	kwɪk˥/kʰwɪŋ˥
迥	迥	kwɪŋ˧˥
炯	炯	kwɪŋ˧˥
蠲	蠲	ky:n˥
娟	娟	ky:n˥
捐	捐	ky:n˥
涓	涓	ky:n˥
鵑	鹃	ky:n˥
鄄	鄄	ky:n˧
券	券	ky:n˧
眷	眷	ky:n˧
絹	绢	ky:n˧
卷	卷	ky:n˧˥
捲	卷	ky:n˧˥
倦	倦	ky:n˨
腳	脚	kœ:k˧
殭	僵	kœ:ŋ˥
羌	羌	kœ:ŋ˥
僵	僵	kœ:ŋ˥
薑	姜	kœ:ŋ˥
韁	缰	kœ:ŋ˥
疆	疆	kœ:ŋ˥
姜	姜	kœ:ŋ˥
蜣	蜣	kœ:ŋ˥
強	强	kœ:ŋ˨
雞	鸡	kɐi˥
薊	蓟	kɐi˧
計	计	kɐi˧
繼	继	kɐi˧
髻	髻	kɐi˧
禁	禁	kɐm˥
苷	苷	kɐm˥
甘	甘	kɐm˥
今	今	kɐm˥
柑	柑	kɐm˥
泔	泔	kɐm˥
金	金	kɐm˥
贛	赣	kɐm˧
淦	淦	kɐm˧
禁	禁	kɐm˧
噤	噤	kɐm˧
錦	锦	kɐm˧˥
敢	敢	kɐm˧˥
橄	橄	kɐm˧˥
感	感	kɐm˧˥
斤	斤	kɐn˥
筋	筋	kɐn˥
跟	跟	kɐn˥
根	根	kɐn˥
哏	哏	kɐn˥
巾	巾	kɐn˥
艮	艮	kɐn˧
靳	靳	kɐn˧
覲	觐	kɐn˧/kɐn˧˥
緊	紧	kɐn˧˥
瑾	瑾	kɐn˧˥
堇	堇	kɐn˧˥
謹	谨	kɐn˧˥
饉	馑	kɐn˧˥
僅	仅	kɐn˧˥
近	近	kɐn˨
急	急	kɐp˥
鴿	鸽	kɐp˧
蛤	蛤	kɐp˧
紇	纥	kɐt˥
訖	讫	kɐt˥
桔	桔	kɐt˥
吉	吉	kɐt˥
嘎	嘎	kɐt˧
疙	疙	kɐt˨
鉤	钩	kɐu˥
佝	佝	kɐu˥
鬮	阄	kɐu˥
鳩	鸠	kɐu˥/kʰɐu˥
救	救	kɐu˧
夠	够	kɐu˧
垢	垢	kɐu˧
詬	诟	kɐu˧
廄	厩	kɐu˧
疚	疚	kɐu˧
柩	柩	kɐu˧
咎	咎	kɐu˧
灸	灸	kɐu˧
究	究	kɐu˧
枸	枸	kɐu˧˥
玖	玖	kɐu˧˥
九	九	kɐu˧˥
久	久	kɐu˧˥
韭	韭	kɐu˧˥
苟	苟	kɐu˧˥
狗	狗	kɐu˧˥
糾	纠	kɐu˧˥/tɐu˧˥
舊	旧	kɐu˨
更	更	kɐŋ˥
羹	羹	kɐŋ˥
庚	庚	kɐŋ˥
更	更	kɐŋ˧
亙	亘	kɐŋ˧˥
哽	哽	kɐŋ˧˥
梗	梗	kɐŋ˧˥
耿	耿	kɐŋ˧˥
埂	埂	kɐŋ˧˥
鯁	鲠	kɐŋ˧˥/kʰɐŋ˧˥
該	该	kɔ:i˥
賅	赅	kɔ:i˥
蓋	盖	kɔ:i˧
改	改	kɔ:i˧˥
咯	咯	kɔ:k˥
角	角	kɔ:k˧
擱	搁	kɔ:k˧
覺	觉	kɔ:k˧
閣	阁	kɔ:k˧
各	各	kɔ:k˧
竿	竿	kɔ:n˥
干	干	kɔ:n˥
乾	干	kɔ:n˥
杆	杆	kɔ:n˥
肝	肝	kɔ:n˥
幹	干	kɔ:n˧
桿	杆	kɔ:n˧˥
擀	擀	kɔ:n˧˥
趕	赶	kɔ:n˧˥
割	割	kɔ:t˧
葛	葛	kɔ:t˧
江	江	kɔ:ŋ˥
肛	肛	kɔ:ŋ˥
罡	罡	kɔ:ŋ˥
缸	缸	kɔ:ŋ˥
綱	纲	kɔ:ŋ˥
剛	刚	kɔ:ŋ˥
岡	冈	kɔ:ŋ˥
崗	岗	kɔ:ŋ˥
槓	杠	kɔ:ŋ˧
降	降	kɔ:ŋ˧
鋼	钢	kɔ:ŋ˧
絳	绛	kɔ:ŋ˧
港	港	kɔ:ŋ˧˥
講	讲	kɔ:ŋ˧˥
仡	仡	kɔ:˥
歌	歌	kɔ:˥
哥	哥	kɔ:˥
菏	菏	kɔ:˥/hɔ:˨˩
旮	旮	kɔ:˥/kɔ:k˧
個	个	kɔ:˧
驚	惊	kɛ:ŋ˥
鏡	镜	kɛ:ŋ˧
頸	颈	kɛ:ŋ˧˥
戟	戟	kɪk˥
棘	棘	kɪk˥
殛	殛	kɪk˥
擊	击	kɪk˥
亟	亟	kɪk˥
激	激	kɪk˥
極	极	kɪk˨
涇	泾	kɪŋ˥
兢	兢	kɪŋ˥
驚	惊	kɪŋ˥
經	经	kɪŋ˥
荊	荆	kɪŋ˥
京	京	kɪŋ˥
矜	矜	kɪŋ˥
敬	敬	kɪŋ˧
徑	径	kɪŋ˧
逕	径	kɪŋ˧
勁	劲	kɪŋ˧
璟	璟	kɪŋ˧˥
境	境	kɪŋ˧˥
憬	憬	kɪŋ˧˥
儆	儆	kɪŋ˧˥
景	景	kɪŋ˧˥
竟	竟	kɪŋ˧˥
警	警	kɪŋ˧˥
痙	痉	kɪŋ˨
競	竞	kɪŋ˨
勁	劲	kɪŋ˨
居	居	kɵy˥
据	据	kɵy˥
據	据	kɵy˧
踞	踞	kɵy˧
句	句	kɵy˧
鋸	锯	kɵy˧/kɛ:u˧
櫸	榉	kɵy˧˥
莒	莒	kɵy˧˥
齲	龋	kɵy˧˥
矩	矩	kɵy˧˥
舉	举	kɵy˧˥
蒟	蒟	kɵy˧˥
炬	炬	kɵy˨
懼	惧	kɵy˨
苣	苣	kɵy˨
颶	飓	kɵy˨
詎	讵	kɵy˨
巨	巨	kɵy˨
遽	遽	kɵy˨
鉅	巨	kɵy˨
具	具	kɵy˨
轂	毂	kʊk˥
谷	谷	kʊk˥
鵠	鹄	kʊk˥
穀	谷	kʊk˥
掬	掬	kʊk˥
菊	菊	kʊk˥
梏	梏	kʊk˥
嚳	嚳	kʊk˥
鞠	鞠	kʊk˥
局	局	kʊk˨
鋦	锔	kʊk˨
焗	焗	kʊk˨
龔	龚	kʊŋ˥
弓	弓	kʊŋ˥
供	供	kʊŋ˥
恭	恭	kʊŋ˥
蚣	蚣	kʊŋ˥
躬	躬	kʊŋ˥
宮	宫	kʊŋ˥
工	工	kʊŋ˥
攻	攻	kʊŋ˥
公	公	kʊŋ˥
功	功	kʊŋ˥
供	供	kʊŋ˧
貢	贡	kʊŋ˧
珙	珙	kʊŋ˧˥
拱	拱	kʊŋ˧˥
鞏	巩	kʊŋ˧˥
共	共	kʊŋ˨
楷	楷	kʰa:i˧˥
蒈	蒈	kʰa:i˧˥
鍇	锴	kʰa:i˧˥/ka:i˥
揢	揢	kʰa:k˧
咯	咯	kʰa:k˧
銬	铐	kʰa:u˧
靠	靠	kʰa:u˧
卡	卡	kʰa:˥
喀	喀	kʰa:˥
髂	髂	kʰa:˧
卡	卡	kʰa:˧˥
蹊	蹊	kʰei˥
崎	崎	kʰei˥
暨	暨	kʰei˧
冀	冀	kʰei˧
驥	骥	kʰei˧
琪	琪	kʰei˨˩
麒	麒	kʰei˨˩
祺	祺	kʰei˨˩
萁	萁	kʰei˨˩
其	其	kʰei˨˩
期	期	kʰei˨˩
耆	耆	kʰei˨˩
蘄	蕲	kʰei˨˩
祁	祁	kʰei˨˩
祈	祈	kʰei˨˩
淇	淇	kʰei˨˩
鰭	鳍	kʰei˨˩
俟	俟	kʰei˨˩
琦	琦	kʰei˨˩
奇	奇	kʰei˨˩
岐	岐	kʰei˨˩
棋	棋	kʰei˨˩
歧	歧	kʰei˨˩
旂	旂	kʰei˨˩
旗	旗	kʰei˨˩
企	企	kʰei˩˧
鉗	钳	kʰi:m˨˩
黔	黔	kʰi:m˨˩
乾	乾	kʰi:n˨˩
犍	犍	kʰi:n˨˩
掮	掮	kʰi:n˨˩
虔	虔	kʰi:n˨˩
鍥	锲	kʰi:t˧
揭	揭	kʰi:t˧
詰	诘	kʰi:t˧
羯	羯	kʰi:t˧
竭	竭	kʰi:t˧
黠	黠	kʰi:t˧
頡	颉	kʰi:t˧
孑	孑	kʰi:t˧
擷	撷	kʰi:t˧/ki:t˧
蹺	跷	kʰi:u˥/hi:u˥
翹	翘	kʰi:u˧/hi:u˧
喬	乔	kʰi:u˨˩
蕎	荞	kʰi:u˨˩
翹	翘	kʰi:u˨˩
僑	侨	kʰi:u˨˩
橋	桥	kʰi:u˨˩
蹺	跷	kʰi:u˩˧
膾	脍	kʰu:i˧˥
檜	桧	kʰu:i˧˥
儈	侩	kʰu:i˧˥
繪	绘	kʰu:i˧˥
澮	浍	kʰu:i˧˥
獪	狯	kʰu:i˧˥
潰	溃	kʰu:i˧˥
賄	贿	kʰu:i˧˥
劊	刽	kʰu:i˧˥
鄶	郐	kʰu:i˧˥
鱠	鲙	kʰu:i˧˥
聵	聩	kʰu:i˧˥
會	会	kʰu:i˧˥/wu:i˨
豁	豁	kʰu:t˧
括	括	kʰu:t˧
蛞	蛞	kʰu:t˧
聒	聒	kʰu:t˧
箍	箍	kʰu:˥
框	框	kʰwa:ŋ˥/hɔ:ŋ˥
逛	逛	kʰwa:ŋ˧
垮	垮	kʰwa:˥
誇	夸	kʰwa:˥
夸	夸	kʰwa:˥
跨	跨	kʰwa:˧
胯	胯	kʰwa:˧
挎	挎	kʰwa:˧
侉	侉	kʰwa:˧˥
窺	窥	kʰwɐi˥
盔	盔	kʰwɐi˥
虧	亏	kʰwɐi˥
巋	岿	kʰwɐi˥
規	规	kʰwɐi˥
攜	携	kʰwɐi˨˩
睽	睽	kʰwɐi˨˩
馗	馗	kʰwɐi˨˩
畦	畦	kʰwɐi˨˩
喹	喹	kʰwɐi˨˩
暌	暌	kʰwɐi˨˩
夔	夔	kʰwɐi˨˩
葵	葵	kʰwɐi˨˩
揆	揆	kʰwɐi˨˩/kʰwɐi˩˧
愧	愧	kʰwɐi˩˧
髡	髡	kʰwɐn˥
昆	昆	kʰwɐn˥
坤	坤	kʰwɐn˥
崑	昆	kʰwɐn˥
焜	焜	kʰwɐn˥/wɐn˨
窘	窘	kʰwɐn˧
困	困	kʰwɐn˧
睏	困	kʰwɐn˧
菌	菌	kʰwɐn˧˥
捆	捆	kʰwɐn˧˥
裙	裙	kʰwɐn˨˩
群	群	kʰwɐn˨˩
擴	扩	kʰwɔ:k˧
曠	旷	kʰwɔ:ŋ˧
礦	矿	kʰwɔ:ŋ˧/kʰɔ:ŋ˧
鄺	邝	kʰwɔ:ŋ˧/kʰɔ:ŋ˧
狂	狂	kʰwɔ:ŋ˨˩
鬈	鬈	kʰy:n˨˩
權	权	kʰy:n˨˩
顴	颧	kʰy:n˨˩
蜷	蜷	kʰy:n˨˩
拳	拳	kʰy:n˨˩
闕	阙	kʰy:t˧
撅	撅	kʰy:t˧
抉	抉	kʰy:t˧
蕨	蕨	kʰy:t˧
缺	缺	kʰy:t˧
訣	诀	kʰy:t˧
決	决	kʰy:t˧
蹶	蹶	kʰy:t˧
厥	厥	kʰy:t˧
孓	孓	kʰy:t˧
獗	獗	kʰy:t˧
橛	橛	kʰy:t˧/ky:t˨
卻	却	kʰœ:k˧
噱	噱	kʰœ:k˨
強	强	kʰœ:ŋ˨˩
羥	羟	kʰœ:ŋ˩˧
強	强	kʰœ:ŋ˩˧
蹊	蹊	kʰɐi˥
溪	溪	kʰɐi˥
稽	稽	kʰɐi˥
嵇	嵇	kʰɐi˥/hɐi˨˩
契	契	kʰɐi˧
啟	启	kʰɐi˧˥
襟	襟	kʰɐm˥
擒	擒	kʰɐm˨˩
琴	琴	kʰɐm˨˩
噙	噙	kʰɐm˨˩
禽	禽	kʰɐm˨˩
妗	妗	kʰɐm˩˧
芹	芹	kʰɐn˨˩
勤	勤	kʰɐn˨˩
近	近	kʰɐn˩˧
岌	岌	kʰɐp˥
給	给	kʰɐp˥
吸	吸	kʰɐp˥
汲	汲	kʰɐp˥
笈	笈	kʰɐp˥
歙	歙	kʰɐp˥
級	级	kʰɐp˥
及	及	kʰɐp˨
芨	芨	kʰɐp˨/kɐp˥
咳	咳	kʰɐt˥
卡	卡	kʰɐt˥
摳	抠	kʰɐu˥
篝	篝	kʰɐu˥/kɐu˥
溝	沟	kʰɐu˥/kɐu˥
叩	叩	kʰɐu˧
扣	扣	kʰɐu˧
釦	扣	kʰɐu˧
蔻	蔻	kʰɐu˧
寇	寇	kʰɐu˧
購	购	kʰɐu˧/kɐu˧
構	构	kʰɐu˧/kɐu˧
媾	媾	kʰɐu˧/kɐu˧
裘	裘	kʰɐu˨˩
