開放粵語字典（粵語拼音字數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［粵語拼音］
半	半	bun3
叛	叛	bun6
絆	绊	bun6
畔	畔	bun6
胖	胖	bun6
拌	拌	bun6
伴	伴	bun6/pun2
差	差	ca1
叉	叉	ca1
岔	岔	ca3
杈	杈	ca3
詫	诧	ca3
衩	衩	ca3
姹	姹	ca3
碴	碴	ca4
茬	茬	ca4
垞	垞	ca4
茶	茶	ca4
搽	搽	ca4
槎	槎	ca4
查	查	ca4
鍤	锸	cab3
插	插	cab3
擦	擦	cad3
察	察	cad3
刷	刷	cad3
獺	獭	cad3
剎	刹	cad3/sad3
冊	册	cag3
策	策	cag3
拆	拆	cag3
柵	栅	cag3
鰂	鲗	cag6
賊	贼	cag6
猜	猜	cai1
搋	搋	cai1
釵	钗	cai1
揣	揣	cai1
差	差	cai1
踹	踹	cai2
踩	踩	cai2
蠆	虿	cai3
儕	侪	cai4
柴	柴	cai4
豺	豺	cai4
測	测	cak1
惻	恻	cak1
參	参	cam1
攙	搀	cam1
摻	掺	cam1
慘	惨	cam2
懺	忏	cam3
杉	杉	cam3/sam1
讒	谗	cam4
饞	馋	cam4
慚	惭	cam4
蠶	蚕	cam4
侵	侵	camp1
參	参	camp1/cam1
磣	碜	camp2
寢	寝	camp2
讖	谶	camp3/cam3
尋	寻	camp4
蕁	荨	camp4
沉	沉	camp4
鱘	鲟	camp4
餐	餐	can1
產	产	can2
鏟	铲	can2
燦	灿	can3
璨	璨	can3
殘	残	can4
撐	撑	cang1
瞠	瞠	cang1
橙	橙	cang4/cang2
鋥	锃	cang6
曾	曾	cank4
層	层	cank4
親	亲	cant1
瞋	瞋	cant1
嗔	嗔	cant1
診	诊	cant2
哂	哂	cant2
縝	缜	cant2/jant2
齔	龀	cant3
趁	趁	cant3
襯	衬	cant3
陳	陈	cant4
塵	尘	cant4
緝	缉	cap1
葺	葺	cap1
輯	辑	cap1
柒	柒	cat1
漆	漆	cat1
七	七	cat1
鈔	钞	cau1
抄	抄	cau1
吵	吵	cau2
炒	炒	cau2
肏	肏	cau3
巢	巢	cau4
秋	秋	caw1
鰍	鳅	caw1
楸	楸	caw1
鞦	秋	caw1
抽	抽	caw1
丑	丑	caw2
醜	丑	caw2
湊	凑	caw3
溴	溴	caw3
嗅	嗅	caw3
糗	糗	caw3
臭	臭	caw3
囚	囚	caw4
躊	踌	caw4
疇	畴	caw4
籌	筹	caw4
泅	泅	caw4
仇	仇	caw4
遒	遒	caw4
稠	稠	caw4
惆	惆	caw4
酬	酬	caw4
綢	绸	caw4
儔	俦	caw4
淒	凄	cay1
棲	栖	cay1
悽	悽	cay1
妻	妻	cay1
沏	沏	cay3
切	切	cay3
砌	砌	cay3
薺	荠	cay4
齊	齐	cay4
車	车	ce1
奢	奢	ce1
扯	扯	ce2
且	且	ce2
邪	邪	ce4
輋	輋	ce4
斜	斜	ce4
赤	赤	ceg3
呎	呎	ceg3
尺	尺	ceg3
斥	斥	cek1
戚	戚	cek1
叱	叱	cek1
彳	彳	cek1
敕	敕	cek1
蟶	蛏	cenk1
氰	氰	cenk1
蜻	蜻	cenk1
鯖	鲭	cenk1
稱	称	cenk1
清	清	cenk1
青	青	cenk1/ceng1
拯	拯	cenk2
騁	骋	cenk2
逞	逞	cenk2
請	请	cenk2/ceng2
秤	秤	cenk3
稱	称	cenk3
稱	称	cenk3/cank3
澄	澄	cenk4
呈	呈	cenk4
懲	惩	cenk4
程	程	cenk4
埕	埕	cenk4
澂	澂	cenk4
晴	晴	cenk4
情	情	cenk4
綽	绰	ceog3
戳	戳	ceog3
卓	卓	ceog3
菖	菖	ceong1
昌	昌	ceong1
鏘	锵	ceong1
娼	娼	ceong1
猖	猖	ceong1
戧	戗	ceong1
窗	窗	ceong1
槍	枪	ceong1
鯧	鲳	ceong1
嗆	呛	ceong1
倀	伥	ceong1
搶	抢	ceong2
倡	倡	ceong3
嗆	呛	ceong3
蹌	跄	ceong3
熗	炝	ceong3
悵	怅	ceong3
戧	戗	ceong3
暢	畅	ceong3
唱	唱	ceong3
詳	详	ceong4
檣	樯	ceong4
長	长	ceong4
戕	戕	ceong4
場	场	ceong4
腸	肠	ceong4
翔	翔	ceong4
祥	祥	ceong4
薔	蔷	ceong4
牆	墙	ceong4
櫥	橱	ceu1
躇	躇	ceu1
貯	贮	ceu2
杵	杵	ceu2
處	处	ceu3
蹰	蹰	ceu4
廚	厨	ceu4/coy4
署	署	ceu5
褚	褚	ceu5
苧	苎	ceu5
柱	柱	ceu5
曙	曙	ceu5
儲	储	ceu5
佇	伫	ceu5
處	处	ceu5
猝	猝	ceud3
踅	踅	ceud3
撮	撮	ceud3
穿	穿	ceun1
汆	汆	ceun1
川	川	ceun1
村	村	ceun1
躥	蹿	ceun1
忖	忖	ceun2
喘	喘	ceun2
揣	揣	ceun2
攛	撺	ceun2/ceun3
爨	爨	ceun3
吋	吋	ceun3
竄	窜	ceun3
寸	寸	ceun3
串	串	ceun3
醛	醛	ceun4
荃	荃	ceun4
輇	辁	ceun4
全	全	ceun4
痊	痊	ceun4
傳	传	ceun4
銓	铨	ceun4
存	存	ceun4
筌	筌	ceun4
泉	泉	ceun4
詮	诠	ceun4
魑	魑	ci1
疵	疵	ci1
嗤	嗤	ci1
癡	痴	ci1
眵	眵	ci1
差	差	ci1
螭	螭	ci1
蚩	蚩	ci1
跐	跐	ci1
笞	笞	ci1
雌	雌	ci1
哧	哧	ci1
鴟	鸱	ci1
此	此	ci2
侈	侈	ci2
褫	褫	ci2
始	始	ci2
齒	齿	ci2
恥	耻	ci2
矢	矢	ci2
豕	豕	ci2
跐	跐	ci2
次	次	ci3
賜	赐	ci3
幟	帜	ci3
刺	刺	ci3
熾	炽	ci3
廁	厕	ci3
翅	翅	ci3
慈	慈	ci4
馳	驰	ci4
篪	篪	ci4
祠	祠	ci4
瓷	瓷	ci4
詞	词	ci4
磁	磁	ci4
辭	辞	ci4
池	池	ci4
墀	墀	ci4
弛	弛	ci4
糍	糍	ci4
持	持	ci4
匙	匙	ci4
遲	迟	ci4
臍	脐	ci4
踟	踟	ci4
茌	茌	ci4
柿	柿	ci5
恃	恃	ci5
似	似	ci5
妾	妾	cib3
撤	撤	cid3
切	切	cid3
掣	掣	cid3
設	设	cid3
澈	澈	cid3
徹	彻	cid3
轍	辙	cid3
簽	签	cim1
殲	歼	cim1
籤	签	cim1
纖	纤	cim1
諂	谄	cim2
僭	僭	cim3
塹	堑	cim3
暹	暹	cim3/cim1
潛	潜	cim4
千	千	cin1
仟	仟	cin1
遷	迁	cin1
阡	阡	cin1
韆	千	cin1
淺	浅	cin2
錢	钱	cin4
纏	缠	cin4
前	前	cin4
踐	践	cin5/jin6
昭	昭	ciu1
鍬	锹	ciu1
超	超	ciu1
釗	钊	ciu1
悄	悄	ciu2
悄	悄	ciu2/ciu1
肖	肖	ciu3
鞘	鞘	ciu3
峭	峭	ciu3
俏	俏	ciu3
樵	樵	ciu4
朝	朝	ciu4
潮	潮	ciu4
瞧	瞧	ciu4
憔	憔	ciu4
雛	雏	co1
初	初	co1
芻	刍	co1
磋	磋	co1
搓	搓	co1
楚	楚	co2
礎	础	co2
挫	挫	co3
錯	错	co3
銼	锉	co3
鋤	锄	co4
坐	坐	co5
錯	错	cog3
睬	睬	coi2
綵	彩	coi2
彩	彩	coi2
採	采	coi2
采	采	coi2
菜	菜	coi3
塞	塞	coi3
蔡	蔡	coi3
賽	赛	coi3
裁	裁	coi4
財	财	coi4
才	才	coi4
材	材	coi4
蹙	蹙	cok1
畜	畜	cok1
簇	簇	cok1
矗	矗	cok1
束	束	cok1
搐	搐	cok1
蓄	蓄	cok1
促	促	cok1
速	速	cok1
齪	龊	cok1
亍	亍	cok1
蹴	蹴	cok1
簌	簌	cok1
觸	触	cok1/jok1
創	创	cong1
倉	仓	cong1
滄	沧	cong1
傖	伧	cong1
瘡	疮	cong1
蒼	苍	cong1
艙	舱	cong1
闖	闯	cong2
廠	厂	cong2
敞	敞	cong2
氅	氅	cong2
創	创	cong3
藏	藏	cong4
床	床	cong4
匆	匆	conk1
聰	聪	conk1
驄	骢	conk1
樅	枞	conk1
充	充	conk1
沖	冲	conk1
蔥	葱	conk1
憧	憧	conk1
忡	忡	conk1
衝	冲	conk1
囪	囱	conk1
涌	涌	conk1
冢	冢	conk2
寵	宠	conk2
松	松	conk4
琮	琮	conk4
蟲	虫	conk4
重	重	conk4
從	从	conk4
叢	丛	conk4
重	重	conk5
