开放粤语字典（国际音标版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［国际音标］
近	近	kʰɐn˩˧
岌	岌	kʰɐp˥
给	給	kʰɐp˥
吸	吸	kʰɐp˥
汲	汲	kʰɐp˥
笈	笈	kʰɐp˥
歙	歙	kʰɐp˥
级	級	kʰɐp˥
及	及	kʰɐp˨
芨	芨	kʰɐp˨/kɐp˥
咳	咳	kʰɐt˥
卡	卡	kʰɐt˥
抠	摳	kʰɐu˥
篝	篝	kʰɐu˥/kɐu˥
沟	溝	kʰɐu˥/kɐu˥
叩	叩	kʰɐu˧
扣	扣	kʰɐu˧
扣	釦	kʰɐu˧
蔻	蔻	kʰɐu˧
寇	寇	kʰɐu˧
购	購	kʰɐu˧/kɐu˧
构	構	kʰɐu˧/kɐu˧
媾	媾	kʰɐu˧/kɐu˧
裘	裘	kʰɐu˨˩
球	球	kʰɐu˨˩
毬	毬	kʰɐu˨˩
求	求	kʰɐu˨˩
犰	犰	kʰɐu˨˩
仇	仇	kʰɐu˨˩
虬	虯	kʰɐu˨˩
逑	逑	kʰɐu˨˩
臼	臼	kʰɐu˩˧/kʰɐu˧
舅	舅	kʰɐu˩˧/kʰɐu˧
概	概	kʰɔ:i˧
忾	愾	kʰɔ:i˧
欬	欬	kʰɔ:i˧
盖	蓋	kʰɔ:i˧
慨	慨	kʰɔ:i˧
钙	鈣	kʰɔ:i˧
溉	溉	kʰɔ:i˧
丐	丐	kʰɔ:i˧
恪	恪	kʰɔ:k˧
壑	壑	kʰɔ:k˧
涸	涸	kʰɔ:k˧
郝	郝	kʰɔ:k˧
榷	榷	kʰɔ:k˧
确	確	kʰɔ:k˧
悫	慤	kʰɔ:k˧
扛	扛	kʰɔ:ŋ˥
抗	抗	kʰɔ:ŋ˧
伉	伉	kʰɔ:ŋ˧
扩	擴	kʰɔ:ŋ˧
闶	閌	kʰɔ:ŋ˧
亢	亢	kʰɔ:ŋ˧
炕	炕	kʰɔ:ŋ˧
屐	屐	kʰɛ:k˨
剧	劇	kʰɛ:k˨
茄	茄	kʰɛ:˧˥
瘸	瘸	kʰɛ:˨˩
骑	騎	kʰɛ:˨˩
倾	傾	kʰɪŋ˥
顷	頃	kʰɪŋ˧˥
黥	黥	kʰɪŋ˨˩
擎	擎	kʰɪŋ˨˩
鲸	鯨	kʰɪŋ˨˩
琼	瓊	kʰɪŋ˨˩
祛	祛	kʰɵy˥
驹	駒	kʰɵy˥
拘	拘	kʰɵy˥
岖	嶇	kʰɵy˥
俱	俱	kʰɵy˥
区	區	kʰɵy˥
躯	軀	kʰɵy˥
驱	驅	kʰɵy˥
璩	璩	kʰɵy˨˩
蠼	蠼	kʰɵy˨˩
朐	朐	kʰɵy˨˩
衢	衢	kʰɵy˨˩
渠	渠	kʰɵy˨˩
瞿	瞿	kʰɵy˨˩
距	距	kʰɵy˩˧
拒	拒	kʰɵy˩˧
曲	麴	kʰʊk˥
曲	曲	kʰʊk˥
穷	窮	kʰʊŋ˨˩
穹	穹	kʰʊŋ˨˩
邛	邛	kʰʊŋ˨˩
拉	拉	la:i˥
癞	癩	la:i˧
籁	籟	la:i˨
落	落	la:i˨
赖	賴	la:i˨
缆	纜	la:m˨
舰	艦	la:m˨
滥	濫	la:m˨
岚	嵐	la:m˨˩
蓝	藍	la:m˨˩
婪	婪	la:m˨˩
篮	籃	la:m˨˩
褴	襤	la:m˨˩
揽	攬	la:m˩˧
榄	欖	la:m˩˧
览	覽	la:m˩˧
烂	爛	la:n˨
栏	欄	la:n˨˩
拦	攔	la:n˨˩
阑	闌	la:n˨˩
斓	斕	la:n˨˩
兰	蘭	la:n˨˩
澜	瀾	la:n˨˩
襕	襴	la:n˨˩
懒	懶	la:n˩˧
蜡	蠟	la:p˨
垃	垃	la:p˨
腊	臘	la:p˨
立	立	la:p˨
砬	砬	la:p˨
邋	邋	la:p˨/la:t˨
拉	拉	la:t˨
辣	辣	la:t˨
冷	冷	la:ŋ˩˧
喇	喇	la:˥
拉	拉	la:˥
啦	啦	la:˥
喇	喇	la:˧
喱	喱	lei˥
璃	璃	lei˥
吏	吏	lei˨
痢	痢	lei˨
俐	俐	lei˨
利	利	lei˨
莅	蒞	lei˨
莉	莉	lei˨
猁	猁	lei˨
篱	籬	lei˨˩
离	離	lei˨˩
鲡	鱺	lei˨˩
漓	漓	lei˨˩
蜊	蜊	lei˨˩
梨	梨	lei˨˩
狸	狸	lei˨˩
缡	縭	lei˨˩
罹	罹	lei˨˩
厘	釐	lei˨˩
璃	璃	lei˨˩
逦	邐	lei˩˧
锂	鋰	lei˩˧
鲤	鯉	lei˩˧
里	里	lei˩˧
俚	俚	lei˩˧
娌	娌	lei˩˧
李	李	lei˩˧
履	履	lei˩˧
理	理	lei˩˧
哩	哩	lei˩˧/jɪŋ˥/lei˩˧
令	令	li:m˥
敛	斂	li:m˨
裣	襝	li:m˨
帘	帘	li:m˨˩
帘	簾	li:m˨˩
廉	廉	li:m˨˩
镰	鐮	li:m˨˩
殓	殮	li:m˩˧
脸	臉	li:m˩˧
炼	煉	li:n˨
练	練	li:n˨
涟	漣	li:n˨˩
莲	蓮	li:n˨˩
链	鏈	li:n˨˩
连	連	li:n˨˩
怜	憐	li:n˨˩
撵	攆	li:n˩˧
辇	輦	li:n˩˧
猎	獵	li:p˨
鬣	鬣	li:p˨
列	列	li:t˨
捩	捩	li:t˨
冽	冽	li:t˨
烈	烈	li:t˨
裂	裂	li:t˨
溜	溜	li:u˥
撂	撂	li:u˥
撩	撩	li:u˥
料	料	li:u˨
尥	尥	li:u˨
廖	廖	li:u˨
聊	聊	li:u˨˩
瞭	瞭	li:u˨˩
嘹	嘹	li:u˨˩
缭	繚	li:u˨˩
辽	遼	li:u˨˩
寮	寮	li:u˨˩
寥	寥	li:u˨˩
镣	鐐	li:u˨˩
疗	療	li:u˨˩
撩	撩	li:u˨˩
燎	燎	li:u˨˩
獠	獠	li:u˨˩
僚	僚	li:u˨˩
了	瞭	li:u˩˧
了	了	li:u˩˧
潦	潦	li:u˩˧/li:u˧˥
哩	哩	li:˥
捞	撈	lou˥
噜	嚕	lou˥
佬	佬	lou˧˥
嫪	嫪	lou˨
潞	潞	lou˨
路	路	lou˨
璐	璐	lou˨
辂	輅	lou˨
露	露	lou˨
鹭	鷺	lou˨
涝	澇	lou˨
赂	賂	lou˨
劳	勞	lou˨
炉	爐	lou˨˩
醪	醪	lou˨˩
芦	蘆	lou˨˩
庐	廬	lou˨˩
牢	牢	lou˨˩
劳	勞	lou˨˩
轳	轤	lou˨˩
唠	嘮	lou˨˩
卢	盧	lou˨˩
泸	瀘	lou˨˩
鲈	鱸	lou˨˩
痨	癆	lou˨˩
颅	顱	lou˨˩
胪	臚	lou˨˩
橹	櫓	lou˩˧
卤	鹵	lou˩˧
虏	虜	lou˩˧
老	老	lou˩˧
姥	姥	lou˩˧
掳	擄	lou˩˧
鲁	魯	lou˩˧
卤	滷	lou˩˧
恋	戀	ly:n˧˥
脔	臠	ly:n˧˥/ly:n˨˩
乱	亂	ly:n˨
联	聯	ly:n˨˩
孪	孿	ly:n˨˩
挛	攣	ly:n˨˩
栾	欒	ly:n˨˩
鸾	鸞	ly:n˨˩
峦	巒	ly:n˨˩
滦	灤	ly:n˨˩
捋	捋	ly:t˧
劣	劣	ly:t˧/ly:t˨
略	略	lœ:k˨
掠	掠	lœ:k˨
两	兩	lœ:ŋ˧˥
亮	亮	lœ:ŋ˨
辆	輛	lœ:ŋ˨
踉	踉	lœ:ŋ˨
量	量	lœ:ŋ˨
谅	諒	lœ:ŋ˨
粮	糧	lœ:ŋ˨˩
梁	梁	lœ:ŋ˨˩
凉	涼	lœ:ŋ˨˩
量	量	lœ:ŋ˨˩
粱	粱	lœ:ŋ˨˩
良	良	lœ:ŋ˨˩
莨	莨	lœ:ŋ˨˩
魉	魎	lœ:ŋ˩˧
俩	倆	lœ:ŋ˩˧
两	兩	lœ:ŋ˩˧
砺	礪	lɐi˨
例	例	lɐi˨
励	勵	lɐi˨
荔	荔	lɐi˨
俪	儷	lɐi˨
丽	麗	lɐi˨
蛎	蠣	lɐi˨
厉	厲	lɐi˨
犂	犂	lɐi˨˩
黎	黎	lɐi˨˩
藜	藜	lɐi˨˩
犁	犁	lɐi˨˩
蠡	蠡	lɐi˨˩/lɐi˩˧
礼	禮	lɐi˩˧
鳢	鱧	lɐi˩˧
澧	澧	lɐi˩˧
醴	醴	lɐi˩˧
鳓	鰳	lɐk˨/la:k˨
勒	勒	lɐk˨/la:k˨
肋	肋	lɐk˨/la:k˨
淋	淋	lɐm˨˩
啉	啉	lɐm˨˩
霖	霖	lɐm˨˩
临	臨	lɐm˨˩
琳	琳	lɐm˨˩
林	林	lɐm˨˩
懔	懍	lɐm˩˧
凛	凜	lɐm˩˧
笠	笠	lɐp˥
甩	甩	lɐt˥
喽	嘍	lɐu˥
搂	摟	lɐu˧˥
遛	遛	lɐu˨
镂	鏤	lɐu˨
蹓	蹓	lɐu˨
陋	陋	lɐu˨
漏	漏	lɐu˨
馏	餾	lɐu˨
溜	溜	lɐu˨
浏	瀏	lɐu˨˩
榴	榴	lɐu˨˩
流	流	lɐu˨˩
琉	琉	lɐu˨˩
娄	婁	lɐu˨˩
骝	騮	lɐu˨˩
留	留	lɐu˨˩
瘤	瘤	lɐu˨˩
捞	撈	lɐu˨˩
刘	劉	lɐu˨˩
螻	螻	lɐu˨˩
楼	樓	lɐu˨˩
髅	髏	lɐu˨˩
偻	僂	lɐu˨˩
硫	硫	lɐu˨˩
柳	柳	lɐu˩˧
篓	簍	lɐu˩˧
赉	賚	lɔ:i˨
睐	睞	lɔ:i˨
耒	耒	lɔ:i˨/lɵy˨
涞	淶	lɔ:i˨˩
来	來	lɔ:i˨˩
莱	萊	lɔ:i˨˩
崃	崍	lɔ:i˨˩
徕	徠	lɔ:i˨˩
烙	烙	lɔ:k˧
铬	鉻	lɔ:k˧
饹	餎	lɔ:k˧
珞	珞	lɔ:k˧
络	絡	lɔ:k˧
酪	酪	lɔ:k˧
洛	洛	lɔ:k˧/lɔ:k˨
骆	駱	lɔ:k˧/lɔ:k˨
乐	樂	lɔ:k˨
落	落	lɔ:k˨
啷	啷	lɔ:ŋ˥
郎	郎	lɔ:ŋ˧˥
蒗	蒗	lɔ:ŋ˨
晾	晾	lɔ:ŋ˨
浪	浪	lɔ:ŋ˨
阆	閬	lɔ:ŋ˨/lɔ:ŋ˨˩
锒	鋃	lɔ:ŋ˨˩
莨	莨	lɔ:ŋ˨˩
螂	螂	lɔ:ŋ˨˩
廊	廊	lɔ:ŋ˨˩
郎	郎	lɔ:ŋ˨˩
琅	瑯	lɔ:ŋ˨˩
狼	狼	lɔ:ŋ˨˩
榔	榔	lɔ:ŋ˨˩
朗	朗	lɔ:ŋ˩˧
咯	咯	lɔ:˥
囉	囉	lɔ:˥
旯	旯	lɔ:˥/lɔ:k˧
裸	裸	lɔ:˧˥
箩	籮	lɔ:˨˩
锣	鑼	lɔ:˨˩
猡	玀	lɔ:˨˩
逻	邏	lɔ:˨˩
萝	蘿	lɔ:˨˩
罗	羅	lɔ:˨˩
螺	螺	lɔ:˨˩/lɔ:˧˥
靓	靚	lɛ:ŋ˧
哩	哩	lɛ:˥
咧	咧	lɛ:˥
咧	咧	lɛ:˧˥
枥	櫪	lɪk˥
雳	靂	lɪk˥
砾	礫	lɪk˥
沥	瀝	lɪk˥/lɪk˨
力	力	lɪk˨
历	歷	lɪk˨
历	曆	lɪk˨
另	另	lɪŋ˨
令	令	lɪŋ˨
愣	愣	lɪŋ˨
伶	伶	lɪŋ˨˩
蛉	蛉	lɪŋ˨˩
陵	陵	lɪŋ˨˩
聆	聆	lɪŋ˨˩
龄	齡	lɪŋ˨˩
凌	凌	lɪŋ˨˩
囹	囹	lɪŋ˨˩
玲	玲	lɪŋ˨˩
鲮	鯪	lɪŋ˨˩
灵	靈	lɪŋ˨˩
铃	鈴	lɪŋ˨˩
令	令	lɪŋ˨˩
零	零	lɪŋ˨˩
菱	菱	lɪŋ˨˩
翎	翎	lɪŋ˨˩
櫺	櫺	lɪŋ˨˩
呤	呤	lɪŋ˨˩
苓	苓	lɪŋ˨˩
羚	羚	lɪŋ˨˩
棱	稜	lɪŋ˨˩
绫	綾	lɪŋ˨˩
岭	嶺	lɪŋ˩˧/lɛ:ŋ˩˧
领	領	lɪŋ˩˧/lɛ:ŋ˩˧
卵	卵	lɵn˧˥
论	論	lɵn˨
吝	吝	lɵn˨
躏	躪	lɵn˨
蔺	藺	lɵn˨
璘	璘	lɵn˨˩
仑	侖	lɵn˨˩
伦	倫	lɵn˨˩
抡	掄	lɵn˨˩
鳞	鱗	lɵn˨˩
沦	淪	lɵn˨˩
嶙	嶙	lɵn˨˩
粼	粼	lɵn˨˩
论	論	lɵn˨˩
磷	磷	lɵn˨˩
纶	綸	lɵn˨˩
邻	鄰	lɵn˨˩
遴	遴	lɵn˨˩
麟	麟	lɵn˨˩
轮	輪	lɵn˨˩
囵	圇	lɵn˨˩
仑	崙	lɵn˨˩
栗	慄	lɵt˨
溧	溧	lɵt˨
篥	篥	lɵt˨
栗	栗	lɵt˨
率	率	lɵt˨
律	律	lɵt˨
鹬	鷸	lɵt˨
傈	傈	lɵt˨
漯	漯	lɵy˨
滤	濾	lɵy˨
累	累	lɵy˨
虑	慮	lɵy˨
戾	戾	lɵy˨
泪	淚	lɵy˨
类	類	lɵy˨
镭	鐳	lɵy˨˩
嫘	嫘	lɵy˨˩
闾	閭	lɵy˨˩
擂	擂	lɵy˨˩
缧	縲	lɵy˨˩
雷	雷	lɵy˨˩
榈	櫚	lɵy˨˩
羸	羸	lɵy˨˩
累	纍	lɵy˨˩
驴	驢	lɵy˨˩
骡	騾	lɵy˨˩/lɔ:˨˩
垒	壘	lɵy˩˧
缕	縷	lɵy˩˧
膂	膂	lɵy˩˧
侣	侶	lɵy˩˧
旅	旅	lɵy˩˧
褛	褸	lɵy˩˧
吕	呂	lɵy˩˧
屡	屢	lɵy˩˧
累	累	lɵy˩˧
里	裡	lɵy˩˧
儡	儡	lɵy˩˧
铝	鋁	lɵy˩˧
磊	磊	lɵy˩˧
蕾	蕾	lɵy˩˧/lɵy˨˩
辘	轆	lʊk˥
麓	麓	lʊk˥
碌	碌	lʊk˥
六	六	lʊk˨
戮	戮	lʊk˨
氯	氯	lʊk˨
禄	祿	lʊk˨
录	錄	lʊk˨
碌	碌	lʊk˨
陆	陸	lʊk˨
绿	綠	lʊk˨
漉	漉	lʊk˨
鹿	鹿	lʊk˨
弄	弄	lʊŋ˨
眬	矓	lʊŋ˨˩
隆	隆	lʊŋ˨˩
茏	蘢	lʊŋ˨˩
聋	聾	lʊŋ˨˩
咙	嚨	lʊŋ˨˩
胧	朧	lʊŋ˨˩
昽	曨	lʊŋ˨˩
珑	瓏	lʊŋ˨˩
笼	籠	lʊŋ˨˩
龙	龍	lʊŋ˨˩
窿	窿	lʊŋ˨˩
笼	籠	lʊŋ˩˧
拢	攏	lʊŋ˩˧
垄	壟	lʊŋ˩˧
陇	隴	lʊŋ˩˧
卖	賣	ma:i˨
迈	邁	ma:i˨
埋	埋	ma:i˨˩
霾	霾	ma:i˨˩/mɐi˨˩
荬	蕒	ma:i˩˧
买	買	ma:i˩˧
擘	擘	ma:k˧
漫	漫	ma:n˨
谩	謾	ma:n˨
曼	曼	ma:n˨
万	萬	ma:n˨
幔	幔	ma:n˨
熳	熳	ma:n˨
缦	縵	ma:n˨
墁	墁	ma:n˨
蔓	蔓	ma:n˨
镘	鏝	ma:n˨
嫚	嫚	ma:n˨
慢	慢	ma:n˨
馒	饅	ma:n˨˩
蛮	蠻	ma:n˨˩
鳗	鰻	ma:n˨˩
谩	謾	ma:n˨˩
蔓	蔓	ma:n˨˩
晚	晚	ma:n˩˧
猫	貓	ma:u˥
袤	袤	ma:u˨
懋	懋	ma:u˨
貌	貌	ma:u˨
茅	茅	ma:u˨˩
矛	矛	ma:u˨˩
铆	鉚	ma:u˩˧
卯	卯	ma:u˩˧
绷	繃	ma:ŋ˥
孟	孟	ma:ŋ˨
盲	盲	ma:ŋ˨˩
蜢	蜢	ma:ŋ˩˧
勐	勐	ma:ŋ˩˧
猛	猛	ma:ŋ˩˧
锰	錳	ma:ŋ˩˧
嬷	嬤	ma:˥
妈	媽	ma:˥
吗	嗎	ma:˥/ma:˧
嘛	嘛	ma:˧
骂	罵	ma:˨
蟆	蟆	ma:˨˩
麻	麻	ma:˨˩
麻	痲	ma:˨˩
玛	瑪	ma:˩˧
码	碼	ma:˩˧
马	馬	ma:˩˧
犸	獁	ma:˩˧
蚂	螞	ma:˩˧
未	未	mei˨
寐	寐	mei˨
媚	媚	mei˨
魅	魅	mei˨
味	味	mei˨
麋	麋	mei˨˩
薇	薇	mei˨˩
湄	湄	mei˨˩
楣	楣	mei˨˩
嵋	嵋	mei˨˩
眉	眉	mei˨˩
靡	靡	mei˨˩
蘼	蘼	mei˨˩
微	微	mei˨˩
猕	獼	mei˨˩/nei˨˩
弥	瀰	mei˨˩/nei˨˩
媺	媺	mei˩˧
镁	鎂	mei˩˧
娓	娓	mei˩˧
美	美	mei˩˧
尾	尾	mei˩˧
面	麵	mi:n˨
面	面	mi:n˨
绵	綿	mi:n˨˩
眠	眠	mi:n˨˩
棉	棉	mi:n˨˩
免	免	mi:n˩˧
冕	冕	mi:n˩˧
勉	勉	mi:n˩˧
腼	靦	mi:n˩˧
娩	娩	mi:n˩˧
缅	緬	mi:n˩˧
蔑	衊	mi:t˨
篾	篾	mi:t˨
蔑	蔑	mi:t˨
灭	滅	mi:t˨
喵	喵	mi:u˥
妙	妙	mi:u˨
庙	廟	mi:u˨
瞄	瞄	mi:u˨˩
苗	苗	mi:u˨˩
描	描	mi:u˨˩
藐	藐	mi:u˩˧
淼	淼	mi:u˩˧
杳	杳	mi:u˩˧
渺	渺	mi:u˩˧
缈	緲	mi:u˩˧
秒	秒	mi:u˩˧
邈	邈	mi:u˩˧
募	募	mou˨
婺	婺	mou˨
戊	戊	mou˨
鹜	鶩	mou˨
墓	墓	mou˨
务	務	mou˨
耄	耄	mou˨
骛	騖	mou˨
慕	慕	mou˨
帽	帽	mou˨
冒	冒	mou˨
暮	暮	mou˨
雾	霧	mou˨
瑁	瑁	mou˨
诬	誣	mou˨˩
模	模	mou˨˩
髦	髦	mou˨˩
摹	摹	mou˨˩
巫	巫	mou˨˩
毋	毋	mou˨˩
谟	謨	mou˨˩
芜	蕪	mou˨˩
无	無	mou˨˩
毛	毛	mou˨˩
膜	膜	mou˨˩
牦	氂	mou˨˩/lei˨˩
鹉	鵡	mou˩˧
姆	姆	mou˩˧
武	武	mou˩˧
母	母	mou˩˧
侮	侮	mou˩˧
舞	舞	mou˩˧
拇	拇	mou˩˧
妩	嫵	mou˩˧
昧	昧	mu:i˨
妹	妹	mu:i˨
媒	媒	mu:i˨˩
煤	煤	mu:i˨˩
梅	梅	mu:i˨˩
玫	玫	mu:i˨˩
枚	枚	mu:i˨˩
莓	莓	mu:i˨˩
霉	霉	mu:i˨˩
酶	酶	mu:i˨˩
每	每	mu:i˩˧
焖	燜	mu:n˨
闷	悶	mu:n˨
瞒	瞞	mu:n˨˩
鞔	鞔	mu:n˨˩
门	門	mu:n˨˩
扪	捫	mu:n˨˩
们	們	mu:n˨˩
满	滿	mu:n˩˧
螨	蟎	mu:n˩˧
沫	沫	mu:t˧
抹	抹	mu:t˧/ma:t˧
殁	歿	mu:t˨
末	末	mu:t˨
没	沒	mu:t˨
靺	靺	mu:t˨
茉	茉	mu:t˨
咪	咪	mɐi˥/mei˥
袂	袂	mɐi˨
谜	謎	mɐi˨˩
醚	醚	mɐi˨˩
迷	迷	mɐi˨˩
眯	瞇	mɐi˨˩
米	米	mɐi˩˧
万	万	mɐk˨
默	默	mɐk˨
貘	貘	mɐk˨
陌	陌	mɐk˨
蓦	驀	mɐk˨
墨	墨	mɐk˨
麦	麥	mɐk˨
脉	脈	mɐk˨
蚊	蚊	mɐn˥
紊	紊	mɐn˨
问	問	mɐn˨
汶	汶	mɐn˨
文	文	mɐn˨˩
玟	玟	mɐn˨˩
氓	氓	mɐn˨˩
闻	聞	mɐn˨˩
民	民	mɐn˨˩
忞	忞	mɐn˨˩
纹	紋	mɐn˨˩
雯	雯	mɐn˨˩
缗	緡	mɐn˨˩
岷	岷	mɐn˨˩
旻	旻	mɐn˨˩
珉	珉	mɐn˨˩
苠	苠	mɐn˨˩
湣	湣	mɐn˩˧
敏	敏	mɐn˩˧
泯	泯	mɐn˩˧
抿	抿	mɐn˩˧
悯	憫	mɐn˩˧
刎	刎	mɐn˩˧
闽	閩	mɐn˩˧
闵	閔	mɐn˩˧
愍	愍	mɐn˩˧
黾	黽	mɐn˩˧
鳘	鰵	mɐn˩˧
渑	澠	mɐn˩˧
吻	吻	mɐn˩˧
勿	勿	mɐt˨
嘧	嘧	mɐt˨
密	密	mɐt˨
蜜	蜜	mɐt˨
物	物	mɐt˨
袜	襪	mɐt˨
宓	宓	mɐt˨
谧	謐	mɐt˨
哞	哞	mɐu˥
谬	謬	mɐu˨
茂	茂	mɐu˨
贸	貿	mɐu˨
眸	眸	mɐu˨˩
谋	謀	mɐu˨˩
牟	牟	mɐu˨˩
缪	繆	mɐu˨˩
亩	畝	mɐu˩˧
牡	牡	mɐu˩˧
某	某	mɐu˩˧
萌	萌	mɐŋ˨˩
盟	盟	mɐŋ˨˩
剥	剝	mɔ:k˥
寞	寞	mɔ:k˨
漠	漠	mɔ:k˨
莫	莫	mɔ:k˨
膜	膜	mɔ:k˨
幕	幕	mɔ:k˨
望	望	mɔ:ŋ˨
忘	忘	mɔ:ŋ˨˩
莽	莽	mɔ:ŋ˨˩
茫	茫	mɔ:ŋ˨˩
芒	芒	mɔ:ŋ˨˩
虻	虻	mɔ:ŋ˨˩
铓	鋩	mɔ:ŋ˨˩
亡	亡	mɔ:ŋ˨˩
氓	氓	mɔ:ŋ˨˩
忙	忙	mɔ:ŋ˨˩
蟒	蟒	mɔ:ŋ˩˧
魍	魍	mɔ:ŋ˩˧
辋	輞	mɔ:ŋ˩˧
惘	惘	mɔ:ŋ˩˧
网	網	mɔ:ŋ˩˧
罔	罔	mɔ:ŋ˩˧
妄	妄	mɔ:ŋ˩˧
魔	魔	mɔ:˥
摩	摩	mɔ:˥
么	麼	mɔ:˥
摸	摸	mɔ:˧˥
蘑	蘑	mɔ:˨˩
磨	磨	mɔ:˨˩
馍	饃	mɔ:˨˩
命	命	mɛ:ŋ˨
哶	哶	mɛ:˥
鼏	鼏	mɪk˨
觅	覓	mɪk˨
幂	冪	mɪk˨
汨	汨	mɪk˨
命	命	mɪŋ˨
名	名	mɪŋ˨˩
明	明	mɪŋ˨˩
冥	冥	mɪŋ˨˩
螟	螟	mɪŋ˨˩
溟	溟	mɪŋ˨˩
洺	洺	mɪŋ˨˩
鸣	鳴	mɪŋ˨˩
暝	暝	mɪŋ˨˩/mɪŋ˨
铭	銘	mɪŋ˨˩/mɪŋ˩˧
瞑	瞑	mɪŋ˨˩/mɪŋ˩˧
皿	皿	mɪŋ˩˧
酩	酩	mɪŋ˩˧
茗	茗	mɪŋ˩˧/mɪŋ˨˩
木	木	mʊk˨
目	目	mʊk˨
钼	鉬	mʊk˨
仫	仫	mʊk˨
牧	牧	mʊk˨
睦	睦	mʊk˨
沐	沐	mʊk˨
穆	穆	mʊk˨
苜	苜	mʊk˨
梦	夢	mʊŋ˨
蒙	濛	mʊŋ˨˩
蒙	矇	mʊŋ˨˩
檬	檬	mʊŋ˨˩
曚	曚	mʊŋ˨˩
朦	朦	mʊŋ˨˩
蒙	蒙	mʊŋ˨˩
蠓	蠓	mʊŋ˩˧
懵	懵	mʊŋ˩˧/mʊŋ˧˥
氖	氖	na:i˩˧
奶	奶	na:i˩˧
乃	乃	na:i˩˧
鼐	鼐	na:i˩˧
楠	楠	na:m˨˩
南	南	na:m˨˩
男	男	na:m˨˩
囡	囡	na:m˨˩
喃	喃	na:m˨˩
腩	腩	na:m˩˧
难	難	na:n˨
难	難	na:n˨˩
赧	赧	na:n˩˧
纳	納	na:p˨
衲	衲	na:p˨
呐	吶	na:p˨
钠	鈉	na:p˨
捺	捺	na:t˨
孬	孬	na:u˥
闹	鬧	na:u˨
淖	淖	na:u˨
锚	錨	na:u˨˩
桡	橈	na:u˨˩
挠	撓	na:u˨˩
猱	猱	na:u˨˩
铙	鐃	na:u˨˩
哪	哪	na:˥
哪	哪	na:˨˩
娜	娜	na:˨˩
南	南	na:˨˩
拿	拿	na:˨˩
那	那	na:˩˧
哪	哪	na:˩˧
饵	餌	nei˨
腻	膩	nei˨
弥	彌	nei˨˩
怩	怩	nei˨˩
铌	鈮	nei˨˩
尼	尼	nei˨˩
妮	妮	nei˨˩
旎	旎	nei˩˧
你	妳	nei˩˧
你	你	nei˩˧
您	您	nei˩˧
拈	拈	ni:m˥
黏	黏	ni:m˥/tsi:m˥
粘	粘	ni:m˥/tsi:m˥
捻	捻	ni:m˧˥
念	念	ni:m˨
廿	廿	ni:m˨
念	唸	ni:m˨
鲇	鯰	ni:m˨˩
年	年	ni:n˨˩
碾	碾	ni:n˩˧
镍	鎳	ni:p˥
捏	捏	ni:p˨
涅	涅	ni:p˨
镊	鑷	ni:p˨
蹑	躡	ni:p˨
陧	隉	ni:p˨
聂	聶	ni:p˨
颞	顳	ni:p˨
尿	尿	ni:u˨
溺	溺	ni:u˨
袅	裊	ni:u˩˧
鸟	鳥	ni:u˩˧
怒	怒	nou˨
奴	奴	nou˨˩
瑙	瑙	nou˩˧
恼	惱	nou˩˧
脑	腦	nou˩˧
弩	弩	nou˩˧
努	努	nou˩˧/lou˩˧
嫩	嫩	ny:n˨
暖	暖	ny:n˩˧
娘	娘	nœ:ŋ˨˩
泥	泥	nɐi˨˩
呢	呢	nɐi˨˩/nei˨˩
稔	稔	nɐm˩˧
粒	粒	nɐp˥/lɐp˥
纽	紐	nɐu˧˥
钮	鈕	nɐu˧˥
扭	扭	nɐu˧˥
朽	朽	nɐu˧˥
狃	狃	nɐu˧˥
妞	妞	nɐu˧˥
能	能	nɐŋ˨˩
耐	耐	nɔ:i˨
内	內	nɔ:i˨
奈	奈	nɔ:i˨
诺	諾	nɔ:k˨
齉	齉	nɔ:ŋ˨
囔	囔	nɔ:ŋ˨˩
馕	饢	nɔ:ŋ˨˩
瓤	瓤	nɔ:ŋ˨˩
囊	囊	nɔ:ŋ˨˩
馕	饢	nɔ:ŋ˩˧
懦	懦	nɔ:˨
糯	糯	nɔ:˨
挼	挼	nɔ:˨˩
挪	挪	nɔ:˨˩
呢	呢	nɛ:˥
昵	暱	nɪk˥
匿	匿	nɪk˥
溺	溺	nɪk˥/nɪk˨
泞	濘	nɪŋ˨
拧	擰	nɪŋ˨
佞	佞	nɪŋ˨
狞	獰	nɪŋ˨˩
宁	寧	nɪŋ˨˩
柠	檸	nɪŋ˨˩
咛	嚀	nɪŋ˨˩
讷	訥	nɵt˨/na:p˨
馁	餒	nɵy˩˧
钕	釹	nɵy˩˧
女	女	nɵy˩˧/lɵy˩˧
忸	忸	nʊk˨/nɐu˧˥
农	農	nʊŋ˨˩
脓	膿	nʊŋ˨˩
侬	儂	nʊŋ˨˩
浓	濃	nʊŋ˨˩
媪	媼	ou˧˥
掰	掰	pa:i˥/ma:k˧
拜	拜	pa:i˧
摆	擺	pa:i˧˥
摆	襬	pa:i˧˥
捭	捭	pa:i˧˥
稗	稗	pa:i˨
败	敗	pa:i˨
迫	迫	pa:k˥/pɪk˥
伯	伯	pa:k˧
