开放粤语字典（国际音标版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［国际音标］
伙	伙	fɔ:˧˥
颗	顆	fɔ:˧˥
伙	夥	fɔ:˧˥
啡	啡	fɛ:˥
馥	馥	fʊk˥
蝮	蝮	fʊk˥
蝠	蝠	fʊk˥
腹	腹	fʊk˥
福	福	fʊk˥
辐	輻	fʊk˥
复	複	fʊk˥
幅	幅	fʊk˥
覆	覆	fʊk˥
宓	宓	fʊk˨
茯	茯	fʊk˨
服	服	fʊk˨
复	復	fʊk˨
袱	袱	fʊk˨
伏	伏	fʊk˨
疯	瘋	fʊŋ˥
烽	烽	fʊŋ˥
风	風	fʊŋ˥
枫	楓	fʊŋ˥
丰	豐	fʊŋ˥
峰	峰	fʊŋ˥
封	封	fʊŋ˥
蜂	蜂	fʊŋ˥
锋	鋒	fʊŋ˥
丰	丰	fʊŋ˥
讽	諷	fʊŋ˧
凤	鳳	fʊŋ˨
奉	奉	fʊŋ˨
俸	俸	fʊŋ˨/fʊŋ˧˥
冯	馮	fʊŋ˨˩
缝	縫	fʊŋ˨˩
逢	逢	fʊŋ˨˩
缝	縫	fʊŋ˨˩/fʊŋ˨
嗨	嗨	ha:i˥
揩	揩	ha:i˥
械	械	ha:i˨
解	解	ha:i˨
懈	懈	ha:i˨
邂	邂	ha:i˨/ha:i˩˧
孩	孩	ha:i˨˩
鞋	鞋	ha:i˨˩
谐	諧	ha:i˨˩
骸	骸	ha:i˨˩
蟹	蟹	ha:i˩˧
獬	獬	ha:i˩˧
骇	駭	ha:i˩˧
赫	赫	ha:k˥
客	客	ha:k˧
吓	嚇	ha:k˧
喊	喊	ha:m˧
陷	陷	ha:m˨
馅	餡	ha:m˨
咸	咸	ha:m˨˩
涵	涵	ha:m˨˩
衔	銜	ha:m˨˩
咸	鹹	ha:m˨˩
函	函	ha:m˨˩
槛	檻	ha:m˩˧
限	限	ha:n˨
痫	癇	ha:n˨˩
娴	嫺	ha:n˨˩
闲	閒	ha:n˨˩
呷	呷	ha:p˧
嗑	嗑	ha:p˧
掐	掐	ha:p˧
峡	峽	ha:p˨
狎	狎	ha:p˨
箧	篋	ha:p˨
柙	柙	ha:p˨
匣	匣	ha:p˨
狭	狹	ha:p˨/ha:p˧
侠	俠	ha:p˨/hɐp˨
敲	敲	ha:u˥
哮	哮	ha:u˥
烤	烤	ha:u˥/ha:u˧˥
孝	孝	ha:u˧
拷	拷	ha:u˧˥
巧	巧	ha:u˧˥
考	考	ha:u˧˥
校	校	ha:u˨
傚	傚	ha:u˨
効	効	ha:u˨
效	效	ha:u˨
夯	夯	ha:ŋ˥
坑	坑	ha:ŋ˥
行	行	ha:ŋ˨˩
虾	蝦	ha:˥
哈	哈	ha:˥
夏	夏	ha:˨
下	下	ha:˨
厦	廈	ha:˨
暇	暇	ha:˨
遐	遐	ha:˨˩
瑕	瑕	ha:˨˩
蛤	蛤	ha:˨˩
霞	霞	ha:˨˩
曦	曦	hei˥
禧	禧	hei˥
熙	熙	hei˥
嬉	嬉	hei˥
烯	烯	hei˥
牺	犧	hei˥
稀	稀	hei˥
嘿	嘿	hei˥
醯	醯	hei˥
欷	欷	hei˥
希	希	hei˥
嘻	嘻	hei˥
唏	唏	hei˥
欺	欺	hei˥
熹	熹	hei˥
浠	浠	hei˥
羲	羲	hei˥
戏	戲	hei˧
憩	憩	hei˧
汽	汽	hei˧
弃	棄	hei˧
气	氣	hei˧
器	器	hei˧
囍	囍	hei˧˥
起	起	hei˧˥
岂	豈	hei˧˥
喜	喜	hei˧˥
谦	謙	hi:m˥
芡	芡	hi:m˧
欠	欠	hi:m˧
险	險	hi:m˧˥
轩	軒	hi:n˥
牵	牽	hi:n˥
掀	掀	hi:n˥
骞	騫	hi:n˥
宪	憲	hi:n˧
献	獻	hi:n˧
蚬	蜆	hi:n˧˥
缱	繾	hi:n˧˥
谴	譴	hi:n˧˥
显	顯	hi:n˧˥
遣	遣	hi:n˧˥
歉	歉	hi:p˧
怯	怯	hi:p˧
胁	脅	hi:p˧
协	協	hi:p˧
挟	挾	hi:p˧/ha:p˨
惬	愜	hi:p˨
歇	歇	hi:t˧
蝎	蠍	hi:t˧
枭	梟	hi:u˥
浇	澆	hi:u˥
鸮	鴞	hi:u˥
嚣	囂	hi:u˥
侥	僥	hi:u˥
骁	驍	hi:u˥
橇	橇	hi:u˥/tsʰɵy˧
窍	竅	hi:u˧/kʰi:u˧
晓	曉	hi:u˧˥
薅	薅	hou˥
蒿	蒿	hou˥
好	好	hou˧
耗	耗	hou˧
犒	犒	hou˧
好	好	hou˧˥
号	號	hou˨
皓	皓	hou˨
镐	鎬	hou˨
浩	浩	hou˨
灏	灝	hou˨
昊	昊	hou˨
壕	壕	hou˨˩
蠔	蠔	hou˨˩
豪	豪	hou˨˩
号	號	hou˨˩
毫	毫	hou˨˩
嗥	嗥	hou˨˩
嚎	嚎	hou˨˩
埙	壎	hy:n˥
喧	喧	hy:n˥
萱	萱	hy:n˥
暄	暄	hy:n˥
圈	圈	hy:n˥
绚	絢	hy:n˧
券	券	hy:n˧
劝	勸	hy:n˧
绻	綣	hy:n˧
畎	畎	hy:n˧˥
犬	犬	hy:n˧˥
血	血	hy:t˧
哼	哼	hŋ̩˨
乡	鄉	hœ:ŋ˥
香	香	hœ:ŋ˥
向	嚮	hœ:ŋ˧
向	向	hœ:ŋ˧
享	享	hœ:ŋ˧˥
饷	餉	hœ:ŋ˧˥
晌	晌	hœ:ŋ˧˥
响	響	hœ:ŋ˧˥
飨	饗	hœ:ŋ˧˥
系	系	hɐi˨
系	繫	hɐi˨
系	係	hɐi˨
兮	兮	hɐi˨˩
奚	奚	hɐi˨˩
鼷	鼷	hɐi˨˩
黑	黑	hɐk˥
克	剋	hɐk˥
可	可	hɐk˥
刻	刻	hɐk˥
克	克	hɐk˥
氪	氪	hɐk˥
勘	勘	hɐm˥
蚶	蚶	hɐm˥
憨	憨	hɐm˥
戡	戡	hɐm˥
堪	堪	hɐm˥
龛	龕	hɐm˥
瞰	瞰	hɐm˧
勘	勘	hɐm˧
崁	崁	hɐm˧
磡	磡	hɐm˧
嵌	嵌	hɐm˧/hɐm˨
坎	坎	hɐm˧˥
砍	砍	hɐm˧˥
撼	撼	hɐm˨
憾	憾	hɐm˨
含	含	hɐm˨˩
酣	酣	hɐm˨˩
晗	晗	hɐm˨˩
颔	頷	hɐm˩˧
恳	懇	hɐn˧˥
很	很	hɐn˧˥
狠	狠	hɐn˧˥
垦	墾	hɐn˧˥
恨	恨	hɐn˨
痕	痕	hɐn˨˩
洽	洽	hɐp˥
恰	恰	hɐp˥
瞌	瞌	hɐp˨
合	合	hɐp˨
盒	盒	hɐp˨
阖	闔	hɐp˨
磕	磕	hɐp˨
颌	頜	hɐp˨
乞	乞	hɐt˥
檄	檄	hɐt˨
纥	紇	hɐt˨
龁	齕	hɐt˨
瞎	瞎	hɐt˨
辖	轄	hɐt˨
阂	閡	hɐt˨
劾	劾	hɐt˨
核	核	hɐt˨/wɐt˨
齁	齁	hɐu˥
吼	吼	hɐu˧
口	口	hɐu˧˥
鲎	鱟	hɐu˨
候	候	hɐu˨
后	后	hɐu˨
逅	逅	hɐu˨
后	後	hɐu˨
篌	篌	hɐu˨˩
猴	猴	hɐu˨˩
侯	侯	hɐu˨˩
喉	喉	hɐu˨˩
瘊	瘊	hɐu˨˩
厚	厚	hɐu˩˧
亨	亨	hɐŋ˥
哼	哼	hɐŋ˥
铿	鏗	hɐŋ˥
茎	莖	hɐŋ˥/kɪŋ˧
啃	啃	hɐŋ˧˥
肯	肯	hɐŋ˧˥
幸	倖	hɐŋ˨
行	行	hɐŋ˨
幸	幸	hɐŋ˨
悻	悻	hɐŋ˨
杏	杏	hɐŋ˨
桁	桁	hɐŋ˨˩
恒	恆	hɐŋ˨˩
衡	衡	hɐŋ˨˩
行	行	hɐŋ˨˩
开	開	hɔ:i˥
锎	鐦	hɔ:i˥
咍	咍	hɔ:i˥
海	海	hɔ:i˧˥
垲	塏	hɔ:i˧˥
剀	剴	hɔ:i˧˥
凯	凱	hɔ:i˧˥
闿	闓	hɔ:i˧˥
铠	鎧	hɔ:i˧˥
恺	愷	hɔ:i˧˥
害	害	hɔ:i˨
亥	亥	hɔ:i˨
氦	氦	hɔ:i˨
壳	殼	hɔ:k˧
貉	貉	hɔ:k˨
鹤	鶴	hɔ:k˨
学	學	hɔ:k˨
看	看	hɔ:n˧
汉	漢	hɔ:n˧
侃	侃	hɔ:n˧˥
罕	罕	hɔ:n˧˥
刊	刊	hɔ:n˧˥/hɔ:n˥
翰	翰	hɔ:n˨
悍	悍	hɔ:n˨
焊	焊	hɔ:n˨
汗	汗	hɔ:n˨
捍	捍	hɔ:n˨
瀚	瀚	hɔ:n˨
汗	汗	hɔ:n˨˩
寒	寒	hɔ:n˨˩
鼾	鼾	hɔ:n˨˩
