開放粵語字典（廣州拼音版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［廣州拼音］
路	路	lou6
澇	涝	lou6
鷺	鹭	lou6
勞	劳	lou6
賂	赂	lou6
嫪	嫪	lou6
潞	潞	lou6
輅	辂	lou6
麓	麓	lug1
轆	辘	lug1
碌	碌	lug1
六	六	lug6
戮	戮	lug6
氯	氯	lug6
祿	禄	lug6
漉	漉	lug6
碌	碌	lug6
陸	陆	lug6
綠	绿	lug6
鹿	鹿	lug6
錄	录	lug6
朧	胧	lung4
矓	眬	lung4
隆	隆	lung4
龍	龙	lung4
籠	笼	lung4
瓏	珑	lung4
曨	昽	lung4
蘢	茏	lung4
聾	聋	lung4
窿	窿	lung4
嚨	咙	lung4
籠	笼	lung5
攏	拢	lung5
隴	陇	lung5
壟	垄	lung5
弄	弄	lung6
咧	咧	lé1
哩	哩	lé1
咧	咧	lé2
喱	喱	léi1
璃	璃	léi1
璃	璃	léi4
罹	罹	léi4
離	离	léi4
鱺	鲡	léi4
縭	缡	léi4
漓	漓	léi4
釐	厘	léi4
籬	篱	léi4
狸	狸	léi4
梨	梨	léi4
蜊	蜊	léi4
理	理	léi5
娌	娌	léi5
俚	俚	léi5
邐	逦	léi5
鋰	锂	léi5
鯉	鲤	léi5
里	里	léi5
李	李	léi5
履	履	léi5
哩	哩	léi5/ying1/léi5
利	利	léi6
俐	俐	léi6
吏	吏	léi6
莉	莉	léi6
猁	猁	léi6
蒞	莅	léi6
痢	痢	léi6
靚	靓	léng3
篥	篥	lêd6
律	律	lêd6
傈	傈	lêd6
率	率	lêd6
溧	溧	lêd6
鷸	鹬	lêd6
栗	栗	lêd6
慄	栗	lêd6
掠	掠	lêg6
略	略	lêg6
卵	卵	lên2
粼	粼	lên4
掄	抡	lên4
輪	轮	lên4
倫	伦	lên4
鱗	鳞	lên4
嶙	嶙	lên4
璘	璘	lên4
論	论	lên4
磷	磷	lên4
遴	遴	lên4
麟	麟	lên4
侖	仑	lên4
淪	沦	lên4
圇	囵	lên4
鄰	邻	lên4
崙	仑	lên4
綸	纶	lên4
論	论	lên6
吝	吝	lên6
躪	躏	lên6
藺	蔺	lên6
兩	两	lêng2
梁	梁	lêng4
涼	凉	lêng4
量	量	lêng4
糧	粮	lêng4
莨	莨	lêng4
良	良	lêng4
粱	粱	lêng4
魎	魉	lêng5
倆	俩	lêng5
兩	两	lêng5
踉	踉	lêng6
諒	谅	lêng6
輛	辆	lêng6
量	量	lêng6
亮	亮	lêng6
櫚	榈	lêu4
雷	雷	lêu4
纍	累	lêu4
嫘	嫘	lêu4
縲	缧	lêu4
驢	驴	lêu4
鐳	镭	lêu4
擂	擂	lêu4
閭	闾	lêu4
羸	羸	lêu4
騾	骡	lêu4/lo4
磊	磊	lêu5
裡	里	lêu5
旅	旅	lêu5
侶	侣	lêu5
膂	膂	lêu5
呂	吕	lêu5
縷	缕	lêu5
累	累	lêu5
鋁	铝	lêu5
褸	褛	lêu5
儡	儡	lêu5
壘	垒	lêu5
屢	屡	lêu5
蕾	蕾	lêu5/lêu4
慮	虑	lêu6
漯	漯	lêu6
累	累	lêu6
戾	戾	lêu6
濾	滤	lêu6
類	类	lêu6
淚	泪	lêu6
捋	捋	lüd3
劣	劣	lüd3/lüd6
戀	恋	lün2
臠	脔	lün2/lün4
鸞	鸾	lün4
灤	滦	lün4
巒	峦	lün4
攣	挛	lün4
孿	孪	lün4
欒	栾	lün4
聯	联	lün4
亂	乱	lün6
媽	妈	ma1
嬤	嬷	ma1
嗎	吗	ma1/ma3
嘛	嘛	ma3
麻	麻	ma4
痲	麻	ma4
蟆	蟆	ma4
獁	犸	ma5
馬	马	ma5
碼	码	ma5
瑪	玛	ma5
螞	蚂	ma5
罵	骂	ma6
擘	擘	mag3
埋	埋	mai4
霾	霾	mai4/mei4
買	买	mai5
蕒	荬	mai5
賣	卖	mai6
邁	迈	mai6
饅	馒	man4
蔓	蔓	man4
鰻	鳗	man4
謾	谩	man4
蠻	蛮	man4
晚	晚	man5
幔	幔	man6
萬	万	man6
曼	曼	man6
漫	漫	man6
慢	慢	man6
謾	谩	man6
嫚	嫚	man6
鏝	镘	man6
熳	熳	man6
墁	墁	man6
縵	缦	man6
蔓	蔓	man6
繃	绷	mang1
盲	盲	mang4
錳	锰	mang5
蜢	蜢	mang5
猛	猛	mang5
勐	勐	mang5
孟	孟	mang6
貓	猫	mao1
茅	茅	mao4
矛	矛	mao4
鉚	铆	mao5
卯	卯	mao5
懋	懋	mao6
貌	貌	mao6
袤	袤	mao6
嘧	嘧	med6
物	物	med6
蜜	蜜	med6
勿	勿	med6
密	密	med6
謐	谧	med6
宓	宓	med6
襪	袜	med6
脈	脉	meg6
驀	蓦	meg6
默	默	meg6
麥	麦	meg6
墨	墨	meg6
陌	陌	meg6
貘	貘	meg6
万	万	meg6
咪	咪	mei1/méi1
迷	迷	mei4
謎	谜	mei4
醚	醚	mei4
瞇	眯	mei4
米	米	mei5
袂	袂	mei6
蚊	蚊	men1
氓	氓	men4
聞	闻	men4
民	民	men4
玟	玟	men4
紋	纹	men4
雯	雯	men4
緡	缗	men4
岷	岷	men4
旻	旻	men4
忞	忞	men4
珉	珉	men4
苠	苠	men4
文	文	men4
閩	闽	men5
鰵	鳘	men5
黽	黾	men5
愍	愍	men5
湣	湣	men5
澠	渑	men5
敏	敏	men5
泯	泯	men5
憫	悯	men5
刎	刎	men5
吻	吻	men5
閔	闵	men5
抿	抿	men5
汶	汶	men6
紊	紊	men6
問	问	men6
盟	盟	meng4
萌	萌	meng4
哞	哞	meo1
謀	谋	meo4
繆	缪	meo4
眸	眸	meo4
牟	牟	meo4
牡	牡	meo5
某	某	meo5
畝	亩	meo5
謬	谬	meo6
茂	茂	meo6
貿	贸	meo6
滅	灭	mid6
篾	篾	mid6
蔑	蔑	mid6
衊	蔑	mid6
鼏	鼏	mig6
冪	幂	mig6
覓	觅	mig6
汨	汨	mig6
綿	绵	min4
眠	眠	min4
棉	棉	min4
娩	娩	min5
冕	冕	min5
勉	勉	min5
免	免	min5
緬	缅	min5
靦	腼	min5
麵	面	min6
面	面	min6
溟	溟	ming4
螟	螟	ming4
鳴	鸣	ming4
洺	洺	ming4
冥	冥	ming4
明	明	ming4
名	名	ming4
瞑	瞑	ming4/ming5
銘	铭	ming4/ming5
暝	暝	ming4/ming6
酩	酩	ming5
皿	皿	ming5
茗	茗	ming5/ming4
命	命	ming6
喵	喵	miu1
苗	苗	miu4
描	描	miu4
瞄	瞄	miu4
渺	渺	miu5
緲	缈	miu5
秒	秒	miu5
邈	邈	miu5
杳	杳	miu5
淼	淼	miu5
藐	藐	miu5
妙	妙	miu6
廟	庙	miu6
摩	摩	mo1
麼	么	mo1
魔	魔	mo1
摸	摸	mo2
磨	磨	mo4
饃	馍	mo4
蘑	蘑	mo4
剝	剥	mog1
膜	膜	mog6
漠	漠	mog6
寞	寞	mog6
幕	幕	mog6
莫	莫	mog6
鋩	铓	mong4
忙	忙	mong4
亡	亡	mong4
氓	氓	mong4
虻	虻	mong4
芒	芒	mong4
莽	莽	mong4
茫	茫	mong4
忘	忘	mong4
魍	魍	mong5
罔	罔	mong5
輞	辋	mong5
惘	惘	mong5
蟒	蟒	mong5
網	网	mong5
妄	妄	mong5
望	望	mong6
謨	谟	mou4
模	模	mou4
髦	髦	mou4
摹	摹	mou4
巫	巫	mou4
毋	毋	mou4
誣	诬	mou4
毛	毛	mou4
無	无	mou4
蕪	芜	mou4
膜	膜	mou4
氂	牦	mou4/léi4
拇	拇	mou5
姆	姆	mou5
侮	侮	mou5
武	武	mou5
母	母	mou5
鵡	鹉	mou5
嫵	妩	mou5
舞	舞	mou5
務	务	mou6
暮	暮	mou6
霧	雾	mou6
瑁	瑁	mou6
帽	帽	mou6
慕	慕	mou6
募	募	mou6
冒	冒	mou6
騖	骛	mou6
耄	耄	mou6
婺	婺	mou6
墓	墓	mou6
鶩	鹜	mou6
戊	戊	mou6
沫	沫	mud3
抹	抹	mud3/mad3
沒	没	mud6
末	末	mud6
靺	靺	mud6
茉	茉	mud6
歿	殁	mud6
仫	仫	mug6
穆	穆	mug6
苜	苜	mug6
沐	沐	mug6
目	目	mug6
鉬	钼	mug6
木	木	mug6
牧	牧	mug6
睦	睦	mug6
梅	梅	mui4
霉	霉	mui4
枚	枚	mui4
酶	酶	mui4
莓	莓	mui4
玫	玫	mui4
煤	煤	mui4
媒	媒	mui4
每	每	mui5
妹	妹	mui6
昧	昧	mui6
捫	扪	mun4
門	门	mun4
們	们	mun4
鞔	鞔	mun4
瞞	瞒	mun4
蟎	螨	mun5
滿	满	mun5
悶	闷	mun6
燜	焖	mun6
矇	蒙	mung4
蒙	蒙	mung4
朦	朦	mung4
檬	檬	mung4
曚	曚	mung4
濛	蒙	mung4
蠓	蠓	mung5
懵	懵	mung5/mung2
夢	梦	mung6
哶	哶	mé1
湄	湄	méi4
麋	麋	méi4
眉	眉	méi4
蘼	蘼	méi4
薇	薇	méi4
嵋	嵋	méi4
楣	楣	méi4
微	微	méi4
靡	靡	méi4
瀰	弥	méi4/néi4
獼	猕	méi4/néi4
美	美	méi5
鎂	镁	méi5
娓	娓	méi5
尾	尾	méi5
媺	媺	méi5
未	未	méi6
味	味	méi6
媚	媚	méi6
寐	寐	méi6
魅	魅	méi6
命	命	méng6
哪	哪	na1
娜	娜	na4
哪	哪	na4
拿	拿	na4
南	南	na4
哪	哪	na5
那	那	na5
吶	呐	nab6
納	纳	nab6
鈉	钠	nab6
衲	衲	nab6
捺	捺	nad6
乃	乃	nai5
氖	氖	nai5
奶	奶	nai5
鼐	鼐	nai5
囡	囡	nam4
喃	喃	nam4
南	南	nam4
楠	楠	nam4
男	男	nam4
腩	腩	nam5
難	难	nan4
赧	赧	nan5
難	难	nan6
孬	孬	nao1
錨	锚	nao4
撓	挠	nao4
猱	猱	nao4
橈	桡	nao4
鐃	铙	nao4
鬧	闹	nao6
淖	淖	nao6
粒	粒	neb1/leb1
泥	泥	nei4
呢	呢	nei4/néi4
稔	稔	nem5
能	能	neng4
狃	狃	neo2
妞	妞	neo2
扭	扭	neo2
鈕	钮	neo2
朽	朽	neo2
紐	纽	neo2
嗯	嗯	ng2
鼯	鼯	ng4
梧	梧	ng4
吾	吾	ng4
吳	吴	ng4
蜈	蜈	ng4
忤	忤	ng5
五	五	ng5
伍	伍	ng5
牾	牾	ng5
午	午	ng5
摀	捂	ng6
悟	悟	ng6
焐	焐	ng6
晤	晤	ng6
誤	误	ng6
嗯	嗯	ng6
牙	牙	nga4
芽	芽	nga4
衙	衙	nga4
雅	雅	nga5
瓦	瓦	nga5
佤	佤	nga5
訝	讶	nga6
額	额	ngag6
崖	崖	ngai4
捱	挨	ngai4
睚	睚	ngai4
厓	厓	ngai4
涯	涯	ngai4
砹	砹	ngai6
艾	艾	ngai6
刈	刈	ngai6
癌	癌	ngam4
岩	岩	ngam4
顏	颜	ngan4
眼	眼	ngan5
雁	雁	ngan6
贗	赝	ngan6
硬	硬	ngang6
餚	肴	ngao4
爻	爻	ngao4
淆	淆	ngao4
咬	咬	ngao5
圪	圪	nged6
兀	兀	nged6
屹	屹	nged6
迄	迄	nged6
杌	杌	nged6
危	危	ngei4
巍	巍	ngei4
猊	猊	ngei4
霓	霓	ngei4
倪	倪	ngei4
蟻	蚁	ngei5
藝	艺	ngei6
睨	睨	ngei6
羿	羿	ngei6
魏	魏	ngei6
詣	诣	ngei6
囈	呓	ngei6
毅	毅	ngei6
偽	伪	ngei6
沂	沂	ngen4
銀	银	ngen4
垠	垠	ngen4
齗	龂	ngen4
齦	龈	ngen4
勾	勾	ngeo1
牛	牛	ngeo4
偶	偶	ngeo5
藕	藕	ngeo5
齧	啮	ngid6/ngad6
蛾	蛾	ngo4
峨	峨	ngo4
鵝	鹅	ngo4
訛	讹	ngo4
莪	莪	ngo4
哦	哦	ngo4
俄	俄	ngo4
娥	娥	ngo4
我	我	ngo5
餓	饿	ngo6
臥	卧	ngo6
岳	岳	ngog6
愕	愕	ngog6
噩	噩	ngog6
顎	颚	ngog6
嶽	岳	ngog6
鱷	鳄	ngog6
鄂	鄂	ngog6
樂	乐	ngog6
呆	呆	ngoi4
礙	碍	ngoi6
外	外	ngoi6
岸	岸	ngon6
犴	犴	ngon6
骯	肮	ngong1/ngong3
盎	盎	ngong3/ngong2
昂	昂	ngong4
澳	澳	ngou3
懊	懊	ngou3
奧	奥	ngou3
襖	袄	ngou3/ngou2
螯	螯	ngou4
驁	骜	ngou4
獒	獒	ngou4
敖	敖	ngou4
鰲	鳌	ngou4
翱	翱	ngou4
熬	熬	ngou4/ngeo4
遨	遨	ngou4/ngou6
傲	傲	ngou6
鎳	镍	nib1
鑷	镊	nib6
涅	涅	nib6
隉	陧	nib6
躡	蹑	nib6
顳	颞	nib6
聶	聂	nib6
捏	捏	nib6
匿	匿	nig1
暱	昵	nig1
溺	溺	nig1/nig6
拈	拈	nim1
黏	黏	nim1/jim1
粘	粘	nim1/jim1
捻	捻	nim2
鯰	鲇	nim4
念	念	nim6
唸	念	nim6
廿	廿	nim6
年	年	nin4
碾	碾	nin5
嚀	咛	ning4
寧	宁	ning4
檸	柠	ning4
獰	狞	ning4
佞	佞	ning6
擰	拧	ning6
濘	泞	ning6
裊	袅	niu5
鳥	鸟	niu5
尿	尿	niu6
溺	溺	niu6
挪	挪	no4
挼	挼	no4
糯	糯	no6
懦	懦	no6
諾	诺	nog6
奈	奈	noi6
耐	耐	noi6
內	内	noi6
饢	馕	nong4
囊	囊	nong4
囔	囔	nong4
瓤	瓤	nong4
饢	馕	nong5
齉	齉	nong6
奴	奴	nou4
腦	脑	nou5
瑙	瑙	nou5
惱	恼	nou5
弩	弩	nou5
努	努	nou5/lou5
怒	怒	nou6
忸	忸	nug6/neo2
濃	浓	nung4
儂	侬	nung4
膿	脓	nung4
農	农	nung4
呢	呢	né1
妮	妮	néi4
怩	怩	néi4
彌	弥	néi4
鈮	铌	néi4
尼	尼	néi4
你	你	néi5
您	您	néi5
妳	你	néi5
旎	旎	néi5
餌	饵	néi6
膩	腻	néi6
訥	讷	nêd6/nab6
娘	娘	nêng4
餒	馁	nêu5
釹	钕	nêu5
女	女	nêu5/lêu5
暖	暖	nün5
嫩	嫩	nün6
阿	阿	o1
珂	珂	o1
柯	柯	o1
噢	噢	o1
軻	轲	o1
喔	喔	o1
婀	婀	o1
哦	哦	o4
哦	哦	o6
噁	恶	og3
堊	垩	og3
惡	恶	og3
哀	哀	oi1
埃	埃	oi1
靉	叆	oi2
毐	毐	oi2
藹	蔼	oi2
曖	暧	oi2
愛	爱	oi3
璦	瑷	oi3
胺	胺	on1
銨	铵	on1
氨	氨	on1
鞍	鞍	on1
安	安	on1
桉	桉	on1
按	按	on3
案	案	on3
摁	摁	on3
媼	媪	ou2
趴	趴	pa1
怕	怕	pa3
耙	耙	pa4
杷	杷	pa4
琶	琶	pa4
爬	爬	pa4
扒	扒	pa4
啪	啪	pag1
帕	帕	pag3
魄	魄	pag3
珀	珀	pag3
拍	拍	pag3
柏	柏	pag3
派	派	pai3
哌	哌	pai3
湃	湃	pai3/bai3
排	排	pai4
俳	俳	pai4
牌	牌	pai4
攀	攀	pan1
扳	扳	pan1
盼	盼	pan3
袢	袢	pan3
澎	澎	pang1
烹	烹	pang1
棚	棚	pang4
膨	膨	pang4
鵬	鹏	pang4
彭	彭	pang4
澎	澎	pang4
硼	硼	pang4
棒	棒	pang5
拋	抛	pao1
脬	脬	pao1
泡	泡	pao1
跑	跑	pao2
泡	泡	pao3
豹	豹	pao3
疱	疱	pao3
炮	炮	pao3
刨	刨	pao4
庖	庖	pao4
匏	匏	pao4
麅	狍	pao4
咆	咆	pao4
匹	匹	ped1
疋	疋	ped1
批	批	pei1
睥	睥	pei5
噴	喷	pen3
嬪	嫔	pen4
頻	频	pen4
貧	贫	pen4
顰	颦	pen4
牝	牝	pen5
朋	朋	peng4
憑	凭	peng4
剖	剖	peo2
抔	抔	peo4
撇	撇	pid3
瞥	瞥	pid3
辟	辟	pig1
僻	僻	pig1
癖	癖	pig1
霹	霹	pig1
闢	辟	pig1
扁	扁	pin1
篇	篇	pin1
偏	偏	pin1
編	编	pin1
翩	翩	pin1
蝙	蝙	pin1/bin1
片	片	pin2
片	片	pin2
騙	骗	pin3
片	片	pin3
遍	遍	pin3
駢	骈	pin4
便	便	pin4
娉	娉	ping1
抨	抨	ping1
砰	砰	ping1
怦	怦	ping1
姘	姘	ping1
拼	拼	ping1/ping3
聘	聘	ping3
萍	萍	ping4
平	平	ping4
坪	坪	ping4
瓶	瓶	ping4
評	评	ping4
屏	屏	ping4
蘋	苹	ping4
縹	缥	piu1
飄	飘	piu1
嘌	嘌	piu1
漂	漂	piu1
票	票	piu3
漂	漂	piu3
剽	剽	piu3/piu5
瓢	瓢	piu4
嫖	嫖	piu4
朴	朴	piu4
瞟	瞟	piu5
鰾	鳔	piu5
頗	颇	po1
坡	坡	po1/bo1
棵	棵	po1/fo2
笸	笸	po2
叵	叵	po2
頗	颇	po2
破	破	po3
婆	婆	po4
鄱	鄱	po4/bo3
噗	噗	pog3
璞	璞	pog3
撲	扑	pog3
釙	钋	pog3
樸	朴	pog3
粕	粕	pog3/pag3
謗	谤	pong3
彷	彷	pong4
龐	庞	pong4
螃	螃	pong4
磅	磅	pong4
滂	滂	pong4
旁	旁	pong4
膀	膀	pong4
蚌	蚌	pong5
鋪	铺	pou1
浦	浦	pou2
普	普	pou2
譜	谱	pou2
溥	溥	pou2
脯	脯	pou2/fu2
舖	铺	pou3
菩	菩	pou4
匍	匍	pou4
袍	袍	pou4
脯	脯	pou4
莆	莆	pou4
葡	葡	pou4
蒲	蒲	pou4
抱	抱	pou5
泡	泡	pou5
潑	泼	pud3
仆	仆	pug1
坯	坯	pui1
胚	胚	pui1
沛	沛	pui3
佩	佩	pui3
珮	珮	pui3
霈	霈	pui3
配	配	pui3
陪	陪	pui4
徘	徘	pui4
培	培	pui4
裴	裴	pui4
賠	赔	pui4
倍	倍	pui5
蓓	蓓	pui5/pui4
番	番	pun1
潘	潘	pun1
判	判	pun3
拚	拚	pun3
盆	盆	pun4
盤	盘	pun4
蟠	蟠	pun4
磐	磐	pun4
槃	槃	pun4
蹣	蹒	pun4/mun4
捧	捧	pung2/bung2
碰	碰	pung3
篷	篷	pung4
芃	芃	pung4
蓬	蓬	pung4/fung4
劈	劈	pég3
呸	呸	péi1
丕	丕	péi1
披	披	péi1
紕	纰	péi1
狉	狉	péi1
痞	痞	péi2
仳	仳	péi2
圮	圮	péi2
鄙	鄙	péi2
吡	吡	péi2
否	否	péi2
濞	濞	péi3
屁	屁	péi3
譬	譬	péi3
媲	媲	péi3/béi2
蜱	蜱	péi4
毗	毗	péi4
邳	邳	péi4
郫	郫	péi4
疲	疲	péi4
貔	貔	péi4
枇	枇	péi4
脾	脾	péi4
琵	琵	péi4
皮	皮	péi4
被	被	péi5
婢	婢	péi5
雌	雌	qi1
嗤	嗤	qi1
癡	痴	qi1
差	差	qi1
哧	哧	qi1
眵	眵	qi1
螭	螭	qi1
蚩	蚩	qi1
笞	笞	qi1
疵	疵	qi1
魑	魑	qi1
跐	跐	qi1
鴟	鸱	qi1
褫	褫	qi2
始	始	qi2
此	此	qi2
齒	齿	qi2
恥	耻	qi2
矢	矢	qi2
豕	豕	qi2
跐	跐	qi2
侈	侈	qi2
次	次	qi3
賜	赐	qi3
幟	帜	qi3
刺	刺	qi3
熾	炽	qi3
廁	厕	qi3
翅	翅	qi3
遲	迟	qi4
臍	脐	qi4
持	持	qi4
糍	糍	qi4
弛	弛	qi4
墀	墀	qi4
池	池	qi4
辭	辞	qi4
磁	磁	qi4
詞	词	qi4
慈	慈	qi4
茌	茌	qi4
篪	篪	qi4
踟	踟	qi4
祠	祠	qi4
瓷	瓷	qi4
匙	匙	qi4
馳	驰	qi4
似	似	qi5
恃	恃	qi5
柿	柿	qi5
妾	妾	qib3
切	切	qid3
設	设	qid3
徹	彻	qid3
轍	辙	qid3
掣	掣	qid3
撤	撤	qid3
澈	澈	qid3
彳	彳	qig1
斥	斥	qig1
戚	戚	qig1
叱	叱	qig1
敕	敕	qig1
簽	签	qim1
籤	签	qim1
殲	歼	qim1
纖	纤	qim1
諂	谄	qim2
塹	堑	qim3
僭	僭	qim3
暹	暹	qim3/qim1
潛	潜	qim4
遷	迁	qin1
千	千	qin1
阡	阡	qin1
仟	仟	qin1
韆	千	qin1
淺	浅	qin2
前	前	qin4
纏	缠	qin4
錢	钱	qin4
踐	践	qin5/jin6
蟶	蛏	qing1
氰	氰	qing1
清	清	qing1
稱	称	qing1
蜻	蜻	qing1
鯖	鲭	qing1
青	青	qing1/céng1
拯	拯	qing2
逞	逞	qing2
騁	骋	qing2
請	请	qing2/céng2
稱	称	qing3
秤	秤	qing3
稱	称	qing3/ceng3
情	情	qing4
懲	惩	qing4
程	程	qing4
晴	晴	qing4
澄	澄	qing4
澂	澂	qing4
埕	埕	qing4
呈	呈	qing4
超	超	qiu1
釗	钊	qiu1
昭	昭	qiu1
鍬	锹	qiu1
悄	悄	qiu2
悄	悄	qiu2/qiu1
峭	峭	qiu3
俏	俏	qiu3
鞘	鞘	qiu3
肖	肖	qiu3
瞧	瞧	qiu4
朝	朝	qiu4
樵	樵	qiu4
憔	憔	qiu4
潮	潮	qiu4
櫥	橱	qu1
躇	躇	qu1
貯	贮	qu2
杵	杵	qu2
處	处	qu3
蹰	蹰	qu4
廚	厨	qu4/cêu4
處	处	qu5
柱	柱	qu5
褚	褚	qu5
佇	伫	qu5
苧	苎	qu5
儲	储	qu5
署	署	qu5
曙	曙	qu5
猝	猝	qud3
踅	踅	qud3
撮	撮	qud3
汆	汆	qun1
川	川	qun1
躥	蹿	qun1
村	村	qun1
穿	穿	qun1
忖	忖	qun2
揣	揣	qun2
喘	喘	qun2
攛	撺	qun2/qun3
竄	窜	qun3
爨	爨	qun3
寸	寸	qun3
串	串	qun3
吋	吋	qun3
傳	传	qun4
醛	醛	qun4
荃	荃	qun4
痊	痊	qun4
全	全	qun4
銓	铨	qun4
存	存	qun4
詮	诠	qun4
筌	筌	qun4
輇	辁	qun4
泉	泉	qun4
莎	莎	sa1
啥	啥	sa1
痧	痧	sa1
沙	沙	sa1
砂	砂	sa1
卅	卅	sa1
裟	裟	sa1
鯊	鲨	sa1
紗	纱	sa1
耍	耍	sa2
灑	洒	sa2
圾	圾	sab3
颯	飒	sab3
殺	杀	sad3
撒	撒	sad3
煞	煞	sad3
剎	刹	sad3
薩	萨	sad3
鎩	铩	sad3
索	索	sag3/sog3
璽	玺	sai2
徙	徙	sai2
曬	晒	sai3
叄	叁	sam1
三	三	sam1
衫	衫	sam1
仨	仨	sam1
三	三	sam3
舢	舢	san1
閂	闩	san1
拴	拴	san1
珊	珊	san1
栓	栓	san1
潸	潸	san1
山	山	san1
跚	跚	san1
姍	姗	san1
刪	删	san1
散	散	san2
涮	涮	san3
傘	伞	san3
疝	疝	san3
散	散	san3
篡	篡	san3
訕	讪	san3
汕	汕	san3
潺	潺	san4
孱	孱	san4
甥	甥	sang1
牲	牲	sang1
省	省	sang2
梢	梢	sao1
捎	捎	sao1
稍	稍	sao2
哨	哨	sao3
濕	湿	seb1
澀	涩	seb1/xig1/gib3
霎	霎	seb3
十	十	seb6
拾	拾	seb6
蝨	虱	sed1
室	室	sed1
失	失	sed1
瑟	瑟	sed1
膝	膝	sed1
實	实	sed6
噻	噻	seg1
塞	塞	seg1
篩	筛	sei1
西	西	sei1
硒	硒	sei1
舾	舾	sei1
嘶	嘶	sei1
犀	犀	sei1
駛	驶	sei2
洗	洗	sei2
使	使	sei2
細	细	sei3
勢	势	sei3
世	世	sei3
婿	婿	sei3
舐	舐	sei5/sei2
誓	誓	sei6
噬	噬	sei6
筮	筮	sei6
逝	逝	sei6
參	参	sem1
深	深	sem1
心	心	sem1
郴	郴	sem1
琛	琛	sem1
芯	芯	sem1
森	森	sem1
沈	沈	sem2
瀋	沈	sem2
嬸	婶	sem2
審	审	sem2
沁	沁	sem3
滲	渗	sem3
岑	岑	sem4
忱	忱	sem4
梣	梣	sem4
涔	涔	sem4
什	什	sem6
甚	甚	sem6
椹	葚	sem6
申	申	sen1
鋅	锌	sen1
辛	辛	sen1
紳	绅	sen1
莘	莘	sen1
身	身	sen1
燊	燊	sen1
薪	薪	sen1
伸	伸	sen1
呻	呻	sen1
娠	娠	sen1
新	新	sen1
砷	砷	sen1
辰	辰	sen4
晨	晨	sen4
臣	臣	sen4
神	神	sen4
腎	肾	sen5
慎	慎	sen6
蜃	蜃	sen6/sen5
笙	笙	seng1
生	生	seng1/sang1
蹭	蹭	seng3
擤	擤	seng3
修	修	seo1
羞	羞	seo1
颼	飕	seo1
螋	螋	seo1
餿	馊	seo1
嗖	嗖	seo1
收	收	seo1
搜	搜	seo1/seo2
首	首	seo2
手	手	seo2
搜	搜	seo2
嗾	嗾	seo2
擻	擞	seo2
守	守	seo2
艘	艘	seo2/seo1
宿	宿	seo3
秀	秀	seo3
狩	狩	seo3
嗽	嗽	seo3
獸	兽	seo3
鏽	锈	seo3
繡	绣	seo3
漱	漱	seo3
瘦	瘦	seo3
琇	琇	seo3
仇	仇	seo4
愁	愁	seo4
綬	绶	seo6
授	授	seo6
售	售	seo6
壽	寿	seo6
受	受	seo6
嗦	嗦	so1
蔬	蔬	so1
疏	疏	so1
蓑	蓑	so1
梭	梭	so1
梳	梳	so1
羧	羧	so1
唆	唆	so1
鎖	锁	so2
所	所	so2
嗩	唢	so2
瑣	琐	so2
傻	傻	so4
朔	朔	sog3
說	说	sog3
索	索	sog3
腮	腮	soi1
鰓	鳃	soi1
桑	桑	song1
喪	丧	song1
嗓	嗓	song2
搡	搡	song2
爽	爽	song2
喪	丧	song3
鬚	须	sou1
騷	骚	sou1
臊	臊	sou1
穌	稣	sou1
酥	酥	sou1
甦	甦	sou1
搔	搔	sou1
囌	苏	sou1
蘇	苏	sou1
數	数	sou2
嫂	嫂	sou2
愫	愫	sou3
數	数	sou3
塑	塑	sou3
臊	臊	sou3
掃	扫	sou3
素	素	sou3
訴	诉	sou3
溯	溯	sou3
夙	夙	sug1
粟	粟	sug1
叔	叔	sug1
肅	肃	sug1
縮	缩	sug1
僳	僳	sug1
鷫	鹔	sug1
蓿	蓿	sug1
宿	宿	sug1
倏	倏	sug1
贖	赎	sug6
熟	熟	sug6
屬	属	sug6
蜀	蜀	sug6
孰	孰	sug6
菽	菽	sug6
塾	塾	sug6
淑	淑	sug6
淞	淞	sung1
從	从	sung1
忪	忪	sung1
鬆	松	sung1
嵩	嵩	sung1
聳	耸	sung2
竦	竦	sung2
慫	怂	sung2
悚	悚	sung2
宋	宋	sung3
送	送	sung3
崇	崇	sung4
些	些	sé1
寫	写	sé2
捨	舍	sé2
瀉	泻	sé3
舍	舍	sé3
猞	猞	sé3
赦	赦	sé3
卸	卸	sé3
蛇	蛇	sé4
畲	畲	sé4
社	社	sé5
射	射	sé6
麝	麝	sé6
錫	锡	ség3
石	石	ség6
碩	硕	ség6
死	死	séi2
四	四	séi3
蟀	蟀	sêd1
恤	恤	sêd1
率	率	sêd1
戌	戌	sêd1
摔	摔	sêd1
術	术	sêd6
述	述	sêd6
沭	沭	sêd6
削	削	sêg3
鑠	铄	sêg3
爍	烁	sêg3
詢	询	sên1
芯	芯	sên1
峋	峋	sên1
殉	殉	sên1
荀	荀	sên1
榫	榫	sên2
筍	笋	sên2
瞬	瞬	sên3
巽	巽	sên3
舜	舜	sên3
迅	迅	sên3
浚	浚	sên3
信	信	sên3
