開放粵語字典（廣州拼音版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［廣州拼音］
鰂	鲗	cag6
賊	贼	cag6
搋	搋	cai1
猜	猜	cai1
釵	钗	cai1
差	差	cai1
揣	揣	cai1
踩	踩	cai2
踹	踹	cai2
蠆	虿	cai3
柴	柴	cai4
儕	侪	cai4
豺	豺	cai4
參	参	cam1
攙	搀	cam1
摻	掺	cam1
慘	惨	cam2
懺	忏	cam3
杉	杉	cam3/sam1
蠶	蚕	cam4
慚	惭	cam4
饞	馋	cam4
讒	谗	cam4
餐	餐	can1
鏟	铲	can2
產	产	can2
璨	璨	can3
燦	灿	can3
殘	残	can4
瞠	瞠	cang1
撐	撑	cang1
橙	橙	cang4/cang2
鋥	锃	cang6
抄	抄	cao1
鈔	钞	cao1
吵	吵	cao2
炒	炒	cao2
肏	肏	cao3
巢	巢	cao4
緝	缉	ceb1
輯	辑	ceb1
葺	葺	ceb1
七	七	ced1
柒	柒	ced1
漆	漆	ced1
測	测	ceg1
惻	恻	ceg1
悽	悽	cei1
淒	凄	cei1
棲	栖	cei1
妻	妻	cei1
切	切	cei3
沏	沏	cei3
砌	砌	cei3
薺	荠	cei4
齊	齐	cei4
侵	侵	cem1
參	参	cem1/cam1
磣	碜	cem2
寢	寝	cem2
讖	谶	cem3/cam3
尋	寻	cem4
鱘	鲟	cem4
蕁	荨	cem4
沉	沉	cem4
瞋	瞋	cen1
親	亲	cen1
嗔	嗔	cen1
哂	哂	cen2
診	诊	cen2
縝	缜	cen2/zen2
襯	衬	cen3
趁	趁	cen3
齔	龀	cen3
塵	尘	cen4
陳	陈	cen4
層	层	ceng4
曾	曾	ceng4
鰍	鳅	ceo1
秋	秋	ceo1
鞦	秋	ceo1
楸	楸	ceo1
抽	抽	ceo1
丑	丑	ceo2
醜	丑	ceo2
嗅	嗅	ceo3
糗	糗	ceo3
湊	凑	ceo3
溴	溴	ceo3
臭	臭	ceo3
綢	绸	ceo4
酬	酬	ceo4
惆	惆	ceo4
疇	畴	ceo4
躊	踌	ceo4
囚	囚	ceo4
籌	筹	ceo4
泅	泅	ceo4
遒	遒	ceo4
儔	俦	ceo4
稠	稠	ceo4
仇	仇	ceo4
芻	刍	co1
雛	雏	co1
磋	磋	co1
搓	搓	co1
初	初	co1
礎	础	co2
楚	楚	co2
銼	锉	co3
錯	错	co3
挫	挫	co3
鋤	锄	co4
坐	坐	co5
錯	错	cog3
綵	彩	coi2
採	采	coi2
睬	睬	coi2
采	采	coi2
彩	彩	coi2
賽	赛	coi3
蔡	蔡	coi3
塞	塞	coi3
菜	菜	coi3
裁	裁	coi4
才	才	coi4
財	财	coi4
材	材	coi4
滄	沧	cong1
傖	伧	cong1
蒼	苍	cong1
創	创	cong1
艙	舱	cong1
倉	仓	cong1
瘡	疮	cong1
敞	敞	cong2
廠	厂	cong2
闖	闯	cong2
氅	氅	cong2
創	创	cong3
床	床	cong4
藏	藏	cong4
操	操	cou1
粗	粗	cou1
草	草	cou2
糙	糙	cou3
措	措	cou3
燥	燥	cou3
噪	噪	cou3
醋	醋	cou3
躁	躁	cou3
操	操	cou3/cou1
漕	漕	cou4
槽	槽	cou4
嘈	嘈	cou4
曹	曹	cou4
搐	搐	cug1
簇	簇	cug1
畜	畜	cug1
蹙	蹙	cug1
齪	龊	cug1
促	促	cug1
速	速	cug1
簌	簌	cug1
矗	矗	cug1
束	束	cug1
蓄	蓄	cug1
蹴	蹴	cug1
亍	亍	cug1
觸	触	cug1/zug1
聰	聪	cung1
衝	冲	cung1
驄	骢	cung1
樅	枞	cung1
充	充	cung1
忡	忡	cung1
蔥	葱	cung1
憧	憧	cung1
囪	囱	cung1
沖	冲	cung1
匆	匆	cung1
涌	涌	cung1
寵	宠	cung2
冢	冢	cung2
叢	丛	cung4
從	从	cung4
蟲	虫	cung4
重	重	cung4
松	松	cung4
琮	琮	cung4
重	重	cung5
奢	奢	cé1
車	车	cé1
且	且	cé2
扯	扯	cé2
輋	輋	cé4
邪	邪	cé4
斜	斜	cé4
尺	尺	cég3
赤	赤	cég3
呎	呎	cég3
齣	出	cêd1
出	出	cêd1
戳	戳	cêg3
綽	绰	cêg3
卓	卓	cêg3
春	春	cên1
蠢	蠢	cên2
馴	驯	cên4
旬	旬	cên4
循	循	cên4
秦	秦	cên4
螓	螓	cên4
巡	巡	cên4
嗪	嗪	cên4
槍	枪	cêng1
鯧	鲳	cêng1
嗆	呛	cêng1
昌	昌	cêng1
窗	窗	cêng1
戧	戗	cêng1
猖	猖	cêng1
鏘	锵	cêng1
倀	伥	cêng1
娼	娼	cêng1
菖	菖	cêng1
搶	抢	cêng2
戧	戗	cêng3
悵	怅	cêng3
倡	倡	cêng3
唱	唱	cêng3
蹌	跄	cêng3
嗆	呛	cêng3
熗	炝	cêng3
暢	畅	cêng3
牆	墙	cêng4
薔	蔷	cêng4
翔	翔	cêng4
腸	肠	cêng4
場	场	cêng4
戕	戕	cêng4
長	长	cêng4
檣	樯	cêng4
祥	祥	cêng4
詳	详	cêng4
摧	摧	cêu1
催	催	cêu1
炊	炊	cêu1
吹	吹	cêu1
崔	崔	cêu1
趨	趋	cêu1
璀	璀	cêu1/cêu2
娶	娶	cêu2
取	取	cêu2
揣	揣	cêu2
翠	翠	cêu3
啐	啐	cêu3
覷	觑	cêu3
脆	脆	cêu3
趣	趣	cêu3
焠	焠	cêu3/sêu6
淬	淬	cêu3/sêu6
除	除	cêu4
捶	捶	cêu4
錘	锤	cêu4
蜍	蜍	cêu4
槌	槌	cêu4
徐	徐	cêu4
隨	随	cêu4
滁	滁	cêu4
隋	隋	cêu4
打	打	da2
搭	搭	dab3
耷	耷	dab3
答	答	dab3
瘩	瘩	dab3
沓	沓	dab6
踏	踏	dab6
蹋	蹋	dab6
靼	靼	dad3
妲	妲	dad3/tan2
達	达	dad6
繨	繨	dad6
噠	哒	dad6
呆	呆	dai1
歹	歹	dai2
戴	戴	dai3
帶	带	dai3
大	大	dai6
儋	儋	dam1
擔	担	dam1
耽	耽	dam1
聃	聃	dam1
眈	眈	dam1
膽	胆	dam2
澹	澹	dam6
淡	淡	dam6
氮	氮	dam6
淡	淡	dam6/tam5
殫	殚	dan1
單	单	dan1
鄲	郸	dan1
丹	丹	dan1
彈	弹	dan2
誕	诞	dan3
旦	旦	dan3
撣	掸	dan5
撢	掸	dan5
疍	疍	dan6
彈	弹	dan6
蛋	蛋	dan6
但	但	dan6
憚	惮	dan6
突	突	ded6
凸	凸	ded6
德	德	deg1
得	得	deg1
特	特	deg6
低	低	dei1
骶	骶	dei2
底	底	dei2
邸	邸	dei2
抵	抵	dei2
柢	柢	dei2
詆	诋	dei2
締	缔	dei3
諦	谛	dei3
帝	帝	dei3
碲	碲	dei3
蒂	蒂	dei3
棣	棣	dei6
第	第	dei6
隸	隶	dei6
悌	悌	dei6
弟	弟	dei6
遞	递	dei6
逮	逮	dei6/doi6
墩	墩	den2
燉	炖	den6
燈	灯	deng1
蹬	蹬	deng1
噔	噔	deng1
登	登	deng1
等	等	deng2
凳	凳	deng3
鐙	镫	deng3
磴	磴	deng3
鄧	邓	deng6
瞪	瞪	deng6/deng1
兜	兜	deo1
蚪	蚪	deo2
陡	陡	deo2
斗	斗	deo2
抖	抖	deo2
鬥	斗	deo3
逗	逗	deo6
竇	窦	deo6
痘	痘	deo6
豆	豆	deo6/deo2
疊	叠	dib6
蝶	蝶	dib6
喋	喋	dib6
牒	牒	dib6
鰈	鲽	dib6
諜	谍	dib6
碟	碟	dib6
跌	跌	did3
秩	秩	did6
耋	耋	did6
迭	迭	did6
嫡	嫡	dig1
的	的	dig1
滴	滴	dig1
敵	敌	dig6
翟	翟	dig6
迪	迪	dig6
滌	涤	dig6
狄	狄	dig6
掂	掂	dim1
點	点	dim2
店	店	dim3
玷	玷	dim3
踮	踮	dim3
惦	惦	dim3
顛	颠	din1
碘	碘	din1
巔	巅	din1
癲	癫	din1
典	典	din2
墊	垫	din2
碘	碘	din2
墊	垫	din3
佃	佃	din6
墊	垫	din6
甸	甸	din6
殿	殿	din6
靛	靛	din6
澱	淀	din6
電	电	din6
奠	奠	din6
汀	汀	ding1
丁	丁	ding1
仃	仃	ding1
町	町	ding1
釘	钉	ding1/déng1
盯	盯	ding1/déng1
叮	叮	ding1/déng1
酊	酊	ding2
鼎	鼎	ding2
頂	顶	ding2
碇	碇	ding3
錠	锭	ding3/ding6
訂	订	ding3/ding6
啶	啶	ding6
定	定	ding6
丟	丢	diu1
貂	貂	diu1
叼	叼	diu1
鯛	鲷	diu1
凋	凋	diu1
碉	碉	diu1
刁	刁	diu1
雕	雕	diu1
屌	屌	diu2
弔	吊	diu3
吊	吊	diu3
釣	钓	diu3
調	调	diu6
掉	掉	diu6
多	多	do1
哆	哆	do1
躲	躲	do2
跺	跺	do2
朵	朵	do2/dê2
剁	剁	do2/dêg3
惰	惰	do6
馱	驮	do6
墮	堕	do6
踱	踱	dog6
鐸	铎	dog6
度	度	dog6
待	待	doi6
袋	袋	doi6
玳	玳	doi6
黛	黛	doi6
代	代	doi6
靆	叇	doi6
甙	甙	doi6
岱	岱	doi6
怠	怠	doi6/toi5
殆	殆	doi6/toi5
當	当	dong1
鐺	铛	dong1
襠	裆	dong1
噹	当	dong1
黨	党	dong2
擋	挡	dong2
當	当	dong3
檔	档	dong3
菪	菪	dong6
蕩	荡	dong6
盪	荡	dong6
碭	砀	dong6
宕	宕	dong6
都	都	dou1
嘟	嘟	dou1
叨	叨	dou1
刀	刀	dou1
睹	睹	dou2
倒	倒	dou2
島	岛	dou2
搗	捣	dou2
堵	堵	dou2
賭	赌	dou2
妒	妒	dou3
倒	倒	dou3
蠹	蠹	dou3
到	到	dou3
稻	稻	dou6
盜	盗	dou6
杜	杜	dou6
導	导	dou6
蹈	蹈	dou6
度	度	dou6
渡	渡	dou6
道	道	dou6
鍍	镀	dou6
悼	悼	dou6
篤	笃	dug1
督	督	dug1
髑	髑	dug6
犢	犊	dug6
毒	毒	dug6
瀆	渎	dug6
黷	黩	dug6
牘	牍	dug6
獨	独	dug6
櫝	椟	dug6
碡	碡	dug6
讀	读	dug6
咚	咚	dung1
冬	冬	dung1
氡	氡	dung1
東	东	dung1
踵	踵	dung2
懂	懂	dung2
董	董	dung2
棟	栋	dung3
凍	冻	dung3
