开放粤语字典（刘锡祥版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［刘锡祥拼音］
仆	僕	buk6
瀑	瀑	buk6
蹼	蹼	buk6
濮	濮	buk6
甭	甭	bung3
差	差	cha1
叉	叉	cha1
岔	岔	cha3
杈	杈	cha3
诧	詫	cha3
衩	衩	cha3
姹	姹	cha3
碴	碴	cha4
垞	垞	cha4
查	查	cha4
茶	茶	cha4
搽	搽	cha4
槎	槎	cha4
茬	茬	cha4
猜	猜	chaai1
钗	釵	chaai1
差	差	chaai1
搋	搋	chaai1
揣	揣	chaai1
踩	踩	chaai2
踹	踹	chaai2
虿	蠆	chaai3
柴	柴	chaai4
侪	儕	chaai4
豺	豺	chaai4
拆	拆	chaak3
册	冊	chaak3
栅	柵	chaak3
策	策	chaak3
鲗	鰂	chaak6
贼	賊	chaak6
搀	攙	chaam1
掺	摻	chaam1
参	參	chaam1
惨	慘	chaam2
忏	懺	chaam3
杉	杉	chaam3/saam1
惭	慚	chaam4
谗	讒	chaam4
馋	饞	chaam4
蚕	蠶	chaam4
餐	餐	chaan1
产	產	chaan2
铲	鏟	chaan2
灿	燦	chaan3
璨	璨	chaan3
残	殘	chaan4
撑	撐	chaang1
瞠	瞠	chaang1
橙	橙	chaang4/chaang2
锃	鋥	chaang6
锸	鍤	chaap3
插	插	chaap3
刷	刷	chaat3
獭	獺	chaat3
察	察	chaat3
擦	擦	chaat3
刹	剎	chaat3/saat3
钞	鈔	chaau1
抄	抄	chaau1
炒	炒	chaau2
吵	吵	chaau2
肏	肏	chaau3
巢	巢	chaau4
凄	淒	chai1
妻	妻	chai1
悽	悽	chai1
栖	棲	chai1
沏	沏	chai3
切	切	chai3
砌	砌	chai3
荠	薺	chai4
齐	齊	chai4
测	測	chak1
恻	惻	chak1
侵	侵	cham1
参	參	cham1/chaam1
碜	磣	cham2
寝	寢	cham2
谶	讖	cham3/chaam3
荨	蕁	cham4
沉	沉	cham4
寻	尋	cham4
鲟	鱘	cham4
嗔	嗔	chan1
瞋	瞋	chan1
亲	親	chan1
哂	哂	chan2
诊	診	chan2
缜	縝	chan2/jan2
趁	趁	chan3
龀	齔	chan3
衬	襯	chan3
尘	塵	chan4
陈	陳	chan4
曾	曾	chang4
层	層	chang4
缉	緝	chap1
辑	輯	chap1
葺	葺	chap1
漆	漆	chat1
七	七	chat1
柒	柒	chat1
抽	抽	chau1
鳅	鰍	chau1
秋	秋	chau1
楸	楸	chau1
秋	鞦	chau1
丑	醜	chau2
丑	丑	chau2
嗅	嗅	chau3
糗	糗	chau3
凑	湊	chau3
溴	溴	chau3
臭	臭	chau3
惆	惆	chau4
绸	綢	chau4
酬	酬	chau4
畴	疇	chau4
踌	躊	chau4
囚	囚	chau4
筹	籌	chau4
泅	泅	chau4
仇	仇	chau4
俦	儔	chau4
遒	遒	chau4
稠	稠	chau4
车	車	che1
奢	奢	che1
扯	扯	che2
且	且	che2
邪	邪	che4
輋	輋	che4
斜	斜	che4
赤	赤	chek3
呎	呎	chek3
尺	尺	chek3
绰	綽	cheuk3
卓	卓	cheuk3
戳	戳	cheuk3
菖	菖	cheung1
枪	槍	cheung1
鲳	鯧	cheung1
呛	嗆	cheung1
昌	昌	cheung1
戗	戧	cheung1
猖	猖	cheung1
伥	倀	cheung1
锵	鏘	cheung1
窗	窗	cheung1
娼	娼	cheung1
抢	搶	cheung2
跄	蹌	cheung3
唱	唱	cheung3
呛	嗆	cheung3
怅	悵	cheung3
倡	倡	cheung3
炝	熗	cheung3
戗	戧	cheung3
畅	暢	cheung3
翔	翔	cheung4
蔷	薔	cheung4
墙	牆	cheung4
祥	祥	cheung4
场	場	cheung4
戕	戕	cheung4
长	長	cheung4
樯	檣	cheung4
详	詳	cheung4
肠	腸	cheung4
差	差	chi1
眵	眵	chi1
雌	雌	chi1
鸱	鴟	chi1
跐	跐	chi1
魑	魑	chi1
疵	疵	chi1
嗤	嗤	chi1
痴	癡	chi1
螭	螭	chi1
哧	哧	chi1
蚩	蚩	chi1
笞	笞	chi1
矢	矢	chi2
跐	跐	chi2
豕	豕	chi2
褫	褫	chi2
侈	侈	chi2
此	此	chi2
耻	恥	chi2
始	始	chi2
齿	齒	chi2
赐	賜	chi3
帜	幟	chi3
炽	熾	chi3
刺	刺	chi3
翅	翅	chi3
厕	廁	chi3
次	次	chi3
磁	磁	chi4
词	詞	chi4
辞	辭	chi4
池	池	chi4
墀	墀	chi4
慈	慈	chi4
驰	馳	chi4
篪	篪	chi4
祠	祠	chi4
瓷	瓷	chi4
弛	弛	chi4
糍	糍	chi4
踟	踟	chi4
茌	茌	chi4
脐	臍	chi4
持	持	chi4
匙	匙	chi4
迟	遲	chi4
恃	恃	chi5
柿	柿	chi5
似	似	chi5
斥	斥	chik1
戚	戚	chik1
叱	叱	chik1
彳	彳	chik1
敕	敕	chik1
签	籤	chim1
纤	纖	chim1
歼	殲	chim1
签	簽	chim1
谄	諂	chim2
堑	塹	chim3
僭	僭	chim3
暹	暹	chim3/chim1
潜	潛	chim4
迁	遷	chin1
阡	阡	chin1
仟	仟	chin1
千	韆	chin1
千	千	chin1
浅	淺	chin2
前	前	chin4
缠	纏	chin4
钱	錢	chin4
践	踐	chin5/jin6
蛏	蟶	ching1
氰	氰	ching1
清	清	ching1
鲭	鯖	ching1
称	稱	ching1
蜻	蜻	ching1
青	青	ching1/cheng1
逞	逞	ching2
拯	拯	ching2
骋	騁	ching2
请	請	ching2/cheng2
称	稱	ching3
秤	秤	ching3
称	稱	ching3/chang3
情	情	ching4
惩	懲	ching4
程	程	ching4
澄	澄	ching4
呈	呈	ching4
晴	晴	ching4
澂	澂	ching4
埕	埕	ching4
妾	妾	chip3
辙	轍	chit3
澈	澈	chit3
设	設	chit3
切	切	chit3
彻	徹	chit3
掣	掣	chit3
撤	撤	chit3
钊	釗	chiu1
昭	昭	chiu1
锹	鍬	chiu1
超	超	chiu1
悄	悄	chiu2
悄	悄	chiu2/chiu1
肖	肖	chiu3
峭	峭	chiu3
俏	俏	chiu3
鞘	鞘	chiu3
朝	朝	chiu4
樵	樵	chiu4
憔	憔	chiu4
潮	潮	chiu4
瞧	瞧	chiu4
粗	粗	cho1
操	操	cho1
草	草	cho2
醋	醋	cho3
糙	糙	cho3
措	措	cho3
燥	燥	cho3
噪	噪	cho3
躁	躁	cho3
操	操	cho3/cho1
曹	曹	cho4
嘈	嘈	cho4
漕	漕	cho4
槽	槽	cho4
初	初	choh1
雏	雛	choh1
搓	搓	choh1
磋	磋	choh1
刍	芻	choh1
楚	楚	choh2
础	礎	choh2
锉	銼	choh3
错	錯	choh3
挫	挫	choh3
锄	鋤	choh4
坐	坐	choh5
睬	睬	choi2
采	採	choi2
彩	彩	choi2
彩	綵	choi2
采	采	choi2
菜	菜	choi3
赛	賽	choi3
蔡	蔡	choi3
塞	塞	choi3
裁	裁	choi4
材	材	choi4
财	財	choi4
才	才	choi4
错	錯	chok3
沧	滄	chong1
伧	傖	chong1
创	創	chong1
仓	倉	chong1
舱	艙	chong1
疮	瘡	chong1
苍	蒼	chong1
敞	敞	chong2
厂	廠	chong2
闯	闖	chong2
氅	氅	chong2
创	創	chong3
藏	藏	chong4
床	床	chong4
橱	櫥	chue1
躇	躇	chue1
杵	杵	chue2
贮	貯	chue2
处	處	chue3
蹰	蹰	chue4
厨	廚	chue4/chui4
柱	柱	chue5
署	署	chue5
苎	苧	chue5
储	儲	chue5
伫	佇	chue5
曙	曙	chue5
褚	褚	chue5
处	處	chue5
汆	汆	chuen1
川	川	chuen1
村	村	chuen1
蹿	躥	chuen1
穿	穿	chuen1
揣	揣	chuen2
喘	喘	chuen2
忖	忖	chuen2
撺	攛	chuen2/chuen3
串	串	chuen3
爨	爨	chuen3
吋	吋	chuen3
寸	寸	chuen3
窜	竄	chuen3
醛	醛	chuen4
痊	痊	chuen4
全	全	chuen4
传	傳	chuen4
荃	荃	chuen4
辁	輇	chuen4
筌	筌	chuen4
铨	銓	chuen4
存	存	chuen4
诠	詮	chuen4
泉	泉	chuen4
踅	踅	chuet3
猝	猝	chuet3
撮	撮	chuet3
摧	摧	chui1
炊	炊	chui1
趋	趨	chui1
崔	崔	chui1
吹	吹	chui1
催	催	chui1
璀	璀	chui1/chui2
揣	揣	chui2
取	取	chui2
娶	娶	chui2
翠	翠	chui3
脆	脆	chui3
啐	啐	chui3
趣	趣	chui3
觑	覷	chui3
焠	焠	chui3/sui6
淬	淬	chui3/sui6
蜍	蜍	chui4
隋	隋	chui4
锤	錘	chui4
捶	捶	chui4
徐	徐	chui4
随	隨	chui4
滁	滁	chui4
槌	槌	chui4
除	除	chui4
簇	簇	chuk1
蓄	蓄	chuk1
蹙	蹙	chuk1
矗	矗	chuk1
束	束	chuk1
搐	搐	chuk1
畜	畜	chuk1
亍	亍	chuk1
速	速	chuk1
簌	簌	chuk1
蹴	蹴	chuk1
龊	齪	chuk1
促	促	chuk1
触	觸	chuk1/juk1
春	春	chun1
蠢	蠢	chun2
秦	秦	chun4
嗪	嗪	chun4
巡	巡	chun4
螓	螓	chun4
循	循	chun4
旬	旬	chun4
驯	馴	chun4
匆	匆	chung1
忡	忡	chung1
骢	驄	chung1
冲	衝	chung1
充	充	chung1
冲	沖	chung1
囱	囪	chung1
憧	憧	chung1
枞	樅	chung1
涌	涌	chung1
葱	蔥	chung1
聪	聰	chung1
宠	寵	chung2
冢	冢	chung2
重	重	chung4
丛	叢	chung4
从	從	chung4
松	松	chung4
琮	琮	chung4
虫	蟲	chung4
重	重	chung5
出	出	chut1
出	齣	chut1
打	打	da2
呆	呆	daai1
歹	歹	daai2
戴	戴	daai3
带	帶	daai3
大	大	daai6
儋	儋	daam1
眈	眈	daam1
担	擔	daam1
聃	聃	daam1
耽	耽	daam1
胆	膽	daam2
淡	淡	daam6
澹	澹	daam6
氮	氮	daam6
淡	淡	daam6/taam5
丹	丹	daan1
单	單	daan1
殚	殫	daan1
郸	鄲	daan1
弹	彈	daan2
诞	誕	daan3
旦	旦	daan3
掸	撣	daan5
掸	撢	daan5
但	但	daan6
蛋	蛋	daan6
惮	憚	daan6
疍	疍	daan6
弹	彈	daan6
瘩	瘩	daap3
搭	搭	daap3
耷	耷	daap3
答	答	daap3
蹋	蹋	daap6
沓	沓	daap6
踏	踏	daap6
靼	靼	daat3
妲	妲	daat3/taan2
繨	繨	daat6
达	達	daat6
哒	噠	daat6
低	低	dai1
柢	柢	dai2
底	底	dai2
骶	骶	dai2
诋	詆	dai2
邸	邸	dai2
抵	抵	dai2
帝	帝	dai3
蒂	蒂	dai3
缔	締	dai3
碲	碲	dai3
谛	諦	dai3
悌	悌	dai6
棣	棣	dai6
弟	弟	dai6
第	第	dai6
递	遞	dai6
隶	隸	dai6
逮	逮	dai6/doi6
得	得	dak1
德	德	dak1
特	特	dak6
墩	墩	dan2
炖	燉	dan6
蹬	蹬	dang1
登	登	dang1
噔	噔	dang1
灯	燈	dang1
等	等	dang2
镫	鐙	dang3
磴	磴	dang3
凳	凳	dang3
邓	鄧	dang6
