开放粤语字典（刘锡祥版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［刘锡祥拼音］
监	監	gaam1
尴	尷	gaam1/gaam3
减	減	gaam2
鉴	鑑	gaam3
监	監	gaam3
间	間	gaan1
奸	姦	gaan1
艰	艱	gaan1
奸	奸	gaan1
拣	揀	gaan2
简	簡	gaan2
柬	柬	gaan2
锏	鐧	gaan2
碱	鹼	gaan2
茧	繭	gaan2
谏	諫	gaan3
涧	澗	gaan3
间	間	gaan3
更	更	gaang1
耕	耕	gaang1
饸	餄	gaap3
颊	頰	gaap3
甲	甲	gaap3
钾	鉀	gaap3
荚	莢	gaap3
夹	夾	gaap3
胛	胛	gaap3
郏	郟	gaap3
蛱	蛺	gaap3
岬	岬	gaap3
袷	袷	gaap3
轧	軋	gaat3
茭	茭	gaau1
郊	郊	gaau1
蛟	蛟	gaau1
交	交	gaau1
跤	跤	gaau1
胶	膠	gaau1
佼	佼	gaau2
铰	鉸	gaau2
绞	絞	gaau2
搅	攪	gaau2
皎	皎	gaau2
狡	狡	gaau2
饺	餃	gaau2
姣	姣	gaau2
搞	搞	gaau2
铰	鉸	gaau3
窖	窖	gaau3
觉	覺	gaau3
教	教	gaau3
校	校	gaau3
较	較	gaau3
酵	酵	gaau3/haau1
鸡	雞	gai1
蓟	薊	gai3
髻	髻	gai3
继	繼	gai3
计	計	gai3
柑	柑	gam1
今	今	gam1
甘	甘	gam1
苷	苷	gam1
金	金	gam1
泔	泔	gam1
禁	禁	gam1
敢	敢	gam2
橄	橄	gam2
锦	錦	gam2
感	感	gam2
禁	禁	gam3
赣	贛	gam3
噤	噤	gam3
淦	淦	gam3
跟	跟	gan1
根	根	gan1
巾	巾	gan1
斤	斤	gan1
哏	哏	gan1
筋	筋	gan1
紧	緊	gan2
谨	謹	gan2
仅	僅	gan2
馑	饉	gan2
瑾	瑾	gan2
堇	堇	gan2
艮	艮	gan3
靳	靳	gan3
觐	覲	gan3/gan2
近	近	gan6
更	更	gang1
羹	羹	gang1
庚	庚	gang1
耿	耿	gang2
亘	亙	gang2
埂	埂	gang2
哽	哽	gang2
梗	梗	gang2
鲠	鯁	gang2/kang2
更	更	gang3
急	急	gap1
蛤	蛤	gap3
鸽	鴿	gap3
吉	吉	gat1
讫	訖	gat1
桔	桔	gat1
纥	紇	gat1
嘎	嘎	gat3
疙	疙	gat6
钩	鉤	gau1
佝	佝	gau1
阄	鬮	gau1
鸠	鳩	gau1/kau1
枸	枸	gau2
苟	苟	gau2
狗	狗	gau2
久	久	gau2
九	九	gau2
玖	玖	gau2
韭	韭	gau2
纠	糾	gau2/dau2
疚	疚	gau3
咎	咎	gau3
柩	柩	gau3
究	究	gau3
灸	灸	gau3
救	救	gau3
诟	詬	gau3
垢	垢	gau3
厩	廄	gau3
够	夠	gau3
旧	舊	gau6
基	基	gei1
乩	乩	gei1
箕	箕	gei1
奇	奇	gei1
肌	肌	gei1
畸	畸	gei1
姬	姬	gei1
犄	犄	gei1
矶	磯	gei1
讥	譏	gei1
叽	嘰	gei1
羁	覊	gei1
几	几	gei1
畿	畿	gei1
玑	璣	gei1
饥	飢	gei1
几	幾	gei1
机	機	gei1
几	幾	gei2
己	己	gei2
杞	杞	gei2
纪	紀	gei2
纪	紀	gei3
寄	寄	gei3
既	既	gei3
记	記	gei3
觊	覬	gei3
妓	妓	gei6
技	技	gei6
伎	伎	gei6
芰	芰	gei6
忌	忌	gei6
惊	驚	geng1
颈	頸	geng2
镜	鏡	geng3
脚	腳	geuk3
僵	殭	geung1
羌	羌	geung1
疆	疆	geung1
蜣	蜣	geung1
姜	薑	geung1
缰	韁	geung1
姜	姜	geung1
僵	僵	geung1
强	強	geung6
击	擊	gik1
激	激	gik1
棘	棘	gik1
殛	殛	gik1
亟	亟	gik1
戟	戟	gik1
极	極	gik6
搛	搛	gim1
兼	兼	gim1
鹣	鶼	gim1
睑	瞼	gim2
检	檢	gim2
捡	撿	gim2
剑	劍	gim3
俭	儉	gim6
犍	犍	gin1
坚	堅	gin1
肩	肩	gin1
建	建	gin3
腱	腱	gin3
见	見	gin3
键	鍵	gin6
件	件	gin6
健	健	gin6
惊	驚	ging1
荆	荊	ging1
兢	兢	ging1
泾	涇	ging1
经	經	ging1
矜	矜	ging1
京	京	ging1
景	景	ging2
境	境	ging2
警	警	ging2
竟	竟	ging2
儆	儆	ging2
憬	憬	ging2
璟	璟	ging2
敬	敬	ging3
径	徑	ging3
劲	勁	ging3
径	逕	ging3
竞	競	ging6
劲	勁	ging6
痉	痙	ging6
劫	劫	gip3
洁	潔	git3
拮	拮	git3
结	結	git3
桀	桀	git6
杰	傑	git6
骄	驕	giu1
娇	嬌	giu1
缴	繳	giu2
矫	矯	giu2
叫	叫	giu3
轿	轎	giu6
撬	撬	giu6
皋	皋	go1
羔	羔	go1
睾	睾	go1
糕	糕	go1
高	高	go1
膏	膏	go1
镐	鎬	go2
杲	杲	go2
藁	藁	go2
槁	槁	go2
稿	稿	go2
缟	縞	go2
郜	郜	go3
告	告	go3
锆	鋯	go3
诰	誥	go6
歌	歌	goh1
哥	哥	goh1
仡	仡	goh1
旮	旮	goh1/gok3
菏	菏	goh1/hoh4
个	個	goh3
该	該	goi1
赅	賅	goi1
改	改	goi2
盖	蓋	goi3
咯	咯	gok1
觉	覺	gok3
阁	閣	gok3
搁	擱	gok3
各	各	gok3
角	角	gok3
干	干	gon1
竿	竿	gon1
肝	肝	gon1
杆	杆	gon1
干	乾	gon1
赶	趕	gon2
杆	桿	gon2
擀	擀	gon2
干	幹	gon3
冈	岡	gong1
纲	綱	gong1
岗	崗	gong1
刚	剛	gong1
缸	缸	gong1
江	江	gong1
肛	肛	gong1
罡	罡	gong1
港	港	gong2
讲	講	gong2
钢	鋼	gong3
降	降	gong3
杠	槓	gong3
绛	絳	gong3
轱	軲	goo1
觚	觚	goo1
菇	菇	goo1
辜	辜	goo1
孤	孤	goo1
咕	咕	goo1
姑	姑	goo1
沽	沽	goo1
蛄	蛄	goo1
钴	鈷	goo2
鼓	鼓	goo2
股	股	goo2
牯	牯	goo2
贾	賈	goo2
古	古	goo2
估	估	goo2
蛊	蠱	goo2
雇	僱	goo3
锢	錮	goo3
顾	顧	goo3
故	故	goo3
固	固	goo3
倌	倌	goon1
莞	莞	goon1
观	觀	goon1
棺	棺	goon1
冠	冠	goon1
官	官	goon1
脘	脘	goon2
馆	館	goon2
管	管	goon2
莞	莞	goon2
贯	貫	goon3
灌	灌	goon3
罐	罐	goon3
盥	盥	goon3
鹳	鸛	goon3
冠	冠	goon3
葛	葛	got3
割	割	got3
蠲	蠲	guen1
涓	涓	guen1
捐	捐	guen1
娟	娟	guen1
鹃	鵑	guen1
卷	卷	guen2
卷	捲	guen2
券	券	guen3
鄄	鄄	guen3
眷	眷	guen3
绢	絹	guen3
倦	倦	guen6
据	据	gui1
居	居	gui1
矩	矩	gui2
榉	櫸	gui2
蒟	蒟	gui2
龋	齲	gui2
举	舉	gui2
莒	莒	gui2
据	據	gui3
踞	踞	gui3
句	句	gui3
锯	鋸	gui3/geuh3
遽	遽	gui6
炬	炬	gui6
巨	鉅	gui6
惧	懼	gui6
巨	巨	gui6
具	具	gui6
飓	颶	gui6
讵	詎	gui6
苣	苣	gui6
谷	穀	guk1
毂	轂	guk1
鹄	鵠	guk1
谷	谷	guk1
鞠	鞠	guk1
掬	掬	guk1
梏	梏	guk1
嚳	嚳	guk1
菊	菊	guk1
局	局	guk6
焗	焗	guk6
锔	鋦	guk6
攻	攻	gung1
工	工	gung1
功	功	gung1
宫	宮	gung1
公	公	gung1
躬	躬	gung1
龚	龔	gung1
弓	弓	gung1
供	供	gung1
蚣	蚣	gung1
恭	恭	gung1
珙	珙	gung2
巩	鞏	gung2
拱	拱	gung2
供	供	gung3
贡	貢	gung3
共	共	gung6
瓜	瓜	gwa1
呱	呱	gwa1
寡	寡	gwa2
褂	褂	gwa3
卦	卦	gwa3
挂	掛	gwa3
乖	乖	gwaai1
柺	柺	gwaai2
蒯	蒯	gwaai2
拐	拐	gwaai2
怪	怪	gwaai3
掴	摑	gwaak3
鳏	鰥	gwaan1
关	關	gwaan1
掼	摜	gwaan3
惯	慣	gwaan3
刮	刮	gwaat3
刮	颳	gwaat3
鲑	鮭	gwai1
龟	龜	gwai1
皈	皈	gwai1
硅	硅	gwai1
圭	圭	gwai1
归	歸	gwai1
瑰	瑰	gwai1
闺	閨	gwai1
鬼	鬼	gwai2
轨	軌	gwai2
诡	詭	gwai2
晷	晷	gwai2
桂	桂	gwai3
癸	癸	gwai3
瑰	瑰	gwai3
贵	貴	gwai3
季	季	gwai3
悸	悸	gwai3
柜	櫃	gwai6
跪	跪	gwai6
篑	簣	gwai6
馈	饋	gwai6
均	均	gwan1
鋆	鋆	gwan1
纶	綸	gwan1
鲲	鯤	gwan1
筠	筠	gwan1
锟	錕	gwan1
钧	鈞	gwan1
军	軍	gwan1
君	君	gwan1
滚	滾	gwan2
棍	棍	gwan3
珺	珺	gwan6
郡	郡	gwan6
肱	肱	gwang1
訇	訇	gwang1
轰	轟	gwang1
薨	薨	gwang1
骨	骨	gwat1
橘	橘	gwat1
掘	掘	gwat6
崛	崛	gwat6
倔	倔	gwat6
虢	虢	gwik1
隙	隙	gwik1/kwing1
迥	迥	gwing2
炯	炯	gwing2
戈	戈	gwoh1
裹	裹	gwoh2
果	果	gwoh2
过	過	gwoh3
郭	郭	gwok3
腘	膕	gwok3
国	國	gwok3
帼	幗	gwok3
廓	廓	gwok3/kwok3
光	光	gwong1
桄	桄	gwong1
胱	胱	gwong1
犷	獷	gwong2
诳	誑	gwong2
广	廣	gwong2
桄	桄	gwong3
虾	蝦	ha1
哈	哈	ha1
瑕	瑕	ha4
蛤	蛤	ha4
霞	霞	ha4
遐	遐	ha4
夏	夏	ha6
暇	暇	ha6
下	下	ha6
厦	廈	ha6
揩	揩	haai1
嗨	嗨	haai1
谐	諧	haai4
骸	骸	haai4
鞋	鞋	haai4
孩	孩	haai4
骇	駭	haai5
蟹	蟹	haai5
獬	獬	haai5
械	械	haai6
懈	懈	haai6
解	解	haai6
邂	邂	haai6/haai5
赫	赫	haak1
客	客	haak3
吓	嚇	haak3
喊	喊	haam3
咸	鹹	haam4
函	函	haam4
咸	咸	haam4
衔	銜	haam4
涵	涵	haam4
槛	檻	haam5
馅	餡	haam6
陷	陷	haam6
闲	閒	haan4
痫	癇	haan4
娴	嫺	haan4
限	限	haan6
坑	坑	haang1
夯	夯	haang1
行	行	haang4
嗑	嗑	haap3
掐	掐	haap3
呷	呷	haap3
柙	柙	haap6
箧	篋	haap6
狎	狎	haap6
峡	峽	haap6
匣	匣	haap6
狭	狹	haap6/haap3
侠	俠	haap6/hap6
哮	哮	haau1
敲	敲	haau1
烤	烤	haau1/haau2
考	考	haau2
巧	巧	haau2
拷	拷	haau2
孝	孝	haau3
校	校	haau6
効	効	haau6
傚	傚	haau6
效	效	haau6
兮	兮	hai4
鼷	鼷	hai4
奚	奚	hai4
系	繫	hai6
系	系	hai6
系	係	hai6
可	可	hak1
黑	黑	hak1
克	克	hak1
克	剋	hak1
刻	刻	hak1
氪	氪	hak1
勘	勘	ham1
龛	龕	ham1
戡	戡	ham1
堪	堪	ham1
蚶	蚶	ham1
憨	憨	ham1
坎	坎	ham2
砍	砍	ham2
磡	磡	ham3
勘	勘	ham3
瞰	瞰	ham3
崁	崁	ham3
嵌	嵌	ham3/ham6
酣	酣	ham4
晗	晗	ham4
含	含	ham4
颔	頷	ham5
撼	撼	ham6
憾	憾	ham6
很	很	han2
恳	懇	han2
垦	墾	han2
狠	狠	han2
痕	痕	han4
恨	恨	han6
铿	鏗	hang1
哼	哼	hang1
亨	亨	hang1
茎	莖	hang1/ging3
啃	啃	hang2
肯	肯	hang2
恒	恆	hang4
衡	衡	hang4
行	行	hang4
桁	桁	hang4
杏	杏	hang6
幸	幸	hang6
悻	悻	hang6
行	行	hang6
幸	倖	hang6
洽	洽	hap1
恰	恰	hap1
合	合	hap6
磕	磕	hap6
阖	闔	hap6
颌	頜	hap6
盒	盒	hap6
瞌	瞌	hap6
乞	乞	hat1
檄	檄	hat6
阂	閡	hat6
劾	劾	hat6
辖	轄	hat6
瞎	瞎	hat6
纥	紇	hat6
龁	齕	hat6
核	核	hat6/wat6
齁	齁	hau1
口	口	hau2
吼	吼	hau3
喉	喉	hau4
侯	侯	hau4
篌	篌	hau4
瘊	瘊	hau4
猴	猴	hau4
厚	厚	hau5
后	後	hau6
逅	逅	hau6
鲎	鱟	hau6
候	候	hau6
后	后	hau6
烯	烯	hei1
禧	禧	hei1
熙	熙	hei1
嬉	嬉	hei1
曦	曦	hei1
牺	犧	hei1
稀	稀	hei1
羲	羲	hei1
醯	醯	hei1
欷	欷	hei1
希	希	hei1
嘻	嘻	hei1
唏	唏	hei1
嘿	嘿	hei1
熹	熹	hei1
浠	浠	hei1
欺	欺	hei1
岂	豈	hei2
起	起	hei2
囍	囍	hei2
喜	喜	hei2
戏	戲	hei3
憩	憩	hei3
汽	汽	hei3
弃	棄	hei3
气	氣	hei3
器	器	hei3
吃	吃	hek3
靴	靴	heuh1
香	香	heung1
乡	鄉	heung1
晌	晌	heung2
享	享	heung2
响	響	heung2
饷	餉	heung2
飨	饗	heung2
向	向	heung3
向	嚮	heung3
谦	謙	him1
险	險	him2
欠	欠	him3
芡	芡	him3
掀	掀	hin1
骞	騫	hin1
牵	牽	hin1
轩	軒	hin1
缱	繾	hin2
谴	譴	hin2
蚬	蜆	hin2
显	顯	hin2
遣	遣	hin2
宪	憲	hin3
献	獻	hin3
馨	馨	hing1
兄	兄	hing1
卿	卿	hing1
兴	興	hing1
氢	氫	hing1
轻	輕	hing1/heng1
罄	罄	hing3
磬	磬	hing3
庆	慶	hing3
兴	興	hing3
胫	脛	hing5/ging3
协	協	hip3
歉	歉	hip3
怯	怯	hip3
胁	脅	hip3
挟	挾	hip3/haap6
惬	愜	hip6
歇	歇	hit3
蝎	蠍	hit3
骁	驍	hiu1
侥	僥	hiu1
鸮	鴞	hiu1
嚣	囂	hiu1
枭	梟	hiu1
浇	澆	hiu1
橇	橇	hiu1/chui3
晓	曉	hiu2
窍	竅	hiu3/kiu3
哼	哼	hng6
蒿	蒿	ho1
薅	薅	ho1
好	好	ho2
好	好	ho3
耗	耗	ho3
犒	犒	ho3
号	號	ho4
壕	壕	ho4
嚎	嚎	ho4
毫	毫	ho4
嗥	嗥	ho4
蠔	蠔	ho4
豪	豪	ho4
昊	昊	ho6
浩	浩	ho6
号	號	ho6
镐	鎬	ho6
灏	灝	ho6
皓	皓	ho6
呵	呵	hoh1
苛	苛	hoh1
诃	訶	hoh1
岢	岢	hoh2
嗬	嗬	hoh2
坷	坷	hoh2
可	可	hoh2
何	何	hoh4
河	河	hoh4
荷	荷	hoh4
贺	賀	hoh6
荷	荷	hoh6
开	開	hoi1
咍	咍	hoi1
锎	鐦	hoi1
恺	愷	hoi2
铠	鎧	hoi2
海	海	hoi2
垲	塏	hoi2
剀	剴	hoi2
闿	闓	hoi2
凯	凱	hoi2
害	害	hoi6
亥	亥	hoi6
氦	氦	hoi6
壳	殼	hok3
貉	貉	hok6
鹤	鶴	hok6
学	學	hok6
罕	罕	hon2
侃	侃	hon2
刊	刊	hon2/hon1
看	看	hon3
汉	漢	hon3
汗	汗	hon4
韩	韓	hon4
鼾	鼾	hon4
寒	寒	hon4
邯	邯	hon4
旱	旱	hon5
汗	汗	hon6
翰	翰	hon6
焊	焊	hon6
瀚	瀚	hon6
悍	悍	hon6
捍	捍	hon6
糠	糠	hong1
诓	誆	hong1
劻	劻	hong1
腔	腔	hong1
康	康	hong1
匡	匡	hong1
眶	眶	hong1/kwaang1
筐	筐	hong1/kwaang1
慷	慷	hong2/kong2
航	航	hong4
行	行	hong4
吭	吭	hong4
降	降	hong4
杭	杭	hong4
项	項	hong6
巷	巷	hong6/hong2
喝	喝	hot3
渴	渴	hot3
褐	褐	hot3
鞨	鞨	hot3
喧	喧	huen1
暄	暄	huen1
萱	萱	huen1
圈	圈	huen1
埙	壎	huen1
畎	畎	huen2
犬	犬	huen2
券	券	huen3
绻	綣	huen3
劝	勸	huen3
绚	絢	huen3
血	血	huet3
墟	墟	hui1
虚	虛	hui1
盱	盱	hui1
吁	吁	hui1
嘘	噓	hui1
歔	歔	hui1
许	許	hui2
栩	栩	hui2
诩	詡	hui2
煦	煦	hui2/hui3
去	去	hui3
哭	哭	huk1
槲	槲	huk6
酷	酷	huk6
匈	匈	hung1
空	空	hung1
凶	凶	hung1
箜	箜	hung1
崆	崆	hung1
胸	胸	hung1
凶	兇	hung1
汹	洶	hung1
恐	恐	hung2
孔	孔	hung2
汞	汞	hung3
哄	哄	hung3
控	控	hung3
烘	烘	hung3/hung1
哄	鬨	hung3/hung6
雄	雄	hung4
鸿	鴻	hung4
红	紅	hung4
洪	洪	hung4
熊	熊	hung4
虹	虹	hung4
讧	訌	hung4/hung3
糌	糌	ja1
吒	吒	ja1
咱	咱	ja1
渣	渣	ja1
齇	齇	ja1
楂	楂	ja1
抓	抓	ja1/jaau2
咋	咋	ja3
乍	乍	ja3
诈	詐	ja3
炸	炸	ja3
咤	咤	ja3
榨	榨	ja3
蚱	蚱	ja3/jaak3
膪	膪	ja6
嵖	嵖	ja6
赍	齎	jaai1
斋	齋	jaai1
债	債	jaai3
寨	寨	jaai6
眦	眥	jaai6
啧	嘖	jaak3
责	責	jaak3
窄	窄	jaak3
择	擇	jaak6
泽	澤	jaak6
摘	摘	jaak6
踯	躑	jaak6
掷	擲	jaak6
宅	宅	jaak6
谪	謫	jaak6
崭	嶄	jaam2
斩	斬	jaam2
蘸	蘸	jaam3
湛	湛	jaam3
錾	鏨	jaam6
站	站	jaam6
暂	暫	jaam6
盏	盞	jaan2
攒	攢	jaan2
趱	趲	jaan2
赞	讚	jaan3
赞	贊	jaan3
栈	棧	jaan6
撰	撰	jaan6
赚	賺	jaan6
馔	饌	jaan6
绽	綻	jaan6
挣	掙	jaang6
咂	咂	jaap3
匝	匝	jaap3
砸	砸	jaap3
眨	眨	jaap3
集	集	jaap6
闸	閘	jaap6
杂	雜	jaap6
什	什	jaap6
袭	襲	jaap6
隰	隰	jaap6
习	習	jaap6
扎	扎	jaat3
轧	軋	jaat3
紮	紮	jaat3
铡	鍘	jaat3
札	札	jaat3
拶	拶	jaat3
嘲	嘲	jaau1
找	找	jaau2
爪	爪	jaau2
罩	罩	jaau3
跻	躋	jai1
齑	齏	jai1
挤	擠	jai1
剂	劑	jai1
济	濟	jai2
仔	仔	jai2
济	濟	jai3
霁	霽	jai3
祭	祭	jai3
制	制	jai3
际	際	jai3
掣	掣	jai3
制	製	jai3
滞	滯	jai6
昃	昃	jak1
则	則	jak1
仄	仄	jak1
侧	側	jak1
针	針	jam1
箴	箴	jam1
簪	簪	jam1
斟	斟	jam1
砧	砧	jam1
怎	怎	jam2
枕	枕	jam2
浸	浸	jam3
枕	枕	jam3
朕	朕	jam6
鸩	鴆	jam6
珍	珍	jan1
真	真	jan1
胗	胗	jan1
疹	疹	jan2
轸	軫	jan2/chan2
赈	賑	jan3
镇	鎮	jan3
震	震	jan3
振	振	jan3
圳	圳	jan3
阵	陣	jan6
峥	崢	jang1
曾	曾	jang1
僧	僧	jang1
增	增	jang1
憎	憎	jang1
铮	錚	jang1
筝	箏	jang1
睁	睜	jang1/jaang1
争	爭	jang1/jaang1
狰	猙	jang1/jaang1
挣	掙	jang1/jaang1
赠	贈	jang6
执	執	jap1
汁	汁	jap1
质	質	jat1
疾	疾	jat6
桎	桎	jat6
窒	窒	jat6
蛰	蟄	jat6
嫉	嫉	jat6
侄	姪	jat6
蛭	蛭	jat6
周	周	jau1
州	州	jau1
揪	揪	jau1
周	週	jau1
洲	洲	jau1
诌	謅	jau1
邹	鄒	jau1
舟	舟	jau1
辀	輈	jau1
诹	諏	jau1
陬	陬	jau1
肘	肘	jau2
帚	帚	jau2
走	走	jau2
酒	酒	jau2
揍	揍	jau3
昼	晝	jau3
咒	咒	jau3
皱	皺	jau3
绉	縐	jau3
奏	奏	jau3
冑	冑	jau6
袖	袖	jau6
鹫	鷲	jau6
纣	紂	jau6
宙	宙	jau6
骤	驟	jau6
岫	岫	jau6
就	就	jau6
嗟	嗟	je1
遮	遮	je1
姐	姐	je2
者	者	je2
蔗	蔗	je3
借	借	je3
柘	柘	je3
这	這	je5/je3
谢	謝	je6
只	隻	jek3
郑	鄭	jeng6/jing6
斫	斫	jeuk3
爵	爵	jeuk3
雀	雀	jeuk3
鹊	鵲	jeuk3
酌	酌	jeuk3
嚼	嚼	jeuk3
着	著	jeuk3
灼	灼	jeuk3
勺	勺	jeuk3/cheuk3
桌	桌	jeuk3/cheuk3
着	著	jeuk6
著	著	jeuk6
嫜	嫜	jeung1
张	張	jeung1
鄣	鄣	jeung1
漳	漳	jeung1
獐	獐	jeung1
彰	彰	jeung1
樟	樟	jeung1
浆	漿	jeung1
蟑	蟑	jeung1
将	將	jeung1
章	章	jeung1
璋	璋	jeung1
掌	掌	jeung2
长	長	jeung2
奖	獎	jeung2
蒋	蔣	jeung2
桨	槳	jeung2
涨	漲	jeung2/jeung3
幛	幛	jeung3
帐	帳	jeung3
将	將	jeung3
账	賬	jeung3
嶂	嶂	jeung3
仗	仗	jeung3
胀	脹	jeung3
涨	漲	jeung3
障	障	jeung3
瘴	瘴	jeung3
酱	醬	jeung3
象	象	jeung6
杖	杖	jeung6
匠	匠	jeung6
橡	橡	jeung6
像	像	jeung6
仗	仗	jeung6
丈	丈	jeung6
滋	滋	ji1
兹	茲	ji1
吱	吱	ji1
辎	輜	ji1
肢	肢	ji1
芝	芝	ji1
龇	齜	ji1
蜘	蜘	ji1
脂	脂	ji1
知	知	ji1
赀	貲	ji1
资	資	ji1
鼒	鼒	ji1
淄	淄	ji1
氏	氏	ji1
支	支	ji1
枝	枝	ji1
姿	姿	ji1
孜	孜	ji1
咨	咨	ji1
谘	諮	ji1
之	之	ji1
旨	旨	ji2
秭	秭	ji2
酯	酯	ji2
趾	趾	ji2
姊	姊	ji2
咫	咫	ji2
祉	祉	ji2
梓	梓	ji2
滓	滓	ji2
籽	籽	ji2
址	址	ji2
紫	紫	ji2
子	子	ji2
止	止	ji2
只	只	ji2
指	指	ji2
纸	紙	ji2
芷	芷	ji2
仔	仔	ji2
致	致	ji3
轾	輊	ji3
至	至	ji3
致	緻	ji3
质	質	ji3
志	誌	ji3
置	置	ji3
挚	摯	ji3
智	智	ji3
痣	痣	ji3
踬	躓	ji3
志	志	ji3
恣	恣	ji3/chi3
伺	伺	ji6
雉	雉	ji6
字	字	ji6
痔	痔	ji6
俟	俟	ji6
祀	祀	ji6
自	自	ji6
稚	稚	ji6
饲	飼	ji6
嗣	嗣	ji6
耜	耜	ji6
巳	巳	ji6
治	治	ji6
峙	峙	ji6/chi5
豸	豸	ji6/jaai6
寺	寺	ji6/ji2
积	積	jik1
鲫	鯽	jik1
职	職	jik1
稷	稷	jik1
织	織	jik1
绩	績	jik1
陟	陟	jik1
即	即	jik1
迹	跡	jik1
渍	漬	jik1/ji3
瘠	瘠	jik3
炙	炙	jik3/jek3
脊	脊	jik3/jek3
席	席	jik6
藉	藉	jik6
值	值	jik6
直	直	jik6
植	植	jik6
殖	殖	jik6
夕	夕	jik6
籍	籍	jik6
汐	汐	jik6
矽	矽	jik6
寂	寂	jik6
借	借	jik6/je3
借	藉	jik6/je3
蓆	蓆	jik6/jek6
霑	霑	jim1
瞻	瞻	jim1
沾	沾	jim1
尖	尖	jim1
占	占	jim1
詹	詹	jim1
谵	譫	jim1
占	佔	jim3
渐	漸	jim6
笺	箋	jin1
煎	煎	jin1
膻	羶	jin1
毡	氈	jin1
翦	翦	jin2
碾	碾	jin2
剪	剪	jin2
辗	輾	jin2
展	展	jin2
阐	闡	jin2/chin2
饯	餞	jin3
箭	箭	jin3
战	戰	jin3
颤	顫	jin3
溅	濺	jin3
荐	薦	jin3
贱	賤	jin6
菁	菁	jing1
症	癥	jing1
侦	偵	jing1
睛	睛	jing1
贞	貞	jing1
钲	鉦	jing1
祯	禎	jing1
精	精	jing1
晶	晶	jing1
旌	旌	jing1
正	正	jing1
征	徵	jing1
怔	怔	jing1
征	征	jing1
烝	烝	jing1
蒸	蒸	jing1
整	整	jing2
井	井	jing2/jeng2
症	症	jing3
证	證	jing3
政	政	jing3
正	正	jing3
靖	靖	jing6
静	靜	jing6
净	淨	jing6
阱	阱	jing6/jeng6
接	接	jip3
折	摺	jip3
嗫	囁	jip3
褶	褶	jip3
浃	浹	jip3
辄	輒	jip3
楫	楫	jip3
唧	唧	jit1
栉	櫛	jit3
婕	婕	jit3
哲	哲	jit3
折	折	jit3
疖	癤	jit3
蜇	蜇	jit3
节	節	jit3
浙	浙	jit3
捷	捷	jit6
睫	睫	jit6
截	截	jit6
礁	礁	jiu1
椒	椒	jiu1
朝	朝	jiu1
焦	焦	jiu1
招	招	jiu1
蕉	蕉	jiu1
沼	沼	jiu2
剿	剿	jiu2
照	照	jiu3
诏	詔	jiu3
召	召	jiu6
赵	趙	jiu6
遭	遭	jo1
租	租	jo1
糟	糟	jo1
枣	棗	jo2
祖	祖	jo2
早	早	jo2
驵	駔	jo2
藻	藻	jo2
组	組	jo2
澡	澡	jo2
蚤	蚤	jo2
灶	灶	jo3
造	造	jo6
皂	皂	jo6
做	做	jo6
慥	慥	jo6/cho3
左	左	joh2
阻	阻	joh2
俎	俎	joh2
佐	佐	joh3
诅	詛	joh3/joh2
座	座	joh6
坐	坐	joh6
唑	唑	joh6
助	助	joh6
栽	栽	joi1
哉	哉	joi1
灾	災	joi1
崽	崽	joi2
宰	宰	joi2
载	載	joi2
再	再	joi3
载	載	joi3
在	在	joi6
作	作	jok3
昨	昨	jok3/jok6
凿	鑿	jok6
擢	擢	jok6
妆	妝	jong1
桩	樁	jong1
庄	莊	jong1
装	裝	jong1
脏	髒	jong1
赃	贓	jong1
驵	駔	jong2
壮	壯	jong3
葬	葬	jong3
戆	戇	jong3/ngong6
撞	撞	jong6
状	狀	jong6
藏	藏	jong6
脏	臟	jong6
奘	奘	jong6
猪	豬	jue1
珠	珠	jue1
茱	茱	jue1
诛	誅	jue1
株	株	jue1
铢	銖	jue1
朱	朱	jue1
诸	諸	jue1
侏	侏	jue1
蛛	蛛	jue1
煮	煮	jue2
主	主	jue2
炷	炷	jue3
蛀	蛀	jue3
注	註	jue3
著	著	jue3
著	著	jue3
注	注	jue3
驻	駐	jue3
住	住	jue6
箸	箸	jue6
专	專	juen1
颛	顓	juen1
尊	尊	juen1
砖	磚	juen1
鳟	鱒	juen1/juen3
镌	鐫	juen1/jun3
转	轉	juen2
纂	纂	juen2
传	傳	juen2
钻	鑽	juen3
转	轉	juen3
钻	鑽	juen3/juen1
传	傳	juen6
啜	啜	juet3
拙	拙	juet3
掇	掇	juet3
辍	輟	juet3
茁	茁	juet3
咄	咄	juet3
绝	絕	juet6
狙	狙	jui1
锥	錐	jui1
椎	椎	jui1
追	追	jui1
蛆	蛆	jui1/chui1
沮	沮	jui2
龃	齟	jui2
嘴	嘴	jui2
咀	咀	jui2
醉	醉	jui3
最	最	jui3
惴	惴	jui3
赘	贅	jui3
罪	罪	jui6
溆	漵	jui6
聚	聚	jui6
屿	嶼	jui6
坠	墜	jui6
叙	敘	jui6
序	序	jui6
缀	綴	jui6/jui3
竺	竺	juk1
捉	捉	juk1
粥	粥	juk1
瞩	矚	juk1
足	足	juk1
烛	燭	juk1
竹	竹	juk1
祝	祝	juk1
筑	築	juk1
嘱	囑	juk1
